u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,lanes,ref,junction
45994537,45995499,0,7391665,Oosteinderweg,tertiary,50,False,55.722,"LINESTRING (4.78171 52.27855, 4.7824 52.27882)",,,,,,
45994849,45995471,0,7361150,Amsteldijk Zuid,tertiary,60,False,15.667,"LINESTRING (4.878293 52.2786689, 4.8782757 52.2788094)",,,,,,
45994849,567009055,0,7361150,Amsteldijk Zuid,tertiary,60,False,23.612,"LINESTRING (4.878293 52.2786689, 4.8783445 52.2784589)",,,,,,
45995471,45996008,0,7361150,Amsteldijk Zuid,tertiary,60,False,20.15,"LINESTRING (4.8782757 52.2788094, 4.8783 52.27899)",,,,,,
45995471,45994849,0,7361150,Amsteldijk Zuid,tertiary,60,False,15.667,"LINESTRING (4.8782757 52.2788094, 4.878293 52.2786689)",,,,,,
45995499,45997760,0,7391665,Oosteinderweg,tertiary,50,False,142.218,"LINESTRING (4.7824 52.27882, 4.7842179 52.2794515)",,,,,,
45995499,45994537,0,7391665,Oosteinderweg,tertiary,50,False,55.722,"LINESTRING (4.7824 52.27882, 4.78171 52.27855)",,,,,,
45995953,1830087181,0,172064316,Aalsmeerderdijk,unclassified,,False,24.167,"LINESTRING (4.7691702 52.2790146, 4.7694539 52.2791454)",,,,,,
45995953,1830087179,0,172064316,Aalsmeerderdijk,unclassified,,False,28.137,"LINESTRING (4.7691702 52.2790146, 4.7688317 52.2788692)",,,,,,
45996008,3901309409,0,7361150,Amsteldijk Zuid,tertiary,60,False,9.217,"LINESTRING (4.8783 52.27899, 4.8783247 52.2790715)",,,,,,
45996008,45995471,0,7361150,Amsteldijk Zuid,tertiary,60,False,20.15,"LINESTRING (4.8783 52.27899, 4.8782757 52.2788094)",,,,,,
45996648,752976800,0,7361150,Amsteldijk Zuid,tertiary,60,False,27.655,"LINESTRING (4.87837 52.27916, 4.8785135 52.2793927)",,,,,,
45996648,3901309409,0,7361150,Amsteldijk Zuid,tertiary,60,False,10.312,"LINESTRING (4.87837 52.27916, 4.8783247 52.2790715)",,,,,,
45997760,4019720314,0,7391665,Oosteinderweg,tertiary,50,False,88.212,"LINESTRING (4.7842179 52.2794515, 4.785339 52.2798501)",,,,,,
45997760,45995499,0,7391665,Oosteinderweg,tertiary,50,False,142.218,"LINESTRING (4.7842179 52.2794515, 4.7824 52.27882)",,,,,,
45999141,1390269806,0,7361150,Amsteldijk Zuid,tertiary,60,False,39.084,"LINESTRING (4.8786067 52.2795188, 4.8788652 52.2798327)",,,,,,
45999141,752976800,0,7361150,Amsteldijk Zuid,tertiary,60,False,15.389,"LINESTRING (4.8786067 52.2795188, 4.8785135 52.2793927)",,,,,,
45999790,46001218,0,7391596,Machineweg,tertiary,50,False,57.227,"LINESTRING (4.7874942 52.2800192, 4.7870733 52.2804648)",,,,,,
45999790,3155928447,0,230586532,Machineweg,tertiary,50,False,69.78,"LINESTRING (4.7874942 52.2800192, 4.7879748 52.2794648)",,,,,,
45999994,4019720309,0,7391665,Oosteinderweg,tertiary,50,False,8.121,"LINESTRING (4.78607 52.28011, 4.7859668 52.2800733)",,,,,,
45999994,46000816,0,7391667,Oosteinderweg,tertiary,50,False,50.163,"LINESTRING (4.78607 52.28011, 4.7867078 52.2803364)",,,,,,
46000816,4860623292,0,7391597,Oosteinderweg,tertiary,50,False,14.651,"LINESTRING (4.7867078 52.2803364, 4.7868965 52.2803999)",yes,,,,,
46000816,45999994,0,7391667,Oosteinderweg,tertiary,50,False,50.163,"LINESTRING (4.7867078 52.2803364, 4.78607 52.28011)",,,,,,
46001173,46001218,0,494279246,Oosteinderweg,tertiary,50,False,6.807,"LINESTRING (4.7869875 52.2804333, 4.7870733 52.2804648)",,,,,,
46001173,4860623292,0,494279246,Oosteinderweg,tertiary,50,False,7.219,"LINESTRING (4.7869875 52.2804333, 4.7868965 52.2803999)",,,,,,
46001218,4860623289,0,7391568,Oosteinderweg,unclassified,50,False,114.788,"LINESTRING (4.7870733 52.2804648, 4.7885369 52.2809785)",,,,,,
46001218,45999790,0,7391596,Machineweg,tertiary,50,False,57.227,"LINESTRING (4.7870733 52.2804648, 4.7874942 52.2800192)",,,,,,
46001218,46001173,0,494279246,Oosteinderweg,tertiary,50,False,6.807,"LINESTRING (4.7870733 52.2804648, 4.7869875 52.2804333)",,,,,,
46001251,3901309410,0,7361150,Amsteldijk Zuid,tertiary,60,False,56.321,"LINESTRING (4.8793975 52.2803706, 4.8798519 52.280794)",,,,,,
46001251,567009057,0,7361150,Amsteldijk Zuid,tertiary,60,False,58.001,"LINESTRING (4.8793975 52.2803706, 4.8789503 52.2799265)",,,,,,
46003949,46006626,0,7391565,Oosteinderweg,unclassified,50,False,161.577,"LINESTRING (4.7891313 52.2811907, 4.791183 52.2819228)",,,,,,
46003949,4860623289,0,7391568,Oosteinderweg,unclassified,50,False,46.817,"LINESTRING (4.7891313 52.2811907, 4.7885369 52.2809785)",,,,,,
46004958,3901309413,0,7361150,Amsteldijk Zuid,tertiary,60,False,107.911,"LINESTRING (4.8807361 52.281485, 4.8817368 52.282238)",,,,,,
46004958,3901309411,0,7361150,Amsteldijk Zuid,tertiary,60,False,53.846,"LINESTRING (4.8807361 52.281485, 4.8802361 52.2811096)",,,,,,
46006626,6205320980,0,7391542,Oosteinderweg,unclassified,50,False,138.142,"LINESTRING (4.791183 52.2819228, 4.7929437 52.2825418)",,,,,,
46006626,46003949,0,7391565,Oosteinderweg,unclassified,50,False,161.577,"LINESTRING (4.791183 52.2819228, 4.7891313 52.2811907)",,,,,,
46010027,46011447,0,7361150,Amsteldijk Zuid,tertiary,60,False,45.997,"LINESTRING (4.8825682 52.2828336, 4.8829975 52.2831532)",,,,,,
46010027,3901309412,0,7361150,Amsteldijk Zuid,tertiary,60,False,27.211,"LINESTRING (4.8825682 52.2828336, 4.8822988 52.2826527)",,,,,,
46011447,3901309415,0,7361150,Amsteldijk Zuid,tertiary,60,False,49.798,"LINESTRING (4.8829975 52.2831532, 4.8834267 52.283516)",,,,,,
46011447,46010027,0,7361150,Amsteldijk Zuid,tertiary,60,False,45.997,"LINESTRING (4.8829975 52.2831532, 4.8825682 52.2828336)",,,,,,
46013760,1830087192,0,172064307,Aalsmeerderdijk,unclassified,,False,25.57,"LINESTRING (4.7801107 52.2837662, 4.7798467 52.2836025)",,,,,,
