y,x,osmid,highway,ref,geometry
52.3701725,4.8883961,6316199,,,POINT (4.8883961 52.3701725)
52.392837,4.8741247,25496026,,,POINT (4.8741247 52.392837)
52.3645437,4.9304379,25658579,,,POINT (4.9304379 52.3645437)
52.3641616,4.8652355,26203121,,,POINT (4.8652355 52.3641616)
52.3634245,4.872947,26206556,,,POINT (4.872947 52.3634245)
52.3610281,4.8632211,26371842,,,POINT (4.8632211 52.3610281)
52.3610943,4.8628987,26371846,,,POINT (4.8628987 52.3610943)
52.3608886,4.8627022,26371848,,,POINT (4.8627022 52.3608886)
52.3605569,4.8635246,26371852,,,POINT (4.8635246 52.3605569)
52.3604177,4.8630071,26371854,,,POINT (4.8630071 52.3604177)
52.3603604,4.8633585,26371856,,,POINT (4.8633585 52.3603604)
52.3699052,4.9187544,26596415,,,POINT (4.9187544 52.3699052)
52.383026,4.9100553,26608386,,,POINT (4.9100553 52.383026)
52.3829889,4.9129141,26608398,,,POINT (4.9129141 52.3829889)
52.3847388,4.9174445,26608427,,,POINT (4.9174445 52.3847388)
52.3821307,4.911916,26608430,,,POINT (4.911916 52.3821307)
52.3832425,4.9103575,26654596,,,POINT (4.9103575 52.3832425)
52.3832512,4.9116355,26672154,,,POINT (4.9116355 52.3832512)
52.3866316,4.9129889,26672174,,,POINT (4.9129889 52.3866316)
52.3897991,4.9068897,26867257,,,POINT (4.9068897 52.3897991)
52.355345,4.8620226,27219290,,,POINT (4.8620226 52.355345)
52.3545427,4.8566044,27219915,,,POINT (4.8566044 52.3545427)
52.3633674,4.871626,27325328,,,POINT (4.871626 52.3633674)
52.3683099,4.8671943,27471866,,,POINT (4.8671943 52.3683099)
52.368292,4.8681061,27471867,,,POINT (4.8681061 52.368292)
52.3563873,4.8546809,27561854,,,POINT (4.8546809 52.3563873)
52.3586258,4.8626376,27562531,,,POINT (4.8626376 52.3586258)
52.3611287,4.8738797,27562533,,,POINT (4.8738797 52.3611287)
52.3575656,4.8719166,27564925,,,POINT (4.8719166 52.3575656)
52.3684429,4.870043,28267855,,,POINT (4.870043 52.3684429)
52.3608922,4.9754606,30118209,,,POINT (4.9754606 52.3608922)
52.3821351,4.868432,30138487,,,POINT (4.868432 52.3821351)
52.3601681,4.9420068,30154649,,,POINT (4.9420068 52.3601681)
52.3603915,4.9436224,30154650,,,POINT (4.9436224 52.3603915)
52.3531322,4.9007014,30187580,,,POINT (4.9007014 52.3531322)
52.3528228,4.9008327,30187581,,,POINT (4.9008327 52.3528228)
52.3876915,4.8875564,30225689,,,POINT (4.8875564 52.3876915)
52.3528765,4.8640472,30731909,,,POINT (4.8640472 52.3528765)
52.3527332,4.8635605,30731914,,,POINT (4.8635605 52.3527332)
52.3666861,4.8546089,31240614,,,POINT (4.8546089 52.3666861)
52.3665769,4.8555476,31240615,,,POINT (4.8555476 52.3665769)
52.3658638,4.8557079,31240616,,,POINT (4.8557079 52.3658638)
52.3650569,4.8558346,31240617,,,POINT (4.8558346 52.3650569)
52.3650488,4.8550292,31240618,,,POINT (4.8550292 52.3650488)
52.365783,4.8549659,31240619,,,POINT (4.8549659 52.365783)
52.3631266,4.8499841,31240638,,,POINT (4.8499841 52.3631266)
52.3597147,4.8494986,31240640,,,POINT (4.8494986 52.3597147)
52.3587776,4.8495228,31240641,,,POINT (4.8495228 52.3587776)
52.3600249,4.8579027,31240665,,,POINT (4.8579027 52.3600249)
52.3595136,4.8594366,31240666,,,POINT (4.8594366 52.3595136)
52.3589894,4.8575092,31240667,,,POINT (4.8575092 52.3589894)
52.3591046,4.8571429,31240668,,,POINT (4.8571429 52.3591046)
52.361841,4.8500141,31296271,,,POINT (4.8500141 52.361841)
52.3653406,4.8504917,31427248,,,POINT (4.8504917 52.3653406)
52.3550462,4.9283648,33057070,,,POINT (4.9283648 52.3550462)
52.3522978,4.9223092,33057073,,,POINT (4.9223092 52.3522978)
52.2781851,4.8322198,45993267,,,POINT (4.8322198 52.2781851)
52.2782009,4.8291974,45993510,,,POINT (4.8291974 52.2782009)
52.27823,4.84481,45993512,,,POINT (4.84481 52.27823)
52.2781914,4.8525147,45993514,,,POINT (4.8525147 52.2781914)
52.27824,4.84455,45993534,,,POINT (4.84455 52.27824)
52.27824,4.85074,45993536,,,POINT (4.85074 52.27824)
52.2782514,4.8477788,45993575,,,POINT (4.8477788 52.2782514)
52.27826,4.85007,45993576,,,POINT (4.85007 52.27826)
52.2782869,4.8503192,45993590,,,POINT (4.8503192 52.2782869)
52.2782443,4.8652855,45993591,,,POINT (4.8652855 52.2782443)
52.2781997,4.8655648,45993593,,,POINT (4.8655648 52.2781997)
