u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,bridge,tunnel,width
118725,2512504197,0,27226011,True,Banegårdspladsen,tertiary,30,15.342,"LINESTRING (12.5629057 55.6739848, 12.5630034 55.6738583)",,,,,,
125401,5779156660,0,112973330,False,Proviantpassagen,service,30,7.148,"LINESTRING (12.5830867 55.6739156, 12.5830243 55.6739694)",destination,,,,,
125401,782419343,0,112973330,False,Proviantpassagen,service,30,4.571,"LINESTRING (12.5830867 55.6739156, 12.5831266 55.6738812)",destination,,,,,
375477,4538130321,0,1796625,False,Kapelvej,residential,30,26.267,"LINESTRING (12.5503517 55.6851171, 12.5505351 55.6853295)",,,,,,
662931,4007959784,0,3994841,False,Sæbyholmsvej,residential,30,47.19,"LINESTRING (12.4899377 55.6776986, 12.490247 55.6773117)",,,,,,
706331,3676767773,0,1833829,True,Nansensgade,residential,30,12.35,"LINESTRING (12.5617582 55.6806315, 12.5618675 55.6807239)",,,,,,
791989,6352788964,0,1881248,False,Tranehavevej,residential,30,9.694,"LINESTRING (12.5378918 55.6555385, 12.5377373 55.6555403)",,,,,,
791989,1050213876,0,742662192,False,Tranehavevej,residential,30,12.736,"LINESTRING (12.5378918 55.6555385, 12.5380948 55.655537)",,,,,,
792937,4420835204,0,3994772,False,Rødbyvej,residential,30,9.139,"LINESTRING (12.4861661 55.6668742, 12.4862831 55.6668252)",,,,,,
792938,1298717233,0,3994773,False,Hansstedvej,residential,30,7.465,"LINESTRING (12.4842938 55.6653774, 12.4843924 55.6653398)",,,,,,
793447,6756042585,0,4313373,False,Bøgevej,residential,30,5.379,"LINESTRING (12.5704246 55.7400509, 12.5704338 55.740099)",,,,,,
793448,6756042612,0,4313371,False,Vinrankevej,residential,30,7.488,"LINESTRING (12.5734887 55.7398981, 12.5734965 55.7399653)",,,,,,
793483,6756042592,0,4313372,False,Valbirkvej,residential,30,5.471,"LINESTRING (12.5720199 55.7399732, 12.5720295 55.7400221)",,,,,,
2370741,3996485273,0,3994859,False,Damstien,residential,30,61.86,"LINESTRING (12.4852439 55.678592, 12.4843908 55.6783125)",,,,,,
6504010,4945414574,0,48347099,False,Overgaden Oven Vandet,residential,30,10.955,"LINESTRING (12.5912199 55.6724914, 12.5911016 55.6724189)",,2,,,,
