u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,bridge,ref,service,junction,width,access,tunnel
118725,2512504197,0,27226011,True,Banegårdspladsen,tertiary,30,15.342,"LINESTRING (12.5629057 55.6739848, 12.5630034 55.6738583)",,,,,,,,
118732,6534097568,0,25996200,True,Dybbølsbro,tertiary,50,3.868,"LINESTRING (12.5615292 55.6631079, 12.5615653 55.6630797)",2,,,,,,,
118868,606927508,0,48759201,False,Ørestads Boulevard,unclassified,,44.244,"LINESTRING (12.5813305 55.6347648, 12.5820213 55.6346856)",,,,,,,,
125403,3836929856,0,1881916,False,Christian D. IV's Bro,primary,50,13.056,"LINESTRING (12.5871796 55.6753313, 12.587214 55.6754471)",,yes,O2,,,,,
125403,749952704,0,367864922,False,Christians Brygge,primary,50,5.08,"LINESTRING (12.5871796 55.6753313, 12.5871543 55.6752879)",2,,O2,,,,,
375471,4770809883,0,2392210,False,Griffenfeldsgade,residential,50,55.493,"LINESTRING (12.5518117 55.6850602, 12.5521862 55.6855124)",,,,,,,,
576734,5964782502,0,43633664,False,Søndre Fasanvej,tertiary,50,12.274,"LINESTRING (12.5213657 55.6793572, 12.5213348 55.6792482)",2,,,,,,,
576743,5735600460,0,1822839,False,Nyelandsvej,tertiary,50,14.404,"LINESTRING (12.5193239 55.6853922, 12.5191187 55.6854505)",,,,,,,,
576746,5735600461,0,1822839,False,Nyelandsvej,tertiary,50,20.075,"LINESTRING (12.5146307 55.6863904, 12.5149351 55.6863343)",,,,,,,,
697547,6359420524,0,44091017,True,,service,,17.354,"LINESTRING (12.5722541 55.6736517, 12.5722285 55.6738071)",,,,parking_aisle,,,,
697817,4289244944,0,167455999,False,Niels Juels Gade,primary,50,12.561,"LINESTRING (12.5863185 55.6776173, 12.5863641 55.6775073)",4,,O2,,,,,
706324,4927488354,0,178877715,False,Vester Farimagsgade,tertiary,50,12.907,"LINESTRING (12.5636588 55.679759, 12.563579 55.679652)",6,,,,,,,
706324,3676767755,0,580494821,False,Nørre Farimagsgade,tertiary,50,10.037,"LINESTRING (12.5636588 55.679759, 12.5637196 55.6798425)",5,,,,,,,
781056,1622070812,0,605923834,False,Thorvaldsensvej,residential,50,29.18,"LINESTRING (12.5440306 55.6812325, 12.5436137 55.6813492)",,,,,,,,
781552,8233764,0,1913004,False,Arresøgade,residential,50,60.439,"LINESTRING (12.5526064 55.69764, 12.5534295 55.6973567)",,,,,,,,
781552,1222141700,0,613084607,False,Mimersgade,tertiary,50,64.433,"LINESTRING (12.5526064 55.69764, 12.5517595 55.6979686)",,,,,,,,
791989,6352788964,0,1881248,False,Tranehavevej,residential,30,9.694,"LINESTRING (12.5378918 55.6555385, 12.5377373 55.6555403)",,,,,,,,
791989,1050213876,0,742662192,False,Tranehavevej,residential,30,12.736,"LINESTRING (12.5378918 55.6555385, 12.5380948 55.655537)",,,,,,,,
793090,257936311,0,605923836,False,Thorvaldsensvej,residential,40,29.352,"LINESTRING (12.5400048 55.6822832, 12.5404321 55.6821753)",,,,,,,,
793090,5745826573,0,605923836,False,Thorvaldsensvej,residential,40,14.407,"LINESTRING (12.5400048 55.6822832, 12.5397985 55.6823403)",,,,,,,,
814203,1923889069,0,29665,True,Carl Plougs Vej,residential,50,10.295,"LINESTRING (12.5517085 55.6779271, 12.5518176 55.6779963)",,,,,,,,
814222,814226,0,29665,True,Carl Plougs Vej,residential,50,36.744,"LINESTRING (12.5521975 55.678364, 12.552379 55.6786782)",,,,,,,,
814226,814158,0,29665,True,Carl Plougs Vej,residential,50,25.285,"LINESTRING (12.552379 55.6786782, 12.5525494 55.6788843)",,,,,,,,
843582,1624383893,0,463069885,True,Grundtvigsvej,residential,40,24.389,"LINESTRING (12.5398117 55.6782982, 12.540173 55.6782169)",,,,,,,,
843584,4184934475,0,662094060,False,Grundtvigsvej,residential,40,6.089,"LINESTRING (12.5385305 55.6785662, 12.5386251 55.6785538)",,,,,,,,
843599,1331462676,0,37391,True,,residential,40,3.18,"LINESTRING (12.540578 55.6781195, 12.5405629 55.6780922)",,,,,roundabout,,,
843601,1331462685,0,37391,True,,residential,40,3.29,"LINESTRING (12.540694 55.6779853, 12.5407464 55.6779838)",,,,,roundabout,,,
843602,1281444676,0,37391,True,,residential,40,3.672,"LINESTRING (12.5408929 55.678058, 12.540895 55.678091)",,,,,roundabout,,,
843604,1624383996,0,37391,True,,residential,40,3.673,"LINESTRING (12.5408407 55.6781484, 12.5407909 55.6781658)",,,,,roundabout,,,
4966219,258656211,0,141257106,False,Frodesvej,residential,40,19.937,"LINESTRING (12.4628841 55.7543234, 12.4631582 55.7544148)",,,,,,,,
4966219,261008551,0,141257106,False,Frodesvej,residential,40,20.376,"LINESTRING (12.4628841 55.7543234, 12.4626028 55.7542311)",,,,,,,,
6488684,8217858,0,1519004,False,Nordre Frihavnsgade,tertiary,50,172.183,"LINESTRING (12.5778194 55.6997444, 12.5798057 55.7008144)",,,,,,,,
6488684,1629913475,0,1519004,False,Nordre Frihavnsgade,tertiary,50,18.221,"LINESTRING (12.5778194 55.6997444, 12.5775749 55.6996557)",,,,,,,,
6488690,3679259118,0,532535378,False,Nordre Frihavnsgade,tertiary,40,23.802,"LINESTRING (12.5810273 55.7014671, 12.5813031 55.7016143)",,,,,,,,
6488690,4482360386,0,532535378,False,Nordre Frihavnsgade,tertiary,40,5.551,"LINESTRING (12.5810273 55.7014671, 12.5809631 55.7014327)",,,,,,,,
6488692,3679259117,0,532535378,False,Nordre Frihavnsgade,tertiary,40,9.816,"LINESTRING (12.5822281 55.7020634, 12.5823617 55.7021095)",,,,,,,,
6488692,7670457,0,532535378,False,Nordre Frihavnsgade,tertiary,40,21.381,"LINESTRING (12.5822281 55.7020634, 12.5819441 55.7019568)",,,,,,,,
6488693,3679259116,0,532535375,False,Nordre Frihavnsgade,tertiary,50,10.818,"LINESTRING (12.5842179 55.7027577, 12.5843659 55.7028078)",,,,,,,,
6488693,7673068,0,532535375,False,Nordre Frihavnsgade,tertiary,50,66.125,"LINESTRING (12.5842179 55.7027577, 12.583324 55.7024416)",,,,,,,,
6503265,6881713027,0,237214022,True,Store Kongensgade,primary,50,8.229,"LINESTRING (12.5871441 55.6836048, 12.5870865 55.6835383)",2,,O2,,,,,
6503276,6503278,0,1750601,False,Børsbroen,tertiary,50,12.363,"LINESTRING (12.5847298 55.6757205, 12.5847893 55.6756145)",4,,,,,,,
6503278,6503276,0,1750601,False,Børsbroen,tertiary,50,12.363,"LINESTRING (12.5847893 55.6756145, 12.5847298 55.6757205)",4,,,,,,,
6503281,3824652464,0,1694109,False,Knippelsbro,tertiary,50,6.036,"LINESTRING (12.5865559 55.675162, 12.586616 55.6751196)",4,yes,,,,27.4,,
6527591,2653419515,0,1525051,False,Backersvej,tertiary,50,35.604,"LINESTRING (12.6278225 55.647421, 12.6279611 55.6471105)",,,,,,,,
6527591,291222063,0,237099579,False,Backersvej,tertiary,50,82.97,"LINESTRING (12.6278225 55.647421, 12.6274754 55.648141)",2,,,,,,,
6527597,8084813,0,1525051,False,Backersvej,tertiary,50,26.428,"LINESTRING (12.6285808 55.6456528, 12.6285491 55.6458898)",,,,,,,,
6527597,4712175328,0,1525051,False,Backersvej,tertiary,50,15.215,"LINESTRING (12.6285808 55.6456528, 12.6285913 55.6455161)",,,,,,,,
6527598,5450247690,0,1525051,False,Backersvej,tertiary,50,11.512,"LINESTRING (12.6285827 55.6449185, 12.6286013 55.6450215)",,,,,,,,
6527598,4712175296,0,1525051,False,Backersvej,tertiary,50,3.983,"LINESTRING (12.6285827 55.6449185, 12.6285719 55.6448832)",,,,,,,,
6540008,6881411860,0,155248277,False,Englandsvej,tertiary,50,51.52,"LINESTRING (12.5985151 55.6424992, 12.598466 55.6429617)",,,,,,,,
6540008,253180526,0,196276852,False,Englandsvej,tertiary,50,87.574,"LINESTRING (12.5985151 55.6424992, 12.5987565 55.6417235)",,,,,,,,
7217655,1446653205,0,161654426,False,Studiestræde,residential,,14.64,"LINESTRING (12.5670621 55.6777366, 12.566921 55.6776317)",,,,,,,,
7217659,8310705,0,24470559,True,Larsbjørnsstræde,residential,,70.197,"LINESTRING (12.5692993 55.6785197, 12.5687586 55.6790725)",,,,,,,,
7224388,4717583480,0,161961738,False,Backersvej,tertiary,50,127.346,"LINESTRING (12.617836 55.6610365, 12.6185799 55.6599709)",2,,,,,,,
7224388,1579437316,0,237092572,False,Øresundsvej,tertiary,50,47.392,"LINESTRING (12.617836 55.6610365, 12.6185792 55.6611133)",,,,,,,,
7224388,1310602139,0,237092578,False,Øresundsvej,tertiary,50,45.806,"LINESTRING (12.617836 55.6610365, 12.6171203 55.6609546)",,,,,,,,
7224389,3402620982,0,1696164,False,Øresundsvej,tertiary,50,11.051,"LINESTRING (12.61406 55.6605325, 12.6138929 55.660501)",,,,,,,,
7224389,3402620983,0,237092578,False,Øresundsvej,tertiary,50,12.027,"LINESTRING (12.61406 55.6605325, 12.6142419 55.6605667)",,,,,,,,
