u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,tunnel,service,width
118725,298795891,0,140412993,True,2,Vesterbrogade,tertiary,50,30.958,"LINESTRING (12.5629057 55.6739848, 12.5633457 55.6741111)",,,,,,,
118751,6651812218,0,742670363,False,,Otto Busses Vej,residential,50,8.372,"LINESTRING (12.5577177 55.6614344, 12.5575946 55.6614635)",,,,,,,
118763,118764,0,422789551,True,1,Sydhavns Plads,primary,50,11.727,"LINESTRING (12.5422312 55.6540026, 12.5423887 55.6539458)",O2,,,,,,
118779,1050213948,0,161633350,True,2,Scandiagade,tertiary,60,17.7,"LINESTRING (12.539914 55.6512826, 12.5398946 55.6511238)",,,,,,,
118781,118782,0,502436882,False,3,Bådehavnsgade,tertiary,50,13.959,"LINESTRING (12.5424854 55.6460132, 12.5422863 55.6459572)",,,,,,,
118781,118787,0,742696144,False,3,Bådehavnsgade,tertiary,50,17.003,"LINESTRING (12.5424854 55.6460132, 12.5427315 55.6460772)",,,,,,,
118782,118781,0,502436882,False,3,Bådehavnsgade,tertiary,50,13.959,"LINESTRING (12.5422863 55.6459572, 12.5424854 55.6460132)",,,,,,,
118782,1555492641,0,502436882,False,3,Bådehavnsgade,tertiary,50,10.652,"LINESTRING (12.5422863 55.6459572, 12.54215 55.6459001)",,,,,,,
118783,1555492647,0,24418179,False,2,Bådehavnsgade,tertiary,50,9.566,"LINESTRING (12.5419362 55.6456929, 12.5418561 55.6456197)",,,,,,,
118783,1555492641,0,502436882,False,3,Bådehavnsgade,tertiary,50,26.661,"LINESTRING (12.5419362 55.6456929, 12.54215 55.6459001)",,,,,,,
118786,1555693141,0,24418179,False,2,Bådehavnsgade,tertiary,50,23.578,"LINESTRING (12.5416231 55.6453975, 12.5418144 55.64558)",,,,,,,
118786,5930921296,0,24418179,False,2,Bådehavnsgade,tertiary,50,5.327,"LINESTRING (12.5416231 55.6453975, 12.5415789 55.6453566)",,,,,,,
118787,118781,0,742696144,False,3,Bådehavnsgade,tertiary,50,17.003,"LINESTRING (12.5427315 55.6460772, 12.5424854 55.6460132)",,,,,,,
118792,118806,0,496210860,False,,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5453691 55.6436206, 12.5455234 55.6437122)",,,,,,,
118806,1052708417,0,83871381,False,,Sluseholmen,tertiary,40,16.928,"LINESTRING (12.5455234 55.6437122, 12.5457065 55.643824)",,,,,,,
118806,118792,0,496210860,False,,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5455234 55.6437122, 12.5453691 55.6436206)",,,,,,,
118807,4225167427,0,3542463,True,3,Sjællandsbroen,tertiary,70,18.299,"LINESTRING (12.5467438 55.6430552, 12.5465168 55.6431585)",,,,,,,
118808,6952905796,0,3542463,True,3,Sjællandsbroen,tertiary,70,13.007,"LINESTRING (12.5480581 55.6424838, 12.5478927 55.6425543)",,,,,,,
118811,1052708455,0,46244971,True,2,Vejlands Allé,tertiary,70,34.406,"LINESTRING (12.5530781 55.6410961, 12.5525465 55.6411718)",,,,,,,
118840,3084514220,0,155776515,True,,Vejlands Allé,service,,36.496,"LINESTRING (12.5751535 55.6420804, 12.5745748 55.642113)",,,,,,,
118866,2942580093,0,330921305,False,,Ørestads Boulevard,tertiary,50,21.719,"LINESTRING (12.5832697 55.6396224, 12.5831917 55.6394321)",,,,,,,
118868,318308896,0,47256244,False,,C.F. Møllers Allé,residential,,121.804,"LINESTRING (12.5813305 55.6347648, 12.579439 55.6350097)",,,,,,,
118868,247737948,0,237099603,False,,Ørestads Boulevard,tertiary,50,193.599,"LINESTRING (12.5813305 55.6347648, 12.580644 55.6330674)",,,,,,,
118868,5347212858,0,237099603,False,,Ørestads Boulevard,tertiary,50,185.109,"LINESTRING (12.5813305 55.6347648, 12.5819812 55.6363885)",,,,,,,
118869,4524327180,0,129369623,False,,Ørestads Boulevard,tertiary,50,11.68,"LINESTRING (12.5798675 55.6310571, 12.5798238 55.630955)",,,,,,,
118869,1801254752,0,713738512,False,,Ørestads Boulevard,tertiary,50,12.924,"LINESTRING (12.5798675 55.6310571, 12.5799085 55.631171)",,,,,,,
118869,619171595,0,752865741,True,,Arne Jacobsens Allé,tertiary,50,30.381,"LINESTRING (12.5798675 55.6310571, 12.5803052 55.6309405)",,,,,,,
118872,1619530781,0,148894329,False,,Ørestads Boulevard,tertiary,50,117.455,"LINESTRING (12.5758979 55.6211118, 12.5754878 55.6200812)",,,,,,,
125402,5779156666,0,62833105,False,2,Christians Brygge,primary,50,10.456,"LINESTRING (12.5854426 55.6743964, 12.5855759 55.6744529)",O2,,,,,,
