y,x,osmid,highway,geometry
55.6739848,12.5629057,118725,,POINT (12.5629057 55.6739848)
55.6739156,12.5830867,125401,,POINT (12.5830867 55.6739156)
55.6851171,12.5503517,375477,,POINT (12.5503517 55.6851171)
55.6776986,12.4899377,662931,,POINT (12.4899377 55.6776986)
55.6806315,12.5617582,706331,,POINT (12.5617582 55.6806315)
55.6847272,12.5379519,726588,,POINT (12.5379519 55.6847272)
55.6555385,12.5378918,791989,traffic_signals,POINT (12.5378918 55.6555385)
55.6668742,12.4861661,792937,traffic_signals,POINT (12.4861661 55.6668742)
55.6653774,12.4842938,792938,,POINT (12.4842938 55.6653774)
55.7400509,12.5704246,793447,,POINT (12.5704246 55.7400509)
55.7398981,12.5734887,793448,,POINT (12.5734887 55.7398981)
55.7399732,12.5720199,793483,,POINT (12.5720199 55.7399732)
55.7287666,12.4362143,1697173,,POINT (12.4362143 55.7287666)
55.7677134,12.4982773,2027691,,POINT (12.4982773 55.7677134)
55.678592,12.4852439,2370741,,POINT (12.4852439 55.678592)
55.6724914,12.5912199,6504010,traffic_signals,POINT (12.5912199 55.6724914)
55.6712457,12.5936289,6504013,,POINT (12.5936289 55.6712457)
55.6833774,12.562608,6542970,,POINT (12.562608 55.6833774)
55.6831034,12.5662063,7235698,traffic_signals,POINT (12.5662063 55.6831034)
55.6860571,12.5492949,7235738,,POINT (12.5492949 55.6860571)
55.6666685,12.5376052,7235757,,POINT (12.5376052 55.6666685)
55.6944439,12.5301823,7427946,traffic_signals,POINT (12.5301823 55.6944439)
55.6953372,12.5311073,7481829,,POINT (12.5311073 55.6953372)
55.6230632,12.6198577,7484903,,POINT (12.6198577 55.6230632)
55.6230966,12.6170395,7484904,,POINT (12.6170395 55.6230966)
55.623144,12.6131732,7484906,,POINT (12.6131732 55.623144)
55.6232087,12.6079517,7484907,,POINT (12.6079517 55.6232087)
55.7127679,12.5666901,7493308,,POINT (12.5666901 55.7127679)
55.7165786,12.5710523,7493326,,POINT (12.5710523 55.7165786)
55.7166806,12.5719911,7493327,,POINT (12.5719911 55.7166806)
55.686548,12.5495281,7646340,,POINT (12.5495281 55.686548)
55.6859713,12.55109,7646341,,POINT (12.55109 55.6859713)
55.6815243,12.5911494,7741041,,POINT (12.5911494 55.6815243)
55.6817223,12.5903967,7741063,,POINT (12.5903967 55.6817223)
55.6826022,12.5321283,7786946,traffic_signals,POINT (12.5321283 55.6826022)
55.6843498,12.539058,7786951,,POINT (12.539058 55.6843498)
55.6847875,12.5395683,7786952,,POINT (12.5395683 55.6847875)
55.6846096,12.5404717,7786956,,POINT (12.5404717 55.6846096)
55.6847105,12.5400253,7786958,,POINT (12.5400253 55.6847105)
55.6847925,12.539672,7786959,,POINT (12.539672 55.6847925)
55.6835527,12.5392463,7786961,,POINT (12.5392463 55.6835527)
55.6838072,12.5385318,7786964,,POINT (12.5385318 55.6838072)
55.6838939,12.5385318,7786965,,POINT (12.5385318 55.6838939)
