y,x,osmid,highway,geometry
55.6739848,12.5629057,118725,,POINT (12.5629057 55.6739848)
55.6631079,12.5615292,118732,traffic_signals,POINT (12.5615292 55.6631079)
55.6347648,12.5813305,118868,traffic_signals,POINT (12.5813305 55.6347648)
55.6753313,12.5871796,125403,,POINT (12.5871796 55.6753313)
55.6850602,12.5518117,375471,traffic_signals,POINT (12.5518117 55.6850602)
55.6793572,12.5213657,576734,traffic_signals,POINT (12.5213657 55.6793572)
55.6853922,12.5193239,576743,,POINT (12.5193239 55.6853922)
55.6863904,12.5146307,576746,,POINT (12.5146307 55.6863904)
55.6736517,12.5722541,697547,traffic_signals,POINT (12.5722541 55.6736517)
55.6751012,12.5717677,697795,traffic_signals,POINT (12.5717677 55.6751012)
55.6776173,12.5863185,697817,traffic_signals,POINT (12.5863185 55.6776173)
55.679759,12.5636588,706324,traffic_signals,POINT (12.5636588 55.679759)
55.6812325,12.5440306,781056,traffic_signals,POINT (12.5440306 55.6812325)
55.69764,12.5526064,781552,traffic_signals,POINT (12.5526064 55.69764)
55.6555385,12.5378918,791989,traffic_signals,POINT (12.5378918 55.6555385)
55.6822832,12.5400048,793090,,POINT (12.5400048 55.6822832)
55.6788843,12.5525494,814158,,POINT (12.5525494 55.6788843)
55.6779271,12.5517085,814203,,POINT (12.5517085 55.6779271)
55.678364,12.5521975,814222,,POINT (12.5521975 55.678364)
55.6786782,12.552379,814226,,POINT (12.552379 55.6786782)
55.6782982,12.5398117,843582,,POINT (12.5398117 55.6782982)
55.6785662,12.5385305,843584,,POINT (12.5385305 55.6785662)
55.6781195,12.540578,843599,,POINT (12.540578 55.6781195)
55.6779853,12.540694,843601,,POINT (12.540694 55.6779853)
55.678058,12.5408929,843602,,POINT (12.5408929 55.678058)
55.6781484,12.5408407,843604,,POINT (12.5408407 55.6781484)
55.7543234,12.4628841,4966219,,POINT (12.4628841 55.7543234)
55.6997444,12.5778194,6488684,crossing,POINT (12.5778194 55.6997444)
55.7014671,12.5810273,6488690,,POINT (12.5810273 55.7014671)
55.7020634,12.5822281,6488692,,POINT (12.5822281 55.7020634)
55.7027577,12.5842179,6488693,,POINT (12.5842179 55.7027577)
55.6836048,12.5871441,6503265,traffic_signals,POINT (12.5871441 55.6836048)
55.6757205,12.5847298,6503276,,POINT (12.5847298 55.6757205)
55.6756145,12.5847893,6503278,traffic_signals,POINT (12.5847893 55.6756145)
55.675162,12.5865559,6503281,,POINT (12.5865559 55.675162)
55.647421,12.6278225,6527591,,POINT (12.6278225 55.647421)
