y,x,osmid,highway,geometry
55.6739848,12.5629057,118725,,POINT (12.5629057 55.6739848)
55.6614344,12.5577177,118751,traffic_signals,POINT (12.5577177 55.6614344)
55.6540026,12.5422312,118763,traffic_signals,POINT (12.5422312 55.6540026)
55.6539458,12.5423887,118764,traffic_signals,POINT (12.5423887 55.6539458)
55.6512826,12.539914,118779,traffic_signals,POINT (12.539914 55.6512826)
55.6509981,12.5399027,118780,traffic_signals,POINT (12.5399027 55.6509981)
55.6460132,12.5424854,118781,traffic_signals,POINT (12.5424854 55.6460132)
55.6459572,12.5422863,118782,,POINT (12.5422863 55.6459572)
55.6456929,12.5419362,118783,,POINT (12.5419362 55.6456929)
55.6453975,12.5416231,118786,,POINT (12.5416231 55.6453975)
55.6460772,12.5427315,118787,traffic_signals,POINT (12.5427315 55.6460772)
55.6436206,12.5453691,118792,traffic_signals,POINT (12.5453691 55.6436206)
55.641409,12.5510179,118795,,POINT (12.5510179 55.641409)
55.6437122,12.5455234,118806,traffic_signals,POINT (12.5455234 55.6437122)
55.6430552,12.5467438,118807,,POINT (12.5467438 55.6430552)
55.6424838,12.5480581,118808,,POINT (12.5480581 55.6424838)
55.6410961,12.5530781,118811,,POINT (12.5530781 55.6410961)
55.6420804,12.5751535,118840,,POINT (12.5751535 55.6420804)
55.6396224,12.5832697,118866,,POINT (12.5832697 55.6396224)
55.6347648,12.5813305,118868,traffic_signals,POINT (12.5813305 55.6347648)
55.6310571,12.5798675,118869,traffic_signals,POINT (12.5798675 55.6310571)
55.6211118,12.5758979,118872,,POINT (12.5758979 55.6211118)
55.6743964,12.5854426,125402,,POINT (12.5854426 55.6743964)
55.7073798,12.5914004,125420,traffic_signals,POINT (12.5914004 55.7073798)
55.7099265,12.5892471,125422,,POINT (12.5892471 55.7099265)
55.7189842,12.5830783,125424,,POINT (12.5830783 55.7189842)
55.7203775,12.5816065,125425,,POINT (12.5816065 55.7203775)
55.7211325,12.5787949,125426,,POINT (12.5787949 55.7211325)
55.7216643,12.5773485,125427,traffic_signals,POINT (12.5773485 55.7216643)
55.7230511,12.5776738,125428,bus_stop,POINT (12.5776738 55.7230511)
55.7267142,12.5763341,125429,traffic_signals,POINT (12.5763341 55.7267142)
55.728079,12.5621832,125431,,POINT (12.5621832 55.728079)
55.7277833,12.5550913,125432,traffic_signals,POINT (12.5550913 55.7277833)
55.720733,12.5437336,125436,,POINT (12.5437336 55.720733)
55.719964,12.5426878,125437,traffic_signals,POINT (12.5426878 55.719964)
55.7190442,12.5404786,125439,,POINT (12.5404786 55.7190442)
55.7133872,12.5351605,125442,,POINT (12.5351605 55.7133872)
55.7119129,12.5320924,125444,traffic_signals,POINT (12.5320924 55.7119129)
55.6981394,12.5154076,125450,,POINT (12.5154076 55.6981394)
55.6939581,12.494409,125457,traffic_signals,POINT (12.494409 55.6939581)
55.6917908,12.4491585,125464,traffic_signals,POINT (12.4491585 55.6917908)
55.6848242,12.5539412,375468,,POINT (12.5539412 55.6848242)
55.6849482,12.5534141,375469,traffic_signals,POINT (12.5534141 55.6849482)
