u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,access,tunnel,bridge,junction,service
360932,2301475342,0,309765258,5,Avenue d'Italie,primary,50,False,15.12,"LINESTRING (2.3572626 48.826185, 2.3573063 48.8260521)",,,,,,
367513,4485800353,0,5213138,,Boulevard du Montparnasse,primary,50,False,10.181,"LINESTRING (2.3242724 48.8437431, 2.3241477 48.8437837)",,,,,,
367672,363585293,0,47656016,2,Rue Barbès,secondary,50,False,47.72,"LINESTRING (2.3314258 48.817059, 2.3307827 48.8171287)",D 50,,,,,
367672,6543245106,0,47656016,2,Rue Barbès,secondary,50,False,7.544,"LINESTRING (2.3314258 48.817059, 2.3315276 48.8170485)",D 50,,,,,
367893,6900603410,0,366984752,4,Avenue Foch,secondary,50,False,13.531,"LINESTRING (2.2845692 48.8726811, 2.2847517 48.8727011)",,,,,,
367893,6900539460,0,366984752,4,Avenue Foch,secondary,50,False,14.334,"LINESTRING (2.2845692 48.8726811, 2.2843759 48.8726598)",,,,,,
368012,4804654999,0,4039423,,Rue Fabre d'Églantine,tertiary,,False,11.707,"LINESTRING (2.3957303 48.8473382, 2.3957498 48.8474427)",,,,,,
368243,1869379890,0,139093032,6,Pont de la Concorde,primary,50,False,6.99,"LINESTRING (2.3201227 48.8640673, 2.3200824 48.8640103)",,,,,,
368337,6044579466,0,4039136,,Boulevard de Courcelles,primary,50,False,8.791,"LINESTRING (2.3049796 48.879549, 2.3048654 48.8795243)",,,,,,
382029,2268057904,0,77652437,,Avenue de France,tertiary,30,False,12.604,"LINESTRING (2.3747816 48.8327329, 2.3746964 48.8328314)",,,,,,
382029,2268057902,0,241210783,,Avenue de France,tertiary,30,False,16.88,"LINESTRING (2.3747816 48.8327329, 2.3749077 48.8326058)",,,,,,
382036,84762454,0,30173875,4,Pont de Tolbiac,secondary,50,False,35.471,"LINESTRING (2.3824743 48.8337178, 2.3821039 48.8335121)",,,,,,
382045,2268057917,0,27585929,,Avenue de France,tertiary,30,False,8.611,"LINESTRING (2.3731375 48.8344579, 2.3730762 48.834524)",,,,,,
382045,2268057914,0,77652437,,Avenue de France,tertiary,30,False,11.672,"LINESTRING (2.3731375 48.8344579, 2.3732298 48.8343723)",,,,,,
382046,6293982147,0,583872427,,Avenue de France,tertiary,30,False,54.422,"LINESTRING (2.3721269 48.8355419, 2.3725179 48.8351256)",,,,,,
382046,2268057927,0,583872427,,Avenue de France,tertiary,30,False,12.009,"LINESTRING (2.3721269 48.8355419, 2.3720417 48.8356342)",,,,,,
382049,1914164530,0,583872427,,Avenue de France,tertiary,30,False,13.891,"LINESTRING (2.3714895 48.8362129, 2.3715872 48.8361058)",,,,,,
390060,6814306119,0,4039423,,Rue Fabre d'Églantine,tertiary,,False,10.822,"LINESTRING (2.3958129 48.8477807, 2.3957949 48.8476841)",,,,,,
398785,7021796591,0,37775878,,Boulevard Malesherbes,secondary,50,False,20.514,"LINESTRING (2.3198244 48.874847, 2.3196688 48.8750005)",,,,,,
398795,2712549960,0,34684074,,Rue Royale,secondary,50,False,12.096,"LINESTRING (2.3238947 48.8692559, 2.3238242 48.8691575)",,,,,,
430769,7178906541,0,41486595,4,Avenue d'Italie,primary,50,False,23.149,"LINESTRING (2.358558 48.8220775, 2.358618 48.8218731)",,,,,,
430769,168358483,0,41486595,4,Avenue d'Italie,primary,50,False,15.079,"LINESTRING (2.358558 48.8220775, 2.3585178 48.8222105)",,,,,,
430770,683073597,0,41486595,4,Avenue d'Italie,primary,50,False,15.491,"LINESTRING (2.3594606 48.819145, 2.3594198 48.8192817)",,,,,,
442242,3756424983,0,187443148,4,Boulevard Suchet,primary,50,False,15.819,"LINESTRING (2.2661315 48.8596337, 2.2662114 48.8597659)",,,,,,
442242,177267816,0,187443148,4,Boulevard Suchet,primary,50,False,22.058,"LINESTRING (2.2661315 48.8596337, 2.2660098 48.8594522)",,,,,,
442256,4192463331,0,4006651,6,Avenue Foch,secondary,50,False,27.581,"LINESTRING (2.2757619 48.8717044, 2.2761327 48.8717496)",,,,,,
470165,2313751660,0,4040032,,Avenue du Maréchal Galliéni,primary,50,False,17.399,"LINESTRING (2.3131081 48.8599548, 2.3131266 48.8601108)",,,,,,
470165,2313751646,0,249506280,,Avenue du Maréchal Galliéni,primary,50,False,16.456,"LINESTRING (2.3131081 48.8599548, 2.3130897 48.8598073)",,,,,,
644137,6123781054,0,27619127,,Boulevard Malesherbes,secondary,50,False,9.468,"LINESTRING (2.3087032 48.8840092, 2.3086214 48.8840752)",,,,,,
644137,6123781225,0,27619127,,Boulevard Malesherbes,secondary,50,False,10.788,"LINESTRING (2.3087032 48.8840092, 2.3087951 48.8839333)",,,,,,
4616525,2313751689,0,4040032,,Avenue du Maréchal Galliéni,primary,50,False,12.292,"LINESTRING (2.3134495 48.8628341, 2.3134363 48.8627239)",,,,,,
4616525,6584437797,0,4041056,,Pont Alexandre III,primary,50,False,7.677,"LINESTRING (2.3134495 48.8628341, 2.3134563 48.862903)",,,,,,
4616563,4106261264,0,249506280,,Avenue du Maréchal Galliéni,primary,50,False,13.132,"LINESTRING (2.3129666 48.85882, 2.3129813 48.8589377)",,,,,,
14956516,5728444664,0,241210783,,Avenue de France,tertiary,30,False,10.073,"LINESTRING (2.3759776 48.8314623, 2.3759122 48.831542)",,,,,,
14956518,2268057920,0,27585929,,Avenue de France,tertiary,30,False,12.933,"LINESTRING (2.3726215 48.8350144, 2.3727135 48.8349151)",,,,,,
14956518,2268057923,0,27585929,,Avenue de France,tertiary,30,False,9.474,"LINESTRING (2.3726215 48.8350144, 2.372554 48.8350871)",,,,,,
15035553,6293888047,0,30410514,,Rue de Patay,tertiary,50,False,10.727,"LINESTRING (2.3764053 48.8244042, 2.3765126 48.8243385)",,,,,,
16820924,6230713891,0,83547404,,Rue de Rennes,secondary,50,False,21.913,"LINESTRING (2.3277692 48.8478991, 2.3276144 48.8477304)",,,,,,
16820933,4485800353,0,5213138,,Boulevard du Montparnasse,primary,50,False,63.053,"LINESTRING (2.3233753 48.844035, 2.3241477 48.8437837)",,,,,,
17348292,1673534644,0,583999369,3,Boulevard Macdonald,primary,50,False,9.466,"LINESTRING (2.3857394 48.8976232, 2.3858689 48.8976232)",,,,,,
18691496,4944459141,0,4039431,2,Avenue de Madrid,tertiary,30,False,21.692,"LINESTRING (2.2603623 48.8844354, 2.2602677 48.8842505)",,,,,,
18691496,18691501,0,4039431,2,Avenue de Madrid,tertiary,30,False,10.794,"LINESTRING (2.2603623 48.8844354, 2.260408 48.8845277)",,,,,,
18691501,18691496,0,4039431,2,Avenue de Madrid,tertiary,30,False,10.794,"LINESTRING (2.260408 48.8845277, 2.2603623 48.8844354)",,,,,,
