u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel
360932,2301475347,0,309765259,4,Avenue d'Italie,primary,50,False,11.859,"LINESTRING (2.3572626 48.826185, 2.3572351 48.8262901)",,
367887,5354702362,0,27067642,,Avenue de Saint-Cloud,unclassified,50,False,25.472,"LINESTRING (2.2637168 48.8624438, 2.2633894 48.8623658)",,
368058,5895963300,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,10.005,"LINESTRING (2.4101755 48.8442874, 2.4100398 48.8442984)",,
368059,6434095550,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,19.267,"LINESTRING (2.4057273 48.8446689, 2.4054661 48.8446907)",,
368059,6434094684,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,14.955,"LINESTRING (2.4057273 48.8446689, 2.4059297 48.8446503)",,
368083,2405790855,0,232206912,,Rue Proudhon,tertiary,50,False,6.086,"LINESTRING (2.3900187 48.8370497, 2.3899413 48.8370297)",,
390202,15378826,0,438204230,,Avenue Daumesnil,secondary,30,False,106.039,"LINESTRING (2.3974499 48.8388965, 2.3987163 48.8384332)",,
390202,6539279030,0,438204230,,Avenue Daumesnil,secondary,30,False,27.697,"LINESTRING (2.3974499 48.8388965, 2.3971197 48.8390182)",,
390252,2405790852,0,4039375,,Rue Proudhon,tertiary,50,False,6.642,"LINESTRING (2.3876955 48.8364894, 2.3877824 48.8365066)",,
14950171,3700078775,0,55490386,,Boulevard de Reuilly,primary,50,False,13.536,"LINESTRING (2.3892265 48.838981, 2.3894096 48.8389982)",,
15378825,6524826114,0,438204230,,Avenue Daumesnil,secondary,30,False,18.736,"LINESTRING (2.4021719 48.8371542, 2.4019499 48.8372381)",,
15378826,268221897,0,438204230,,Avenue Daumesnil,secondary,30,False,35.25,"LINESTRING (2.3987163 48.8384332, 2.3991378 48.8382798)",,
15378826,390202,0,438204230,,Avenue Daumesnil,secondary,30,False,106.039,"LINESTRING (2.3987163 48.8384332, 2.3974499 48.8388965)",,
15378827,268221926,0,438204230,,Avenue Daumesnil,secondary,30,False,17.008,"LINESTRING (2.3994244 48.8381744, 2.3996271 48.8380996)",,
15378827,4687297180,0,438204230,,Avenue Daumesnil,secondary,30,False,17.369,"LINESTRING (2.3994244 48.8381744, 2.3992174 48.8382508)",,
15378859,6199569823,0,123487806,,Avenue de Saint-Mandé,tertiary,,False,10.835,"LINESTRING (2.4019578 48.8449876, 2.4018113 48.8450017)",,
21657548,3151038868,0,298746802,4,Avenue d'Italie,primary,50,False,18.842,"LINESTRING (2.3570888 48.8267603, 2.3571405 48.8265943)",,
21657548,21658061,0,733321547,4,Avenue d'Italie,primary,50,False,76.156,"LINESTRING (2.3570888 48.8267603, 2.3568841 48.8274318)",,
21657556,4747711463,0,733321547,4,Avenue d'Italie,primary,50,False,12.566,"LINESTRING (2.356773 48.8277963, 2.3568068 48.8276855)",,
21657556,4747711462,0,733321547,4,Avenue d'Italie,primary,50,False,31.46,"LINESTRING (2.356773 48.8277963, 2.3566885 48.8280737)",,
21658061,21657548,0,733321547,4,Avenue d'Italie,primary,50,False,76.156,"LINESTRING (2.3568841 48.8274318, 2.3570888 48.8267603)",,
21658061,6818187157,0,733321547,4,Avenue d'Italie,primary,50,False,11.439,"LINESTRING (2.3568841 48.8274318, 2.3568514 48.8275324)",,
21660038,937873395,0,470987535,8,Avenue de la Grande Armée,primary,50,False,9.45,"LINESTRING (2.2929668 48.8744338, 2.2928513 48.8744719)",,
27107552,3478671192,0,756051209,2,Rue Parmentier,tertiary,30,True,7.978,"LINESTRING (2.2398594 48.877848, 2.2399409 48.8778003)",,
27286645,6088222350,0,648493110,,Avenue de la Porte des Ternes,tertiary,50,False,24.318,"LINESTRING (2.2817888 48.8815087, 2.2814716 48.8815744)",,
27286668,2531631007,0,630455863,6,Avenue de la Grande Armée,primary,50,False,33.713,"LINESTRING (2.2852611 48.8768877, 2.2856767 48.8767565)",,
27286668,2880104589,0,630455863,6,Avenue de la Grande Armée,primary,50,False,43.078,"LINESTRING (2.2852611 48.8768877, 2.2847301 48.8770554)",,
27286670,6170745455,0,630455864,8,Avenue de la Grande Armée,primary,50,False,17.551,"LINESTRING (2.2872219 48.8762643, 2.2874379 48.8761955)",,
27286670,6170727403,0,630455864,8,Avenue de la Grande Armée,primary,50,False,15.143,"LINESTRING (2.2872219 48.8762643, 2.2870355 48.8763236)",,
27286674,6170776900,0,470987535,8,Avenue de la Grande Armée,primary,50,False,18.471,"LINESTRING (2.288992 48.875698, 2.2892207 48.8756275)",,
27286674,6773759432,0,630455864,8,Avenue de la Grande Armée,primary,50,False,1.388,"LINESTRING (2.288992 48.875698, 2.2889757 48.8757044)",,
27286709,5263805755,0,470987535,8,Avenue de la Grande Armée,primary,50,False,5.965,"LINESTRING (2.2911575 48.8750111, 2.2912309 48.8749877)",,
