y,x,osmid,highway,geometry
48.826185,2.3572626,360932,traffic_signals,POINT (2.3572626 48.826185)
48.8437431,2.3242724,367513,,POINT (2.3242724 48.8437431)
48.817059,2.3314258,367672,,POINT (2.3314258 48.817059)
48.8303768,2.2779341,367751,,POINT (2.2779341 48.8303768)
48.8726811,2.2845692,367893,traffic_signals,POINT (2.2845692 48.8726811)
48.8473382,2.3957303,368012,traffic_signals,POINT (2.3957303 48.8473382)
48.8640673,2.3201227,368243,,POINT (2.3201227 48.8640673)
48.879549,2.3049796,368337,traffic_signals,POINT (2.3049796 48.879549)
48.8327329,2.3747816,382029,,POINT (2.3747816 48.8327329)
48.8337178,2.3824743,382036,traffic_signals,POINT (2.3824743 48.8337178)
48.8344579,2.3731375,382045,traffic_signals,POINT (2.3731375 48.8344579)
48.8355419,2.3721269,382046,,POINT (2.3721269 48.8355419)
48.8362129,2.3714895,382049,traffic_signals,POINT (2.3714895 48.8362129)
48.8477807,2.3958129,390060,traffic_signals,POINT (2.3958129 48.8477807)
48.874847,2.3198244,398785,traffic_signals,POINT (2.3198244 48.874847)
48.8692559,2.3238947,398795,,POINT (2.3238947 48.8692559)
48.8220775,2.358558,430769,,POINT (2.358558 48.8220775)
48.819145,2.3594606,430770,,POINT (2.3594606 48.819145)
48.8596337,2.2661315,442242,,POINT (2.2661315 48.8596337)
48.8717044,2.2757619,442256,,POINT (2.2757619 48.8717044)
48.8599548,2.3131081,470165,traffic_signals,POINT (2.3131081 48.8599548)
48.8840092,2.3087032,644137,,POINT (2.3087032 48.8840092)
48.8628341,2.3134495,4616525,,POINT (2.3134495 48.8628341)
48.85882,2.3129666,4616563,,POINT (2.3129666 48.85882)
48.8314623,2.3759776,14956516,traffic_signals,POINT (2.3759776 48.8314623)
48.8350144,2.3726215,14956518,,POINT (2.3726215 48.8350144)
48.8244042,2.3764053,15035553,traffic_signals,POINT (2.3764053 48.8244042)
48.8478991,2.3277692,16820924,,POINT (2.3277692 48.8478991)
48.844035,2.3233753,16820933,traffic_signals,POINT (2.3233753 48.844035)
48.8976232,2.3857394,17348292,traffic_signals,POINT (2.3857394 48.8976232)
48.8844354,2.2603623,18691496,traffic_signals,POINT (2.2603623 48.8844354)
48.8845277,2.260408,18691501,,POINT (2.260408 48.8845277)
48.834607,2.3369678,21292410,traffic_signals,POINT (2.3369678 48.834607)
48.8790076,2.3148101,21292440,,POINT (2.3148101 48.8790076)
48.8871944,2.3048268,21292446,,POINT (2.3048268 48.8871944)
48.8858694,2.3064298,21292448,,POINT (2.3064298 48.8858694)
48.8852245,2.307214,21292449,traffic_signals,POINT (2.307214 48.8852245)
48.8735839,2.2927717,21660045,traffic_signals,POINT (2.2927717 48.8735839)
48.8782456,2.2989128,21661060,traffic_signals,POINT (2.2989128 48.8782456)
48.8524745,2.3387535,24983568,traffic_signals,POINT (2.3387535 48.8524745)
48.8522875,2.3387161,24983651,traffic_signals,POINT (2.3387161 48.8522875)
48.8610518,2.3132382,25199592,traffic_signals,POINT (2.3132382 48.8610518)
48.8445572,2.3245386,25256261,traffic_signals,POINT (2.3245386 48.8445572)
48.8456679,2.3256213,25256262,traffic_signals,POINT (2.3256213 48.8456679)
48.8683824,2.3232684,25273482,traffic_signals,POINT (2.3232684 48.8683824)
48.8701187,2.2278852,26972201,,POINT (2.2278852 48.8701187)
48.871805,2.2282186,26972234,,POINT (2.2282186 48.871805)
48.8738683,2.2300827,26972295,,POINT (2.2300827 48.8738683)
48.8745753,2.2307361,26972298,,POINT (2.2307361 48.8745753)
48.8732391,2.2295108,26972307,,POINT (2.2295108 48.8732391)
48.8707026,2.2293513,26972319,,POINT (2.2293513 48.8707026)
48.870172,2.2284617,26972327,,POINT (2.2284617 48.870172)
48.8753707,2.2353508,26991261,,POINT (2.2353508 48.8753707)
48.8757893,2.2318217,26991268,,POINT (2.2318217 48.8757893)
48.8752213,2.2313196,26991271,,POINT (2.2313196 48.8752213)
48.876592,2.2328004,27105274,,POINT (2.2328004 48.876592)
48.8829574,2.2397345,27106340,,POINT (2.2397345 48.8829574)
48.8846792,2.2393226,27117204,,POINT (2.2393226 48.8846792)
48.8838794,2.2446698,27117219,,POINT (2.2446698 48.8838794)
48.8852118,2.2469494,27223563,,POINT (2.2469494 48.8852118)
48.8842578,2.3026608,27233893,,POINT (2.3026608 48.8842578)
48.8838166,2.3047736,27233905,,POINT (2.3047736 48.8838166)
48.8835816,2.305801,27234045,,POINT (2.305801 48.8835816)
48.8835355,2.3060159,27234052,,POINT (2.3060159 48.8835355)
48.884436,2.301248,27234093,,POINT (2.301248 48.884436)
48.8830575,2.3083266,27234203,,POINT (2.3083266 48.8830575)
48.8828981,2.3090506,27234208,,POINT (2.3090506 48.8828981)
48.8832876,2.307265,27234213,,POINT (2.307265 48.8832876)
48.8845987,2.3079711,27234218,,POINT (2.3079711 48.8845987)
48.8867001,2.3054042,27234261,,POINT (2.3054042 48.8867001)
48.8777831,2.3163071,27235206,traffic_signals,POINT (2.3163071 48.8777831)
48.8766419,2.3176896,27235211,traffic_signals,POINT (2.3176896 48.8766419)
48.8783884,2.3155419,27235219,traffic_signals,POINT (2.3155419 48.8783884)
48.8794399,2.3142755,27235241,traffic_signals,POINT (2.3142755 48.8794399)
48.8789953,2.3024076,27235424,,POINT (2.3024076 48.8789953)
48.8788572,2.3017712,27235433,,POINT (2.3017712 48.8788572)
48.8833547,2.3094959,27252238,,POINT (2.3094959 48.8833547)
48.8818977,2.3112755,27252239,,POINT (2.3112755 48.8818977)
48.880102,2.3134724,27252609,,POINT (2.3134724 48.880102)
48.8847222,2.3078193,27362231,,POINT (2.3078193 48.8847222)
48.8735071,2.3208299,29604243,traffic_signals,POINT (2.3208299 48.8735071)
48.8192944,2.2644631,30621782,,POINT (2.2644631 48.8192944)
48.8208154,2.2601326,30624040,traffic_signals,POINT (2.2601326 48.8208154)
48.8185931,2.2528801,30624053,,POINT (2.2528801 48.8185931)
48.8260271,2.2778222,30624309,traffic_signals,POINT (2.2778222 48.8260271)
48.8254713,2.276692,30624310,,POINT (2.276692 48.8254713)
48.8289341,2.2825666,30624733,traffic_signals,POINT (2.2825666 48.8289341)
48.8282903,2.2815075,30624734,traffic_signals,POINT (2.2815075 48.8282903)
48.8302167,2.2777203,30624761,,POINT (2.2777203 48.8302167)
48.8310551,2.2788815,30624762,traffic_signals,POINT (2.2788815 48.8310551)
48.8179805,2.2508657,30677611,,POINT (2.2508657 48.8179805)
48.8182591,2.2517898,30677680,traffic_signals,POINT (2.2517898 48.8182591)
48.8239415,2.2623144,30677755,mini_roundabout,POINT (2.2623144 48.8239415)
48.8259014,2.2805052,30677966,traffic_signals,POINT (2.2805052 48.8259014)
