y,x,osmid,highway,geometry
48.826185,2.3572626,360932,traffic_signals,POINT (2.3572626 48.826185)
48.8624438,2.2637168,367887,,POINT (2.2637168 48.8624438)
48.8442874,2.4101755,368058,,POINT (2.4101755 48.8442874)
48.8446689,2.4057273,368059,traffic_signals,POINT (2.4057273 48.8446689)
48.8370497,2.3900187,368083,traffic_signals,POINT (2.3900187 48.8370497)
48.8388965,2.3974499,390202,,POINT (2.3974499 48.8388965)
48.8364894,2.3876955,390252,,POINT (2.3876955 48.8364894)
48.838981,2.3892265,14950171,traffic_signals,POINT (2.3892265 48.838981)
48.8371542,2.4021719,15378825,traffic_signals,POINT (2.4021719 48.8371542)
48.8384332,2.3987163,15378826,,POINT (2.3987163 48.8384332)
48.8381744,2.3994244,15378827,,POINT (2.3994244 48.8381744)
48.8449876,2.4019578,15378859,traffic_signals,POINT (2.4019578 48.8449876)
48.8267603,2.3570888,21657548,,POINT (2.3570888 48.8267603)
48.8277963,2.356773,21657556,,POINT (2.356773 48.8277963)
48.8274318,2.3568841,21658061,,POINT (2.3568841 48.8274318)
48.8744338,2.2929668,21660038,,POINT (2.2929668 48.8744338)
48.877848,2.2398594,27107552,,POINT (2.2398594 48.877848)
48.8815087,2.2817888,27286645,,POINT (2.2817888 48.8815087)
48.8768877,2.2852611,27286668,crossing,POINT (2.2852611 48.8768877)
48.8762643,2.2872219,27286670,traffic_signals,POINT (2.2872219 48.8762643)
48.875698,2.288992,27286674,,POINT (2.288992 48.875698)
48.8750111,2.2911575,27286709,,POINT (2.2911575 48.8750111)
48.8755778,2.2893771,27415728,,POINT (2.2893771 48.8755778)
48.8244503,2.2707396,30677810,traffic_signals,POINT (2.2707396 48.8244503)
48.8231011,2.2679486,30677963,traffic_signals,POINT (2.2679486 48.8231011)
48.8237977,2.2693722,30769868,,POINT (2.2693722 48.8237977)
48.8580481,2.4362933,49757271,,POINT (2.4362933 48.8580481)
48.8580019,2.4356928,49772784,,POINT (2.4356928 48.8580019)
48.8574403,2.4253046,49778470,,POINT (2.4253046 48.8574403)
48.8251193,2.3575888,52025142,traffic_signals,POINT (2.3575888 48.8251193)
48.8189949,2.2425515,76461939,,POINT (2.2425515 48.8189949)
