y,x,osmid,highway,geometry
52.3311643,4.915038,46204156,,POINT (4.915038 52.3311643)
52.3316147,4.9165753,46206375,,POINT (4.9165753 52.3316147)
52.3320114,4.9179161,46207770,,POINT (4.9179161 52.3320114)
52.3556228,4.8833623,46316021,,POINT (4.8833623 52.3556228)
52.3561625,4.8803935,46318363,,POINT (4.8803935 52.3561625)
52.3561661,4.8804894,46318404,,POINT (4.8804894 52.3561661)
52.3571027,4.9367983,46322645,,POINT (4.9367983 52.3571027)
52.3677125,4.8960227,46367895,,POINT (4.8960227 52.3677125)
52.3923544,4.9476013,46480845,,POINT (4.9476013 52.3923544)
52.3925572,4.9477618,46481825,,POINT (4.9477618 52.3925572)
52.3930582,4.9481584,46483961,,POINT (4.9481584 52.3930582)
52.3935062,4.9485132,46485360,,POINT (4.9485132 52.3935062)
52.3937613,4.9487259,46485778,,POINT (4.9487259 52.3937613)
52.3942106,4.9490709,46487464,,POINT (4.9490709 52.3942106)
52.4102702,4.9165953,46536614,,POINT (4.9165953 52.4102702)
52.4106934,4.9171258,46538285,,POINT (4.9171258 52.4106934)
52.4109825,4.9173642,46539138,,POINT (4.9173642 52.4109825)
52.4111806,4.9175075,46539732,,POINT (4.9175075 52.4111806)
52.4116847,4.9180919,46541072,,POINT (4.9180919 52.4116847)
52.4120202,4.9184969,46542220,,POINT (4.9184969 52.4120202)
52.4122376,4.9188973,46542997,,POINT (4.9188973 52.4122376)
52.412814,4.9196454,46544513,,POINT (4.9196454 52.412814)
52.4131703,4.9199187,46545668,,POINT (4.9199187 52.4131703)
52.4132705,4.9200248,46545986,,POINT (4.9200248 52.4132705)
52.3695468,4.9012037,70770295,,POINT (4.9012037 52.3695468)
52.3188166,4.9399477,73827254,,POINT (4.9399477 52.3188166)
52.3184441,4.9402924,73827255,,POINT (4.9402924 52.3184441)
52.3181454,4.9406304,73827715,,POINT (4.9406304 52.3181454)
52.3476518,5.0076071,75619296,,POINT (5.0076071 52.3476518)
52.347923,5.0079735,75619297,,POINT (5.0079735 52.347923)
52.3464999,5.0097732,75660446,,POINT (5.0097732 52.3464999)
52.3466162,5.0099406,75660522,,POINT (5.0099406 52.3466162)
52.3560077,4.8813615,139857711,,POINT (4.8813615 52.3560077)
52.3557671,4.8826278,152788757,,POINT (4.8826278 52.3557671)
52.3327119,4.9201886,241937068,,POINT (4.9201886 52.3327119)
52.3321937,4.9185308,241937073,,POINT (4.9185308 52.3321937)
52.3560874,4.8801606,296020295,,POINT (4.8801606 52.3560874)
52.3702599,4.864837,297095267,,POINT (4.864837 52.3702599)
52.3700852,4.8653396,297095268,,POINT (4.8653396 52.3700852)
52.3383449,4.8747154,300532286,,POINT (4.8747154 52.3383449)
52.3383498,4.8763606,300532287,,POINT (4.8763606 52.3383498)
52.373806,4.9230763,304072922,,POINT (4.9230763 52.373806)
52.3592734,4.8347498,1057884989,,POINT (4.8347498 52.3592734)
52.3695441,4.9012132,1307641930,,POINT (4.9012132 52.3695441)
52.3592748,4.8348368,1365177931,,POINT (4.8348368 52.3592748)
52.3702861,4.8647549,1425894526,,POINT (4.8647549 52.3702861)
52.3738412,4.9229134,1587591517,,POINT (4.9229134 52.3738412)
52.3561461,4.8802907,1713450911,crossing,POINT (4.8802907 52.3561461)
52.3562189,4.8645422,1782385409,,POINT (4.8645422 52.3562189)
52.3562124,4.864393,1782385415,,POINT (4.864393 52.3562124)
52.3561256,4.8645559,1782423618,,POINT (4.8645559 52.3561256)
52.3561181,4.8644063,1782423619,,POINT (4.8644063 52.3561181)
52.3383496,4.8763018,1920874190,,POINT (4.8763018 52.3383496)
52.3926335,4.9478222,1989704942,,POINT (4.9478222 52.3926335)
52.3572591,4.9367881,2218460933,,POINT (4.9367881 52.3572591)
52.3320742,4.9181278,2284860983,,POINT (4.9181278 52.3320742)
52.373835,4.9230177,3168516163,,POINT (4.9230177 52.373835)
52.338338,4.8764759,3564346137,,POINT (4.8764759 52.338338)
52.4112416,4.9175672,3753093622,,POINT (4.9175672 52.4112416)
52.411276,4.917606,3804157961,crossing,POINT (4.917606 52.411276)
52.4107526,4.9171923,3841812645,,POINT (4.9171923 52.4107526)
52.3738728,4.9230265,3957856055,,POINT (4.9230265 52.3738728)
52.3939245,4.9488696,4279179780,,POINT (4.9488696 52.3939245)
52.3935354,4.9485368,4279179799,,POINT (4.9485368 52.3935354)
52.4110826,4.9174282,4296408697,,POINT (4.9174282 52.4110826)
52.4128943,4.919728,4296408732,,POINT (4.919728 52.4128943)
52.4120762,4.9185869,4296412954,,POINT (4.9185869 52.4120762)
52.4122059,4.9188329,4296412957,,POINT (4.9188329 52.4122059)
52.4123053,4.9190164,4296412959,,POINT (4.9190164 52.4123053)
52.3935644,4.9485603,4331541935,,POINT (4.9485603 52.3935644)
52.355848,4.8822088,4416679332,,POINT (4.8822088 52.355848)
52.3947058,4.8735047,4450652656,,POINT (4.8735047 52.3947058)
52.3183219,4.9404001,4540173001,,POINT (4.9404001 52.3183219)
52.3739228,4.9230812,4573990130,,POINT (4.9230812 52.3739228)
52.3939875,4.9489223,4617949357,,POINT (4.9489223 52.3939875)
52.3937075,4.9486802,4617949358,,POINT (4.9486802 52.3937075)
52.4104798,4.9168622,4629692575,,POINT (4.9168622 52.4104798)
52.4125784,4.9193743,4629692576,,POINT (4.9193743 52.4125784)
52.3560838,4.8801542,4688508559,,POINT (4.8801542 52.3560838)
52.3676177,4.8959798,4835274328,,POINT (4.8959798 52.3676177)
52.3947161,4.873387,5333544610,,POINT (4.873387 52.3947161)
52.3556612,4.883167,5351440014,,POINT (4.883167 52.3556612)
52.3935968,4.9485899,5363765711,,POINT (4.9485899 52.3935968)
52.3383494,4.8762467,5434231387,,POINT (4.8762467 52.3383494)
52.3702408,4.8648965,6054695739,,POINT (4.8648965 52.3702408)
52.3701079,4.8652749,6054695744,,POINT (4.8652749 52.3701079)
52.4108194,4.9172496,6893751274,,POINT (4.9172496 52.4108194)
52.4111265,4.917463,6893751275,,POINT (4.917463 52.4111265)
52.4122734,4.9189661,6893751281,,POINT (4.9189661 52.4122734)
52.4121625,4.9187516,6893751282,,POINT (4.9187516 52.4121625)
52.4119489,4.9184084,6893751283,,POINT (4.9184084 52.4119489)
52.4123602,4.9190979,6893751284,,POINT (4.9190979 52.4123602)
52.413086,4.9198567,6893751285,,POINT (4.9198567 52.413086)
52.4132313,4.9199794,6893751286,,POINT (4.9199794 52.4132313)
52.331707,4.9168701,6899150782,,POINT (4.9168701 52.331707)
52.3317311,4.9169489,6899150783,,POINT (4.9169489 52.3317311)
52.3311747,4.9150692,6899164368,,POINT (4.9150692 52.3311747)
52.3182693,4.9404962,6899331491,,POINT (4.9404962 52.3182693)
52.318223,4.9405592,6899331498,,POINT (4.9405592 52.318223)
52.318201,4.9406058,7395524514,,POINT (4.9406058 52.318201)
52.3325927,4.9198072,7406331393,,POINT (4.9198072 52.3325927)
52.3701725,4.8883961,6316199,,POINT (4.8883961 52.3701725)
52.3663263,4.9261096,25645990,,POINT (4.9261096 52.3663263)
52.3659402,4.9308652,25658577,,POINT (4.9308652 52.3659402)
52.3655389,4.9307548,25658578,,POINT (4.9307548 52.3655389)
52.3645437,4.9304379,25658579,,POINT (4.9304379 52.3645437)
52.364919,4.9304676,25658580,,POINT (4.9304676 52.364919)
52.3621866,4.8824319,25750304,,POINT (4.8824319 52.3621866)
52.3624049,4.8833535,25750305,,POINT (4.8833535 52.3624049)
52.3676451,4.8990418,25752665,,POINT (4.8990418 52.3676451)
52.3679349,4.8993371,25752666,,POINT (4.8993371 52.3679349)
52.3680543,4.8992226,25752668,,POINT (4.8992226 52.3680543)
52.3737289,4.9228278,26585067,,POINT (4.9228278 52.3737289)
52.3665867,4.9045455,26586651,,POINT (4.9045455 52.3665867)
52.3699052,4.9187544,26596415,,POINT (4.9187544 52.3699052)
52.3711542,4.9153813,26596589,,POINT (4.9153813 52.3711542)
52.3707178,4.9163936,26597078,,POINT (4.9163936 52.3707178)
52.3675394,4.9257484,26603784,,POINT (4.9257484 52.3675394)
52.3676499,4.9254103,26603787,,POINT (4.9254103 52.3676499)
52.370305,4.8890932,26605707,,POINT (4.8890932 52.370305)
52.3821306,4.9143885,26608367,,POINT (4.9143885 52.3821306)
52.3821019,4.9100517,26608374,,POINT (4.9100517 52.3821019)
52.383026,4.9100553,26608386,,POINT (4.9100553 52.383026)
52.3820949,4.9086019,26608388,,POINT (4.9086019 52.3820949)
52.3829548,4.9097872,26608391,,POINT (4.9097872 52.3829548)
52.3829889,4.9129141,26608398,,POINT (4.9129141 52.3829889)
52.383064,4.9120217,26608400,,POINT (4.9120217 52.383064)
52.3831691,4.9112447,26608403,,POINT (4.9112447 52.3831691)
52.3831717,4.9107859,26608406,,POINT (4.9107859 52.3831717)
52.3830113,4.9136975,26608409,,POINT (4.9136975 52.3830113)
52.3831362,4.9145065,26608412,,POINT (4.9145065 52.3831362)
52.3832686,4.9149853,26608415,,POINT (4.9149853 52.3832686)
52.3835322,4.9156421,26608418,,POINT (4.9156421 52.3835322)
52.3847388,4.9174445,26608427,,POINT (4.9174445 52.3847388)
52.3821307,4.911916,26608430,,POINT (4.911916 52.3821307)
52.3830994,4.9103387,26632462,,POINT (4.9103387 52.3830994)
52.3832425,4.9103575,26654596,,POINT (4.9103575 52.3832425)
52.3833038,4.9112898,26654639,,POINT (4.9112898 52.3833038)
52.3831075,4.9129101,26654642,,POINT (4.9129101 52.3831075)
52.3841362,4.9152976,26654648,,POINT (4.9152976 52.3841362)
52.3838013,4.9158164,26654659,,POINT (4.9158164 52.3838013)
