u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
46204156,6899164368,0,219405929,De Heusweg,unclassified,50,False,2.415,"LINESTRING (4.915038 52.3311643, 4.9150692 52.3311747)",,,,,,,,,,,
46322645,2218460933,0,26312532,,residential,,False,17.405,"LINESTRING (4.9367983 52.3571027, 4.9367881 52.3572591)",,,,,,,,,,,
46480845,4617949358,0,"[7041547, 7041470, 7041430, 7041543]",Beemsterstraat,tertiary,,False,167.33100000000002,"LINESTRING (4.9476013 52.3923544, 4.9477618 52.3925572, 4.9478222 52.3926335, 4.9481584 52.3930582, 4.9485132 52.3935062, 4.9485368 52.3935354, 4.9485603 52.3935644, 4.9485899 52.3935968, 4.9486802 52.3937075)",,,,,,,,,,,
46485778,4617949358,0,7041470,Beemsterstraat,tertiary,,False,6.738,"LINESTRING (4.9487259 52.3937613, 4.9486802 52.3937075)",,,,,,,,,,,
46487464,4617949357,0,428813850,Beemsterstraat,tertiary,,False,26.778,"LINESTRING (4.9490709 52.3942106, 4.9489223 52.3939875)",,,,,,,,,,,
46536614,3841812645,0,7042385,Westerlengte,tertiary,50,False,67.221,"LINESTRING (4.9165953 52.4102702, 4.9168622 52.4104798, 4.9171258 52.4106934, 4.9171923 52.4107526)",,,,,,,,,,,
46545986,4296408732,0,7042385,Westerlengte,tertiary,50,False,46.58,"LINESTRING (4.9200248 52.4132705, 4.9199794 52.4132313, 4.9199187 52.4131703, 4.9198567 52.413086, 4.919728 52.4128943)",,,,,,,,,,,
73827254,73827715,0,9546409,,service,,False,88.892,"LINESTRING (4.9399477 52.3188166, 4.9402924 52.3184441, 4.9404001 52.3183219, 4.9404962 52.3182693, 4.9405592 52.318223, 4.9406058 52.318201, 4.9406304 52.3181454)",,,,,,,,,,,
73827715,73827254,0,9546409,,service,,False,88.892,"LINESTRING (4.9406304 52.3181454, 4.9406058 52.318201, 4.9405592 52.318223, 4.9404962 52.3182693, 4.9404001 52.3183219, 4.9402924 52.3184441, 4.9399477 52.3188166)",,,,,,,,,,,
73827715,73824061,0,36915382,,cycleway,,False,121.874,"LINESTRING (4.9406304 52.3181454, 4.9408264 52.3180534, 4.9409832 52.3179619, 4.941106 52.3178366, 4.9412112 52.3176971, 4.9412665 52.317519, 4.9412309 52.3174013, 4.9410991 52.3172054)",,,,,,,,,,,
