y,x,osmid,highway,ref,geometry
52.3701725,4.8883961,6316199,,,POINT (4.8883961 52.3701725)
52.3645437,4.9304379,25658579,,,POINT (4.9304379 52.3645437)
52.3641616,4.8652355,26203121,,,POINT (4.8652355 52.3641616)
52.3634245,4.872947,26206556,,,POINT (4.872947 52.3634245)
52.3610281,4.8632211,26371842,,,POINT (4.8632211 52.3610281)
52.3610943,4.8628987,26371846,,,POINT (4.8628987 52.3610943)
52.3608886,4.8627022,26371848,,,POINT (4.8627022 52.3608886)
52.3605569,4.8635246,26371852,,,POINT (4.8635246 52.3605569)
52.3604177,4.8630071,26371854,,,POINT (4.8630071 52.3604177)
52.3603604,4.8633585,26371856,,,POINT (4.8633585 52.3603604)
52.3699052,4.9187544,26596415,,,POINT (4.9187544 52.3699052)
52.383026,4.9100553,26608386,,,POINT (4.9100553 52.383026)
52.3829889,4.9129141,26608398,,,POINT (4.9129141 52.3829889)
52.3847388,4.9174445,26608427,,,POINT (4.9174445 52.3847388)
52.3821307,4.911916,26608430,,,POINT (4.911916 52.3821307)
52.3832425,4.9103575,26654596,,,POINT (4.9103575 52.3832425)
52.3832512,4.9116355,26672154,,,POINT (4.9116355 52.3832512)
52.3866316,4.9129889,26672174,,,POINT (4.9129889 52.3866316)
52.3897991,4.9068897,26867257,,,POINT (4.9068897 52.3897991)
52.355345,4.8620226,27219290,,,POINT (4.8620226 52.355345)
52.3545427,4.8566044,27219915,,,POINT (4.8566044 52.3545427)
52.3633674,4.871626,27325328,,,POINT (4.871626 52.3633674)
52.3683099,4.8671943,27471866,,,POINT (4.8671943 52.3683099)
52.368292,4.8681061,27471867,,,POINT (4.8681061 52.368292)
52.3563873,4.8546809,27561854,,,POINT (4.8546809 52.3563873)
52.3586258,4.8626376,27562531,,,POINT (4.8626376 52.3586258)
52.3611287,4.8738797,27562533,,,POINT (4.8738797 52.3611287)
52.3575656,4.8719166,27564925,,,POINT (4.8719166 52.3575656)
52.3684429,4.870043,28267855,,,POINT (4.870043 52.3684429)
52.3608922,4.9754606,30118209,,,POINT (4.9754606 52.3608922)
52.3821351,4.868432,30138487,,,POINT (4.868432 52.3821351)
52.3601681,4.9420068,30154649,,,POINT (4.9420068 52.3601681)
52.3603915,4.9436224,30154650,,,POINT (4.9436224 52.3603915)
52.3785641,4.9046626,30170519,,,POINT (4.9046626 52.3785641)
52.3531322,4.9007014,30187580,,,POINT (4.9007014 52.3531322)
52.3528228,4.9008327,30187581,,,POINT (4.9008327 52.3528228)
52.3876915,4.8875564,30225689,,,POINT (4.8875564 52.3876915)
52.3154088,4.9401555,30330711,,,POINT (4.9401555 52.3154088)
