y,x,osmid,highway,ref,geometry
52.3701725,4.8883961,6316199,,,POINT (4.8883961 52.3701725)
52.367,4.9060967,25596477,,,POINT (4.9060967 52.367)
52.3645437,4.9304379,25658579,,,POINT (4.9304379 52.3645437)
52.3641616,4.8652355,26203121,,,POINT (4.8652355 52.3641616)
52.3634245,4.872947,26206556,,,POINT (4.872947 52.3634245)
52.3610281,4.8632211,26371842,,,POINT (4.8632211 52.3610281)
52.3610943,4.8628987,26371846,,,POINT (4.8628987 52.3610943)
52.3608886,4.8627022,26371848,,,POINT (4.8627022 52.3608886)
52.3605569,4.8635246,26371852,,,POINT (4.8635246 52.3605569)
52.3604177,4.8630071,26371854,,,POINT (4.8630071 52.3604177)
52.3603604,4.8633585,26371856,,,POINT (4.8633585 52.3603604)
52.3762329,4.8784032,26585460,,,POINT (4.8784032 52.3762329)
52.3762979,4.8781251,26586128,,,POINT (4.8781251 52.3762979)
52.3629584,4.9076975,26586267,,,POINT (4.9076975 52.3629584)
52.3665867,4.9045455,26586651,,,POINT (4.9045455 52.3665867)
52.3699052,4.9187544,26596415,,,POINT (4.9187544 52.3699052)
52.370305,4.8890932,26605707,,,POINT (4.8890932 52.370305)
52.3821306,4.9143885,26608367,,,POINT (4.9143885 52.3821306)
52.383026,4.9100553,26608386,,,POINT (4.9100553 52.383026)
52.3829889,4.9129141,26608398,,,POINT (4.9129141 52.3829889)
52.3847388,4.9174445,26608427,,,POINT (4.9174445 52.3847388)
52.3821307,4.911916,26608430,,,POINT (4.911916 52.3821307)
52.3832425,4.9103575,26654596,,,POINT (4.9103575 52.3832425)
52.3831075,4.9129101,26654642,,,POINT (4.9129101 52.3831075)
52.3832512,4.9116355,26672154,,,POINT (4.9116355 52.3832512)
52.3866316,4.9129889,26672174,,,POINT (4.9129889 52.3866316)
52.3897991,4.9068897,26867257,,,POINT (4.9068897 52.3897991)
52.3865479,4.9088198,27014749,,,POINT (4.9088198 52.3865479)
52.355345,4.8620226,27219290,,,POINT (4.8620226 52.355345)
52.3545427,4.8566044,27219915,,,POINT (4.8566044 52.3545427)
52.3683099,4.8671943,27471866,,,POINT (4.8671943 52.3683099)
52.368292,4.8681061,27471867,,,POINT (4.8681061 52.368292)
52.3563873,4.8546809,27561854,,,POINT (4.8546809 52.3563873)
52.3586258,4.8626376,27562531,,,POINT (4.8626376 52.3586258)
52.3611287,4.8738797,27562533,,,POINT (4.8738797 52.3611287)
52.3575656,4.8719166,27564925,,,POINT (4.8719166 52.3575656)
52.3590055,4.882021,28265319,,,POINT (4.882021 52.3590055)
52.3684429,4.870043,28267855,,,POINT (4.870043 52.3684429)
52.3661029,4.9320157,29528794,,,POINT (4.9320157 52.3661029)
52.3661088,4.9322833,29529317,,,POINT (4.9322833 52.3661088)
52.3580893,4.9521239,30116921,,,POINT (4.9521239 52.3580893)
52.3608922,4.9754606,30118209,,,POINT (4.9754606 52.3608922)
52.377293,4.9563878,30118443,,,POINT (4.9563878 52.377293)
52.3727788,4.9574785,30118467,,,POINT (4.9574785 52.3727788)
52.350323,4.9444568,30119551,crossing,,POINT (4.9444568 52.350323)
52.3645407,4.959133,30119965,,,POINT (4.959133 52.3645407)
52.3821351,4.868432,30138487,,,POINT (4.868432 52.3821351)
52.358282,4.9476726,30153935,,,POINT (4.9476726 52.358282)
52.3601681,4.9420068,30154649,,,POINT (4.9420068 52.3601681)
52.3603915,4.9436224,30154650,,,POINT (4.9436224 52.3603915)
52.389483,4.8472573,30167777,,,POINT (4.8472573 52.389483)
52.3921053,4.8450311,30167788,crossing,,POINT (4.8450311 52.3921053)
52.3921353,4.8487062,30167794,,,POINT (4.8487062 52.3921353)
52.3934708,4.8664189,30168231,,,POINT (4.8664189 52.3934708)
52.3661334,4.9393567,30170619,,,POINT (4.9393567 52.3661334)
52.3531322,4.9007014,30187580,,,POINT (4.9007014 52.3531322)
52.3528228,4.9008327,30187581,,,POINT (4.9008327 52.3528228)
52.3403904,4.8477754,30210567,,,POINT (4.8477754 52.3403904)
52.3403448,4.847522,30210569,,,POINT (4.847522 52.3403448)
52.3393228,4.8472123,30210570,,,POINT (4.8472123 52.3393228)
52.3389738,4.8487511,30210584,,,POINT (4.8487511 52.3389738)
52.3387547,4.8485907,30210587,,,POINT (4.8485907 52.3387547)
52.3386937,4.8484936,30210617,,,POINT (4.8484936 52.3386937)
52.336191,4.9060669,30225509,,,POINT (4.9060669 52.336191)
52.3876915,4.8875564,30225689,,,POINT (4.8875564 52.3876915)
52.3880777,4.8874942,30225690,,,POINT (4.8874942 52.3880777)
52.3728977,4.8944474,30441801,,,POINT (4.8944474 52.3728977)
52.3528765,4.8640472,30731909,,,POINT (4.8640472 52.3528765)
52.3529389,4.863801,30731911,,,POINT (4.863801 52.3529389)
52.3528773,4.8636555,30731912,,,POINT (4.8636555 52.3528773)
52.3527332,4.8635605,30731914,,,POINT (4.8635605 52.3527332)
52.3337084,4.8548904,30802585,,,POINT (4.8548904 52.3337084)
