u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,ref,junction,access,bridge,service,tunnel,area
31285283,6875270339,0,4852736,True,Carrer de les Tres Torres,residential,30,5.57,"LINESTRING (2.1359583 41.3970189, 2.1358943 41.3970046)",,,,,,,,,,
31285283,2087205003,0,"[250677328, 294493312]",True,Carrer de Ganduxer,"['tertiary', 'residential']",30,169.267,"LINESTRING (2.1359583 41.3970189, 2.1355036 41.3976269, 2.135379 41.3977824, 2.1352724 41.3979157, 2.1349958 41.3982719, 2.1349435 41.398337)","['3', '2']",,,,,,,,,
31285424,324231840,0,709075302,True,Carrer de Ganduxer,tertiary,30,95.312,"LINESTRING (2.1306119 41.4039461, 2.1300311 41.4046843)",4,,,,,,,,,
31285424,6875270385,0,198597878,True,Carrer de Dalmases,residential,30,5.892,"LINESTRING (2.1306119 41.4039461, 2.1305557 41.403914)",,,,,,,,,,
31285427,2087205017,0,198597865,True,Carrer de Ganduxer,tertiary,30,64.267,"LINESTRING (2.1314597 41.4028454, 2.1311095 41.4033106, 2.1310778 41.4033473)",3,,,,,,,,,
31285427,432510237,0,198597876,True,Carrer de l'Emancipació,residential,30,123.128,"LINESTRING (2.1314597 41.4028454, 2.131532 41.4028769, 2.1327468 41.4033877)",,,,,,,,,,
31285428,31285427,0,198597865,True,Carrer de Ganduxer,tertiary,30,64.581,"LINESTRING (2.1318493 41.4023435, 2.1315164 41.4027698, 2.1314597 41.4028454)",3,,,,,,,,,
31285428,1233754587,0,168832555,True,Carrer de Ricardo Calvo,residential,30,120.142,"LINESTRING (2.1318493 41.4023435, 2.13191 41.4023789, 2.1330823 41.4029013)",,,,,,,,,,
31285430,6875270371,0,198184098,True,Carrer del Doctor Carulla,residential,30,5.414,"LINESTRING (2.1324434 41.4015732, 2.1323902 41.4015453)",,,,,,,,,,
31285430,2087205014,0,198597865,True,Carrer de Ganduxer,tertiary,30,37.533,"LINESTRING (2.1324434 41.4015732, 2.1322597 41.4018191, 2.1322235 41.4018677)",3,,,,,,,,,
31285431,6875270367,0,628669225,True,Carrer de Carrencà,residential,30,5.081,"LINESTRING (2.1329405 41.4009234, 2.1328931 41.4008947)",,,,,,,,,,
31285431,31285430,0,198597865,True,Carrer de Ganduxer,tertiary,30,83.31099999999999,"LINESTRING (2.1329405 41.4009234, 2.1324847 41.4015146, 2.1324434 41.4015732)",3,,,,,,,,,
31285432,31285431,0,198597865,True,Carrer de Ganduxer,tertiary,30,65.20700000000001,"LINESTRING (2.1333308 41.4004153, 2.1332855 41.4004725, 2.1329903 41.4008604, 2.1329405 41.4009234)",3,,,,,,,,,
31285432,977657486,0,84036381,True,Carrer d'Alacant,residential,30,122.90400000000001,"LINESTRING (2.1333308 41.4004153, 2.1333927 41.4004511, 2.1346071 41.4009666)",,,,,,,,,,
31285435,31285283,0,250677328,True,Carrer de Ganduxer,residential,30,87.428,"LINESTRING (2.1364881 41.3963405, 2.1360385 41.3969189, 2.1359583 41.3970189)",2,,,,,,,,,
31285435,1889882331,0,53357023,True,Carrer dels Valero,residential,30,77.56,"LINESTRING (2.1364881 41.3963405, 2.1366338 41.3963371, 2.1374178 41.3963442)",,,,,,,,,,
258359282,6099838346,0,571426636,False,Carrer de Sor Eulàlia d'Anzizu,residential,30,4.03,"LINESTRING (2.1095455 41.387935, 2.1095184 41.387905)",,,,,,,,,,
258359282,4858601134,0,"[830793058, 237914531]",False,Carrer del Gran Capità,residential,30,237.16199999999998,"LINESTRING (2.1095455 41.387935, 2.1096698 41.3878736, 2.1097305 41.3878436, 2.1110479 41.3871843, 2.1115308 41.3869515, 2.1119209 41.3867634)",,,,,,,,,,
258359282,356295214,0,32036700,True,Carrer de Sor Eulàlia d'Anzizu,residential,30,217.46099999999998,"LINESTRING (2.1095455 41.387935, 2.1096367 41.3880001, 2.109867 41.3881649, 2.1113629 41.3892355, 2.1114341 41.3892829)",,,,,,,,,,
258359282,6428574600,0,314417325,False,Carrer del Gran Capità,residential,30,76.864,"LINESTRING (2.1095455 41.387935, 2.1094894 41.3879792, 2.1092083 41.3882007, 2.1090324 41.38844, 2.1090145 41.3884893)",,,,,,,,,,
269376045,6663108848,0,709075300,True,Carrer de Ganduxer,tertiary,30,4.383,"LINESTRING (2.1386467 41.3930185, 2.1386343 41.3930568)",3,,,,,,,,,
269376045,269382534,0,145560650,False,Carrer de Bori i Fontestà,residential,30,146.502,"LINESTRING (2.1386467 41.3930185, 2.1396306 41.3932706, 2.1403105 41.3934403)",,,,,,,,,,
324231840,535228364,0,139259333,False,Passeig de la Bonanova,tertiary,30,60.199,"LINESTRING (2.1300311 41.4046843, 2.1294418 41.4043717)",4,,,,,,,,,
324231840,1233754567,0,237506957,False,Passeig de la Bonanova,tertiary,30,66.176,"LINESTRING (2.1300311 41.4046843, 2.1301655 41.4047639, 2.1303852 41.4048939, 2.1305443 41.4049868, 2.1306553 41.4050517)",4,,,,,,,,,
330415541,31285428,0,198597865,True,Carrer de Ganduxer,tertiary,30,28.174,"LINESTRING (2.1320152 41.4021228, 2.1319513 41.4022105, 2.1318493 41.4023435)",3,,,,,,,,,
356295211,6428574600,0,314417325,False,Carrer del Gran Capità,residential,30,5.861,"LINESTRING (2.108987 41.3885378, 2.1090145 41.3884893)",,,,,,,,,,
356295211,356295240,0,551933607,True,Carrer dels Cavallers,residential,30,101.72,"LINESTRING (2.108987 41.3885378, 2.1089187 41.3884805, 2.1087824 41.3883631, 2.1083451 41.3878369, 2.1082984 41.3877856)",,,,,,,,,,
356295211,7233634026,0,32023368,False,Carrer del Gran Capità,residential,30,83.45400000000001,"LINESTRING (2.108987 41.3885378, 2.1089259 41.388621, 2.1087322 41.3888687, 2.1084607 41.3891403, 2.1084342 41.3891612)",,,,,,,,,,
356295212,356295211,0,391402482,True,Carrer dels Cavallers,residential,30,202.581,"LINESTRING (2.1106845 41.3898406, 2.110623 41.3897934, 2.1090874 41.3886147, 2.108987 41.3885378)",2,,,,,,,,,
356295212,356295214,0,32036704,True,Carrer de Santa Caterina de Siena,residential,30,88.09100000000001,"LINESTRING (2.1106845 41.3898406, 2.1107497 41.3897986, 2.1113156 41.3893694, 2.1114341 41.3892829)",1,,,,,,,,,
356295237,6099838348,0,551933608,True,Carrer de Carreras,residential,30,2.677,"LINESTRING (2.1090535 41.3873902, 2.1090272 41.387404)",,,,,,,,,,
356295237,6099838346,0,571426636,False,Carrer de Sor Eulàlia d'Anzizu,residential,30,69.144,"LINESTRING (2.1090535 41.3873902, 2.1091329 41.3874782, 2.1095 41.3878846, 2.1095184 41.387905)",,,,,,,,,,
356295237,356295235,0,32036701,False,Carrer de Sor Eulàlia d'Anzizu,residential,30,153.46200000000002,"LINESTRING (2.1090535 41.3873902, 2.1089744 41.3873006, 2.1085665 41.386839, 2.1081254 41.3863347, 2.1080409 41.386238)",,,,,,,,,,
356295240,6099838351,0,31823236,False,Carrer dels Cavallers,residential,30,4.414,"LINESTRING (2.1082984 41.3877856, 2.1082692 41.3877525)",,,,,,,,,,
356295240,359236400,0,31823239,True,Carrer de Carreras,residential,30,101.00999999999999,"LINESTRING (2.1082984 41.3877856, 2.1082532 41.3878079, 2.1082249 41.387822, 2.1074124 41.3882467, 2.1073034 41.3883032)",,,,,,,,,,
359236300,7233631925,0,311539591,False,Avinguda de Pedralbes,tertiary,30,2.815,"LINESTRING (2.1149467 41.3931898, 2.1149703 41.3931717)",2,,,,,,,,,
