u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,width,est_width,access,bridge,tunnel,area,service
31285283,6875270310,0,250677328,True,2,Carrer de Ganduxer,residential,30,77.519,"LINESTRING (2.1359583 41.3970189, 2.1355036 41.3976269)",,,,,,,
31285424,324231840,0,709075302,True,4,Carrer de Ganduxer,tertiary,30,95.312,"LINESTRING (2.1306119 41.4039461, 2.1300311 41.4046843)",,,,,,,
31285427,6875265479,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,59.405,"LINESTRING (2.1314597 41.4028454, 2.1311095 41.4033106)",,,,,,,
31285428,6875265484,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,54.936,"LINESTRING (2.1318493 41.4023435, 2.1315164 41.4027698)",,,,,,,
31285430,6875270291,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,31.343,"LINESTRING (2.1324434 41.4015732, 2.1322597 41.4018191)",,,,,,,
31285431,6875270293,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,75.94,"LINESTRING (2.1329405 41.4009234, 2.1324847 41.4015146)",,,,,,,
31285432,6875270299,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,7.398,"LINESTRING (2.1333308 41.4004153, 2.1332855 41.4004725)",,,,,,,
31285435,6875270317,0,250677328,True,2,Carrer de Ganduxer,residential,30,74.451,"LINESTRING (2.1364881 41.3963405, 2.1360385 41.3969189)",,,,,,,
31285436,1375272376,0,237515356,True,2,Carrer de Ganduxer,residential,30,6.731,"LINESTRING (2.1373298 41.3952773, 2.1372901 41.39533)",,,,,,,
258359282,7234883330,0,830793058,False,,Carrer del Gran Capità,residential,30,12.415,"LINESTRING (2.1095455 41.387935, 2.1096698 41.3878736)",,,,,,,
258359282,6099838346,0,571426636,False,,Carrer de Sor Eulàlia d'Anzizu,residential,30,4.03,"LINESTRING (2.1095455 41.387935, 2.1095184 41.387905)",,,,,,,
269376045,6663108848,0,709075300,True,3,Carrer de Ganduxer,tertiary,30,4.383,"LINESTRING (2.1386467 41.3930185, 2.1386343 41.3930568)",,,,,,,
330415541,6875270286,0,198597865,True,3,Carrer de Ganduxer,tertiary,30,11.113,"LINESTRING (2.1320152 41.4021228, 2.1319513 41.4022105)",,,,,,,
356295210,5676284315,0,551933607,True,,Carrer dels Cavallers,residential,30,68.952,"LINESTRING (2.1087824 41.3883631, 2.1083451 41.3878369)",,,,,,,
356295211,5676284316,0,551933607,True,,Carrer dels Cavallers,residential,30,8.548,"LINESTRING (2.108987 41.3885378, 2.1089187 41.3884805)",,,,,,,
356295212,7233634003,0,391402482,True,2,Carrer dels Cavallers,residential,30,7.339,"LINESTRING (2.1106845 41.3898406, 2.110623 41.3897934)",,,,,,,
356295237,6099838348,0,551933608,True,,Carrer de Carreras,residential,30,2.677,"LINESTRING (2.1090535 41.3873902, 2.1090272 41.387404)",,,,,,,
356295237,7234883339,0,571426636,False,,Carrer de Sor Eulàlia d'Anzizu,residential,30,11.816,"LINESTRING (2.1090535 41.3873902, 2.1091329 41.3874782)",,,,,,,
356295240,7233634062,0,31823239,True,,Carrer de Carreras,residential,30,4.513,"LINESTRING (2.1082984 41.3877856, 2.1082532 41.3878079)",,,,,,,
356295240,6099838351,0,31823236,False,,Carrer dels Cavallers,residential,30,4.414,"LINESTRING (2.1082984 41.3877856, 2.1082692 41.3877525)",,,,,,,
359236300,5491831747,0,542503075,True,,Carrer dels Cavallers,residential,30,9.271,"LINESTRING (2.1149467 41.3931898, 2.1148694 41.3931299)",,,,,,,
