y,x,osmid,highway,ref,geometry
41.3970189,2.1359583,31285283,,,POINT (2.1359583 41.3970189)
41.4039461,2.1306119,31285424,,,POINT (2.1306119 41.4039461)
41.4028454,2.1314597,31285427,,,POINT (2.1314597 41.4028454)
41.4023435,2.1318493,31285428,,,POINT (2.1318493 41.4023435)
41.4015732,2.1324434,31285430,,,POINT (2.1324434 41.4015732)
41.4009234,2.1329405,31285431,,,POINT (2.1329405 41.4009234)
41.4004153,2.1333308,31285432,,,POINT (2.1333308 41.4004153)
41.3963405,2.1364881,31285435,,,POINT (2.1364881 41.3963405)
41.3952773,2.1373298,31285436,,,POINT (2.1373298 41.3952773)
41.3811372,2.1151214,251543436,,,POINT (2.1151214 41.3811372)
41.387935,2.1095455,258359282,,,POINT (2.1095455 41.387935)
41.3930185,2.1386467,269376045,traffic_signals,,POINT (2.1386467 41.3930185)
41.4046843,2.1300311,324231840,,,POINT (2.1300311 41.4046843)
41.4021228,2.1320152,330415541,,,POINT (2.1320152 41.4021228)
41.3883631,2.1087824,356295210,,,POINT (2.1087824 41.3883631)
41.3885378,2.108987,356295211,,,POINT (2.108987 41.3885378)
41.3898406,2.1106845,356295212,,,POINT (2.1106845 41.3898406)
41.3873902,2.1090535,356295237,,,POINT (2.1090535 41.3873902)
41.3877856,2.1082984,356295240,,,POINT (2.1082984 41.3877856)
41.3931898,2.1149467,359236300,,,POINT (2.1149467 41.3931898)
41.3916892,2.1130269,359236301,,,POINT (2.1130269 41.3916892)
41.390738,2.1118185,359236302,,,POINT (2.1118185 41.390738)
41.3883032,2.1073034,359236400,,,POINT (2.1073034 41.3883032)
41.38421,2.1120691,390227138,,,POINT (2.1120691 41.38421)
41.3829246,2.1126766,416523685,,,POINT (2.1126766 41.3829246)
41.3942503,2.1380898,667387213,,,POINT (2.1380898 41.3942503)
41.3947029,2.1377897,667387220,,,POINT (2.1377897 41.3947029)
41.3826984,2.112814,687897101,,,POINT (2.112814 41.3826984)
41.38237,2.1131309,687897104,,,POINT (2.1131309 41.38237)
41.3828614,2.1127094,772096081,,,POINT (2.1127094 41.3828614)
41.3871843,2.1110479,1009204152,crossing,,POINT (2.1110479 41.3871843)
41.3977824,2.135379,1116623921,traffic_signals,,POINT (2.135379 41.3977824)
41.3920613,2.139077,1375168061,,,POINT (2.139077 41.3920613)
41.39533,2.1372901,1375272376,,,POINT (2.1372901 41.39533)
41.3822418,2.1426005,1382873658,,,POINT (2.1426005 41.3822418)
41.3812599,2.1425208,1382873677,,,POINT (2.1425208 41.3812599)
41.3917263,2.1392247,1479390211,,,POINT (2.1392247 41.3917263)
41.3968872,2.1267943,1584415322,,,POINT (2.1267943 41.3968872)
41.3998413,2.1337705,1809696889,,,POINT (2.1337705 41.3998413)
41.3947412,2.1377541,1840720976,,,POINT (2.1377541 41.3947412)
41.3947711,2.1377201,1840721013,,,POINT (2.1377201 41.3947711)
41.3941421,2.1381494,1840721015,crossing,,POINT (2.1381494 41.3941421)
41.3940496,2.1381829,1840721020,,,POINT (2.1381829 41.3940496)
41.3950928,2.1374737,1889882329,crossing,,POINT (2.1374737 41.3950928)
41.3811549,2.1150349,1930257077,,,POINT (2.1150349 41.3811549)
41.3817542,2.1139434,1930257078,,,POINT (2.1139434 41.3817542)
41.3819537,2.1136284,1930257080,,,POINT (2.1136284 41.3819537)
41.3814358,2.1144338,1930257735,,,POINT (2.1144338 41.3814358)
41.3878436,2.1097305,1982918816,,,POINT (2.1097305 41.3878436)
41.398337,2.1349435,2087205003,,,POINT (2.1349435 41.398337)
41.3985868,2.1347531,2087205004,,,POINT (2.1347531 41.3985868)
41.3993037,2.1342038,2087205005,,,POINT (2.1342038 41.3993037)
41.3994065,2.1341248,2087205007,,,POINT (2.1341248 41.3994065)
41.3999198,2.1337185,2087205008,,,POINT (2.1337185 41.3999198)
41.4018677,2.1322235,2087205014,,,POINT (2.1322235 41.4018677)
41.4033473,2.1310778,2087205017,,,POINT (2.1310778 41.4033473)
41.381202,2.1425172,2885316208,,,POINT (2.1425172 41.381202)
41.3969322,2.1267341,2984715797,,,POINT (2.1267341 41.3969322)
41.3811965,2.1149118,3120219698,,,POINT (2.1149118 41.3811965)
41.3810978,2.1425083,3134765936,,,POINT (2.1425083 41.3810978)
41.4039074,2.1306457,4041877215,crossing,,POINT (2.1306457 41.4039074)
41.3867634,2.1119209,4858601134,,,POINT (2.1119209 41.3867634)
41.3956989,2.1369829,5332938918,,,POINT (2.1369829 41.3956989)
41.3931299,2.1148694,5491831747,crossing,,POINT (2.1148694 41.3931299)
41.3908102,2.1119103,5491831750,crossing,,POINT (2.1119103 41.3908102)
41.390672,2.1117339,5491831752,crossing,,POINT (2.1117339 41.390672)
41.3917218,2.113069,5491831754,crossing,,POINT (2.113069 41.3917218)
41.3916528,2.1129813,5491831756,crossing,,POINT (2.1129813 41.3916528)
41.3882467,2.1074124,5676284310,crossing,,POINT (2.1074124 41.3882467)
41.3878369,2.1083451,5676284315,crossing,,POINT (2.1083451 41.3878369)
41.3884805,2.1089187,5676284316,crossing,,POINT (2.1089187 41.3884805)
