u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,access,bridge,tunnel,area,service
356295237,6099838348,0,551933608,True,Carrer de Carreras,residential,30,2.677,"LINESTRING (2.1090535 41.3873902, 2.1090272 41.387404)",,,,,,,,
356295237,6099838346,0,571426636,False,Carrer de Sor Eulàlia d'Anzizu,residential,30,69.144,"LINESTRING (2.1090535 41.3873902, 2.1091329 41.3874782, 2.1095 41.3878846, 2.1095184 41.387905)",,,,,,,,
356295240,6099838351,0,31823236,False,Carrer dels Cavallers,residential,30,4.414,"LINESTRING (2.1082984 41.3877856, 2.1082692 41.3877525)",,,,,,,,
356295240,359236400,0,31823239,True,Carrer de Carreras,residential,30,101.00999999999999,"LINESTRING (2.1082984 41.3877856, 2.1082532 41.3878079, 2.1082249 41.387822, 2.1074124 41.3882467, 2.1073034 41.3883032)",,,,,,,,
359236300,356295240,0,"[549755457, 391402482, 542503075, 551933607]",True,Carrer dels Cavallers,residential,30,819.19,"LINESTRING (2.1149467 41.3931898, 2.1148694 41.3931299, 2.113069 41.3917218, 2.1130269 41.3916892, 2.1129813 41.3916528, 2.1119103 41.3908102, 2.1118185 41.390738, 2.1117339 41.390672, 2.1107389 41.3898834, 2.1106845 41.3898406, 2.110623 41.3897934, 2.1090874 41.3886147, 2.108987 41.3885378, 2.1089187 41.3884805, 2.1087824 41.3883631, 2.1083451 41.3878369, 2.1082984 41.3877856)","['1', '2']",,,,,,,
390227138,6314709890,0,23247531,True,Avinguda del Doctor Marañón,tertiary,30,19.441,"LINESTRING (2.1120691 41.38421, 2.1121454 41.3840448)",2,,,,,,,
667387213,667387220,0,24793408,True,Plaça de Sant Gregori Taumaturg,tertiary,30,113.6,"LINESTRING (2.1380898 41.3942503, 2.138164 41.3942619, 2.1382518 41.3942841, 2.1383401 41.3943281, 2.1384025 41.3943937, 2.1384372 41.3944844, 2.1384133 41.3945627, 2.1383676 41.3946315, 2.138295 41.3946853, 2.138213 41.3947241, 2.1381221 41.3947428, 2.1380298 41.3947555, 2.1379045 41.39475, 2.1378309 41.3947272, 2.1377897 41.3947029)",,,,,,,,
667387220,6875234514,0,237515356,True,Carrer de Ganduxer,residential,30,7.093,"LINESTRING (2.1377897 41.3947029, 2.1377541 41.3947412, 2.137739 41.394754)",2,,,,,,,
667387220,667387213,0,709075301,True,Plaça de Sant Gregori Taumaturg,tertiary,30,75.46,"LINESTRING (2.1377897 41.3947029, 2.1377364 41.3946534, 2.1376931 41.3945932, 2.1376787 41.39452, 2.1376797 41.3944708, 2.1376984 41.3944088, 2.1377347 41.3943519, 2.1378098 41.3943026, 2.1378995 41.3942621, 2.1379586 41.3942571, 2.138023 41.3942518, 2.1380898 41.3942503)",,,,,,,,
1479390211,6663108848,0,709075300,True,Carrer de Ganduxer,tertiary,30,155.94500000000002,"LINESTRING (2.1392247 41.3917263, 2.1391903 41.3918008, 2.139077 41.3920613, 2.1386467 41.3930185, 2.1386343 41.3930568)",3,,,,,,,
1584415322,2984715797,0,144967397,True,Carrer del Cardenal de Sentmenat,residential,30,7.089,"LINESTRING (2.1267943 41.3968872, 2.1267341 41.3969322)",,,,,,,,
2087205007,324231840,0,"[198597865, 709075302]",True,Carrer de Ganduxer,tertiary,30,679.069,"LINESTRING (2.1341248 41.3994065, 2.1340754 41.3994622, 2.1337705 41.3998413, 2.1337185 41.3999198, 2.1336604 41.3999894, 2.1333773 41.4003503, 2.1333308 41.4004153, 2.1332855 41.4004725, 2.1329903 41.4008604, 2.1329405 41.4009234, 2.1324847 41.4015146, 2.1324434 41.4015732, 2.1322597 41.4018191, 2.1322235 41.4018677, 2.1320778 41.4020407, 2.1320152 41.4021228, 2.1319513 41.4022105, 2.1318493 41.4023435, 2.1315164 41.4027698, 2.1314597 41.4028454, 2.1311095 41.4033106, 2.1310778 41.4033473, 2.1306457 41.4039074, 2.1306119 41.4039461, 2.1300311 41.4046843)","['4', '3']",,,,,,,
2984715797,2984715791,0,308378767,False,Carrer dels Vergós,cycleway,,84.97800000000001,"LINESTRING (2.1267341 41.3969322, 2.1263694 41.3966973, 2.1260997 41.3965237, 2.126073 41.3965099, 2.1260514 41.3964994, 2.1260291 41.3964946, 2.1260056 41.3964913, 2.1259282 41.39649)",2,2.5,,,,,,
2984715797,2984715804,0,"[294849097, 308378767]",False,Carrer dels Vergós,cycleway,,103.537,"LINESTRING (2.1267341 41.3969322, 2.1268879 41.3970515, 2.1274505 41.397422, 2.1274652 41.3974297, 2.1274868 41.3974359, 2.1275058 41.3974378, 2.1275243 41.3974363, 2.1275389 41.3974301, 2.1275822 41.397393, 2.1276191 41.3973606, 2.1276281 41.3973582, 2.1276366 41.3973599, 2.1276629 41.3973771)",2,2.5,,,,,,
3134765936,1382873658,0,129169444,True,Avinguda de Josep Tarradellas,secondary,50,127.44,"LINESTRING (2.1425083 41.3810978, 2.1425172 41.381202, 2.1425208 41.3812599, 2.1425783 41.3819685, 2.1425831 41.3820273, 2.1426005 41.3822418)",,,,,,,,
