y,x,osmid,highway,geometry
41.3811372,2.1151214,251543436,,POINT (2.1151214 41.3811372)
41.4046843,2.1300311,324231840,,POINT (2.1300311 41.4046843)
41.3873902,2.1090535,356295237,,POINT (2.1090535 41.3873902)
41.3877856,2.1082984,356295240,,POINT (2.1082984 41.3877856)
41.3931898,2.1149467,359236300,,POINT (2.1149467 41.3931898)
41.3883032,2.1073034,359236400,,POINT (2.1073034 41.3883032)
41.38421,2.1120691,390227138,,POINT (2.1120691 41.38421)
41.3942503,2.1380898,667387213,,POINT (2.1380898 41.3942503)
41.3947029,2.1377897,667387220,,POINT (2.1377897 41.3947029)
41.3822418,2.1426005,1382873658,,POINT (2.1426005 41.3822418)
41.3917263,2.1392247,1479390211,,POINT (2.1392247 41.3917263)
41.3968872,2.1267943,1584415322,,POINT (2.1267943 41.3968872)
41.3993037,2.1342038,2087205005,,POINT (2.1342038 41.3993037)
41.3994065,2.1341248,2087205007,,POINT (2.1341248 41.3994065)
41.3969322,2.1267341,2984715797,,POINT (2.1267341 41.3969322)
41.3810978,2.1425083,3134765936,,POINT (2.1425083 41.3810978)
41.3867634,2.1119209,4858601134,,POINT (2.1119209 41.3867634)
41.387404,2.1090272,6099838348,,POINT (2.1090272 41.387404)
41.3840448,2.1121454,6314709890,,POINT (2.1121454 41.3840448)
41.3930568,2.1386343,6663108848,,POINT (2.1386343 41.3930568)
41.394754,2.137739,6875234514,,POINT (2.137739 41.394754)
41.3941708,2.1381412,6875234533,,POINT (2.1381412 41.3941708)
41.4328978,2.178242,1017920189,,POINT (2.178242 41.4328978)
41.4325951,2.18035,1017920262,,POINT (2.18035 41.4325951)
41.4050504,2.1962143,30297525,,POINT (2.1962143 41.4050504)
41.3699007,2.1373896,30307943,,POINT (2.1373896 41.3699007)
41.4116256,2.1843373,30555978,,POINT (2.1843373 41.4116256)
41.3752526,2.1431294,30914370,,POINT (2.1431294 41.3752526)
41.3828332,2.1677238,100455136,crossing,POINT (2.1677238 41.3828332)
41.3846025,2.1651621,112409078,,POINT (2.1651621 41.3846025)
41.4300601,2.1835712,319605451,,POINT (2.1835712 41.4300601)
41.4229591,2.1871509,319605459,,POINT (2.1871509 41.4229591)
41.3951788,2.1867897,319608444,,POINT (2.1867897 41.3951788)
41.3951766,2.186952,319610579,,POINT (2.186952 41.3951766)
41.4300712,2.1828719,319613054,,POINT (2.1828719 41.4300712)
41.3951731,2.175172,320188219,,POINT (2.175172 41.3951731)
41.3945989,2.1759177,320188311,,POINT (2.1759177 41.3945989)
41.3945767,2.175131,320188325,,POINT (2.175131 41.3945767)
41.4268043,2.1457172,392351222,,POINT (2.1457172 41.4268043)
41.412774,2.142978,412453196,,POINT (2.142978 41.412774)
41.4303635,2.183364,420892551,,POINT (2.183364 41.4303635)
41.4303589,2.182666,420892556,,POINT (2.182666 41.4303589)
41.4423248,2.1778347,425635739,,POINT (2.1778347 41.4423248)
41.3988975,2.1702446,426887391,,POINT (2.1702446 41.3988975)
41.4044521,2.1745033,426890143,,POINT (2.1745033 41.4044521)
41.3991354,2.1704323,430535717,,POINT (2.1704323 41.3991354)
41.3993696,2.1703171,430535718,,POINT (2.1703171 41.3993696)
41.396755,2.1599593,430535735,,POINT (2.1599593 41.396755)
41.3964877,2.1589105,430535758,,POINT (2.1589105 41.3964877)
41.3926886,2.1436343,430537469,,POINT (2.1436343 41.3926886)
41.3837992,2.1081532,430541715,,POINT (2.1081532 41.3837992)
41.3849089,2.1044527,430541719,,POINT (2.1044527 41.3849089)
41.4220281,2.1889317,434437196,,POINT (2.1889317 41.4220281)
41.3824028,2.1833662,506131368,,POINT (2.1833662 41.3824028)
41.3825594,2.1830435,506131370,,POINT (2.1830435 41.3825594)
41.385534,2.1856023,506131382,,POINT (2.1856023 41.385534)
41.4031477,2.19595,506223370,,POINT (2.19595 41.4031477)
41.3937597,2.1814747,506236255,crossing,POINT (2.1814747 41.3937597)
41.3941868,2.181593,506236256,,POINT (2.181593 41.3941868)
41.3962631,2.1822032,506236259,crossing,POINT (2.1822032 41.3962631)
41.3750033,2.1781426,559952850,,POINT (2.1781426 41.3750033)
41.3753503,2.1350707,573484569,,POINT (2.1350707 41.3753503)
41.4245917,2.1475861,616356147,crossing,POINT (2.1475861 41.4245917)
41.4247048,2.1447455,629328402,crossing,POINT (2.1447455 41.4247048)
41.3808053,2.1866486,683286015,,POINT (2.1866486 41.3808053)
41.3839727,2.1515962,750591203,,POINT (2.1515962 41.3839727)
41.3809416,2.1818384,856511178,,POINT (2.1818384 41.3809416)
41.3763174,2.178105,856511238,,POINT (2.178105 41.3763174)
41.3762684,2.17822,856511282,,POINT (2.17822 41.3762684)
41.3808902,2.1819579,856511351,,POINT (2.1819579 41.3808902)
41.3900546,2.2006618,856525830,,POINT (2.2006618 41.3900546)
41.3984897,2.2094876,870495153,,POINT (2.2094876 41.3984897)
41.3735394,2.1892819,876398071,,POINT (2.1892819 41.3735394)
41.3675965,2.1875811,885307953,,POINT (2.1875811 41.3675965)
41.414933,2.1398704,904641358,traffic_signals,POINT (2.1398704 41.414933)
41.3812449,2.1824535,911778642,,POINT (2.1824535 41.3812449)
41.3881967,2.1505709,951467903,traffic_signals,POINT (2.1505709 41.3881967)
41.3710006,2.1397409,1088518829,,POINT (2.1397409 41.3710006)
41.3992984,2.1693728,1126848552,crossing,POINT (2.1693728 41.3992984)
