y,x,osmid,highway,ref,geometry
41.3970189,2.1359583,31285283,,,POINT (2.1359583 41.3970189)
41.4039461,2.1306119,31285424,,,POINT (2.1306119 41.4039461)
41.4028454,2.1314597,31285427,,,POINT (2.1314597 41.4028454)
41.4023435,2.1318493,31285428,,,POINT (2.1318493 41.4023435)
41.4015732,2.1324434,31285430,,,POINT (2.1324434 41.4015732)
41.4009234,2.1329405,31285431,,,POINT (2.1329405 41.4009234)
41.4004153,2.1333308,31285432,,,POINT (2.1333308 41.4004153)
41.3963405,2.1364881,31285435,,,POINT (2.1364881 41.3963405)
41.3811372,2.1151214,251543436,,,POINT (2.1151214 41.3811372)
41.387935,2.1095455,258359282,,,POINT (2.1095455 41.387935)
41.3930185,2.1386467,269376045,traffic_signals,,POINT (2.1386467 41.3930185)
41.4046843,2.1300311,324231840,,,POINT (2.1300311 41.4046843)
41.4021228,2.1320152,330415541,,,POINT (2.1320152 41.4021228)
41.3885378,2.108987,356295211,,,POINT (2.108987 41.3885378)
41.3898406,2.1106845,356295212,,,POINT (2.1106845 41.3898406)
41.3873902,2.1090535,356295237,,,POINT (2.1090535 41.3873902)
41.3877856,2.1082984,356295240,,,POINT (2.1082984 41.3877856)
41.3931898,2.1149467,359236300,,,POINT (2.1149467 41.3931898)
41.3916892,2.1130269,359236301,,,POINT (2.1130269 41.3916892)
41.390738,2.1118185,359236302,,,POINT (2.1118185 41.390738)
41.3883032,2.1073034,359236400,,,POINT (2.1073034 41.3883032)
41.38421,2.1120691,390227138,,,POINT (2.1120691 41.38421)
41.3829246,2.1126766,416523685,,,POINT (2.1126766 41.3829246)
41.3942503,2.1380898,667387213,,,POINT (2.1380898 41.3942503)
41.3947029,2.1377897,667387220,,,POINT (2.1377897 41.3947029)
41.3977824,2.135379,1116623921,traffic_signals,,POINT (2.135379 41.3977824)
41.3920613,2.139077,1375168061,,,POINT (2.139077 41.3920613)
41.39533,2.1372901,1375272376,,,POINT (2.1372901 41.39533)
41.3822418,2.1426005,1382873658,,,POINT (2.1426005 41.3822418)
41.3917263,2.1392247,1479390211,,,POINT (2.1392247 41.3917263)
41.3968872,2.1267943,1584415322,,,POINT (2.1267943 41.3968872)
41.3950928,2.1374737,1889882329,crossing,,POINT (2.1374737 41.3950928)
41.398337,2.1349435,2087205003,,,POINT (2.1349435 41.398337)
41.3985868,2.1347531,2087205004,,,POINT (2.1347531 41.3985868)
41.3993037,2.1342038,2087205005,,,POINT (2.1342038 41.3993037)
41.3994065,2.1341248,2087205007,,,POINT (2.1341248 41.3994065)
41.3999198,2.1337185,2087205008,,,POINT (2.1337185 41.3999198)
41.4018677,2.1322235,2087205014,,,POINT (2.1322235 41.4018677)
41.4033473,2.1310778,2087205017,,,POINT (2.1310778 41.4033473)
41.3969322,2.1267341,2984715797,,,POINT (2.1267341 41.3969322)
41.3810978,2.1425083,3134765936,,,POINT (2.1425083 41.3810978)
41.3867634,2.1119209,4858601134,,,POINT (2.1119209 41.3867634)
41.3930785,2.1386237,6099715638,,,POINT (2.1386237 41.3930785)
41.387404,2.1090272,6099838348,,,POINT (2.1090272 41.387404)
41.3840448,2.1121454,6314709890,,,POINT (2.1121454 41.3840448)
41.3930568,2.1386343,6663108848,,,POINT (2.1386343 41.3930568)
41.394754,2.137739,6875234514,,,POINT (2.137739 41.394754)
41.3941708,2.1381412,6875234533,,,POINT (2.1381412 41.3941708)
41.4328978,2.178242,1017920189,,,POINT (2.178242 41.4328978)
41.4325914,2.179213,1017920203,,,POINT (2.179213 41.4325914)
41.4325951,2.18035,1017920262,,,POINT (2.18035 41.4325951)
41.39466,2.1848868,30242969,crossing,,POINT (2.1848868 41.39466)
41.3882222,2.1640852,30243051,,,POINT (2.1640852 41.3882222)
41.4122456,2.1871144,30243444,,,POINT (2.1871144 41.4122456)
41.4050504,2.1962143,30297525,,,POINT (2.1962143 41.4050504)
41.3699007,2.1373896,30307943,,,POINT (2.1373896 41.3699007)
41.4116256,2.1843373,30555978,,,POINT (2.1843373 41.4116256)
41.3752526,2.1431294,30914370,,,POINT (2.1431294 41.3752526)
41.3743033,2.1757439,96435653,traffic_signals,,POINT (2.1757439 41.3743033)
41.3828332,2.1677238,100455136,crossing,,POINT (2.1677238 41.3828332)
41.3846025,2.1651621,112409078,,,POINT (2.1651621 41.3846025)
41.3951406,2.1339645,126781138,crossing,,POINT (2.1339645 41.3951406)
41.3951914,2.1751261,126812856,traffic_signals,,POINT (2.1751261 41.3951914)
41.383212,2.1839495,190971705,crossing,,POINT (2.1839495 41.383212)
41.3915546,2.1799576,219029424,crossing,,POINT (2.1799576 41.3915546)
41.4082599,2.2165846,243343389,,,POINT (2.2165846 41.4082599)
41.3846054,2.1530703,253707107,,,POINT (2.1530703 41.3846054)
41.3738577,2.1769503,253769125,traffic_signals,,POINT (2.1769503 41.3738577)
41.4446623,2.188544,316877765,,,POINT (2.188544 41.4446623)
41.4300601,2.1835712,319605451,,,POINT (2.1835712 41.4300601)
41.4229591,2.1871509,319605459,,,POINT (2.1871509 41.4229591)
41.4174347,2.1871444,319605462,,,POINT (2.1871444 41.4174347)
