y,x,osmid,highway,ref,geometry
41.3703647,2.1875931,21638843,,,POINT (2.1875931 41.3703647)
41.3701819,2.1877006,21638844,,,POINT (2.1877006 41.3701819)
41.3700945,2.1877583,21638845,,,POINT (2.1877583 41.3700945)
41.3742718,2.1884591,21638850,,,POINT (2.1884591 41.3742718)
41.3737952,2.188195,21638851,,,POINT (2.188195 41.3737952)
41.3728904,2.1879812,21638852,,,POINT (2.1879812 41.3728904)
41.372491,2.1879268,21638853,,,POINT (2.1879268 41.372491)
41.3745392,2.1886058,21638854,,,POINT (2.1886058 41.3745392)
41.3749826,2.1888306,21638855,,,POINT (2.1888306 41.3749826)
41.3757183,2.1888485,21638857,,,POINT (2.1888485 41.3757183)
41.3760184,2.1888065,21638858,,,POINT (2.1888065 41.3760184)
41.3763469,2.1886934,21638859,,,POINT (2.1886934 41.3763469)
41.3770509,2.1884162,21638860,,,POINT (2.1884162 41.3770509)
41.3780115,2.1880402,21638861,,,POINT (2.1880402 41.3780115)
41.3767732,2.1906313,21638865,,,POINT (2.1906313 41.3767732)
41.3776981,2.1912102,21638866,,,POINT (2.1912102 41.3776981)
41.3782089,2.1889331,21638867,,,POINT (2.1889331 41.3782089)
41.3784394,2.1899711,21638868,,,POINT (2.1899711 41.3784394)
41.3785912,2.1906605,21638869,,,POINT (2.1906605 41.3785912)
41.378877,2.1919415,21638871,,,POINT (2.1919415 41.378877)
41.3787967,2.1877377,21638872,,,POINT (2.1877377 41.3787967)
41.3796047,2.1874151,21638873,,,POINT (2.1874151 41.3796047)
41.3803712,2.1871189,21638874,,,POINT (2.1871189 41.3803712)
41.3791096,2.1891434,21638877,,,POINT (2.1891434 41.3791096)
41.3792994,2.1900047,21638878,,,POINT (2.1900047 41.3792994)
41.3797943,2.1922395,21638880,,,POINT (2.1922395 41.3797943)
41.3805427,2.1878203,21638882,,,POINT (2.1878203 41.3805427)
41.3806365,2.1869977,21638883,,,POINT (2.1869977 41.3806365)
41.3808683,2.1867731,21638884,,,POINT (2.1867731 41.3808683)
41.3810792,2.1863797,21638885,,,POINT (2.1863797 41.3810792)
41.3812783,2.1859628,21638886,,,POINT (2.1859628 41.3812783)
41.3816385,2.1852552,21638887,,,POINT (2.1852552 41.3816385)
41.3818202,2.1848516,21638888,,,POINT (2.1848516 41.3818202)
41.3821491,2.1841315,21638889,,,POINT (2.1841315 41.3821491)
41.3822514,2.1839212,21638890,,,POINT (2.1839212 41.3822514)
41.3826029,2.1831923,21638891,,,POINT (2.1831923 41.3826029)
41.3756741,2.1773772,21638922,,,POINT (2.1773772 41.3756741)
41.3267704,2.1208284,21639538,,,POINT (2.1208284 41.3267704)
41.376646,2.17715,26057102,,,POINT (2.17715 41.376646)
41.3787783,2.1755371,26057108,,,POINT (2.1755371 41.3787783)
41.3791379,2.1751633,26057110,,,POINT (2.1751633 41.3791379)
41.3857494,2.1701343,26057116,,,POINT (2.1701343 41.3857494)
41.3873921,2.1685651,26057125,,,POINT (2.1685651 41.3873921)
41.3830492,2.1717979,26057128,,,POINT (2.1717979 41.3830492)
41.389593,2.16837,26057312,,,POINT (2.16837 41.389593)
41.3899292,2.1753258,26057342,,,POINT (2.1753258 41.3899292)
41.3892283,2.1762283,26057345,,,POINT (2.1762283 41.3892283)
41.3889575,2.1758863,26057346,,,POINT (2.1758863 41.3889575)
41.3838266,2.1608564,26057388,,,POINT (2.1608564 41.3838266)
41.3829819,2.1597282,26198823,,,POINT (2.1597282 41.3829819)
41.3812781,2.1574616,26198828,,,POINT (2.1574616 41.3812781)
41.3804334,2.1563247,26198831,,,POINT (2.1563247 41.3804334)
41.3795841,2.1551756,26198833,,,POINT (2.1551756 41.3795841)
41.3782059,2.1733456,30227025,,,POINT (2.1733456 41.3782059)
