u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,lanes,ref,width,est_width,bridge,tunnel,junction,area,service
21638845,885308258,0,554707785,Passeig de Joan de Borbó,residential,30,False,28.718,"LINESTRING (2.1877583 41.3700945, 2.1877072 41.3698391)",,,,,,,,,,
21638845,885308314,0,554707788,Passeig de Joan de Borbó,residential,30,False,30.832,"LINESTRING (2.1877583 41.3700945, 2.187936 41.3698514)",,,,,,,,,,
21638845,21638855,0,"[543357596, 4079500, 423227070]",Passeig de Joan de Borbó,residential,30,False,560.853,"LINESTRING (2.1877583 41.3700945, 2.1877006 41.3701819, 2.1876541 41.3702517, 2.1876269 41.3702846, 2.1875931 41.3703647, 2.1876124 41.3705394, 2.1876664 41.3708748, 2.1877969 41.3716845, 2.1879222 41.3724622, 2.1879268 41.372491, 2.1879373 41.3725507, 2.1879812 41.3728904, 2.188041 41.3733653, 2.1881072 41.3736028, 2.1881591 41.3737165, 2.188195 41.3737952, 2.1883635 41.3741086, 2.1884591 41.3742718, 2.1886058 41.3745392, 2.1886594 41.3746409, 2.1887166 41.3747483, 2.1887771 41.3748643, 2.1888306 41.3749826)",,,,,,,,,,
21638855,21638845,0,"[4079500, 543357596, 423227070]",Passeig de Joan de Borbó,residential,30,False,560.853,"LINESTRING (2.1888306 41.3749826, 2.1887771 41.3748643, 2.1887166 41.3747483, 2.1886594 41.3746409, 2.1886058 41.3745392, 2.1884591 41.3742718, 2.1883635 41.3741086, 2.188195 41.3737952, 2.1881591 41.3737165, 2.1881072 41.3736028, 2.188041 41.3733653, 2.1879812 41.3728904, 2.1879373 41.3725507, 2.1879268 41.372491, 2.1879222 41.3724622, 2.1877969 41.3716845, 2.1876664 41.3708748, 2.1876124 41.3705394, 2.1875931 41.3703647, 2.1876269 41.3702846, 2.1876541 41.3702517, 2.1877006 41.3701819, 2.1877583 41.3700945)",,,,,,,,,,
21638855,3643929105,0,423227071,Passeig de Joan de Borbó,residential,30,True,50.715,"LINESTRING (2.1888306 41.3749826, 2.1889091 41.3751508, 2.1889186 41.3752037, 2.1889408 41.3753277, 2.1889551 41.3754265)",,,,,,,,,,
21638859,3643929119,0,291731096,Passeig de Joan de Borbó,residential,30,True,92.486,"LINESTRING (2.1886934 41.3763469, 2.1887301 41.3762433, 2.1888065 41.3760184, 2.1888485 41.3757183, 2.1888483 41.3756307, 2.1888503 41.3755276)",,,,,,,,,,
21638861,3643971040,0,531217040,Passeig de Joan de Borbó,tertiary,30,False,10.367,"LINESTRING (2.1880402 41.3780115, 2.1881594 41.3780378)",,,,,,,,,,
21638861,21638859,0,291731095,Passeig de Joan de Borbó,residential,30,True,192.95100000000002,"LINESTRING (2.1880402 41.3780115, 2.188084 41.3778993, 2.1882117 41.3775725, 2.1884162 41.3770509, 2.1884477 41.3769708, 2.1886934 41.3763469)",,,,,,,,,,
21638865,30343650,0,4079505,Carrer del Judici,living_street,20,True,15.466,"LINESTRING (2.1906313 41.3767732, 2.1904533 41.3767344)",,,,,,,,,,
21638867,1636238503,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.734,"LINESTRING (2.1889331 41.3782089, 2.1887523 41.3781687)",,,,,,,,,,
21638867,1403082237,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.417,"LINESTRING (2.1889331 41.3782089, 2.1890049 41.3782248, 2.1891103 41.3782482)",,,,,,,,,,
21638867,30343414,0,4755002,Carrer de Sant Miquel,living_street,20,True,91.15,"LINESTRING (2.1889331 41.3782089, 2.1889092 41.3782688, 2.1886282 41.378973, 2.1886198 41.3789942)",,,,,,,,,,
21638868,30343649,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.061,"LINESTRING (2.1899711 41.3784394, 2.189798 41.378401)",,,,,,,,,,
21638868,30343654,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.096,"LINESTRING (2.1899711 41.3784394, 2.1900604 41.3784592, 2.1901446 41.3784779)",,,,,,,,,,
21638869,30343672,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.662,"LINESTRING (2.1906605 41.3785912, 2.19084 41.3786324)",,,,,,,,,,
21638869,242318729,0,4079509,Carrer de Pepe Rubianes,tertiary,30,False,15.027,"LINESTRING (2.1906605 41.3785912, 2.1904874 41.3785539)",,,,,,,,,,
21638869,30343583,0,4809729,Carrer de Grau i Torras,living_street,20,True,90.33999999999999,"LINESTRING (2.1906605 41.3785912, 2.1906385 41.3786447, 2.1903496 41.3793458, 2.1903407 41.3793674)",,,,,,,,,,
21638877,30343573,0,243093273,Carrer de Sevilla,living_street,20,True,59.260999999999996,"LINESTRING (2.1891434 41.3791096, 2.189134 41.3791327, 2.1889519 41.3795821, 2.1889368 41.3796195)",,,,,,,,,,
21638877,1636238506,0,359739471,Carrer de Sant Carles,living_street,20,True,14.722000000000001,"LINESTRING (2.1891434 41.3791096, 2.1892629 41.3791359, 2.1893127 41.3791469)",,,,,,,,,,
21638878,30343394,0,32014575,Carrer de l'Atlàntida,living_street,20,True,93.782,"LINESTRING (2.1900047 41.3792994, 2.189979 41.3793646, 2.1898228 41.3797609, 2.1897182 41.3800264, 2.189686 41.3801082)",,,,,,,,,,
21638878,242317164,0,359739471,Carrer de Sant Carles,living_street,20,True,14.608,"LINESTRING (2.1900047 41.3792994, 2.1900545 41.3793104, 2.1901727 41.3793364)",,,,,,,,,,
21638882,30343282,0,359739473,Carrer de la Maquinista,living_street,20,True,14.608,"LINESTRING (2.1878203 41.3805427, 2.1879877 41.3805812)",,,,,,,,,,
21638882,1636238518,0,146246750,Carrer del Rector Bruguera,living_street,30,True,57.647999999999996,"LINESTRING (2.1878203 41.3805427, 2.1880053 41.380074, 2.1880165 41.3800456)",yes,,,,,,,,,
21638889,190987748,0,"[309051296, 22588050, 542948170]",Pla de Palau,tertiary,30,True,74.699,"LINESTRING (2.1841315 41.3821491, 2.1841632 41.3821342, 2.1842305 41.3821042, 2.1843299 41.3820599, 2.1847551 41.3818611, 2.1847756 41.3818515, 2.1848516 41.3818202, 2.1848958 41.3817994)",,,,,,,,,,
21638889,242284800,0,22588067,Pla de Palau,tertiary,30,True,69.176,"LINESTRING (2.1841315 41.3821491, 2.1843526 41.3824237, 2.1843771 41.3824542, 2.1845602 41.3826816)",,,,,,,,,,
21638891,533663031,0,18512190,Passeig d'Isabel II,tertiary,30,True,160.817,"LINESTRING (2.1831923 41.3826029, 2.1831275 41.3825238, 2.1827271 41.3820447, 2.1825489 41.3818315, 2.1822997 41.3815367, 2.182166 41.3813787)",,,,,,,,,,
21638891,190971702,0,"[293505299, 514849724]",Pla de Palau,tertiary,30,True,18.786,"LINESTRING (2.1831923 41.3826029, 2.1832755 41.3825599, 2.1833747 41.3825039)",,,,,,,,,,
21638917,190985498,0,"[18510288, 474464196]",Passeig de Colom,secondary,50,True,683.6270000000001,"LINESTRING (2.1781634 41.375966, 2.1782224 41.3761351, 2.1782622 41.3761844, 2.178302 41.3762337, 2.1784312 41.376387, 2.1786745 41.3766946, 2.1793397 41.3775149, 2.1797186 41.3779841, 2.1806915 41.3791887, 2.1808965 41.3794433, 2.1819958 41.3808084, 2.1820341 41.3808559, 2.1820672 41.3809045, 2.182106 41.380957, 2.1822399 41.3811434, 2.1823228 41.3812543)",,2,,,,,,,,
21638917,190981834,0,"[245672928, 246639229]",Plaça del Portal de la Pau,secondary,50,True,35.938,"LINESTRING (2.1781634 41.375966, 2.178129 41.3760533, 2.1780416 41.376127, 2.1779321 41.3761398, 2.1778658 41.3761475)",,,,,,,,,,
21638920,21638917,0,"[4079520, 514858416]",Plaça del Portal de la Pau,secondary,50,True,81.23800000000001,"LINESTRING (2.177604 41.3754663, 2.1776772 41.3754706, 2.1777529 41.3754825, 2.1778298 41.3755064, 2.177911 41.3755437, 2.178071 41.3756645, 2.1781208 41.3757409, 2.178141 41.3758023, 2.1781592 41.3758804, 2.1781634 41.375966)",,,,,,,,,,
21638921,4149862949,0,"[8380803, 309051278]",Passeig de Josep Carner,secondary,50,True,169.572,"LINESTRING (2.1774317 41.3755381, 2.177321 41.3753806, 2.1772996 41.3753539, 2.1768393 41.3747772, 2.1767255 41.3746353, 2.1766622 41.374556, 2.1765576 41.374469, 2.1764157 41.3744189, 2.1762153 41.37441)",,4,,,,,,,,
21638921,21638920,0,245672926,Plaça del Portal de la Pau,secondary,50,True,16.553,"LINESTRING (2.1774317 41.3755381, 2.1775125 41.3754947, 2.177523 41.3754914, 2.177604 41.3754663)",,,,,,,,,,
21638922,21638921,0,246638753,Plaça del Portal de la Pau,secondary,50,True,15.791,"LINESTRING (2.1773772 41.3756741, 2.1774317 41.3755381)",,,,,,,,,,
21639537,4471971376,0,42125872,Carrer Número 6,secondary,50,False,51.737,"LINESTRING (2.1194798 41.324466, 2.1189116 41.3246515)",,,,,,,,,,
21639537,4471971372,0,42125872,Carrer Número 6,secondary,50,False,44.876,"LINESTRING (2.1194798 41.324466, 2.1199772 41.3243132)",,,,,,,,,,
21639537,4471971381,0,450275259,Carrer de la Lletra F,secondary_link,50,False,55.655,"LINESTRING (2.1194798 41.324466, 2.119748 41.3249242)",,,,,,,,,,
26057050,178518958,0,"[545747633, 22650940]",Gran Via de les Corts Catalanes,primary,50,True,111.04299999999999,"LINESTRING (2.1486432 41.3748032, 2.1485087 41.3746965, 2.1484583 41.3746566, 2.1481493 41.374403, 2.1479642 41.3742484, 2.1479396 41.3742278, 2.1477349 41.3740736)",,5,C-31,17,,,,,,
26057050,168319807,0,185961550,Plaça d'Espanya,primary,50,True,34.263000000000005,"LINESTRING (2.1486432 41.3748032, 2.1487735 41.374699, 2.1488787 41.3746555, 2.1489664 41.3746193)",,7,,28,,,,,,
26057051,26057050,0,245672924,Plaça d'Espanya,primary,50,True,12.303,"LINESTRING (2.1485807 41.3749032, 2.1486066 41.3748541, 2.1486432 41.3748032)",,7,,28,,,,,,
26057074,30252078,0,18506598,Passeig de Josep Carner,secondary,50,True,141.56300000000002,"LINESTRING (2.1756688 41.3734497, 2.1756247 41.3733326, 2.175578 41.3732385, 2.1755682 41.3732266, 2.1748425 41.3723441)",,2,,,,,,,,
26057074,4549272595,0,294871190,Plaça de les Drassanes,secondary,50,True,26.915999999999997,"LINESTRING (2.1756688 41.3734497, 2.1757192 41.373419, 2.1758023 41.3733769, 2.1759366 41.373344, 2.1759514 41.3733392)",,4,,14,,,,,,
26057076,190958411,0,18508391,Ronda del Port,secondary_link,50,True,21.206,"LINESTRING (2.1763779 41.3733306, 2.1764392 41.3732823, 2.1765014 41.3732409, 2.1765501 41.3731913)",,3,,,,,,,,
26057076,1401592240,0,294871189,Plaça de les Drassanes,secondary,50,True,32.16,"LINESTRING (2.1763779 41.3733306, 2.1764641 41.3733568, 2.176521 41.3733761, 2.1767182 41.3734649)",,4,,14,,,,,,
26057079,1009334387,0,"[245672930, 498952131, 294871188]",Plaça de les Drassanes,secondary,50,True,70.077,"LINESTRING (2.1768966 41.3736732, 2.1769503 41.3738577, 2.1769531 41.3739289, 2.1769437 41.3739539, 2.1768617 41.374096, 2.1766893 41.3742342)",,"['5', '3']",,9,,,,,,
26057079,1401592250,0,450445885,Moll de Barcelona,secondary_link,50,True,53.327999999999996,"LINESTRING (2.1768966 41.3736732, 2.1769831 41.3737366, 2.1770823 41.3737586, 2.1771212 41.373753, 2.1772824 41.3736939, 2.1773533 41.373668, 2.1774158 41.3736295, 2.1774437 41.3736124)",,3,,,,,,,,
26057116,216350784,0,"[20355312, 545937949, 140001534]",Plaça de Catalunya,secondary,50,True,174.01100000000002,"LINESTRING (2.1701343 41.3857494, 2.1702358 41.3858532, 2.1703254 41.3859449, 2.1708651 41.3865666, 2.1711076 41.3868421, 2.1711329 41.3868709, 2.1711846 41.3869032, 2.1713775 41.3869833)",,"['5', '6', '1']",,12,,,,,,
26057116,1126640615,0,"[126304603, 603022119]",Plaça de Catalunya,secondary,50,True,115.733,"LINESTRING (2.1701343 41.3857494, 2.1700047 41.3859007, 2.1699762 41.3859339, 2.169774 41.3861586, 2.1694773 41.386515, 2.1694546 41.3865427, 2.1694354 41.3865651, 2.1693842 41.3866248)",,,,,,,,,,
26057125,26057304,0,"[542956869, 542956870, 542956871, 20475367, 542956873, 257568507]",Ronda de la Universitat,secondary,50,True,211.04100000000003,"LINESTRING (2.1685651 41.3873921, 2.1682516 41.387276, 2.1681885 41.3872519, 2.1679342 41.3871582, 2.1678839 41.3871431, 2.1673875 41.3869606, 2.1672819 41.3869216, 2.1670202 41.3868266, 2.1669825 41.3868121, 2.166819 41.3867511, 2.1665268 41.3866454, 2.1664343 41.3866146, 2.1662922 41.3865594)",,,,,,,,,,
26057131,30254228,0,20042722,Plaça d'Urquinaona,secondary,50,True,51.81,"LINESTRING (2.1723496 41.3888075, 2.1726442 41.3885804, 2.1726646 41.388564, 2.1727801 41.3884717)",,5,,,,,,,,
26057131,5001160871,0,519375847,Ronda de Sant Pere,secondary,50,True,31.497999999999998,"LINESTRING (2.1723496 41.3888075, 2.1722279 41.3887618, 2.1720119 41.3886808)",,5,,,,,,,,
26057304,2929997863,0,68506253,Ronda de la Universitat,secondary,50,True,71.72399999999999,"LINESTRING (2.1662922 41.3865594, 2.1661056 41.3864831, 2.165526 41.386267)",,5,,14,,,,,,
26057304,104461036,0,68506265,Carrer de Balmes,secondary,50,True,107.801,"LINESTRING (2.1662922 41.3865594, 2.166447 41.386415, 2.1668521 41.3861306, 2.167006 41.3860167, 2.1671666 41.3859023, 2.1672066 41.3858765)",,,,,,,,,,
26057312,3229689808,0,545718428,Gran Via de les Corts Catalanes,primary,50,True,16.705,"LINESTRING (2.16837 41.389593, 2.1685565 41.3896477)",,5,C-31,14,,,,,,
26057312,269369082,0,304693491,Passeig de Gràcia,tertiary,30,True,11.137,"LINESTRING (2.16837 41.389593, 2.1682991 41.3896644, 2.1682902 41.3896733)",,4,,8,,,,,,
26057341,26057131,0,248565672,Ronda de Sant Pere,secondary,50,True,131.124,"LINESTRING (2.1737489 41.3893436, 2.1733848 41.3892088, 2.1733595 41.3891984, 2.1727246 41.3889384, 2.1726476 41.3889115, 2.1724028 41.3888261, 2.1723496 41.3888075)",,4,,,,,,,,
26057341,30242757,0,"[34608163, 584532229]",Plaça d'Urquinaona,secondary_link,50,True,47.696,"LINESTRING (2.1737489 41.3893436, 2.1736292 41.389452, 2.173626 41.3894558, 2.1736195 41.3894645, 2.1735855 41.3895, 2.1734065 41.3896867)",,4,,,,,,,,
26057342,26057345,0,237910182,Carrer del Bruc,residential,30,True,108.376,"LINESTRING (2.1753258 41.3899292, 2.1754936 41.3898042, 2.1755209 41.389783, 2.1757693 41.3895897, 2.1760078 41.3894078, 2.1760282 41.3893913, 2.1762283 41.3892283)",,,,,,,,,,
26057342,26057341,0,"[546133684, 511211614]",Ronda de Sant Pere,secondary,50,True,146.791,"LINESTRING (2.1753258 41.3899292, 2.1751258 41.3898555, 2.1750298 41.3898189, 2.1746196 41.3896622, 2.1739949 41.3894375, 2.1739462 41.3894189, 2.1737489 41.3893436)",,4,,,,,,,,
