y,x,osmid,highway,ref,geometry
52.4974197,13.4646667,20246107,,,POINT (13.4646667 52.4974197)
52.4973316,13.4320549,21306263,,,POINT (13.4320549 52.4973316)
52.4964949,13.4345735,21306264,,,POINT (13.4345735 52.4964949)
52.4957264,13.4368165,21306265,,,POINT (13.4368165 52.4957264)
52.4944131,13.44068,21306267,,,POINT (13.44068 52.4944131)
52.3783337,13.6453192,21432472,,,POINT (13.6453192 52.3783337)
52.5220504,13.348557,21677318,,,POINT (13.348557 52.5220504)
52.5212725,13.3480464,21677321,,,POINT (13.3480464 52.5212725)
52.4338191,13.18941,26280873,,,POINT (13.18941 52.4338191)
52.4221672,13.180732,26280890,,,POINT (13.180732 52.4221672)
52.434619,13.1909271,26523806,,,POINT (13.1909271 52.434619)
52.5296078,13.3146402,26682565,,,POINT (13.3146402 52.5296078)
52.5202082,13.347274,26703856,,,POINT (13.347274 52.5202082)
52.5069045,13.3483489,26704698,,,POINT (13.3483489 52.5069045)
52.5061878,13.3500483,26704700,,,POINT (13.3500483 52.5061878)
52.5054474,13.3517535,26704702,,,POINT (13.3517535 52.5054474)
52.3973159,13.3836383,26722828,,,POINT (13.3836383 52.3973159)
52.5255387,13.3563782,26725689,,,POINT (13.3563782 52.5255387)
52.5257869,13.3159979,26736367,,,POINT (13.3159979 52.5257869)
52.4811837,13.2958637,26738437,,,POINT (13.2958637 52.4811837)
52.4698313,13.3050063,26738731,,,POINT (13.3050063 52.4698313)
52.4707101,13.3038265,26738736,,,POINT (13.3038265 52.4707101)
52.544643,13.3702908,26749711,,,POINT (13.3702908 52.544643)
52.5138016,13.1969088,26759827,,,POINT (13.1969088 52.5138016)
52.5224064,13.1880437,26759912,,,POINT (13.1880437 52.5224064)
52.5039101,13.3527573,26822978,,,POINT (13.3527573 52.5039101)
52.50306,13.3613358,26822995,,,POINT (13.3613358 52.50306)
52.5029499,13.3530284,26866506,,,POINT (13.3530284 52.5029499)
52.5371637,13.3655925,26872069,,,POINT (13.3655925 52.5371637)
52.4086258,13.5340939,26965667,,,POINT (13.5340939 52.4086258)
52.409934,13.5348935,26965672,,,POINT (13.5348935 52.409934)
52.4093341,13.5345269,26965673,,,POINT (13.5345269 52.4093341)
52.4067163,13.5329194,26965756,,,POINT (13.5329194 52.4067163)
52.4067153,13.524935,26965816,,,POINT (13.524935 52.4067153)
52.5578402,13.3450047,27177944,,,POINT (13.3450047 52.5578402)
52.5585992,13.3436943,27177946,,,POINT (13.3436943 52.5585992)
52.5570175,13.346477,27177950,,,POINT (13.346477 52.5570175)
52.5561823,13.3479838,27177951,,,POINT (13.3479838 52.5561823)
52.5550679,13.3499316,27177970,,,POINT (13.3499316 52.5550679)
52.553312,13.353022,27177971,,,POINT (13.353022 52.553312)
52.4220635,13.2637859,27252639,,,POINT (13.2637859 52.4220635)
52.4543427,13.1443244,27324702,,,POINT (13.1443244 52.4543427)
52.4463174,13.3654606,27374304,,,POINT (13.3654606 52.4463174)
52.4460799,13.3663655,27374305,,,POINT (13.3663655 52.4460799)
52.3895914,13.6253853,27378688,,,POINT (13.6253853 52.3895914)
52.4324283,13.2797126,27452691,,,POINT (13.2797126 52.4324283)
52.6171842,13.3018175,27466355,,,POINT (13.3018175 52.6171842)
52.6146995,13.2994064,27466360,traffic_signals,,POINT (13.2994064 52.6146995)
52.6105782,13.2955103,27466362,traffic_signals,,POINT (13.2955103 52.6105782)
52.6129806,13.297742,27466364,,,POINT (13.297742 52.6129806)
52.609549,13.2945568,27466365,,,POINT (13.2945568 52.609549)
52.6086462,13.2933863,27466373,,,POINT (13.2933863 52.6086462)
52.6077944,13.2922036,27466392,,,POINT (13.2922036 52.6077944)
52.6060456,13.2915413,27466398,,,POINT (13.2915413 52.6060456)
52.428483,13.327657,27492408,,,POINT (13.327657 52.428483)
52.4992802,13.4303947,27555224,,,POINT (13.4303947 52.4992802)
52.4882698,13.3641078,27786078,,,POINT (13.3641078 52.4882698)
52.5267104,13.3156813,28246383,,,POINT (13.3156813 52.5267104)
52.5757522,13.2774857,28320486,,,POINT (13.2774857 52.5757522)
52.5756798,13.2821106,28806368,,,POINT (13.2821106 52.5756798)
52.5755173,13.2914774,28806879,,,POINT (13.2914774 52.5755173)
52.4994863,13.4320158,29276773,,,POINT (13.4320158 52.4994863)
52.5696061,13.4112244,29421414,,,POINT (13.4112244 52.5696061)
52.5578265,13.4443439,29554331,,,POINT (13.4443439 52.5578265)
52.5250002,13.3458937,29696346,,,POINT (13.3458937 52.5250002)
52.3976376,13.3851492,29739310,,,POINT (13.3851492 52.3976376)
52.569712,13.4366165,29778604,,,POINT (13.4366165 52.569712)
52.5563525,13.4409734,29778850,,,POINT (13.4409734 52.5563525)
52.5609987,13.4571166,29778886,,,POINT (13.4571166 52.5609987)
52.5598006,13.4488763,29778887,,,POINT (13.4488763 52.5598006)
52.495075,13.4448947,29787483,,,POINT (13.4448947 52.495075)
52.5105266,13.5008577,29805984,,,POINT (13.5008577 52.5105266)
52.6072126,13.3206898,30437209,,,POINT (13.3206898 52.6072126)
52.5671844,13.5151331,30689845,,,POINT (13.5151331 52.5671844)
52.5758501,13.2713035,30776316,,,POINT (13.2713035 52.5758501)
52.575801,13.2738528,30776317,,,POINT (13.2738528 52.575801)
52.6074449,13.3219361,30818228,,,POINT (13.3219361 52.6074449)
52.6158434,13.3412287,30818857,,,POINT (13.3412287 52.6158434)
52.6115771,13.2964372,30835091,,,POINT (13.2964372 52.6115771)
52.6156575,13.3008414,30835101,,,POINT (13.3008414 52.6156575)
52.4532656,13.1435456,31178993,,,POINT (13.1435456 52.4532656)
52.4764532,13.4549059,31260873,,,POINT (13.4549059 52.4764532)
52.46859,13.4673175,31357353,,,POINT (13.4673175 52.46859)
