u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width
20246107,369734787,0,"[60815650, 665689267]",3,Alt-Stralau,tertiary,50,False,75.662,"LINESTRING (13.4646667 52.4974197, 13.4648816 52.4973433, 13.4649861 52.4973061, 13.4650292 52.4972909, 13.4654043 52.4971657, 13.4656348 52.4970799)",,,,,,,,,
21306263,1908841211,0,"[13232333, 172219133, 180442271]",,Wiener Straße,"['tertiary', 'residential']",30,False,769.6289999999999,"LINESTRING (13.4320549 52.4973316, 13.4321655 52.4972968, 13.4322818 52.4972584, 13.4340384 52.4966784, 13.4344332 52.4965428, 13.4345735 52.4964949, 13.4347063 52.4964466, 13.4351731 52.4962875, 13.4366868 52.495771, 13.4368165 52.4957264, 13.4369687 52.4956766, 13.4388016 52.4950517, 13.4389412 52.4950044, 13.44068 52.4944131, 13.441448 52.4941498, 13.441852 52.4940114, 13.4419876 52.4939649)",,,,,,,,,
21306263,318549154,0,28969879,,Wiener Straße,tertiary,50,False,52.288,"LINESTRING (13.4320549 52.4973316, 13.4319013 52.4973912, 13.4318147 52.4974239, 13.4317281 52.4974566, 13.4314012 52.4975821)",,,,,,,,,
21306263,21306262,0,39839081,,Ohlauer Straße,residential,30,False,230.848,"LINESTRING (13.4320549 52.4973316, 13.4319855 52.4972553, 13.4319385 52.4972095, 13.4314565 52.4967392, 13.4306089 52.4958751, 13.4302949 52.4955536)",,,,,,,,,
21306263,1693891550,0,"[157169576, 241112997, 25964886]",,,"['cycleway', 'path']",,False,803.9769999999999,"LINESTRING (13.4320549 52.4973316, 13.432151 52.4973805, 13.432254 52.4973964, 13.4323368 52.4974, 13.4331978 52.4971115, 13.4334105 52.4970713, 13.4341736 52.4968134, 13.4343272 52.4967579, 13.4345416 52.4966848, 13.4348199 52.4965817, 13.4352444 52.4964104, 13.4366666 52.49593, 13.4367255 52.4959207, 13.4368006 52.4959167, 13.4368478 52.4959117, 13.436904 52.4958972, 13.4370385 52.4958515, 13.4370725 52.4958305, 13.4370916 52.4958135, 13.437128 52.495785, 13.4371678 52.4957646, 13.4389584 52.4951524, 13.4390534 52.4951201, 13.4407883 52.4945295, 13.4422557 52.4940255, 13.4424028 52.4939741)",2,,,,,,,,
21432472,1267994355,0,"[182599168, 355736433]","['3', '2']",Godbersenstraße,secondary,"['50', '30']",False,122.861,"LINESTRING (13.6453192 52.3783337, 13.6452116 52.3782817, 13.6451637 52.3782629, 13.6450784 52.3782258, 13.6449691 52.3782097, 13.6444453 52.3781923, 13.64437 52.3781904, 13.644334 52.3781895, 13.6443085 52.3781886, 13.6440631 52.3781776, 13.643924 52.3781714, 13.6437478 52.3781266, 13.6436173 52.3780693)",,,,,,,,,
21432472,1820622388,0,70532936,1,Adlergestell,tertiary,50,True,22.587,"LINESTRING (13.6453192 52.3783337, 13.6454341 52.3782474, 13.6455616 52.3781985)",,,,,,,,,
21677318,5176792072,0,"[756776166, 257430316, 257430317, 257430449, 257430450, 4822325, 24261687, 260589818, 260589819]","['1', '2']","['Kirchstraße', 'Moabiter-Brücke', 'Bartningallee']",tertiary,30,False,678.2259999999998,"LINESTRING (13.348557 52.5220504, 13.3485289 52.5219847, 13.3485167 52.5219526, 13.3484615 52.5218798, 13.3481294 52.5213997, 13.3480464 52.5212725, 13.3475415 52.5205603, 13.3475214 52.520532, 13.3473184 52.5202656, 13.347274 52.5202082, 13.3471521 52.5200437, 13.3470059 52.5198521, 13.34689 52.5196944, 13.3468499 52.5196486, 13.3468422 52.5196395, 13.3467635 52.51952, 13.3467312 52.519482, 13.3465878 52.5193403, 13.3463908 52.5192393, 13.3461011 52.5191611, 13.3460498 52.5191538, 13.3460149 52.5191505, 13.3458182 52.5191318, 13.3453206 52.5190935, 13.344747 52.5190565, 13.3443768 52.5190283, 13.3442137 52.519017, 13.3439953 52.5189946, 13.3437793 52.51896, 13.3436518 52.5189274, 13.3436214 52.5189153, 13.343486 52.5188615, 13.3433683 52.5188073, 13.3432247 52.5187191, 13.3431454 52.518658, 13.3427227 52.5183712, 13.3426452 52.5183209, 13.3425341 52.5182419, 13.3424925 52.5182156, 13.3424453 52.5181835, 13.3423332 52.5181048, 13.3422683 52.5180592, 13.3422385 52.5180376, 13.3422107 52.5180158)",,yes,,,,,,,
26280873,6583482060,0,701019816,2,Kronprinzessinnenweg,tertiary,50,False,390.577,"LINESTRING (13.18941 52.4338191, 13.1894929 52.4338628, 13.1895627 52.4338996, 13.1896698 52.4339561, 13.1909271 52.434619, 13.1922228 52.4353022, 13.193421 52.4359339, 13.1937678 52.4361168)",,,,,,,,,
26280873,1354109465,0,"[132613380, 4323788, 33078071, 23109081, 376730204]",2,Kronprinzessinnenweg,secondary,50,False,1052.4009999999998,"LINESTRING (13.18941 52.4338191, 13.1892079 52.4337154, 13.1891087 52.4336658, 13.1890095 52.4336162, 13.1889214 52.4335709, 13.1885243 52.4333675, 13.188104 52.4331306, 13.1873882 52.4326651, 13.1869766 52.4323956, 13.1866925 52.4322096, 13.1866643 52.4321908, 13.1864317 52.432034, 13.1862648 52.4319216, 13.1860098 52.4317497, 13.1859359 52.4316999, 13.1856562 52.4314947, 13.1855596 52.4313989, 13.1853973 52.431238, 13.1852744 52.4310414, 13.1852573 52.4310018, 13.1852321 52.4309436, 13.1851807 52.4308246, 13.185113 52.4303664, 13.1850816 52.4301856, 13.1850074 52.4297585, 13.1849776 52.4294784, 13.1849659 52.4293689, 13.1849999 52.4290165, 13.1850056 52.428957, 13.1851302 52.4285905, 13.1852818 52.4282737, 13.1855252 52.4279045, 13.1858983 52.427456, 13.1860904 52.4272251, 13.1862951 52.4269852, 13.1865364 52.4267024, 13.1866589 52.4265069, 13.1867214 52.4263237, 13.1867442 52.4262049, 13.1867195 52.4259276, 13.18666 52.4257702, 13.1865738 52.4256002)",,,,,,,,,
