y,x,osmid,ref,highway,geometry
52.5652055,13.3355015,172539,,,POINT (13.3355015 52.5652055)
52.567033,13.3466053,172545,,,POINT (13.3466053 52.567033)
52.567738,13.3522545,172546,,,POINT (13.3522545 52.567738)
52.5640768,13.339564,172547,,,POINT (13.339564 52.5640768)
52.5633975,13.3429006,172549,,,POINT (13.3429006 52.5633975)
52.5587807,13.3373679,172558,,,POINT (13.3373679 52.5587807)
52.5626152,13.3306441,172562,,,POINT (13.3306441 52.5626152)
52.5640457,13.3277078,172564,,,POINT (13.3277078 52.5640457)
52.5659103,13.3202135,172566,,,POINT (13.3202135 52.5659103)
52.5746796,13.3460089,172586,,,POINT (13.3460089 52.5746796)
52.573666,13.3521078,172587,,,POINT (13.3521078 52.573666)
52.5732494,13.3589742,172589,,,POINT (13.3589742 52.5732494)
52.5703344,13.3608121,172594,,,POINT (13.3608121 52.5703344)
52.5115569,13.2862166,458330,7,motorway_junction,POINT (13.2862166 52.5115569)
52.5142646,13.2864666,458334,,,POINT (13.2864666 52.5142646)
52.5321687,13.2866424,458350,4,motorway_junction,POINT (13.2866424 52.5321687)
52.494839,13.2678883,458356,1,motorway_junction,POINT (13.2678883 52.494839)
52.4996552,13.2786268,458362,,,POINT (13.2786268 52.4996552)
52.5002536,13.2803717,458365,,,POINT (13.2803717 52.5002536)
52.5396169,13.2953729,484078,,,POINT (13.2953729 52.5396169)
52.5465246,13.2994775,484082,10,motorway_junction,POINT (13.2994775 52.5465246)
52.5163525,13.2843518,484102,,,POINT (13.2843518 52.5163525)
52.5107227,13.2850888,484107,,,POINT (13.2850888 52.5107227)
52.5081564,13.283215,484110,8,motorway_junction,POINT (13.283215 52.5081564)
52.5438613,13.2972841,484119,,,POINT (13.2972841 52.5438613)
52.5396399,13.2948933,484121,,,POINT (13.2948933 52.5396399)
52.4672799,13.2343356,484243,2,motorway_junction,POINT (13.2343356 52.4672799)
52.4712229,13.2393194,484245,,,POINT (13.2393194 52.4712229)
52.471589,13.239473,484282,2,motorway_junction,POINT (13.239473 52.471589)
52.4674518,13.2342308,484285,,,POINT (13.2342308 52.4674518)
52.4364773,13.1950953,484310,3,motorway_junction,POINT (13.1950953 52.4364773)
52.4168594,13.1966676,484322,,,POINT (13.1966676 52.4168594)
52.5563121,13.3081881,530161,,,POINT (13.3081881 52.5563121)
52.560427,13.3218626,530168,,,POINT (13.3218626 52.560427)
52.5616065,13.3261419,530176,,,POINT (13.3261419 52.5616065)
52.562555,13.3267151,530177,,,POINT (13.3267151 52.562555)
52.5605205,13.3217215,530190,,,POINT (13.3217215 52.5605205)
52.556452,13.307804,530197,,,POINT (13.307804 52.556452)
52.554673,13.3061189,530199,,,POINT (13.3061189 52.554673)
52.5734198,13.3590031,530202,,,POINT (13.3590031 52.5734198)
52.5738056,13.352136,530205,,,POINT (13.352136 52.5738056)
52.5743971,13.3478271,530215,,,POINT (13.3478271 52.5743971)
52.5587091,13.337277,530225,,,POINT (13.337277 52.5587091)
52.5735131,13.3315134,530247,,,POINT (13.3315134 52.5735131)
52.5692466,13.3300067,530256,,,POINT (13.3300067 52.5692466)
52.5641459,13.3278399,530262,,,POINT (13.3278399 52.5641459)
52.5758061,13.3479332,530283,,,POINT (13.3479332 52.5758061)
52.575514,13.3492602,530284,,,POINT (13.3492602 52.575514)
52.5747311,13.3542954,530287,,,POINT (13.3542954 52.5747311)
52.5745502,13.3562021,530288,,,POINT (13.3562021 52.5745502)
52.5774346,13.3479569,530293,,,POINT (13.3479569 52.5774346)
52.5758387,13.3477435,530309,,,POINT (13.3477435 52.5758387)
52.5744221,13.3476751,530311,,,POINT (13.3476751 52.5744221)
52.5674533,13.3514095,530312,,,POINT (13.3514095 52.5674533)
52.5678354,13.3526642,530313,,,POINT (13.3526642 52.5678354)
52.5659882,13.3202511,530318,,,POINT (13.3202511 52.5659882)
52.5669024,13.3164761,530319,,,POINT (13.3164761 52.5669024)
52.5684675,13.3547004,530323,,,POINT (13.3547004 52.5684675)
52.5674192,13.3511359,530340,,,POINT (13.3511359 52.5674192)
52.5625513,13.3304715,530351,,,POINT (13.3304715 52.5625513)
52.5705371,13.3345325,530376,,,POINT (13.3345325 52.5705371)
52.5733934,13.3346526,530380,,,POINT (13.3346526 52.5733934)
52.5265215,13.4477657,12614600,,,POINT (13.4477657 52.5265215)
52.512938,13.4816429,12614606,,,POINT (13.4816429 52.512938)
52.5104911,13.5187785,12614629,,,POINT (13.5187785 52.5104911)
52.5134631,13.5188501,12614635,,,POINT (13.5188501 52.5134631)
52.5375413,13.4287152,12614644,,,POINT (13.4287152 52.5375413)
52.5295609,13.4444757,12614650,,,POINT (13.4444757 52.5295609)
52.5141418,13.4696325,12614651,,,POINT (13.4696325 52.5141418)
52.5223772,13.4506178,12614653,,,POINT (13.4506178 52.5223772)
52.5147774,13.4633349,12614667,,,POINT (13.4633349 52.5147774)
52.5134573,13.5191924,12614668,,,POINT (13.5191924 52.5134573)
52.5104492,13.5191499,12614672,,,POINT (13.5191499 52.5104492)
52.5098901,13.5177311,12614675,,,POINT (13.5177311 52.5098901)
52.5100388,13.5137063,12614678,,,POINT (13.5137063 52.5100388)
52.5342644,13.4374057,12614681,,,POINT (13.4374057 52.5342644)
52.5096136,13.5175412,12614682,,,POINT (13.5175412 52.5096136)
52.5134272,13.4768541,12614683,,,POINT (13.4768541 52.5134272)
52.5517188,13.4304841,12615161,,,POINT (13.4304841 52.5517188)
52.5565169,13.4292351,12615171,,,POINT (13.4292351 52.5565169)
52.5510442,13.4299934,12615173,,,POINT (13.4299934 52.5510442)
52.5830418,13.4286107,12615195,,,POINT (13.4286107 52.5830418)
52.6274264,13.4278594,12696810,2,motorway_junction,POINT (13.4278594 52.6274264)
52.5162188,13.2606308,16541457,,,POINT (13.2606308 52.5162188)
52.5160997,13.2549332,16541459,,,POINT (13.2549332 52.5160997)
