y,x,osmid,highway,geometry
4.6940359,-74.0348771,255338703,,POINT (-74.0348771 4.6940359)
4.5977861,-74.1095411,260480553,,POINT (-74.1095411 4.5977861)
4.6310658,-74.140589,261040816,,POINT (-74.14058900000001 4.6310658)
4.6854955,-74.076953,261187773,,POINT (-74.076953 4.6854955)
4.6966692,-74.0894534,261785571,,POINT (-74.0894534 4.6966692)
4.6378904,-74.0856823,262713832,,POINT (-74.0856823 4.6378904)
4.6349188,-74.0831878,262713854,,POINT (-74.0831878 4.6349188)
4.6375899,-74.0846756,262713857,,POINT (-74.0846756 4.6375899)
4.635299,-74.0815701,262713866,,POINT (-74.08157009999999 4.635299)
4.635817,-74.0826715,265009204,,POINT (-74.0826715 4.635817)
4.6055712,-74.0669315,265804413,traffic_signals,POINT (-74.0669315 4.6055712)
4.6802222,-74.038373,267194952,,POINT (-74.03837300000001 4.6802222)
4.6714748,-74.1068786,267288355,traffic_signals,POINT (-74.1068786 4.6714748)
4.6578528,-74.1559855,308859171,,POINT (-74.1559855 4.6578528)
4.7213409,-74.0471772,310815657,,POINT (-74.04717719999999 4.7213409)
4.6811721,-74.0995172,312489824,traffic_signals,POINT (-74.09951719999999 4.6811721)
4.6963151,-74.0902703,326221535,,POINT (-74.0902703 4.6963151)
4.7108251,-74.0933773,326228306,,POINT (-74.0933773 4.7108251)
4.6986985,-74.0883086,326228357,,POINT (-74.0883086 4.6986985)
4.6967824,-74.0859798,326228370,,POINT (-74.0859798 4.6967824)
4.6908089,-74.0812057,326228405,,POINT (-74.0812057 4.6908089)
4.6772064,-74.1191314,340065036,,POINT (-74.1191314 4.6772064)
4.676809,-74.0756388,382802768,,POINT (-74.07563879999999 4.676809)
4.6367896,-74.0826396,388303804,,POINT (-74.08263959999999 4.6367896)
4.6376176,-74.0827451,388303919,,POINT (-74.0827451 4.6376176)
4.7000724,-74.0657135,477960361,,POINT (-74.0657135 4.7000724)
4.7015036,-74.0663524,479274034,,POINT (-74.0663524 4.7015036)
4.6982551,-74.0650641,479274035,,POINT (-74.0650641 4.6982551)
4.6834225,-74.0708586,493076941,,POINT (-74.07085859999999 4.6834225)
4.6344043,-74.0798556,535624370,,POINT (-74.0798556 4.6344043)
4.6347996,-74.0798063,535624373,,POINT (-74.0798063 4.6347996)
4.6769828,-74.05454,573227072,,POINT (-74.05454 4.6769828)
4.6949203,-74.0370105,599389286,,POINT (-74.03701049999999 4.6949203)
4.6942776,-74.0347947,599389290,,POINT (-74.03479470000001 4.6942776)
4.59725,-74.1083803,599736811,,POINT (-74.10838029999999 4.59725)
4.671397,-74.1069579,612580476,traffic_signals,POINT (-74.1069579 4.671397)
4.6563225,-74.1544425,634211943,,POINT (-74.1544425 4.6563225)
4.6357873,-74.0845299,668104338,,POINT (-74.08452990000001 4.6357873)
4.6376295,-74.0848084,668104341,,POINT (-74.0848084 4.6376295)
4.6360403,-74.0839961,668104545,,POINT (-74.08399609999999 4.6360403)
4.6665593,-74.0935016,721428200,,POINT (-74.0935016 4.6665593)
4.6657924,-74.0933073,721428220,,POINT (-74.09330730000001 4.6657924)
4.6662558,-74.0855982,721832272,,POINT (-74.08559820000001 4.6662558)
4.6738392,-74.0878659,721832275,,POINT (-74.0878659 4.6738392)
4.6857472,-74.0779365,724113211,,POINT (-74.07793650000001 4.6857472)
4.6847004,-74.0770859,724113215,,POINT (-74.0770859 4.6847004)
4.6964104,-74.0502548,726142561,,POINT (-74.0502548 4.6964104)
4.6969503,-74.0550872,726142572,,POINT (-74.0550872 4.6969503)
4.6945071,-74.0347165,735028242,,POINT (-74.0347165 4.6945071)
4.6805329,-74.0765832,737196739,,POINT (-74.0765832 4.6805329)
4.6785431,-74.0616958,745794884,,POINT (-74.0616958 4.6785431)
4.6789457,-74.0654861,745803419,,POINT (-74.0654861 4.6789457)
4.5702614,-74.1385257,764701872,,POINT (-74.1385257 4.5702614)
4.568461,-74.137117,764701878,,POINT (-74.137117 4.568461)
4.56823,-74.136596,764701886,,POINT (-74.136596 4.56823)
4.5682294,-74.1364677,764701887,,POINT (-74.1364677 4.5682294)
4.568249,-74.136731,764701888,,POINT (-74.136731 4.568249)
4.568274,-74.136832,764701895,,POINT (-74.136832 4.568274)
4.568353,-74.136978,764701896,,POINT (-74.136978 4.568353)
4.568258,-74.13632,764701902,,POINT (-74.13632 4.568258)
4.5683067,-74.1362097,764701903,,POINT (-74.13620969999999 4.5683067)
4.5685215,-74.135784,764701904,,POINT (-74.135784 4.5685215)
4.5683691,-74.1360847,764701905,,POINT (-74.1360847 4.5683691)
4.568418,-74.135991,764701906,,POINT (-74.135991 4.568418)
4.5692265,-74.1381188,764701927,,POINT (-74.1381188 4.5692265)
4.5691247,-74.1380078,764701928,,POINT (-74.1380078 4.5691247)
4.5695388,-74.1383291,764701936,,POINT (-74.13832910000001 4.5695388)
4.5694315,-74.138273,764701937,,POINT (-74.138273 4.5694315)
4.569329,-74.1382015,764701938,,POINT (-74.13820149999999 4.569329)
4.5696778,-74.138377,764701967,,POINT (-74.13837700000001 4.5696778)
4.5687019,-74.1353332,764702136,,POINT (-74.13533320000001 4.5687019)
4.569092,-74.1343097,764702195,,POINT (-74.1343097 4.569092)
4.569324,-74.133734,764702285,,POINT (-74.133734 4.569324)
4.5701559,-74.1315983,764702305,,POINT (-74.13159829999999 4.5701559)
4.570018,-74.131945,764702306,,POINT (-74.131945 4.570018)
4.569676,-74.132871,764702307,,POINT (-74.13287099999999 4.569676)
4.5709062,-74.1386822,764702314,,POINT (-74.13868220000001 4.5709062)
4.5712296,-74.1387698,764702320,,POINT (-74.13876980000001 4.5712296)
4.572967,-74.13894,764702487,,POINT (-74.13894000000001 4.572967)
4.5730116,-74.1388977,764702488,,POINT (-74.1388977 4.5730116)
4.5730589,-74.1388464,764702489,,POINT (-74.13884640000001 4.5730589)
4.572799,-74.1390485,764702494,,POINT (-74.1390485 4.572799)
4.572907,-74.1389869,764702496,,POINT (-74.13898690000001 4.572907)
4.5728493,-74.1390247,764702497,,POINT (-74.13902469999999 4.5728493)
4.573109,-74.1387922,764702767,,POINT (-74.1387922 4.573109)
4.5731795,-74.1387035,764702770,,POINT (-74.13870350000001 4.5731795)
4.5732512,-74.1386042,764702771,,POINT (-74.1386042 4.5732512)
4.5732958,-74.138528,764702772,,POINT (-74.13852799999999 4.5732958)
4.5733575,-74.13842,764702777,,POINT (-74.13842 4.5733575)
4.5734191,-74.1382992,764702787,,POINT (-74.13829920000001 4.5734191)
4.573736,-74.1376343,764702806,,POINT (-74.1376343 4.573736)
4.5739713,-74.1370646,764702844,,POINT (-74.1370646 4.5739713)
4.574304,-74.1362292,764702845,,POINT (-74.1362292 4.574304)
4.5704141,-74.1310135,764703445,,POINT (-74.13101349999999 4.5704141)
4.570652,-74.13036,764703453,,POINT (-74.13036 4.570652)
4.5705242,-74.1307378,764703455,,POINT (-74.13073780000001 4.5705242)
4.5746316,-74.1354347,764703820,,POINT (-74.1354347 4.5746316)
