y,x,osmid,highway,geometry
4.6204403,-74.0703037,260697818,traffic_signals,POINT (-74.0703037 4.6204403)
4.6573861,-74.0707598,261817152,traffic_signals,POINT (-74.0707598 4.6573861)
4.6536541,-74.0650087,261817164,,POINT (-74.06500870000001 4.6536541)
4.6243767,-74.0677023,262567507,,POINT (-74.06770229999999 4.6243767)
4.6400363,-74.0700225,263369125,,POINT (-74.07002249999999 4.6400363)
4.6400557,-74.070143,263369128,traffic_signals,POINT (-74.070143 4.6400557)
4.6382012,-74.0765969,263369459,,POINT (-74.0765969 4.6382012)
4.6430911,-74.0737279,263544125,traffic_signals,POINT (-74.07372789999999 4.6430911)
4.6360819,-74.0763378,263732478,,POINT (-74.0763378 4.6360819)
4.6302341,-74.0710192,263776874,,POINT (-74.07101919999999 4.6302341)
4.6311081,-74.0723012,263777109,traffic_signals,POINT (-74.0723012 4.6311081)
4.6203946,-74.0742769,263777145,traffic_signals,POINT (-74.0742769 4.6203946)
4.6380842,-74.0759824,264157127,,POINT (-74.0759824 4.6380842)
4.6549436,-74.0647819,312655767,,POINT (-74.0647819 4.6549436)
4.6273217,-74.067144,891288251,,POINT (-74.067144 4.6273217)
4.7495135,-74.094603,1833722136,,POINT (-74.09460300000001 4.7495135)
4.6300858,-74.0710713,2863283611,,POINT (-74.0710713 4.6300858)
4.6520208,-74.0618219,3236651040,,POINT (-74.0618219 4.6520208)
4.631673,-74.1785952,3757633741,traffic_signals,POINT (-74.1785952 4.631673)
4.6300188,-74.1778175,3784643494,,POINT (-74.1778175 4.6300188)
4.7487458,-74.092947,4913349660,,POINT (-74.092947 4.7487458)
4.6100053,-74.0701777,5550520051,traffic_signals,POINT (-74.0701777 4.6100053)
4.6440283,-74.0785805,6313418584,crossing,POINT (-74.0785805 4.6440283)
4.6345461,-74.0755449,6313487668,,POINT (-74.0755449 4.6345461)
4.6333064,-74.0751109,6326450563,,POINT (-74.0751109 4.6333064)
4.6254504,-74.0743249,6326450564,,POINT (-74.07432489999999 4.6254504)
4.6138243,-74.0693838,6397142938,,POINT (-74.0693838 4.6138243)
4.6337329,-74.0754906,6498468228,,POINT (-74.07549059999999 4.6337329)
