u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge
262567754,265804338,0,"[88861376, 88876547, 88876548, 88861379, 88875728, 88875737, 88875741]",True,"['1', '2']",Calle 23,residential,679.738,"LINESTRING (-74.0732282 4.6105122, -74.0731428 4.6104656, -74.07238630000001 4.6100529, -74.07219569999999 4.6099519, -74.07214399999999 4.6099269, -74.072084 4.6099013, -74.07199300000001 4.6098512, -74.07195040000001 4.6098276, -74.0719208 4.6098122, -74.0713714 4.609538, -74.0705286 4.6091228, -74.0704793 4.6091072, -74.0704398 4.6091056, -74.0704075 4.6091043, -74.0703721 4.6090913, -74.0698639 4.6087958, -74.0694352 4.6085195, -74.0687618 4.6080962, -74.068693 4.608053, -74.0686698 4.6080384, -74.067885 4.6075432)",,
263369128,1039801525,0,"[89759426, 89725272, 89748932, 814252356, 89725113, 89748775, 89748877, 89759822, 89748977, 89748918, 89759991, 89748952, 814601049, 89725309, 24350846]",True,"['1', '2']","['Carrera 18', 'Transversal 19 Bis', 'Diagonal 45D', 'Carrera 19']",tertiary,1484.1759999999997,"LINESTRING (-74.070143 4.6400557, -74.0703058 4.6390638, -74.070364 4.638746, -74.07048949999999 4.6380989, -74.0706603 4.6371114, -74.0708267 4.6362099, -74.0708453 4.6361258, -74.0708953 4.6360184, -74.0712235 4.6355571, -74.071574 4.6352057, -74.0719071 4.6349463, -74.07199439999999 4.6348788, -74.0717322 4.6345336, -74.0717813 4.6342297, -74.0718068 4.6340783, -74.07186110000001 4.633799, -74.0719339 4.6334089, -74.0719447 4.6333512, -74.0719646 4.6332544, -74.0719768 4.6331954, -74.0720889 4.6326372, -74.0721106 4.6325174, -74.07218140000001 4.632111, -74.07225270000001 4.6317255, -74.072301 4.6314615, -74.0723115 4.631404, -74.0723211 4.6313598, -74.0723536 4.63121, -74.0723584 4.6311871, -74.07236469999999 4.6311588, -74.0725709 4.630009, -74.07271969999999 4.629132, -74.0728491 4.628494, -74.07287479999999 4.6283665, -74.07292750000001 4.6279774, -74.07300189999999 4.6275084, -74.07301320000001 4.6274371)",30,yes
263544210,5171726924,0,24313816,True,2,Carrera 16,residential,270.377,"LINESTRING (-74.0676636 4.6451407, -74.0676096 4.6455463, -74.0676208 4.6456128, -74.0676528 4.645787, -74.06764819999999 4.6459236, -74.06751300000001 4.6466253, -74.0673465 4.647537)",30,
263732478,264157127,0,675557366,False,2,Carrera 26,residential,226.12900000000002,"LINESTRING (-74.0763378 4.6360819, -74.07613859999999 4.6371164, -74.0759824 4.6380842)",30,
263776957,263776874,0,24324760,True,1,Diagonal 40A Bis,tertiary,58.678,"LINESTRING (-74.0715122 4.6304188, -74.0712643 4.6302972, -74.07101919999999 4.6302341)",,
263777098,264154094,0,"[89725043, 734633045]",False,"['3', '2']",Calle 39,residential,247.19000000000003,"LINESTRING (-74.0727991 4.6274076, -74.07242479999999 4.6273506, -74.0722562 4.6273249, -74.0721202 4.6273035, -74.0719137 4.627271, -74.0718743 4.6272648, -74.07141350000001 4.6271926, -74.071259 4.6271683, -74.0705955 4.6270647)",30,
263777280,264154094,0,"[89720080, 677989003, 89527076, 89720027]",True,2,Carrera 16,residential,698.2819999999999,"LINESTRING (-74.0717226 4.6208869, -74.07171580000001 4.6209252, -74.0717133 4.6209392, -74.0717097 4.6209601, -74.07165329999999 4.6212792, -74.07160469999999 4.621554, -74.0715864 4.6216576, -74.07143480000001 4.6224388, -74.0713435 4.6230322, -74.07129810000001 4.6232582, -74.0712913 4.6233279, -74.0711749 4.6239769, -74.0711558 4.6240833, -74.0709974 4.6249536, -74.0708128 4.6259315, -74.0707981 4.6260114, -74.0706982 4.6265423, -74.0705955 4.6270647)","['35', '30']",
264153896,264157393,0,"[24350867, 89725143]",False,2,"['Calle 39', 'Carrera 29']",residential,147.386,"LINESTRING (-74.0793508 4.6270145, -74.079364 4.6268443, -74.0805203 4.6269161)",,
264153902,1039801525,0,"[89725265, 658185537]",False,3,Calle 39,residential,241.81300000000002,"LINESTRING (-74.07517230000001 4.6277494, -74.0751234 4.627742, -74.0750999 4.6277385, -74.0743781 4.6276297, -74.073724 4.6275319, -74.07301320000001 4.6274371)",,
264153902,264153896,0,"[89574226, 89725222, 778332455]",True,"['3', '2']",Calle 39,residential,477.01900000000006,"LINESTRING (-74.07517230000001 4.6277494, -74.0754621 4.6277929, -74.075504 4.6277963, -74.07556169999999 4.6278008, -74.07630020000001 4.627825, -74.07687230000001 4.6277823, -74.0771034 4.6277396, -74.0774418 4.6276573, -74.0775699 4.6276128, -74.07763749999999 4.6275899, -74.078248 4.6273831, -74.07892649999999 4.6271529, -74.0793508 4.6270145)",30,
264154094,7596471101,0,"[342122724, 89759977, 89748747, 89720076, 89720045, 513133485, 89753644, 89759340, 813251517, 89720050, 89720051, 89759731, 89759606, 89720027, 89753661]",True,2,"['Transversal 16 Bis', 'Diagonal 44 Bis', 'Carrera 16', 'Diagonal 45D']","['tertiary', 'residential']",2128.3520000000003,"LINESTRING (-74.0705955 4.6270647, -74.0704659 4.6279554, -74.07026380000001 4.629283, -74.0702351 4.6294127, -74.0701301 4.630028, -74.070127 4.6300507, -74.07010390000001 4.6301759, -74.07010080000001 4.6301924, -74.07004449999999 4.6304756, -74.06989400000001 4.6313043, -74.0697727 4.6320107, -74.06977379999999 4.6320398, -74.069778 4.6320714, -74.0698111 4.6321945, -74.06981589999999 4.6322276, -74.0698194 4.6322626, -74.0703627 4.6329612, -74.0704623 4.6330866, -74.0707218 4.6334171, -74.0701917 4.6338235, -74.0697679 4.6342698, -74.069456 4.6346908, -74.0693701 4.6348879, -74.06920580000001 4.6358279, -74.069036 4.6368379, -74.0689395 4.6373804, -74.0688566 4.6378273, -74.0686953 4.6386828, -74.0686769 4.6387804, -74.0686382 4.6389855, -74.0685848 4.6392687, -74.0685562 4.6394207, -74.06849130000001 4.6397651, -74.06832060000001 4.6407022, -74.0683073 4.6407843, -74.0682973 4.6408385, -74.06821890000001 4.6412663, -74.06812410000001 4.6417987, -74.0680196 4.6423072, -74.0679722 4.642578, -74.0678807 4.6431265, -74.0677432 4.6438691, -74.0676658 4.6443617, -74.06764819999999 4.6444493, -74.0675403 4.6451124)",30,yes
264154094,263777098,0,"[89725043, 734633045]",False,"['3', '2']",Calle 39,residential,247.19,"LINESTRING (-74.0705955 4.6270647, -74.071259 4.6271683, -74.07141350000001 4.6271926, -74.0718743 4.6272648, -74.0719137 4.627271, -74.0721202 4.6273035, -74.0722562 4.6273249, -74.07242479999999 4.6273506, -74.0727991 4.6274076)",30,
264157127,263732478,0,675557366,False,2,Carrera 26,residential,226.12900000000002,"LINESTRING (-74.0759824 4.6380842, -74.07613859999999 4.6371164, -74.0763378 4.6360819)",30,
