y,x,osmid,highway,geometry
4.6105122,-74.0732282,262567754,,POINT (-74.0732282 4.6105122)
4.6400363,-74.0700225,263369125,,POINT (-74.07002249999999 4.6400363)
4.6400557,-74.070143,263369128,traffic_signals,POINT (-74.070143 4.6400557)
4.6451407,-74.0676636,263544210,,POINT (-74.0676636 4.6451407)
4.6360819,-74.0763378,263732478,,POINT (-74.0763378 4.6360819)
4.6302341,-74.0710192,263776874,,POINT (-74.07101919999999 4.6302341)
4.6304188,-74.0715122,263776957,,POINT (-74.0715122 4.6304188)
4.6274076,-74.0727991,263777098,,POINT (-74.0727991 4.6274076)
4.6203946,-74.0742769,263777145,traffic_signals,POINT (-74.0742769 4.6203946)
4.6208869,-74.0717226,263777280,,POINT (-74.0717226 4.6208869)
4.6270145,-74.0793508,264153896,,POINT (-74.0793508 4.6270145)
4.6277494,-74.0751723,264153902,,POINT (-74.07517230000001 4.6277494)
4.6270647,-74.0705955,264154094,,POINT (-74.0705955 4.6270647)
4.6380842,-74.0759824,264157127,,POINT (-74.0759824 4.6380842)
4.6269161,-74.0805203,264157393,,POINT (-74.0805203 4.6269161)
4.6075432,-74.067885,265804338,,POINT (-74.067885 4.6075432)
4.6525894,-74.0662698,283342319,,POINT (-74.0662698 4.6525894)
4.6541432,-74.0659629,310666620,,POINT (-74.0659629 4.6541432)
4.696135,-74.0604631,311450297,,POINT (-74.06046310000001 4.696135)
4.6882764,-74.0617413,311451454,,POINT (-74.06174129999999 4.6882764)
4.6549436,-74.0647819,312655767,,POINT (-74.0647819 4.6549436)
4.6601952,-74.0643814,312656265,,POINT (-74.0643814 4.6601952)
4.6274371,-74.0730132,1039801525,,POINT (-74.07301320000001 4.6274371)
4.6425317,-74.1611788,1057516570,,POINT (-74.1611788 4.6425317)
4.6379324,-74.0769566,1604495627,,POINT (-74.0769566 4.6379324)
4.6256785,-74.0798165,2863283583,,POINT (-74.07981650000001 4.6256785)
4.6265427,-74.0753154,2863283593,,POINT (-74.07531539999999 4.6265427)
4.6503773,-74.0626065,3236651042,,POINT (-74.0626065 4.6503773)
4.6436539,-74.162099,3580893724,traffic_signals,POINT (-74.162099 4.6436539)
4.6665724,-74.0648182,4161703851,,POINT (-74.0648182 4.6665724)
4.6538915,-74.0683725,5102158168,traffic_signals,POINT (-74.0683725 4.6538915)
4.6474953,-74.0671578,5171726923,traffic_signals,POINT (-74.0671578 4.6474953)
4.647537,-74.0673465,5171726924,traffic_signals,POINT (-74.0673465 4.647537)
4.6382649,-74.0789835,6313420785,crossing,POINT (-74.07898350000001 4.6382649)
4.6602277,-74.0643606,6854339374,,POINT (-74.0643606 4.6602277)
4.6451124,-74.0675403,7596471101,,POINT (-74.0675403 4.6451124)
