y,x,osmid,highway,ref,geometry
4.6204411,-74.0703079,260697818,traffic_signals,,POINT (-74.0703079 4.6204411)
4.6246032,-74.0689921,260697848,traffic_signals,,POINT (-74.0689921 4.6246032)
4.6279203,-74.0683956,260697850,traffic_signals,,POINT (-74.0683956 4.6279203)
4.6573861,-74.0707598,261817152,traffic_signals,,POINT (-74.0707598 4.6573861)
4.6556087,-74.0684252,261817156,traffic_signals,,POINT (-74.06842519999999 4.6556087)
4.6550765,-74.0676714,261817158,traffic_signals,,POINT (-74.06767139999999 4.6550765)
4.6536546,-74.0650084,261817164,,,POINT (-74.0650084 4.6536546)
4.6243767,-74.0677023,262567507,,,POINT (-74.06770229999999 4.6243767)
4.6382012,-74.0765969,263369459,,,POINT (-74.0765969 4.6382012)
4.6263145,-74.0748349,263544136,,,POINT (-74.0748349 4.6263145)
4.632458,-74.0749185,263544144,,,POINT (-74.0749185 4.632458)
4.6303114,-74.0752659,263544149,,,POINT (-74.07526590000001 4.6303114)
4.6277963,-74.075504,263544151,,,POINT (-74.075504 4.6277963)
4.6253168,-74.0741466,263544156,,,POINT (-74.07414660000001 4.6253168)
4.6440388,-74.0786408,263544303,,,POINT (-74.0786408 4.6440388)
4.6360819,-74.0763378,263732478,,,POINT (-74.0763378 4.6360819)
4.6300918,-74.0712066,263776814,,,POINT (-74.0712066 4.6300918)
4.6302341,-74.0710192,263776874,,,POINT (-74.07101919999999 4.6302341)
4.6304188,-74.0715122,263776957,,,POINT (-74.0715122 4.6304188)
4.625174,-74.0722243,263776990,traffic_signals,,POINT (-74.0722243 4.625174)
4.6311001,-74.0722952,263777109,traffic_signals,,POINT (-74.0722952 4.6311001)
4.6203946,-74.0742769,263777145,traffic_signals,,POINT (-74.0742769 4.6203946)
4.62097,-74.0717005,263777256,traffic_signals,,POINT (-74.07170050000001 4.62097)
4.6304222,-74.0749235,264153893,,,POINT (-74.0749235 4.6304222)
4.6277494,-74.0751723,264153902,,,POINT (-74.07517230000001 4.6277494)
4.6247812,-74.0700898,264154063,,,POINT (-74.07008980000001 4.6247812)
