y,x,osmid,highway,ref,geometry
4.6204403,-74.0703037,260697818,traffic_signals,,POINT (-74.0703037 4.6204403)
4.6573861,-74.0707598,261817152,traffic_signals,,POINT (-74.0707598 4.6573861)
4.6550783,-74.0676749,261817158,traffic_signals,,POINT (-74.0676749 4.6550783)
4.6536541,-74.0650087,261817164,,,POINT (-74.06500870000001 4.6536541)
4.6243767,-74.0677023,262567507,,,POINT (-74.06770229999999 4.6243767)
4.6400363,-74.0700225,263369125,,,POINT (-74.07002249999999 4.6400363)
4.6400557,-74.070143,263369128,traffic_signals,,POINT (-74.070143 4.6400557)
4.6382012,-74.0765969,263369459,,,POINT (-74.0765969 4.6382012)
4.6430911,-74.0737279,263544125,traffic_signals,,POINT (-74.07372789999999 4.6430911)
4.6277963,-74.075504,263544151,,,POINT (-74.075504 4.6277963)
4.6360819,-74.0763378,263732478,,,POINT (-74.0763378 4.6360819)
4.6302341,-74.0710192,263776874,,,POINT (-74.07101919999999 4.6302341)
4.6304188,-74.0715122,263776957,,,POINT (-74.0715122 4.6304188)
4.6311081,-74.0723012,263777109,traffic_signals,,POINT (-74.0723012 4.6311081)
4.6203946,-74.0742769,263777145,traffic_signals,,POINT (-74.0742769 4.6203946)
4.6209601,-74.0717097,263777256,,,POINT (-74.0717097 4.6209601)
4.6277494,-74.0751723,264153902,,,POINT (-74.07517230000001 4.6277494)
4.6294127,-74.0702351,264154086,traffic_signals,,POINT (-74.0702351 4.6294127)
4.6249536,-74.0709974,264154097,,,POINT (-74.0709974 4.6249536)
4.6380842,-74.0759824,264157127,,,POINT (-74.0759824 4.6380842)
4.6541432,-74.0659629,310666620,,,POINT (-74.0659629 4.6541432)
4.6549436,-74.0647819,312655767,,,POINT (-74.0647819 4.6549436)
4.7494759,-74.0945222,871073017,,,POINT (-74.0945222 4.7494759)
4.6273217,-74.067144,891288251,,,POINT (-74.067144 4.6273217)
4.625373,-74.0733923,1039801519,,,POINT (-74.07339229999999 4.625373)
4.7495135,-74.094603,1833722136,,,POINT (-74.09460300000001 4.7495135)
4.6265427,-74.0753154,2863283593,,,POINT (-74.07531539999999 4.6265427)
4.6300858,-74.0710713,2863283611,,,POINT (-74.0710713 4.6300858)
4.6520208,-74.0618219,3236651040,,,POINT (-74.0618219 4.6520208)
4.631673,-74.1785952,3757633741,traffic_signals,,POINT (-74.1785952 4.631673)
4.6300188,-74.1778175,3784643494,,,POINT (-74.1778175 4.6300188)
4.7487458,-74.092947,4913349660,,,POINT (-74.092947 4.7487458)
4.6100053,-74.0701777,5550520051,traffic_signals,,POINT (-74.0701777 4.6100053)
4.6304798,-74.1780391,6061573415,,,POINT (-74.17803910000001 4.6304798)
4.6440283,-74.0785805,6313418584,crossing,,POINT (-74.0785805 4.6440283)
4.6345461,-74.0755449,6313487668,,,POINT (-74.0755449 4.6345461)
4.6138243,-74.0693838,6397142938,,,POINT (-74.0693838 4.6138243)
4.6337329,-74.0754906,6498468228,,,POINT (-74.07549059999999 4.6337329)
4.640421,-74.0937734,261188867,,,POINT (-74.0937734 4.640421)
4.6423236,-74.0907156,262419956,traffic_signals,,POINT (-74.0907156 4.6423236)
4.6512779,-74.0845763,262545795,traffic_signals,,POINT (-74.08457629999999 4.6512779)
4.6714748,-74.1068786,267288355,traffic_signals,,POINT (-74.1068786 4.6714748)
4.744166,-74.0844395,310761703,traffic_signals,,POINT (-74.0844395 4.744166)
4.7213409,-74.0471772,310815657,,,POINT (-74.04717719999999 4.7213409)
4.7465586,-74.0910332,312094058,,,POINT (-74.0910332 4.7465586)
4.6811721,-74.0995172,312489824,traffic_signals,,POINT (-74.09951719999999 4.6811721)
4.5847453,-74.0966184,317212069,,,POINT (-74.0966184 4.5847453)
4.5859797,-74.0977753,317212130,,,POINT (-74.0977753 4.5859797)
4.7396078,-74.0372062,493768858,,,POINT (-74.0372062 4.7396078)
4.5751716,-74.1050684,495689416,,,POINT (-74.10506839999999 4.5751716)
4.5778171,-74.1105382,495689433,,,POINT (-74.11053819999999 4.5778171)
4.698653,-74.0499302,599398627,,,POINT (-74.04993020000001 4.698653)
4.671397,-74.1069579,612580476,traffic_signals,,POINT (-74.1069579 4.671397)
4.6263013,-74.1265835,634172928,,,POINT (-74.1265835 4.6263013)
4.7470797,-74.0227273,715601350,,,POINT (-74.0227273 4.7470797)
4.7481894,-74.0314711,715731558,,,POINT (-74.0314711 4.7481894)
4.7052944,-74.0488252,726193430,,,POINT (-74.0488252 4.7052944)
4.7213401,-74.0466592,865188643,,,POINT (-74.04665919999999 4.7213401)
4.7223693,-74.1291746,1062715835,,,POINT (-74.1291746 4.7223693)
4.622179,-74.1263869,1192631861,,,POINT (-74.1263869 4.622179)
4.7209465,-74.1260099,1323187671,,,POINT (-74.1260099 4.7209465)
4.5732192,-74.0891624,3254702427,,,POINT (-74.08916240000001 4.5732192)
4.5732406,-74.089205,3254702428,,,POINT (-74.08920500000001 4.5732406)
4.5726467,-74.0889512,3254702429,,,POINT (-74.0889512 4.5726467)
4.572622,-74.0889129,3254702430,,,POINT (-74.0889129 4.572622)
4.5732467,-74.0892522,3254702431,,,POINT (-74.0892522 4.5732467)
4.5732369,-74.0892988,3254702432,,,POINT (-74.08929879999999 4.5732369)
4.5732122,-74.0893396,3254702433,,,POINT (-74.0893396 4.5732122)
4.5731754,-74.0893697,3254702434,,,POINT (-74.08936970000001 4.5731754)
4.5731308,-74.089386,3254702435,,,POINT (-74.089386 4.5731308)
4.5730833,-74.0893865,3254702436,,,POINT (-74.0893865 4.5730833)
4.5730383,-74.0893711,3254702437,,,POINT (-74.08937109999999 4.5730383)
4.5726108,-74.0888686,3254702438,,,POINT (-74.0888686 4.5726108)
4.5726142,-74.088823,3254702439,,,POINT (-74.088823 4.5726142)
4.5726318,-74.0887809,3254702440,,,POINT (-74.0887809 4.5726318)
4.572662,-74.0887466,3254702441,,,POINT (-74.08874659999999 4.572662)
4.5727014,-74.0887238,3254702442,,,POINT (-74.0887238 4.5727014)
4.5727461,-74.0887147,3254702443,,,POINT (-74.0887147 4.5727461)
4.5727913,-74.0887203,3254702444,,,POINT (-74.08872030000001 4.5727913)
4.5728323,-74.0887401,3254702445,,,POINT (-74.0887401 4.5728323)
4.6963499,-74.0503332,3592507617,,,POINT (-74.0503332 4.6963499)
4.6524278,-74.0806857,3850741726,,,POINT (-74.0806857 4.6524278)
4.7240793,-74.130578,3925624308,,,POINT (-74.130578 4.7240793)
4.7224859,-74.1307049,3925624332,,,POINT (-74.1307049 4.7224859)
4.6513691,-74.0845354,4525660952,,,POINT (-74.08453539999999 4.6513691)
4.6467396,-74.0863161,4789281640,,,POINT (-74.0863161 4.6467396)
4.6512561,-74.0845373,4789281697,,,POINT (-74.08453729999999 4.6512561)
4.7206655,-74.1307764,5184892528,,,POINT (-74.1307764 4.7206655)
4.7236202,-74.1354619,5186530401,,,POINT (-74.1354619 4.7236202)
4.6565171,-74.1204802,5233512909,,,POINT (-74.1204802 4.6565171)
4.7406478,-74.0428357,5569236498,,,POINT (-74.0428357 4.7406478)
4.740761,-74.0429192,5723974409,,,POINT (-74.0429192 4.740761)
4.7407281,-74.0428745,5723974420,,,POINT (-74.0428745 4.7407281)
4.7206344,-74.1294997,5752390677,,,POINT (-74.1294997 4.7206344)
4.7220817,-74.1275633,5752391156,,,POINT (-74.12756330000001 4.7220817)
4.7223512,-74.1291788,5772256085,,,POINT (-74.12917880000001 4.7223512)
4.7224417,-74.1307071,5772256088,,,POINT (-74.1307071 4.7224417)
4.5745047,-74.1069021,6901250963,,,POINT (-74.1069021 4.5745047)
4.7364773,-74.0438094,7717658424,crossing,,POINT (-74.0438094 4.7364773)
4.6940359,-74.0348771,255338703,,,POINT (-74.0348771 4.6940359)
4.6877234,-74.0574542,261139517,,,POINT (-74.0574542 4.6877234)
4.6854955,-74.076953,261187773,,,POINT (-74.076953 4.6854955)
4.6966692,-74.0894534,261785571,,,POINT (-74.0894534 4.6966692)
4.6949402,-74.0907439,261785669,,,POINT (-74.09074390000001 4.6949402)
4.6679113,-74.1507116,262178529,,,POINT (-74.15071159999999 4.6679113)
4.6542529,-74.0898415,262419511,,,POINT (-74.08984150000001 4.6542529)
4.6571159,-74.0933614,262419819,,,POINT (-74.09336140000001 4.6571159)
4.6574019,-74.0927903,262419822,,,POINT (-74.0927903 4.6574019)
4.6708436,-74.04952,265596948,,,POINT (-74.04952 4.6708436)
4.6516956,-74.1071955,266549864,,,POINT (-74.1071955 4.6516956)
4.665247,-74.0795904,267021502,,,POINT (-74.0795904 4.665247)
4.6802222,-74.038373,267194952,,,POINT (-74.03837300000001 4.6802222)
4.7001472,-74.0698684,273239238,,,POINT (-74.0698684 4.7001472)
4.6505069,-74.1072452,281847924,,,POINT (-74.10724519999999 4.6505069)
4.6578528,-74.1559855,308859171,,,POINT (-74.1559855 4.6578528)
4.697077,-74.0693334,309292598,crossing,,POINT (-74.0693334 4.697077)
4.6283731,-74.199765,309301456,,,POINT (-74.199765 4.6283731)
4.6318338,-74.2013359,309301464,,,POINT (-74.2013359 4.6318338)
4.7188868,-74.0497007,310348561,,,POINT (-74.0497007 4.7188868)
