y,x,osmid,highway,geometry
4.6200653,-74.0677141,253761985,,POINT (-74.0677141 4.6200653)
4.6731292,-74.057789,253762072,crossing,POINT (-74.057789 4.6731292)
4.6689115,-74.0721,253762112,,POINT (-74.07210000000001 4.6689115)
4.6602465,-74.0591622,253762115,traffic_signals,POINT (-74.0591622 4.6602465)
4.656781,-74.0676916,253762143,,POINT (-74.0676916 4.656781)
4.6631389,-74.0581846,253762149,,POINT (-74.0581846 4.6631389)
4.6661331,-74.0642377,253762181,,POINT (-74.06423770000001 4.6661331)
4.661731,-74.0556818,253762292,traffic_signals,POINT (-74.0556818 4.661731)
4.6677915,-74.0563486,253845435,,POINT (-74.05634860000001 4.6677915)
4.6632707,-74.0571086,253846793,,POINT (-74.05710860000001 4.6632707)
4.6588075,-74.0529196,254347517,traffic_signals,POINT (-74.0529196 4.6588075)
4.6620662,-74.0578803,254347520,traffic_signals,POINT (-74.05788029999999 4.6620662)
4.6973482,-74.0311852,254347527,,POINT (-74.0311852 4.6973482)
4.6533554,-74.0841667,254530360,,POINT (-74.0841667 4.6533554)
4.6437394,-74.0885416,254530369,,POINT (-74.0885416 4.6437394)
4.6763621,-74.0567606,255338653,,POINT (-74.0567606 4.6763621)
4.7045328,-74.0320969,255338671,,POINT (-74.0320969 4.7045328)
4.668998,-74.0725833,255338722,,POINT (-74.07258330000001 4.668998)
4.6351829,-74.1197086,255470785,,POINT (-74.1197086 4.6351829)
4.6612924,-74.0646844,255470884,traffic_signals,POINT (-74.0646844 4.6612924)
4.6625385,-74.0665059,255470886,,POINT (-74.0665059 4.6625385)
4.6505175,-74.070008,255471025,traffic_signals,POINT (-74.070008 4.6505175)
4.6541112,-74.0694075,255471027,,POINT (-74.0694075 4.6541112)
4.6643544,-74.0653763,255471043,,POINT (-74.0653763 4.6643544)
4.7074235,-74.1093436,260462282,traffic_signals,POINT (-74.1093436 4.7074235)
4.6640175,-74.0609304,260462633,traffic_signals,POINT (-74.0609304 4.6640175)
4.595034,-74.1457967,260480449,,POINT (-74.14579670000001 4.595034)
4.5940335,-74.1321706,260480471,,POINT (-74.13217059999999 4.5940335)
4.595183,-74.1460003,260480485,,POINT (-74.1460003 4.595183)
4.5943713,-74.1206574,260480606,,POINT (-74.1206574 4.5943713)
4.5951848,-74.1169807,260480609,traffic_signals,POINT (-74.1169807 4.5951848)
4.5956938,-74.1152141,260480611,,POINT (-74.1152141 4.5956938)
4.6020742,-74.1018987,260480650,traffic_signals,POINT (-74.10189870000001 4.6020742)
4.6251219,-74.0824001,260480702,,POINT (-74.0824001 4.6251219)
4.6256166,-74.0819951,260480703,,POINT (-74.0819951 4.6256166)
4.6653205,-74.0611928,260487058,,POINT (-74.0611928 4.6653205)
4.6641659,-74.0611723,260627335,traffic_signals,POINT (-74.0611723 4.6641659)
4.5759297,-74.1190038,260697697,,POINT (-74.1190038 4.5759297)
4.5790091,-74.106865,260697716,traffic_signals,POINT (-74.106865 4.5790091)
4.5825737,-74.0999094,260697728,,POINT (-74.0999094 4.5825737)
4.5835125,-74.0983308,260697742,traffic_signals,POINT (-74.0983308 4.5835125)
4.5856178,-74.0944706,260697748,traffic_signals,POINT (-74.09447059999999 4.5856178)
4.5918563,-74.0888593,260697755,traffic_signals,POINT (-74.0888593 4.5918563)
4.603504,-74.0798389,260697765,,POINT (-74.0798389 4.603504)
4.6037107,-74.0796769,260697766,traffic_signals,POINT (-74.0796769 4.6037107)
4.6085955,-74.076212,260697768,traffic_signals,POINT (-74.076212 4.6085955)
4.6087099,-74.0761353,260697769,traffic_signals,POINT (-74.0761353 4.6087099)
4.6155384,-74.0726218,260697777,traffic_signals,POINT (-74.07262179999999 4.6155384)
4.6211804,-74.0697347,260697780,,POINT (-74.0697347 4.6211804)
