u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
61340777,7640821569,0,485271442,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,7.498,"LINESTRING (-71.08947809999999 42.3508433, -71.089512 42.3509059)",,,,
61340777,5264335839,0,825263829,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,7.643,"LINESTRING (-71.08947809999999 42.3508433, -71.08944030000001 42.3507805)",,,,
61340777,5264332858,0,485271439,True,2,,Beacon Street,secondary,25 mph,7.3,11.609,"LINESTRING (-71.08947809999999 42.3508433, -71.08961050000001 42.3508069)",,,,
61340937,5599241951,0,242652627,False,4,,Stuart Street,secondary,25 mph,20.7,12.949,"LINESTRING (-71.0649238 42.3510563, -71.06508100000001 42.3510643)",,,,
61340937,6047144093,0,242660643,True,2,,Stuart Street,secondary,25 mph,20.7,4.634,"LINESTRING (-71.0649238 42.3510563, -71.06487250000001 42.351039)",,,,
61341735,61341737,0,333071936,True,1,,Washington Street,secondary,25 mph,16.8,16.299,"LINESTRING (-71.062461 42.35345, -71.062387 42.353586)",,,,
61341736,61341735,0,333071936,True,1,,Washington Street,secondary,25 mph,16.8,23.15,"LINESTRING (-71.062527 42.3532476, -71.062461 42.35345)",,,,
61341737,61341738,0,333071936,True,1,,Washington Street,secondary,25 mph,16.8,19.059,"LINESTRING (-71.062387 42.353586, -71.062288 42.353741)",,,,
61341738,7715496422,0,333071936,True,1,,Washington Street,secondary,25 mph,16.8,1.532,"LINESTRING (-71.062288 42.353741, -71.0622796 42.3537533)",,,,
61341739,61494915,0,333071936,True,1,,Washington Street,secondary,25 mph,16.8,5.669,"LINESTRING (-71.06223199999999 42.353823, -71.062191 42.353864)",,,,
61342314,4687378978,0,286489353,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,15.187,"LINESTRING (-71.08870279999999 42.3492706, -71.0887599 42.3494005)",,,,
61342314,7550355829,0,8645337,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,8.727,"LINESTRING (-71.08870279999999 42.3492706, -71.0886715 42.3491956)",yes,,,
61342821,61342823,0,507646761,False,4,,Massachusetts Avenue,secondary,25 mph,29.0,56.416,"LINESTRING (-71.0868444 42.345461, -71.087062 42.3459422)",,,,
61342821,1325750492,0,485286877,False,4,,Massachusetts Avenue,secondary,25 mph,29.0,65.89,"LINESTRING (-71.0868444 42.345461, -71.08657119999999 42.3449039)",,,,
61342823,7725900994,0,507646761,False,4,,Massachusetts Avenue,secondary,25 mph,29.0,51.114,"LINESTRING (-71.087062 42.3459422, -71.0872742 42.3463743)",,,,
61342823,61342821,0,507646761,False,4,,Massachusetts Avenue,secondary,25 mph,29.0,56.416,"LINESTRING (-71.087062 42.3459422, -71.0868444 42.345461)",,,,
