u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,tunnel,bridge,service,access
61340777,7640821569,0,485271442,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,7.498,"LINESTRING (-71.08947809999999 42.3508433, -71.089512 42.3509059)",,,,
61340777,61364897,0,825263829,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,46.766,"LINESTRING (-71.08947809999999 42.3508433, -71.08944030000001 42.3507805, -71.0894246 42.3507568, -71.0892724 42.3504514)",,,,
61340777,61341715,0,485271439,True,2,,Beacon Street,secondary,25 mph,7.3,188.10000000000002,"LINESTRING (-71.08947809999999 42.3508433, -71.08961050000001 42.3508069, -71.0914915 42.3502988, -71.0915272 42.3502908, -71.09162910000001 42.3502651)",,,,
61340937,2501119764,0,242652627,False,4,,Stuart Street,secondary,25 mph,20.7,124.749,"LINESTRING (-71.0649238 42.3510563, -71.06508100000001 42.3510643, -71.0658057 42.3510992, -71.0659014 42.3511036, -71.0659967 42.351103, -71.06608730000001 42.3510957, -71.06616990000001 42.3510837, -71.06624650000001 42.3510679, -71.06642600000001 42.3510261)",,,,
61340937,61340937,0,"[242660643, 426831019, 242633873, 242632754, 8651676]",True,"['3', '2']",,"['Kneeland Street', 'Stuart Street']",secondary,25 mph,"['22.0', '20.7']",432.88500000000005,"LINESTRING (-71.0649238 42.3510563, -71.06487250000001 42.351039, -71.06480790000001 42.3510258, -71.06477169999999 42.3510191, -71.0647079 42.3510116, -71.0643584 42.3509899, -71.0638543 42.3509503, -71.06324170000001 42.3508953, -71.0630644 42.3508794, -71.062941 42.3508681, -71.06262839999999 42.3508393, -71.0625409 42.3508347, -71.0624483 42.3508319, -71.062327 42.3508289, -71.0624402 42.3508752, -71.06252910000001 42.3509021, -71.0626274 42.3509207, -71.0628981 42.3509476, -71.0630014 42.3509579, -71.06313369999999 42.3509693, -71.0646067 42.3510963, -71.06467859999999 42.3510991, -71.06474830000001 42.3510985, -71.06479400000001 42.3510928, -71.0648613 42.3510783, -71.0649238 42.3510563)",,,,
61349182,61355935,0,"[802333195, 86479795, 802333196]",True,1,MA 2,Commonwealth Avenue,primary_link,15 mph,3.5,319.77000000000004,"LINESTRING (-71.0906276 42.3488573, -71.09039370000001 42.3488715, -71.09023569999999 42.3488914, -71.09011750000001 42.3489112, -71.0899376 42.348948, -71.0898141 42.3489729, -71.089688 42.348994, -71.0895927 42.3490058, -71.089505 42.349012, -71.0893854 42.3490188, -71.0892363 42.3490257, -71.0890701 42.3490275, -71.0887908 42.3490501, -71.0886222 42.3490666, -71.088446 42.349096, -71.0882805 42.3491289, -71.08814099999999 42.3491595, -71.0880064 42.3491968, -71.08788970000001 42.3492266, -71.0877765 42.3492525, -71.0876325 42.3492832, -71.08749 42.3493036, -71.0873382 42.3493161, -71.087194 42.349321, -71.086815 42.349368)",yes,,,
61352744,61364897,0,"[286489353, 825263829]",False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,87.702,"LINESTRING (-71.0889091 42.3497098, -71.0890453 42.3499843, -71.0890583 42.35001, -71.0890854 42.3500678, -71.0891139 42.3501285, -71.0891247 42.3501523, -71.0892724 42.3504514)",,,,
61352744,61350914,0,"[286489353, 8645337, 91998191]",False,4,MA 2A,Massachusetts Avenue,"['primary', 'secondary']",25 mph,29.0,145.606,"LINESTRING (-71.0889091 42.3497098, -71.0887724 42.3494292, -71.0887599 42.3494005, -71.08870279999999 42.3492706, -71.0886715 42.3491956, -71.08856160000001 42.3489803, -71.08852400000001 42.3489067, -71.08847799999999 42.3488266, -71.088465 42.3487979, -71.0883049 42.3484792)",,yes,,
61352744,61352754,0,117737178,False,1,,Public Alley 905,service,15 mph,2.7,84.356,"LINESTRING (-71.0889091 42.3497098, -71.089055 42.3496887, -71.08918079999999 42.3496559, -71.0892642 42.3496419, -71.0893114 42.3496409, -71.0893894 42.3496458, -71.0894978 42.3496523, -71.0895788 42.3496639, -71.089662 42.3498466, -71.0896886 42.3499034)",,,alley,
61364897,61340777,0,825263829,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,46.766,"LINESTRING (-71.0892724 42.3504514, -71.0894246 42.3507568, -71.08944030000001 42.3507805, -71.08947809999999 42.3508433)",,,,
61364897,61352744,0,"[286489353, 825263829]",False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,87.702,"LINESTRING (-71.0892724 42.3504514, -71.0891247 42.3501523, -71.0891139 42.3501285, -71.0890854 42.3500678, -71.0890583 42.35001, -71.0890453 42.3499843, -71.0889091 42.3497098)",,,,
61364897,61350443,0,8648352,False,1,,Public Alley 908,service,15 mph,2.7,183.979,"LINESTRING (-71.0892724 42.3504514, -71.089412 42.3504123, -71.0902334 42.3501953, -71.0904721 42.3501473, -71.0909748 42.3500667, -71.090985 42.3500649, -71.0909944 42.3500625, -71.0910026 42.350059, -71.0910085 42.3500557, -71.0910148 42.3500505, -71.0910196 42.3500446, -71.0910227 42.350038, -71.09102420000001 42.3500303, -71.09101680000001 42.3498144, -71.0910118 42.3497501)",,,alley,
1038844829,7640821569,0,485271442,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,58.972,"LINESTRING (-71.0897609 42.3514033, -71.0897398 42.3513602, -71.0895465 42.3509714, -71.08952530000001 42.3509297, -71.089512 42.3509059)",,,,
1818197688,4073403110,0,"[507646761, 43100852, 485286877, 677146071]",False,"['4', '2']",,"['Falmouth Street', 'Massachusetts Avenue']","['service', 'secondary']","['25 mph', '10 mph']","['29.0', '10']",568.4219999999999,"LINESTRING (-71.0877461 42.347299, -71.0876875 42.3471854, -71.0876762 42.3471625, -71.0875556 42.3469108, -71.08744799999999 42.3466983, -71.0874244 42.3466542, -71.0874081 42.3466254, -71.0873641 42.346548, -71.0873357 42.346496, -71.0873017 42.34643, -71.0872742 42.3463743, -71.087062 42.3459422, -71.0868444 42.345461, -71.08657119999999 42.3449039, -71.0861163 42.3439793, -71.0859079 42.3435735, -71.0858952 42.343548, -71.08583969999999 42.3434377, -71.08578850000001 42.3433687, -71.08565280000001 42.3434255, -71.08563650000001 42.3434371, -71.0854975 42.3435444, -71.0853599 42.3436593, -71.0850708 42.3434623, -71.085049 42.3434497, -71.0850161 42.343437, -71.08498160000001 42.3434304, -71.08493850000001 42.3434344, -71.0849036 42.3434492, -71.08487580000001 42.3434677, -71.0848431 42.3434918)",,,driveway,yes
