y,x,osmid,highway,ref,geometry
42.3508433,-71.0894781,61340777,,,POINT (-71.08947809999999 42.3508433)
42.3510563,-71.0649238,61340937,traffic_signals,,POINT (-71.0649238 42.3510563)
42.35345,-71.062461,61341735,,,POINT (-71.062461 42.35345)
42.3532476,-71.062527,61341736,traffic_signals,,POINT (-71.062527 42.3532476)
42.353586,-71.062387,61341737,,,POINT (-71.062387 42.353586)
42.353741,-71.062288,61341738,,,POINT (-71.062288 42.353741)
42.353823,-71.062232,61341739,,,POINT (-71.06223199999999 42.353823)
42.3492706,-71.0887028,61342314,,,POINT (-71.08870279999999 42.3492706)
42.345461,-71.0868444,61342821,,,POINT (-71.0868444 42.345461)
42.3459422,-71.087062,61342823,,,POINT (-71.087062 42.3459422)
42.346496,-71.0873357,61342883,,,POINT (-71.0873357 42.346496)
42.3540716,-71.0619924,61348124,,,POINT (-71.06199239999999 42.3540716)
42.3488573,-71.0906276,61349182,,,POINT (-71.0906276 42.3488573)
42.3497098,-71.0889091,61352744,,,POINT (-71.0889091 42.3497098)
42.3523963,-71.0625872,61354255,,,POINT (-71.0625872 42.3523963)
42.351916,-71.062713,61354257,,,POINT (-71.062713 42.351916)
42.3500678,-71.0890854,61354678,,,POINT (-71.0890854 42.3500678)
42.3466254,-71.0874081,61355328,,,POINT (-71.0874081 42.3466254)
42.3469108,-71.0875556,61355329,,,POINT (-71.0875556 42.3469108)
42.3490501,-71.0887908,61355948,,,POINT (-71.0887908 42.3490501)
42.3490257,-71.0892363,61355951,,,POINT (-71.0892363 42.3490257)
42.3490275,-71.0890701,61355953,,,POINT (-71.0890701 42.3490275)
42.349012,-71.089505,61355968,,,POINT (-71.089505 42.349012)
42.348994,-71.089688,61355970,,,POINT (-71.089688 42.348994)
42.348948,-71.0899376,61355971,,,POINT (-71.0899376 42.348948)
42.3489112,-71.0901175,61355974,,,POINT (-71.09011750000001 42.3489112)
42.3510957,-71.0660873,61364147,,,POINT (-71.06608730000001 42.3510957)
42.3510679,-71.0662465,61364181,,,POINT (-71.06624650000001 42.3510679)
42.3504514,-71.0892724,61364897,,,POINT (-71.0892724 42.3504514)
42.3510992,-71.0658057,61366552,,,POINT (-71.0658057 42.3510992)
42.351103,-71.0659967,61366554,,,POINT (-71.0659967 42.351103)
42.353099,-71.062537,61375918,,,POINT (-71.06253700000001 42.353099)
42.3525863,-71.0625674,61376156,,,POINT (-71.06256740000001 42.3525863)
42.352837,-71.062553,61376161,,,POINT (-71.06255299999999 42.352837)
42.353039,-71.062544,61376167,,,POINT (-71.062544 42.353039)
42.3638333,-71.122189,61451006,,,POINT (-71.12218900000001 42.3638333)
42.354348,-71.061732,61468989,,,POINT (-71.06173200000001 42.354348)
42.353864,-71.062191,61494915,traffic_signals,,POINT (-71.062191 42.353864)
