u,v,key,osmid,lanes,name,highway,maxspeed,width,oneway,length,geometry,service,access,ref,tunnel,bridge
61339260,61508661,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,18.427,"LINESTRING (-71.10036100000001 42.319446, -71.100222 42.319576)",,,,,
61339260,61466944,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,24.78,"LINESTRING (-71.10036100000001 42.319446, -71.100533 42.319263)",,,,,
61339396,61339426,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,25.899,"LINESTRING (-71.10177 42.317751, -71.101545 42.317914)",,,,,
61339396,2296986603,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,35.283,"LINESTRING (-71.10177 42.317751, -71.10206100000001 42.3175178)",,,,,
61339426,4006745838,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,18.669,"LINESTRING (-71.101545 42.317914, -71.101389 42.318036)",,,,,
61339426,61339396,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,25.899,"LINESTRING (-71.101545 42.317914, -71.10177 42.317751)",,,,,
61339428,61465487,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,20.628,"LINESTRING (-71.10124999999999 42.31825, -71.101195 42.318431)",,,,,
61339428,61339430,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.654,"LINESTRING (-71.10124999999999 42.31825, -71.101314 42.318127)",,,,,
61339430,61339428,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.654,"LINESTRING (-71.101314 42.318127, -71.10124999999999 42.31825)",,,,,
61339430,4006745838,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,11.85,"LINESTRING (-71.101314 42.318127, -71.101389 42.318036)",,,,,
61339500,61466932,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,21.294,"LINESTRING (-71.10094100000001 42.318872, -71.10078 42.319022)",,,,,
61339500,61465612,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.789,"LINESTRING (-71.10094100000001 42.318872, -71.101038 42.31876)",,,,,
61339706,2947295768,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,15.365,"LINESTRING (-71.03473889999999 42.3724678, -71.034617 42.3725726)",,,,,
61339706,7003018973,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,6.794,"LINESTRING (-71.03473889999999 42.3724678, -71.0347919 42.3724209)",,,,,
61339711,2947259879,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,4.968,"LINESTRING (-71.0365487 42.3709128, -71.03650930000001 42.3709467)",,,,,
61339711,6895984745,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,5.502,"LINESTRING (-71.0365487 42.3709128, -71.0365924 42.3708753)",,,,,
61340072,61340074,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,15.392,"LINESTRING (-71.10360900000001 42.31609, -71.103499 42.316202)",,,,,
61340072,61347649,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,61.491,"LINESTRING (-71.10360900000001 42.31609, -71.10403599999999 42.315636)",,,,,
61340074,6150368046,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,35.224,"LINESTRING (-71.103499 42.316202, -71.10326019999999 42.316465)",,,,,
61340074,61340072,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,15.392,"LINESTRING (-71.103499 42.316202, -71.10360900000001 42.31609)",,,,,
61340187,6150368045,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,7.81,"LINESTRING (-71.10312500000001 42.316614, -71.1030619 42.3166665)",,,,,
61340187,5270268804,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,4.477,"LINESTRING (-71.10312500000001 42.316614, -71.10315540000001 42.3165806)",,,,,
61340504,7629652940,0,742685025,,Devonshire Place,service,10 mph,,False,2.309,"LINESTRING (-71.0578422 42.3582966, -71.0578141 42.3582963)",driveway,,,,
61340637,7630710997,0,814395974,1,Mount Vernon Street,service,10 mph,8.8,False,7.627,"LINESTRING (-71.06286299999999 42.3586253, -71.0629539 42.3586114)",driveway,no,,,
61340907,7637468438,0,56208206,,Dorchester Avenue,service,10 mph,,False,9.449,"LINESTRING (-71.0528831 42.3513762, -71.0529191 42.3512955)",driveway,,,,
61341133,61500076,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.684,"LINESTRING (-71.10562400000001 42.312624, -71.105559 42.312747)",,,,,
61341133,1922934693,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,6.103,"LINESTRING (-71.10562400000001 42.312624, -71.1056521 42.3125732)",,,,,
61341939,61470822,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,26.534,"LINESTRING (-71.106998 42.310463, -71.106858 42.310678)",,,,,
61341939,61341942,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,58.785,"LINESTRING (-71.106998 42.310463, -71.10732 42.309991)",,,,,
61341942,61341939,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,58.785,"LINESTRING (-71.10732 42.309991, -71.106998 42.310463)",,,,,
61342112,5599241946,0,492483292,2,Trinity Place,residential,10 mph,6,False,10.758,"LINESTRING (-71.0753866 42.3486057, -71.0753562 42.3485116)",,yes,,,
61342122,7725858384,0,827546726,,,service,10 mph,,False,5.093,"LINESTRING (-71.0866711 42.3464009, -71.0866705 42.3463551)",alley,,,,
61342394,7011973226,0,203024474,,,service,10 mph,,False,8.684,"LINESTRING (-71.05705810000001 42.3495392, -71.0569572 42.349516)",,,,,
