y,x,osmid,highway,ref,geometry
42.319446,-71.100361,61339260,,,POINT (-71.10036100000001 42.319446)
42.317751,-71.10177,61339396,,,POINT (-71.10177 42.317751)
42.317914,-71.101545,61339426,,,POINT (-71.101545 42.317914)
42.31825,-71.10125,61339428,traffic_signals,,POINT (-71.10124999999999 42.31825)
42.318127,-71.101314,61339430,,,POINT (-71.101314 42.318127)
42.318872,-71.100941,61339500,,,POINT (-71.10094100000001 42.318872)
42.3724678,-71.0347389,61339706,,,POINT (-71.03473889999999 42.3724678)
42.3709128,-71.0365487,61339711,,,POINT (-71.0365487 42.3709128)
42.31609,-71.103609,61340072,,,POINT (-71.10360900000001 42.31609)
42.316202,-71.103499,61340074,,,POINT (-71.103499 42.316202)
42.316614,-71.103125,61340187,traffic_signals,,POINT (-71.10312500000001 42.316614)
42.3582966,-71.0578422,61340504,,,POINT (-71.0578422 42.3582966)
42.3586253,-71.062863,61340637,,,POINT (-71.06286299999999 42.3586253)
42.3513762,-71.0528831,61340907,,,POINT (-71.0528831 42.3513762)
42.312624,-71.105624,61341133,,,POINT (-71.10562400000001 42.312624)
42.310463,-71.106998,61341939,traffic_signals,,POINT (-71.106998 42.310463)
42.309991,-71.10732,61341942,,,POINT (-71.10732 42.309991)
42.3486057,-71.0753866,61342112,,,POINT (-71.0753866 42.3486057)
42.3464009,-71.0866711,61342122,,,POINT (-71.0866711 42.3464009)
42.3495392,-71.0570581,61342394,traffic_signals,,POINT (-71.05705810000001 42.3495392)
42.3449702,-71.065315,61342548,,,POINT (-71.065315 42.3449702)
42.3444913,-71.0640193,61342554,,,POINT (-71.0640193 42.3444913)
42.3455347,-71.0842051,61342892,crossing,,POINT (-71.08420510000001 42.3455347)
42.3366458,-71.1068028,61343022,,,POINT (-71.1068028 42.3366458)
42.3373059,-71.1071423,61343470,,,POINT (-71.10714230000001 42.3373059)
42.3433687,-71.0857885,61344058,,,POINT (-71.08578850000001 42.3433687)
42.337783,-71.1051413,61344227,traffic_signals,,POINT (-71.1051413 42.337783)
42.3664923,-71.0504089,61344384,,,POINT (-71.05040889999999 42.3664923)
42.377764,-71.0285749,61345671,,,POINT (-71.0285749 42.377764)
42.3766218,-71.0299043,61345673,,,POINT (-71.0299043 42.3766218)
42.3753735,-71.0313572,61346693,,,POINT (-71.0313572 42.3753735)
42.3741282,-71.0328065,61346715,,,POINT (-71.03280650000001 42.3741282)
42.3792678,-71.0272653,61346818,,,POINT (-71.0272653 42.3792678)
42.315014,-71.104515,61347646,,,POINT (-71.10451500000001 42.315014)
42.3144691,-71.1048069,61347647,,,POINT (-71.1048069 42.3144691)
42.315636,-71.104036,61347649,,,POINT (-71.10403599999999 42.315636)
42.315188,-71.104412,61347651,,,POINT (-71.104412 42.315188)
42.315351,-71.104283,61347652,,,POINT (-71.104283 42.315351)
42.30483,-71.10911,61349140,,,POINT (-71.10911 42.30483)
42.3488573,-71.0906276,61349182,,,POINT (-71.0906276 42.3488573)
42.3499402,-71.0487998,61349615,,,POINT (-71.0487998 42.3499402)
42.292746,-71.140884,61349947,,,POINT (-71.140884 42.292746)
42.3705405,-71.0618251,61350197,,,POINT (-71.06182509999999 42.3705405)
42.3728192,-71.03433,61350327,,,POINT (-71.03433 42.3728192)
42.3497501,-71.0910118,61350443,,,POINT (-71.0910118 42.3497501)
42.3697196,-71.0379373,61350605,,,POINT (-71.0379373 42.3697196)
42.366218,-71.0598143,61350635,,,POINT (-71.0598143 42.366218)
42.3484792,-71.0883049,61350914,,,POINT (-71.0883049 42.3484792)
42.349146,-71.0858482,61350924,,,POINT (-71.0858482 42.349146)
42.3516602,-71.073255,61351222,,,POINT (-71.073255 42.3516602)
42.3667514,-71.051774,61352286,,,POINT (-71.05177399999999 42.3667514)
42.3799445,-71.0254075,61352714,traffic_signals,,POINT (-71.0254075 42.3799445)
42.3800377,-71.0254789,61352716,traffic_signals,,POINT (-71.0254789 42.3800377)
42.3497098,-71.0889091,61352744,,,POINT (-71.0889091 42.3497098)
42.3499034,-71.0896886,61352754,,,POINT (-71.0896886 42.3499034)
42.3496639,-71.0895788,61352756,,,POINT (-71.0895788 42.3496639)
42.3496458,-71.0893894,61352758,,,POINT (-71.0893894 42.3496458)
42.3496559,-71.0891808,61352760,,,POINT (-71.08918079999999 42.3496559)
42.3524752,-71.0785458,61352839,,,POINT (-71.0785458 42.3524752)
42.3518993,-71.080673,61352841,,,POINT (-71.080673 42.3518993)
42.3544154,-71.0746033,61352843,,,POINT (-71.07460330000001 42.3544154)
42.273795,-71.122435,61353025,,,POINT (-71.122435 42.273795)
42.3523006,-71.0709064,61353152,,,POINT (-71.0709064 42.3523006)
42.3538353,-71.0767588,61353260,,,POINT (-71.07675879999999 42.3538353)
42.3515298,-71.0852991,61353347,,,POINT (-71.0852991 42.3515298)
42.3520548,-71.0833472,61353349,,,POINT (-71.08334720000001 42.3520548)
42.3685177,-71.0389081,61353435,,,POINT (-71.0389081 42.3685177)
42.3499331,-71.0797096,61353525,,,POINT (-71.0797096 42.3499331)
42.3505044,-71.0775526,61353527,,,POINT (-71.0775526 42.3505044)
42.3512833,-71.0779301,61353529,,,POINT (-71.0779301 42.3512833)
42.3532497,-71.0789191,61353530,,,POINT (-71.07891909999999 42.3532497)
