y,x,osmid,highway,ref,geometry
42.3676084,-71.0218168,30730954,,,POINT (-71.0218168 42.3676084)
42.3821495,-71.0808776,61178875,,,POINT (-71.08087759999999 42.3821495)
42.3725162,-71.0702749,61322576,,,POINT (-71.0702749 42.3725162)
42.3725511,-71.0703797,61331317,,,POINT (-71.0703797 42.3725511)
42.3559941,-70.9686451,61338328,,,POINT (-70.9686451 42.3559941)
42.3188497,-71.0595759,61339242,,,POINT (-71.0595759 42.3188497)
42.3186739,-71.0588389,61339246,,,POINT (-71.0588389 42.3186739)
42.318805,-71.112146,61339248,,,POINT (-71.112146 42.318805)
42.319106,-71.111934,61339258,,,POINT (-71.11193400000001 42.319106)
42.319446,-71.100361,61339260,,,POINT (-71.10036100000001 42.319446)
42.319555,-71.070666,61339263,traffic_signals,,POINT (-71.070666 42.319555)
42.3190756,-71.0996498,61339265,,,POINT (-71.09964979999999 42.3190756)
42.318947,-71.069698,61339269,,,POINT (-71.069698 42.318947)
42.3189222,-71.0551882,61339277,,,POINT (-71.0551882 42.3189222)
42.3189127,-71.0555577,61339280,,,POINT (-71.05555769999999 42.3189127)
42.31954,-71.111669,61339282,traffic_signals,,POINT (-71.11166900000001 42.31954)
42.3189482,-71.0538605,61339286,,,POINT (-71.0538605 42.3189482)
42.3189643,-71.05451,61339288,,,POINT (-71.05450999999999 42.3189643)
42.319602,-71.11031,61339292,,,POINT (-71.11031 42.319602)
42.3190559,-71.0532163,61339305,,,POINT (-71.0532163 42.3190559)
42.31917,-71.109406,61339318,,,POINT (-71.10940600000001 42.31917)
42.320732,-71.081621,61339320,traffic_signals,,POINT (-71.081621 42.320732)
42.319284,-71.077749,61339322,,,POINT (-71.077749 42.319284)
42.319059,-71.077751,61339324,,,POINT (-71.07775100000001 42.319059)
42.31935,-71.06644,61339328,,,POINT (-71.06644 42.31935)
42.319164,-71.086017,61339341,traffic_signals,,POINT (-71.086017 42.319164)
42.319204,-71.103916,61339342,,,POINT (-71.103916 42.319204)
42.31926,-71.065627,61339344,,,POINT (-71.06562700000001 42.31926)
42.3190745,-71.0658351,61339346,,,POINT (-71.0658351 42.3190745)
42.319661,-71.104579,61339350,,,POINT (-71.104579 42.319661)
42.3198644,-71.0567597,61339352,,,POINT (-71.0567597 42.3198644)
42.318407,-71.07664,61339354,,,POINT (-71.07664 42.318407)
42.3190836,-71.0567451,61339355,,,POINT (-71.0567451 42.3190836)
42.3191184,-71.0576893,61339359,,,POINT (-71.05768930000001 42.3191184)
42.319831,-71.085975,61339365,,,POINT (-71.085975 42.319831)
42.319344,-71.076492,61339370,,,POINT (-71.076492 42.319344)
