u,v,key,osmid,name,highway,oneway,length,geometry,bridge,lanes,width,tunnel,maxspeed,junction,ref,access
56672809,317182758,0,307501411,Görgey Artúr út,tertiary,False,16.734,"LINESTRING (19.0934832 47.5649798, 19.0932602 47.5649771)",,,,,,,,
56672809,6321959674,0,396191469,Görgey Artúr út,tertiary,False,65.502,"LINESTRING (19.0934832 47.5649798, 19.0943557 47.5650001)",,,,,,,,
146967797,1382915959,0,133323463,Röppentyű utca,tertiary,False,23.439,"LINESTRING (19.0781544 47.5417854, 19.0780903 47.5415791)",,,,,,,,
146967797,1673542026,0,154893454,Göncöl utca,tertiary,True,27.605,"LINESTRING (19.0781544 47.5417854, 19.0782575 47.5420237)",,,,,,,,
317182758,56672809,0,307501411,Görgey Artúr út,tertiary,False,16.734,"LINESTRING (19.0932602 47.5649771, 19.0934832 47.5649798)",,,,,,,,
1251658328,5887919087,0,396191468,Görgey Artúr út,tertiary,False,33.251,"LINESTRING (19.0996249 47.5651378, 19.1000678 47.5651483)",,,,,,,,
1382915959,1387110890,0,133323461,Röppentyű utca,tertiary,False,22.74,"LINESTRING (19.0780903 47.5415791, 19.077999 47.5413841)",yes,,,,,,,
1382915959,146967797,0,133323463,Röppentyű utca,tertiary,False,23.439,"LINESTRING (19.0780903 47.5415791, 19.0781544 47.5417854)",,,,,,,,
1387110890,1382915959,0,133323461,Röppentyű utca,tertiary,False,22.74,"LINESTRING (19.077999 47.5413841, 19.0780903 47.5415791)",yes,,,,,,,
1387110890,1673542004,0,255610313,,cycleway,False,7.277,"LINESTRING (19.077999 47.5413841, 19.0779077 47.5414061)",,,,,,,,
1387110890,1673542000,0,255610313,,cycleway,False,4.62,"LINESTRING (19.077999 47.5413841, 19.0780477 47.5413587)",,,,,,,,
1387110890,1673541996,0,595423741,Röppentyű utca,tertiary,False,9.547,"LINESTRING (19.077999 47.5413841, 19.077956 47.5413033)",,,,,,,,
3988229466,3989890564,0,396191464,Görgey Artúr út,tertiary,False,31.469,"LINESTRING (19.1062518 47.5653223, 19.1058329 47.5653082)",,,,,,,,
3988229466,3989890565,0,396191463,Görgey Artúr út,tertiary,False,29.613,"LINESTRING (19.1062518 47.5653223, 19.1066461 47.5653341)",,,,,,,,
3988244456,5887919087,0,396191468,Görgey Artúr út,tertiary,False,16.223,"LINESTRING (19.1002839 47.5651533, 19.1000678 47.5651483)",,,,,,,,
3988244456,5887918282,0,396191465,Görgey Artúr út,tertiary,False,12.497,"LINESTRING (19.1002839 47.5651533, 19.1004504 47.5651565)",,,,,,,,
3989890564,3988229466,0,396191464,Görgey Artúr út,tertiary,False,31.469,"LINESTRING (19.1058329 47.5653082, 19.1062518 47.5653223)",,,,,,,,
5887919087,1251658328,0,396191468,Görgey Artúr út,tertiary,False,33.251,"LINESTRING (19.1000678 47.5651483, 19.0996249 47.5651378)",,,,,,,,
5887919087,3988244456,0,396191468,Görgey Artúr út,tertiary,False,16.223,"LINESTRING (19.1000678 47.5651483, 19.1002839 47.5651533)",,,,,,,,
244965267,5298208269,0,548430444,Leányfalu utca,residential,True,71.264,"LINESTRING (19.0467062 47.5542014, 19.0464224 47.5535898)",,1,,,,,,
244965430,244965432,0,22790895,Leányfalu utca,residential,True,35.687,"LINESTRING (19.0473717 47.5556129, 19.0472411 47.5553043)",,,,,,,,
244965430,3025989016,0,298687768,,cycleway,False,2.511,"LINESTRING (19.0473717 47.5556129, 19.0473759 47.5556353)",,,,,,,,
244965432,285260283,0,22790895,Leányfalu utca,residential,True,54.906,"LINESTRING (19.0472411 47.5553043, 19.0470356 47.5548304)",,,,,,,,
272878389,5760081152,0,140580760,Gogol utca,residential,True,1.647,"LINESTRING (19.0544732 47.5211524, 19.0544525 47.5211573)",,,,,,,,
285260283,244965267,0,22790895,Leányfalu utca,residential,True,74.182,"LINESTRING (19.0470356 47.5548304, 19.0467062 47.5542014)",,,,,,,,
361508917,6321959674,0,396191469,Görgey Artúr út,tertiary,False,34.081,"LINESTRING (19.0948097 47.56501, 19.0943557 47.5650001)",,,,,,,,
3034326439,5308789533,0,549593750,,cycleway,False,7.189,"LINESTRING (19.0464033 47.5535486, 19.0463084 47.5535574)",,,,,,,,
3034326439,5298190822,0,680481385,,cycleway,False,5.99,"LINESTRING (19.0464033 47.5535486, 19.046482 47.5535396)",,,,,,,,
3479942063,1531806588,0,340741085,Gogol utca,residential,True,12.117,"LINESTRING (19.0543171 47.5211891, 19.0541648 47.5212251)",,,,,,,,
4366791704,6018413595,0,439055495,János utca,tertiary,True,33.445,"LINESTRING (19.1662935 47.529214, 19.166536 47.5289617)",,,,,,,,
5298208269,3034326439,0,548430444,Leányfalu utca,residential,True,4.8,"LINESTRING (19.0464224 47.5535898, 19.0464033 47.5535486)",,1,,,,,,
5760081152,3479942063,0,140580760,Gogol utca,residential,True,10.765,"LINESTRING (19.0544525 47.5211573, 19.0543171 47.5211891)",,,,,,,,
6018413595,32020618,0,638601501,János utca,tertiary,True,74.819,"LINESTRING (19.166536 47.5289617, 19.1670721 47.5283945)",,3,,,,,,
6321959674,56672809,0,396191469,Görgey Artúr út,tertiary,False,65.502,"LINESTRING (19.0943557 47.5650001, 19.0934832 47.5649798)",,,,,,,,
6321959674,361508917,0,396191469,Görgey Artúr út,tertiary,False,34.081,"LINESTRING (19.0943557 47.5650001, 19.0948097 47.56501)",,,,,,,,
9524847,4191236763,0,418901938,,cycleway,True,11.675,"LINESTRING (19.1538668 47.4668038, 19.154 47.4668578)",,,,,,,,
9524872,3436694212,0,298885657,,cycleway,False,5.709,"LINESTRING (19.1494499 47.4618942, 19.1493971 47.4619311)",,,,,,,,
9524872,3474289383,0,298885657,,cycleway,False,10.002,"LINESTRING (19.1494499 47.4618942, 19.1495739 47.4618616)",,,,,,,,
26883777,990473653,0,85445545,,cycleway,False,4.711,"LINESTRING (19.2359001 47.4715834, 19.2358817 47.4715429)",,,,,,,,
26883778,990473685,0,410374333,,cycleway,False,7.499,"LINESTRING (19.2351141 47.4718555, 19.2350663 47.4717963)",,,,,,,,
26884528,1307321828,0,115804297,,cycleway,False,73.588,"LINESTRING (19.2544892 47.4827007, 19.254651 47.4833534)",,,,,,,,
26907586,3038533377,0,792548872,,cycleway,False,4.42,"LINESTRING (19.2547505 47.4760327, 19.2546966 47.4760486)",,,,,,,,
32015015,3789842927,0,375632839,,cycleway,False,7.011,"LINESTRING (19.1154286 47.5638538, 19.1154061 47.563915)",,,,,,,,
32015021,2005292179,0,299640195,,cycleway,False,5.619,"LINESTRING (19.1148431 47.5637092, 19.1148226 47.5637578)",,,,,,,,
32015040,1666706249,0,154074612,,cycleway,False,4.676,"LINESTRING (19.1309545 47.565546, 19.1309995 47.5655169)",,,,,,,,
32015040,1666704770,0,154074612,,cycleway,False,8.034,"LINESTRING (19.1309545 47.565546, 19.1308788 47.5655971)",,,,,,,,
35523879,3479692623,0,59504944,,cycleway,False,4.665,"LINESTRING (19.0452358 47.49122, 19.0452608 47.4911816)",,,,,,,,
36688321,5947836849,0,24438880,,cycleway,False,2.659,"LINESTRING (18.9633321 47.5448083, 18.9633501 47.5448289)",,,,,,,,
36689053,1376699785,0,615763437,,cycleway,False,24.425,"LINESTRING (18.9749267 47.5391091, 18.9751372 47.5389416)",,,,,,,,
36689053,1376699643,0,615763437,,cycleway,False,33.503,"LINESTRING (18.9749267 47.5391091, 18.9745036 47.539205)",,,,,,,,
36689054,36689055,0,615763437,,cycleway,False,85.826,"LINESTRING (18.9755614 47.538452, 18.9759928 47.5377372)",,,,,,,,
36689054,1376699710,0,615763437,,cycleway,False,45.908,"LINESTRING (18.9755614 47.538452, 18.9753008 47.5388255)",,,,,,,,
36689055,1376699565,0,615763437,,cycleway,False,16.488,"LINESTRING (18.9759928 47.5377372, 18.9761357 47.5376246)",,,,,,,,
36689055,36689054,0,615763437,,cycleway,False,85.826,"LINESTRING (18.9759928 47.5377372, 18.9755614 47.538452)",,,,,,,,
36689056,36689057,0,615763437,,cycleway,False,67.941,"LINESTRING (18.9763507 47.5375314, 18.9770775 47.5371673)",,,,,,,,
36689056,1376699565,0,615763437,,cycleway,False,19.18,"LINESTRING (18.9763507 47.5375314, 18.9761357 47.5376246)",,,,,,,,
36689057,36689058,0,615763437,,cycleway,False,33.771,"LINESTRING (18.9770775 47.5371673, 18.9774833 47.5370362)",,,,,,,,
36689057,36689056,0,615763437,,cycleway,False,67.941,"LINESTRING (18.9770775 47.5371673, 18.9763507 47.5375314)",,,,,,,,
36689058,36689059,0,615763437,,cycleway,False,14.549,"LINESTRING (18.9774833 47.5370362, 18.9776633 47.5369877)",,,,,,,,
36689058,36689057,0,615763437,,cycleway,False,33.771,"LINESTRING (18.9774833 47.5370362, 18.9770775 47.5371673)",,,,,,,,
36689059,36689060,0,615763437,,cycleway,False,46.752,"LINESTRING (18.9776633 47.5369877, 18.9782482 47.5368433)",,,,,,,,
36689059,36689058,0,615763437,,cycleway,False,14.549,"LINESTRING (18.9776633 47.5369877, 18.9774833 47.5370362)",,,,,,,,
36689060,36689061,0,615763437,,cycleway,False,38.495,"LINESTRING (18.9782482 47.5368433, 18.9786748 47.5366512)",,,,,,,,
36689060,36689059,0,615763437,,cycleway,False,46.752,"LINESTRING (18.9782482 47.5368433, 18.9776633 47.5369877)",,,,,,,,
36689061,1376699691,0,615763437,,cycleway,False,43.251,"LINESTRING (18.9786748 47.5366512, 18.9790852 47.5363782)",,,,,,,,
36689061,36689060,0,615763437,,cycleway,False,38.495,"LINESTRING (18.9786748 47.5366512, 18.9782482 47.5368433)",,,,,,,,
36689151,36689152,0,615763437,,cycleway,False,55.795,"LINESTRING (18.9675104 47.540763, 18.9682308 47.5406394)",,,,,,,,
36689151,344795953,0,615763437,,cycleway,False,16.526,"LINESTRING (18.9675104 47.540763, 18.9673025 47.5408119)",,,,,,,,
36689152,1376699760,0,615763437,,cycleway,False,28.665,"LINESTRING (18.9682308 47.5406394, 18.9686026 47.5405806)",,,,,,,,
36689152,36689151,0,615763437,,cycleway,False,55.795,"LINESTRING (18.9682308 47.5406394, 18.9675104 47.540763)",,,,,,,,
36689153,1376699643,0,615763437,,cycleway,False,41.146,"LINESTRING (18.9740186 47.5393774, 18.9745036 47.539205)",,,,,,,,
36689153,1376699663,0,615763437,,cycleway,False,19.633,"LINESTRING (18.9740186 47.5393774, 18.9738101 47.539484)",,,,,,,,
49939753,365102824,0,324046035,,cycleway,False,7.988,"LINESTRING (19.088349 47.4702813, 19.0883607 47.4702099)",,,,,,,,
49939753,741563902,0,324046035,,cycleway,False,8.869,"LINESTRING (19.088349 47.4702813, 19.0883363 47.4703606)",,,,,,,,
50558441,3439043752,0,112552843,,cycleway,False,4.166,"LINESTRING (19.0400229 47.5272732, 19.0400768 47.5272643)",,,,,,,,
50558465,2472039259,0,131564147,,cycleway,False,7.136,"LINESTRING (19.0431263 47.5404185, 19.0431147 47.5403548)",,,,,,,,
50572317,3467369902,0,339515800,,cycleway,True,5.902,"LINESTRING (19.0767587 47.5069787, 19.0767462 47.5069263)",,,,,,,,
59769450,392619167,0,34234093,,cycleway,False,3.257,"LINESTRING (19.0057848 47.4520067, 19.0058281 47.4520074)",,,,,,,,
59769450,2822220283,0,277760679,,cycleway,False,2.968,"LINESTRING (19.0057848 47.4520067, 19.0057454 47.4520051)",,,,,,,,
59771521,839671009,0,50219649,,cycleway,False,4.957,"LINESTRING (19.0600064 47.4769657, 19.0600684 47.4769505)",,,,,,,,
59771521,4801745698,0,50219649,,cycleway,False,2.796,"LINESTRING (19.0600064 47.4769657, 19.05997 47.4769709)",,,,,,,,
59772140,1939912516,0,205832340,EuroVelo-6 budai Duna-parti kerékpárút,cycleway,False,10.15,"LINESTRING (19.060196 47.4782365, 19.0601128 47.4783084)",,,,,,,,
59772140,2281223169,0,205832340,EuroVelo-6 budai Duna-parti kerékpárút,cycleway,False,19.989,"LINESTRING (19.060196 47.4782365, 19.0603526 47.4780912)",,,,,,,,
81219519,3733443514,0,9927864,,cycleway,False,2.3,"LINESTRING (19.0286861 47.5702794, 19.0286989 47.5702982)",,,,,,,,
81219519,5503663563,0,9927864,,cycleway,False,36.772,"LINESTRING (19.0286861 47.5702794, 19.0284253 47.5699994)",,,,,,,,
81240185,1951723049,0,298687759,,cycleway,False,6.847,"LINESTRING (19.0480788 47.5527073, 19.0479951 47.5527318)",,,,,,,,
81241139,299937902,0,27323886,,cycleway,False,4.063,"LINESTRING (19.0629996 47.5646935, 19.0630097 47.5647294)",,,,,,,,
81241139,5051993556,0,333811422,,cycleway,False,5.669,"LINESTRING (19.0629996 47.5646935, 19.0629864 47.5646433)",,,,,,,,
81242550,3997994830,0,40726036,,cycleway,False,2.551,"LINESTRING (19.0613764 47.5648008, 19.0613578 47.56482)",,,,,,,,
81242550,81245664,0,40726036,,cycleway,False,64.622,"LINESTRING (19.0613764 47.5648008, 19.0621972 47.5646247)",,,,,,,,
81245656,5183468090,0,9928665,,cycleway,False,18.129,"LINESTRING (19.0777741 47.560242, 19.0775592 47.5603165)",yes,,,,,,,
81245656,3387087916,0,406050080,,cycleway,False,24.287,"LINESTRING (19.0777741 47.560242, 19.0780588 47.5601381)",,,,,,,,
81245657,3387087929,0,9928665,,cycleway,False,111.976,"LINESTRING (19.074785 47.5610952, 19.0761645 47.5607111)",yes,,,,,,,
81245657,5183468092,0,10901843,,cycleway,False,9.281,"LINESTRING (19.074785 47.5610952, 19.0746917 47.56115)",,,,,,,,
81245657,494789547,0,40726034,,cycleway,False,249.882,"LINESTRING (19.074785 47.5610952, 19.07171 47.561958)",,,,,,,,
