u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,lanes,tunnel,maxspeed,junction,ref,access
146967797,1673542026,0,154893454,True,Göncöl utca,tertiary,27.605,"LINESTRING (19.0781544 47.5417854, 19.0782575 47.5420237)",,,,,,,,
146967797,1387110890,0,"[133323461, 133323463]",False,Röppentyű utca,tertiary,46.179,"LINESTRING (19.0781544 47.5417854, 19.0780903 47.5415791, 19.077999 47.5413841)",yes,,,,,,,
317182758,361508917,0,"[307501411, 396191469]",False,Görgey Artúr út,tertiary,116.317,"LINESTRING (19.0932602 47.5649771, 19.0934832 47.5649798, 19.0943557 47.5650001, 19.0948097 47.56501)",,,,,,,,
1251658328,1389253118,0,"[396191465, 396191468]",False,Görgey Artúr út,tertiary,98.316,"LINESTRING (19.0996249 47.5651378, 19.1000678 47.5651483, 19.1002839 47.5651533, 19.1004504 47.5651565, 19.1009345 47.5651682)",,,,,,,,
1387110890,146967797,0,"[133323461, 133323463]",False,Röppentyű utca,tertiary,46.179,"LINESTRING (19.077999 47.5413841, 19.0780903 47.5415791, 19.0781544 47.5417854)",yes,,,,,,,
1387110890,1673542011,0,"[255610313, 162201379]",False,,cycleway,17.39,"LINESTRING (19.077999 47.5413841, 19.0779077 47.5414061, 19.0777845 47.5414429)",,,,,,,,
1387110890,296202468,0,"[255610313, 717903893, 271437654, 183827641, 37703324]",False,,"['cycleway', 'path']",2305.1539999999995,"LINESTRING (19.077999 47.5413841, 19.0780477 47.5413587, 19.0780898 47.5413115, 19.0781526 47.5412563, 19.0798124 47.5405276, 19.0805512 47.5402267, 19.08334 47.5390906, 19.0842327 47.5386966, 19.0845164 47.5386217, 19.0846529 47.5386047, 19.0847223 47.538571, 19.084771 47.5385467, 19.0848331 47.5385148, 19.0871926 47.5375464, 19.0889239 47.5368526, 19.0889668 47.5368354, 19.0890414 47.5368068, 19.0890807 47.5367915, 19.0909829 47.5360502, 19.0916706 47.5357586, 19.0917111 47.5357325, 19.0917268 47.5356965, 19.0917208 47.5356848, 19.0916686 47.5355825, 19.0914921 47.5352746, 19.0904486 47.5334541, 19.0896232 47.532015, 19.0893981 47.5316224, 19.0890961 47.5310955, 19.0886979 47.5303915, 19.0877367 47.5287583, 19.0873623 47.5280936, 19.087296 47.5279769, 19.0866137 47.5267736, 19.0865568 47.5266739, 19.0865231 47.5266149, 19.0864966 47.5265765, 19.0864692 47.5265369)",,2,,,,,,
1387110890,701843685,0,"[154893460, 595423741]",False,Röppentyű utca,tertiary,20.451999999999998,"LINESTRING (19.077999 47.5413841, 19.077956 47.5413033, 19.0779041 47.5412117)",,,,,,,,
3989890564,3989890565,0,"[396191464, 396191463]",False,Görgey Artúr út,tertiary,61.082,"LINESTRING (19.1058329 47.5653082, 19.1062518 47.5653223, 19.1066461 47.5653341)",,,,,,,,
244965430,3034326439,0,"[548430444, 22790895]",True,Leányfalu utca,residential,240.839,"LINESTRING (19.0473717 47.5556129, 19.0472411 47.5553043, 19.0470356 47.5548304, 19.0467062 47.5542014, 19.0464224 47.5535898, 19.0464033 47.5535486)",,,1,,,,,
244965430,5707527345,0,"[298687768, 384591915]",False,,cycleway,254.627,"LINESTRING (19.0473717 47.5556129, 19.0473759 47.5556353, 19.0456749 47.555713, 19.045837 47.5561233, 19.0460013 47.5566159, 19.046054 47.5566499, 19.0460671 47.556677, 19.0461092 47.5567757, 19.0461114 47.5567823)",,,,,,,,
272878389,727808623,0,"[140580760, 340741085]",True,Gogol utca,residential,111.415,"LINESTRING (19.0544732 47.5211524, 19.0544525 47.5211573, 19.0543171 47.5211891, 19.0541648 47.5212251, 19.05376 47.5213206, 19.0531874 47.5214557, 19.0531448 47.521477, 19.0531033 47.521514)",,,,,,,,
361508917,317182758,0,"[307501411, 396191469]",False,Görgey Artúr út,tertiary,116.31700000000001,"LINESTRING (19.0948097 47.56501, 19.0943557 47.5650001, 19.0934832 47.5649798, 19.0932602 47.5649771)",,,,,,,,
3034326439,3979912500,0,"[330859454, 549593750]",False,,cycleway,287.91900000000004,"LINESTRING (19.0464033 47.5535486, 19.0463084 47.5535574, 19.0453176 47.5536278, 19.0452736 47.5535978, 19.0452552 47.5535275, 19.0452677 47.5534509, 19.0453517 47.5532998, 19.0455122 47.553077, 19.0462206 47.552093, 19.0463243 47.5519508)",,,,,,,,
3034326439,494317068,0,"[680481385, 548430449]",False,,cycleway,156.50099999999998,"LINESTRING (19.0464033 47.5535486, 19.046482 47.5535396, 19.0467883 47.5541968, 19.0470967 47.554828)",,3,,,,,,
4366791704,32020618,0,"[638601501, 439055495]",True,János utca,tertiary,108.26400000000001,"LINESTRING (19.1662935 47.529214, 19.166536 47.5289617, 19.1670721 47.5283945)",,,3,,,,,
9524847,4191236763,0,418901938,True,,cycleway,11.675,"LINESTRING (19.1538668 47.4668038, 19.154 47.4668578)",,,,,,,,
26883777,990473653,0,85445545,False,,cycleway,4.711,"LINESTRING (19.2359001 47.4715834, 19.2358817 47.4715429)",,,,,,,,
