y,x,osmid,highway,ref,geometry
47.5417854,19.0781544,146967797,,,POINT (19.0781544 47.5417854)
47.5649771,19.0932602,317182758,,,POINT (19.0932602 47.5649771)
47.5651378,19.0996249,1251658328,,,POINT (19.0996249 47.5651378)
47.5413841,19.077999,1387110890,crossing,,POINT (19.077999 47.5413841)
47.5653082,19.1058329,3989890564,,,POINT (19.1058329 47.5653082)
47.5283945,19.1670721,32020618,traffic_signals,,POINT (19.1670721 47.5283945)
47.5556129,19.0473717,244965430,,,POINT (19.0473717 47.5556129)
47.5211524,19.0544732,272878389,,,POINT (19.0544732 47.5211524)
47.56501,19.0948097,361508917,,,POINT (19.0948097 47.56501)
47.5535486,19.0464033,3034326439,crossing,,POINT (19.0464033 47.5535486)
47.529214,19.1662935,4366791704,,,POINT (19.1662935 47.529214)
47.4668038,19.1538668,9524847,traffic_signals,,POINT (19.1538668 47.4668038)
47.4715834,19.2359001,26883777,,,POINT (19.2359001 47.4715834)
47.4718555,19.2351141,26883778,,,POINT (19.2351141 47.4718555)
47.4827007,19.2544892,26884528,,,POINT (19.2544892 47.4827007)
47.4760327,19.2547505,26907586,,,POINT (19.2547505 47.4760327)
47.5638538,19.1154286,32015015,,,POINT (19.1154286 47.5638538)
47.5637092,19.1148431,32015021,,,POINT (19.1148431 47.5637092)
47.49122,19.0452358,35523879,,,POINT (19.0452358 47.49122)
47.5448083,18.9633321,36688321,crossing,,POINT (18.9633321 47.5448083)
47.5272732,19.0400229,50558441,traffic_signals,,POINT (19.0400229 47.5272732)
47.5404185,19.0431263,50558465,,,POINT (19.0431263 47.5404185)
47.5069787,19.0767587,50572317,traffic_signals,,POINT (19.0767587 47.5069787)
47.4798193,19.0656533,59770750,,,POINT (19.0656533 47.4798193)
47.5527073,19.0480788,81240185,crossing,,POINT (19.0480788 47.5527073)
47.5610952,19.074785,81245657,,,POINT (19.074785 47.5610952)
47.5598649,19.0790544,81247728,,,POINT (19.0790544 47.5598649)
47.4689955,19.0245727,84663800,,,POINT (19.0245727 47.4689955)
47.4319902,19.0704928,84687274,,,POINT (19.0704928 47.4319902)
47.4154618,19.0334317,85910961,,,POINT (19.0334317 47.4154618)
47.5319186,19.0643704,96923716,,,POINT (19.0643704 47.5319186)
47.5953174,19.0531053,97449881,,,POINT (19.0531053 47.5953174)
47.6092911,19.0592394,97450331,,,POINT (19.0592394 47.6092911)
47.4839445,19.1171614,101484385,,,POINT (19.1171614 47.4839445)
47.5666659,19.1318678,104619632,,,POINT (19.1318678 47.5666659)
47.5287347,19.0692925,132811764,,,POINT (19.0692925 47.5287347)
47.3933192,18.9896091,152920341,,,POINT (18.9896091 47.3933192)
47.4067245,19.0329007,154480323,,,POINT (19.0329007 47.4067245)
47.3996375,19.0185756,154480337,,,POINT (19.0185756 47.3996375)
47.5653596,19.1305069,158434742,,,POINT (19.1305069 47.5653596)
47.5652999,19.1301768,158440299,,,POINT (19.1301768 47.5652999)
47.4686138,19.107947,177328279,,,POINT (19.107947 47.4686138)
47.3993122,19.0038378,178972118,,,POINT (19.0038378 47.3993122)
47.3989134,19.0028573,178972119,,,POINT (19.0028573 47.3989134)
47.511798,19.0391288,198112537,,,POINT (19.0391288 47.511798)
47.4617332,19.0074932,215402640,,,POINT (19.0074932 47.4617332)
47.462873,19.0385509,223746850,traffic_signals,,POINT (19.0385509 47.462873)
47.5197978,19.0975638,235811315,,,POINT (19.0975638 47.5197978)
47.5436259,19.0457267,244946813,,,POINT (19.0457267 47.5436259)
47.5510436,19.046639,244947430,,,POINT (19.046639 47.5510436)
47.5541023,19.0484706,244965268,,,POINT (19.0484706 47.5541023)
47.4988746,19.0514338,260658396,,,POINT (19.0514338 47.4988746)
47.4972861,19.0494107,260692299,,,POINT (19.0494107 47.4972861)
47.4979521,19.0546221,260903804,,,POINT (19.0546221 47.4979521)
47.5496665,19.0289434,261592015,,,POINT (19.0289434 47.5496665)
47.5077872,19.0391856,261601672,,,POINT (19.0391856 47.5077872)
47.5133065,19.0478706,262142944,traffic_signals,,POINT (19.0478706 47.5133065)
47.4801672,19.0581591,262672599,,,POINT (19.0581591 47.4801672)
47.4867962,19.0568777,262676190,traffic_signals,,POINT (19.0568777 47.4867962)
47.487931,19.0553912,262676739,traffic_signals,,POINT (19.0553912 47.487931)
47.4728824,19.0339255,263258020,,,POINT (19.0339255 47.4728824)
47.5571449,18.944555,265611159,,,POINT (18.944555 47.5571449)
47.4628071,19.0055994,268169830,,,POINT (19.0055994 47.4628071)
47.466359,19.0153195,268169841,,,POINT (19.0153195 47.466359)
47.5047518,19.0393087,268197097,,,POINT (19.0393087 47.5047518)
47.5076993,19.0391866,268578294,,,POINT (19.0391866 47.5076993)
47.465587,19.0238236,268736717,,,POINT (19.0238236 47.465587)
47.4705908,19.0506449,268874218,,,POINT (19.0506449 47.4705908)
47.4632,18.9844439,268891606,,,POINT (18.9844439 47.4632)
47.4619017,19.0467031,268931067,,,POINT (19.0467031 47.4619017)
47.4693076,19.0529724,268932381,,,POINT (19.0529724 47.4693076)
47.4978426,19.0489549,272121741,,,POINT (19.0489549 47.4978426)
47.5204426,19.0514865,272901684,,,POINT (19.0514865 47.5204426)
47.5298522,19.0574899,272926131,,,POINT (19.0574899 47.5298522)
47.5276843,19.0577621,272926134,crossing,,POINT (19.0577621 47.5276843)
47.5141332,19.0779581,274973454,,,POINT (19.0779581 47.5141332)
47.4996162,19.0826085,275276849,crossing,,POINT (19.0826085 47.4996162)
47.4984218,19.0661435,275407463,,,POINT (19.0661435 47.4984218)
47.4991442,19.0545228,276245873,,,POINT (19.0545228 47.4991442)
47.5151469,19.0764446,277198978,,,POINT (19.0764446 47.5151469)
47.502332,19.1073836,277199013,,,POINT (19.1073836 47.502332)
47.4975403,19.0408342,277254185,,,POINT (19.0408342 47.4975403)
47.4956898,18.9754579,277826380,,,POINT (18.9754579 47.4956898)
47.5014842,18.9691185,278663892,,,POINT (18.9691185 47.5014842)
47.4722113,19.0964703,280336756,,,POINT (19.0964703 47.4722113)
47.4380108,19.1410332,280550322,,,POINT (19.1410332 47.4380108)
47.4609277,19.1266762,280685341,,,POINT (19.1266762 47.4609277)
47.4559302,19.133479,280685347,,,POINT (19.133479 47.4559302)
47.4550758,19.114554,280724055,,,POINT (19.114554 47.4550758)
47.4357815,19.0960205,282180182,,,POINT (19.0960205 47.4357815)
47.4355183,19.0938026,282180921,,,POINT (19.0938026 47.4355183)
47.4358277,19.0952813,282181532,,,POINT (19.0952813 47.4358277)
47.4339123,19.0759164,282197413,,,POINT (19.0759164 47.4339123)
47.434838,19.0976993,283700156,,,POINT (19.0976993 47.434838)
47.4436767,19.0931765,283703246,crossing,,POINT (19.0931765 47.4436767)
47.4419016,19.0937017,283703253,,,POINT (19.0937017 47.4419016)
47.5431939,19.0304029,284226359,,,POINT (19.0304029 47.5431939)
47.5658702,19.0640257,286265556,,,POINT (19.0640257 47.5658702)
47.4826128,19.1283329,288168537,traffic_signals,,POINT (19.1283329 47.4826128)
47.4812408,19.1371898,288169584,,,POINT (19.1371898 47.4812408)
47.4845888,19.1432513,288169940,,,POINT (19.1432513 47.4845888)
47.4880056,19.1387461,288170359,,,POINT (19.1387461 47.4880056)
47.4828406,19.1285683,288170859,,,POINT (19.1285683 47.4828406)
47.4801688,19.0578967,288810593,,,POINT (19.0578967 47.4801688)
47.4841672,19.0538202,288825210,,,POINT (19.0538202 47.4841672)
47.4991359,19.0409225,288825239,,,POINT (19.0409225 47.4991359)
47.5102421,19.0394202,288825251,crossing,,POINT (19.0394202 47.5102421)
47.5140317,19.0393986,288825255,,,POINT (19.0393986 47.5140317)
47.5143995,19.039314,288825260,,,POINT (19.039314 47.5143995)
47.4615434,19.0478981,288835772,,,POINT (19.0478981 47.4615434)
47.5792773,19.1066838,288976294,,,POINT (19.1066838 47.5792773)
47.5809557,19.0969259,288979341,,,POINT (19.0969259 47.5809557)
47.6109012,19.1037348,292347428,,,POINT (19.1037348 47.6109012)
47.6074268,19.0735758,292352410,,,POINT (19.0735758 47.6074268)
47.6073858,19.0726298,292352411,,,POINT (19.0726298 47.6073858)
47.6074146,19.0720973,292352412,,,POINT (19.0720973 47.6074146)
47.5419256,19.0636689,294692243,,,POINT (19.0636689 47.5419256)
47.5382346,19.0611598,294692249,,,POINT (19.0611598 47.5382346)
47.5579511,19.0772301,294696645,,,POINT (19.0772301 47.5579511)
47.5527724,19.0746107,294696996,,,POINT (19.0746107 47.5527724)
47.5514876,19.0740398,294697052,,,POINT (19.0740398 47.5514876)
47.5591526,19.0795967,294698200,,,POINT (19.0795967 47.5591526)
47.5448465,19.0962171,296202461,,,POINT (19.0962171 47.5448465)
47.5265369,19.0864692,296202468,,,POINT (19.0864692 47.5265369)
47.4701837,19.0530956,302276291,,,POINT (19.0530956 47.4701837)
47.5314132,19.0743079,303816799,,,POINT (19.0743079 47.5314132)
47.4840464,19.0537926,306989053,,,POINT (19.0537926 47.4840464)
47.4833578,19.0543156,306989057,,,POINT (19.0543156 47.4833578)
47.461125,19.1469568,318613427,,,POINT (19.1469568 47.461125)
47.4826665,19.1054728,318627748,,,POINT (19.1054728 47.4826665)
47.5377198,19.0537491,321857955,,,POINT (19.0537491 47.5377198)
47.561037,19.052369,321858792,,,POINT (19.052369 47.561037)
47.5426748,18.9663655,324287691,,,POINT (18.9663655 47.5426748)
47.5443987,18.9663951,324287710,,,POINT (18.9663951 47.5443987)
