y,x,osmid,highway,ref,geometry
47.5649798,19.0934832,56672809,,,POINT (19.0934832 47.5649798)
47.5417854,19.0781544,146967797,,,POINT (19.0781544 47.5417854)
47.5649771,19.0932602,317182758,,,POINT (19.0932602 47.5649771)
47.5413841,19.077999,1387110890,crossing,,POINT (19.077999 47.5413841)
47.5653223,19.1062518,3988229466,,,POINT (19.1062518 47.5653223)
47.5651533,19.1002839,3988244456,traffic_signals,,POINT (19.1002839 47.5651533)
47.5283945,19.1670721,32020618,traffic_signals,,POINT (19.1670721 47.5283945)
47.5542014,19.0467062,244965267,,,POINT (19.0467062 47.5542014)
47.5556129,19.0473717,244965430,,,POINT (19.0473717 47.5556129)
47.5211524,19.0544732,272878389,,,POINT (19.0544732 47.5211524)
47.5548304,19.0470356,285260283,,,POINT (19.0470356 47.5548304)
47.56501,19.0948097,361508917,,,POINT (19.0948097 47.56501)
47.5535486,19.0464033,3034326439,crossing,,POINT (19.0464033 47.5535486)
47.4668038,19.1538668,9524847,traffic_signals,,POINT (19.1538668 47.4668038)
47.4618942,19.1494499,9524872,,,POINT (19.1494499 47.4618942)
47.4715834,19.2359001,26883777,,,POINT (19.2359001 47.4715834)
47.4718555,19.2351141,26883778,,,POINT (19.2351141 47.4718555)
47.4827007,19.2544892,26884528,,,POINT (19.2544892 47.4827007)
47.4760327,19.2547505,26907586,,,POINT (19.2547505 47.4760327)
47.5638538,19.1154286,32015015,,,POINT (19.1154286 47.5638538)
47.5637092,19.1148431,32015021,,,POINT (19.1148431 47.5637092)
47.565546,19.1309545,32015040,,,POINT (19.1309545 47.565546)
47.49122,19.0452358,35523879,,,POINT (19.0452358 47.49122)
47.5448083,18.9633321,36688321,crossing,,POINT (18.9633321 47.5448083)
47.4702813,19.088349,49939753,crossing,,POINT (19.088349 47.4702813)
47.5272732,19.0400229,50558441,traffic_signals,,POINT (19.0400229 47.5272732)
47.5404185,19.0431263,50558465,,,POINT (19.0431263 47.5404185)
