y,x,osmid,highway,geometry
-34.5952738,-58.3799501,32385206,traffic_signals,POINT (-58.3799501 -34.5952738)
-34.5902112,-58.4003782,81551255,traffic_signals,POINT (-58.4003782 -34.5902112)
-34.5958256,-58.4028769,81551260,traffic_signals,POINT (-58.4028769 -34.5958256)
-34.6018506,-58.4047874,81551270,traffic_signals,POINT (-58.4047874 -34.6018506)
-34.6124257,-58.4055847,81551280,traffic_signals,POINT (-58.4055847 -34.6124257)
-34.6170293,-58.4041088,81551284,traffic_signals,POINT (-58.4041088 -34.6170293)
-34.6211374,-58.402802,81551289,traffic_signals,POINT (-58.402802 -34.6211374)
-34.6257635,-58.4056018,81552577,,POINT (-58.4056018 -34.6257635)
-34.6332154,-58.4045223,81555218,,POINT (-58.4045223 -34.6332154)
-34.6303769,-58.404962,81556499,,POINT (-58.404962 -34.6303769)
-34.6316373,-58.4047703,81556500,traffic_signals,POINT (-58.4047703 -34.6316373)
-34.6343869,-58.4043007,81556502,,POINT (-58.4043007 -34.6343869)
-34.6355239,-58.4040633,81556503,traffic_signals,POINT (-58.4040633 -34.6355239)
-34.6367775,-58.4037874,81556505,traffic_signals,POINT (-58.4037874 -34.6367775)
-34.6379747,-58.4035389,81556506,,POINT (-58.4035389 -34.6379747)
-34.6392048,-58.4032624,81556507,traffic_signals,POINT (-58.4032624 -34.6392048)
-34.5963448,-58.4425816,81574353,traffic_signals,POINT (-58.4425816 -34.5963448)
-34.6014014,-58.4372762,81574361,traffic_signals,POINT (-58.4372762 -34.6014014)
-34.5964206,-58.4215183,81601544,traffic_signals,POINT (-58.4215183 -34.5964206)
-34.5967964,-58.4142259,81601552,traffic_signals,POINT (-58.4142259 -34.5967964)
-34.6002418,-58.412293,81603102,traffic_signals,POINT (-58.412293 -34.6002418)
-34.6021119,-58.4022697,81603109,traffic_signals,POINT (-58.4022697 -34.6021119)
-34.602185,-58.397016,81603112,traffic_signals,POINT (-58.397016 -34.602185)
-34.6119847,-58.3989671,81603349,,POINT (-58.3989671 -34.6119847)
-34.6182353,-58.4140785,81604162,,POINT (-58.4140785 -34.6182353)
-34.6171442,-58.4141946,81604565,,POINT (-58.4141946 -34.6171442)
-34.6142892,-58.4145134,81604567,traffic_signals,POINT (-58.4145134 -34.6142892)
-34.6130534,-58.4147522,81604568,traffic_signals,POINT (-58.4147522 -34.6130534)
-34.6094749,-58.4159326,81604573,traffic_signals,POINT (-58.4159326 -34.6094749)
