u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,ref,width,tunnel,service
32382075,237634305,0,275088563,True,Teniente General Juan Domingo Perón,residential,30,33.228,"LINESTRING (-58.3817206 -34.6061313, -58.3820822 -34.6061581)",,,,,,,,
32385206,195721154,0,113531297,True,Suipacha,living_street,10,143.524,"LINESTRING (-58.3799501 -34.5952738, -58.3798969 -34.5965638)",,,,,,,,
81551255,192000783,0,114352718,True,French,residential,30,127.073,"LINESTRING (-58.4003782 -34.5902112, -58.3992388 -34.590864)",,,,,,,,
81551274,4477213997,0,687002751,True,Valentín Gómez,residential,20,14.126,"LINESTRING (-58.4056988 -34.6055835, -58.405546 -34.6056014)",1,,,,,,,
81551277,4477328277,0,39845731,True,Bartolomé Mitre,residential,30,14.576,"LINESTRING (-58.4060334 -34.6088793, -58.4058772 -34.6088537)",,,,,,,,
81551280,4486045115,0,532838113,True,Adolfo Alsina,residential,30,31.554,"LINESTRING (-58.4055847 -34.6124257, -58.4052404 -34.6124105)",1,,,,,,,
81551284,4388565778,0,39843571,True,México,residential,30,14.707,"LINESTRING (-58.4041088 -34.6170293, -58.4039545 -34.6169923)",,,,,,,,
81551289,195867066,0,18905228,True,Carlos Calvo,residential,30,156.28,"LINESTRING (-58.402802 -34.6211374, -58.4044655 -34.6214557)",,,,,,,,
81552577,5382351842,0,47413572,True,Deán Funes,residential,30,118.039,"LINESTRING (-58.4056018 -34.6257635, -58.4054534 -34.626818)",,,,,,,,
81555218,4586393688,0,328506557,True,Deán Funes,residential,30,48.597,"LINESTRING (-58.4045223 -34.6332154, -58.4044476 -34.6336481)",,,,,,,,
81556499,487697943,0,444219208,True,Deán Funes,residential,30,33.795,"LINESTRING (-58.404962 -34.6303769, -58.4049174 -34.6306786)",,,,,,,,
81556500,3285260076,0,532236900,True,Deán Funes,residential,20,165.7,"LINESTRING (-58.4047703 -34.6316373, -58.4045365 -34.633115)",,,,,,,,
81556502,5384962273,0,328506557,True,Deán Funes,residential,30,109.598,"LINESTRING (-58.4043007 -34.6343869, -58.4040978 -34.6353583)",,,,,,,,
81556503,3722216779,0,325125729,True,Deán Funes,residential,30,87.421,"LINESTRING (-58.4040633 -34.6355239, -58.4038977 -34.6362982)",,,,,,,,
81556503,206106010,0,325125739,True,Rondeau,residential,30,159.508,"LINESTRING (-58.4040633 -34.6355239, -58.4057457 -34.6359002)",,,,,,,,
81556505,81556506,0,93287044,True,Zavaleta,residential,30,135.05,"LINESTRING (-58.4037874 -34.6367775, -58.4035389 -34.6379747)",,,,,,,,
81556506,206119459,0,93287044,True,Zavaleta,residential,30,102.13,"LINESTRING (-58.4035389 -34.6379747, -58.4033316 -34.6388772)",,,,,,,,
81556507,206119458,0,340321898,True,Uspallata,residential,30,28.966,"LINESTRING (-58.4032624 -34.6392048, -58.4035703 -34.6392655)",,,,,,,,
81557799,1135597659,0,531453203,True,Alberto Einstein,residential,20,45.309,"LINESTRING (-58.4121633 -34.6524412, -58.4123084 -34.6520516)",,,,,,,,
81574353,82653741,0,533680272,True,Serrano,residential,20,172.335,"LINESTRING (-58.4425816 -34.5963448, -58.4410677 -34.5954234)",2,,,,,,,
81574361,237953509,0,533676066,True,Julián Álvarez,residential,20,141.583,"LINESTRING (-58.4372762 -34.6014014, -58.4384931 -34.6021875)",,,,,,,,
81574363,6565448042,0,533676070,True,Lavalleja,residential,20,90.01,"LINESTRING (-58.4364362 -34.6022463, -58.4356728 -34.601736)",,,,,,,,
81600853,192913582,0,526345060,True,Viamonte,residential,20,119.509,"LINESTRING (-58.3726857 -34.5996624, -58.3713833 -34.5995861)",1,,,,,,,
81600853,199509343,0,533144380,True,Reconquista,living_street,10,131.393,"LINESTRING (-58.3726857 -34.5996624, -58.3726077 -34.6008423)",1,,,,,,,
81600856,195721278,0,47034530,True,Maipú,living_street,10,127.443,"LINESTRING (-58.3767973 -34.5999912, -58.3767304 -34.601136)",1,,,,,,,
81600856,5455580639,0,83225201,True,Viamonte,residential,20,106.824,"LINESTRING (-58.3767973 -34.5999912, -58.3756373 -34.5998853)",1,,,,,,,
81600857,81600856,0,83225201,True,Viamonte,residential,20,132.395,"LINESTRING (-58.3782394 -34.6000838, -58.3767973 -34.5999912)",1,,,,,,,
81600857,437567240,0,533148305,True,Esmeralda,living_street,10,129.525,"LINESTRING (-58.3782394 -34.6000838, -58.3783047 -34.5989202)",1,,,,,,,
81600858,195721117,0,46934496,True,Suipacha,living_street,10,129.6,"LINESTRING (-58.3796695 -34.6001488, -58.3797508 -34.5989852)",1,,,,,,,
81600858,81600857,0,83225201,True,Viamonte,residential,20,131.094,"LINESTRING (-58.3796695 -34.6001488, -58.3782394 -34.6000838)",1,,,,,,,
81600858,195721092,0,449729978,True,Suipacha,living_street,10,125.11,"LINESTRING (-58.3796695 -34.6001488, -58.3796081 -34.6012728)",1,,,,,,,
81600863,5172889852,0,47304454,True,Talcahuano,residential,20,15.075,"LINESTRING (-58.3853541 -34.6005137, -58.3853437 -34.600649)",,,,,,,,
81600863,5172889853,0,47304457,True,Viamonte,residential,20,12.106,"LINESTRING (-58.3853541 -34.6005137, -58.3852221 -34.6005068)",,,,,,,,
81600864,4868780111,0,443089257,True,Uruguay,residential,20,107.948,"LINESTRING (-58.3867629 -34.6006052, -58.3867182 -34.6015753)",,,,,,,,
81600864,5455580644,0,443089259,True,Viamonte,residential,20,40.82,"LINESTRING (-58.3867629 -34.6006052, -58.3863183 -34.6005763)",,,,,,,,
81600868,81600864,0,566501630,True,Viamonte,residential,20,123.633,"LINESTRING (-58.3881114 -34.6006696, -58.3867629 -34.6006052)",2,,,,,,,
81601542,3931528548,0,316893072,True,Gascón,residential,30,90.296,"LINESTRING (-58.423155 -34.5963409, -58.4230519 -34.5955333)",1,,,,,,,
81601544,81830149,0,29094526,True,Francisco Acuña de Figueroa,residential,30,146.211,"LINESTRING (-58.4215183 -34.5964206, -58.4217533 -34.5977212)",2,,,,,,,
81601552,81601852,0,71179531,True,Billinghurst,residential,30,136.15,"LINESTRING (-58.4142259 -34.5967964, -58.4138302 -34.5956161)",1,,,,,,,
81601556,195754732,0,533355211,True,José Antonio Cabrera,residential,20,126.075,"LINESTRING (-58.4102508 -34.5969546, -58.4088739 -34.5969847)",2,,,,,,,
81601843,196222943,0,9940930,True,Gorriti,residential,30,157.043,"LINESTRING (-58.4230198 -34.5952826, -58.4213079 -34.5953763)",,,,,,,,
81601852,1287085948,0,533352572,True,Billinghurst,residential,30,100.133,"LINESTRING (-58.4138302 -34.5956161, -58.4135105 -34.5947549)",,,,,,,,
81603100,3168201130,0,226301468,True,Billinghurst,residential,30,5.508,"LINESTRING (-58.4149273 -34.5995955, -58.4149177 -34.5995466)",2,,,,,,,
81603109,82721348,0,276148012,True,Tucumán,residential,30,121.526,"LINESTRING (-58.4022697 -34.6021119, -58.4035852 -34.6019637)",1,,,,,,,
81603112,199483241,0,276148012,True,Tucumán,residential,30,134.453,"LINESTRING (-58.397016 -34.602185, -58.3984845 -34.6022169)",1,,,,,,,
81603345,178681857,0,348072968,True,Teniente General Juan Domingo Perón,residential,30,126.808,"LINESTRING (-58.3992593 -34.6073365, -58.4006408 -34.6074238)",1,,,,,,,
81603349,5423792408,0,333373300,True,Adolfo Alsina,residential,30,34.871,"LINESTRING (-58.3989671 -34.6119847, -58.3985876 -34.6119565)",1,,,,,,,
81604135,81604136,0,47034539,True,República Bolivariana de Venezuela,residential,30,137.352,"LINESTRING (-58.4127355 -34.6166344, -58.4142362 -34.6166122)",,,,,,,,
81604136,4559117281,0,293754081,True,Virrey Liniers,residential,30,105.899,"LINESTRING (-58.4142362 -34.6166122, -58.414332 -34.6156631)",2,,,,,,,
81604162,2973383936,0,334573426,True,Virrey Liniers,residential,30,106.481,"LINESTRING (-58.4140785 -34.6182353, -58.414178 -34.6172812)",,,,,,,,
81604565,81604136,0,293754081,True,Virrey Liniers,residential,30,59.278,"LINESTRING (-58.4141946 -34.6171442, -58.4142362 -34.6166122)",2,,,,,,,
