y,x,osmid,highway,ref,geometry
-34.6061313,-58.3817206,32382075,traffic_signals,,POINT (-58.3817206 -34.6061313)
-34.5952738,-58.3799501,32385206,traffic_signals,,POINT (-58.3799501 -34.5952738)
-34.5951591,-58.3785123,32385207,traffic_signals,,POINT (-58.3785123 -34.5951591)
-34.6040285,-58.4103041,60636725,traffic_signals,,POINT (-58.4103041 -34.6040285)
-34.6017209,-58.4655161,81540889,traffic_signals,,POINT (-58.4655161 -34.6017209)
-34.5902112,-58.4003782,81551255,traffic_signals,,POINT (-58.4003782 -34.5902112)
-34.5958256,-58.4028769,81551260,traffic_signals,,POINT (-58.4028769 -34.5958256)
-34.5965688,-58.403127,81551262,traffic_signals,,POINT (-58.403127 -34.5965688)
-34.6018506,-58.4047874,81551270,traffic_signals,,POINT (-58.4047874 -34.6018506)
-34.6055835,-58.4056988,81551274,traffic_signals,,POINT (-58.4056988 -34.6055835)
-34.6088793,-58.4060334,81551277,traffic_signals,,POINT (-58.4060334 -34.6088793)
-34.6124257,-58.4055847,81551280,traffic_signals,,POINT (-58.4055847 -34.6124257)
-34.6170293,-58.4041088,81551284,traffic_signals,,POINT (-58.4041088 -34.6170293)
-34.6211374,-58.402802,81551289,traffic_signals,,POINT (-58.402802 -34.6211374)
-34.6257635,-58.4056018,81552577,,,POINT (-58.4056018 -34.6257635)
-34.6332154,-58.4045223,81555218,,,POINT (-58.4045223 -34.6332154)
-34.6303769,-58.404962,81556499,,,POINT (-58.404962 -34.6303769)
-34.6316373,-58.4047703,81556500,traffic_signals,,POINT (-58.4047703 -34.6316373)
-34.6343869,-58.4043007,81556502,,,POINT (-58.4043007 -34.6343869)
-34.6355239,-58.4040633,81556503,traffic_signals,,POINT (-58.4040633 -34.6355239)
-34.6367775,-58.4037874,81556505,traffic_signals,,POINT (-58.4037874 -34.6367775)
-34.6379747,-58.4035389,81556506,,,POINT (-58.4035389 -34.6379747)
-34.6392048,-58.4032624,81556507,traffic_signals,,POINT (-58.4032624 -34.6392048)
-34.6447609,-58.4130407,81556836,,,POINT (-58.4130407 -34.6447609)
-34.6510856,-58.4127082,81557798,,,POINT (-58.4127082 -34.6510856)
-34.6524412,-58.4121633,81557799,,,POINT (-58.4121633 -34.6524412)
-34.5963448,-58.4425816,81574353,traffic_signals,,POINT (-58.4425816 -34.5963448)
-34.6005682,-58.4381045,81574359,traffic_signals,,POINT (-58.4381045 -34.6005682)
-34.6014014,-58.4372762,81574361,traffic_signals,,POINT (-58.4372762 -34.6014014)
-34.6022463,-58.4364362,81574363,traffic_signals,,POINT (-58.4364362 -34.6022463)
-34.599379,-58.3691482,81600847,traffic_signals,,POINT (-58.3691482 -34.599379)
-34.5996624,-58.3726857,81600853,,,POINT (-58.3726857 -34.5996624)
-34.5999912,-58.3767973,81600856,traffic_signals,,POINT (-58.3767973 -34.5999912)
-34.6000838,-58.3782394,81600857,traffic_signals,,POINT (-58.3782394 -34.6000838)
-34.6001488,-58.3796695,81600858,traffic_signals,,POINT (-58.3796695 -34.6001488)
-34.6005137,-58.3853541,81600863,traffic_signals,,POINT (-58.3853541 -34.6005137)
-34.6006052,-58.3867629,81600864,traffic_signals,,POINT (-58.3867629 -34.6006052)
-34.6006696,-58.3881114,81600868,traffic_signals,,POINT (-58.3881114 -34.6006696)
-34.6007676,-58.391434,81600871,traffic_signals,,POINT (-58.391434 -34.6007676)
-34.600821,-58.3927667,81600874,traffic_signals,,POINT (-58.3927667 -34.600821)
-34.5963409,-58.423155,81601542,traffic_signals,,POINT (-58.423155 -34.5963409)
-34.5964206,-58.4215183,81601544,traffic_signals,,POINT (-58.4215183 -34.5964206)
-34.5967964,-58.4142259,81601552,traffic_signals,,POINT (-58.4142259 -34.5967964)
-34.5969546,-58.4102508,81601556,traffic_signals,,POINT (-58.4102508 -34.5969546)
-34.5952826,-58.4230198,81601843,traffic_signals,,POINT (-58.4230198 -34.5952826)
-34.5956161,-58.4138302,81601852,traffic_signals,,POINT (-58.4138302 -34.5956161)
-34.5995955,-58.4149273,81603100,,,POINT (-58.4149273 -34.5995955)
-34.6002418,-58.412293,81603102,traffic_signals,,POINT (-58.412293 -34.6002418)
-34.6021119,-58.4022697,81603109,traffic_signals,,POINT (-58.4022697 -34.6021119)
-34.602185,-58.397016,81603112,traffic_signals,,POINT (-58.397016 -34.602185)
-34.6073365,-58.3992593,81603345,traffic_signals,,POINT (-58.3992593 -34.6073365)
-34.6119847,-58.3989671,81603349,,,POINT (-58.3989671 -34.6119847)
-34.6160752,-58.4058146,81604130,traffic_signals,,POINT (-58.4058146 -34.6160752)
-34.6166344,-58.4127355,81604135,,,POINT (-58.4127355 -34.6166344)
-34.6166122,-58.4142362,81604136,,,POINT (-58.4142362 -34.6166122)
-34.6182353,-58.4140785,81604162,,,POINT (-58.4140785 -34.6182353)
-34.6171442,-58.4141946,81604565,,,POINT (-58.4141946 -34.6171442)
-34.6142892,-58.4145134,81604567,traffic_signals,,POINT (-58.4145134 -34.6142892)
-34.6130534,-58.4147522,81604568,traffic_signals,,POINT (-58.4147522 -34.6130534)
-34.6094749,-58.4159326,81604573,traffic_signals,,POINT (-58.4159326 -34.6094749)
-34.6085503,-58.4160569,81604574,traffic_signals,,POINT (-58.4160569 -34.6085503)
-34.6069659,-58.41622,81604575,traffic_signals,,POINT (-58.41622 -34.6069659)
-34.6056613,-58.4160309,81604577,traffic_signals,,POINT (-58.4160309 -34.6056613)
-34.6048535,-58.4158536,81614072,,,POINT (-58.4158536 -34.6048535)
-34.603806,-58.4156616,81614073,traffic_signals,,POINT (-58.4156616 -34.603806)
-34.6017592,-58.4153204,81614075,,,POINT (-58.4153204 -34.6017592)
-34.6007706,-58.415148,81614076,,,POINT (-58.415148 -34.6007706)
-34.5994557,-58.4149009,81614077,,,POINT (-58.4149009 -34.5994557)
-34.5979075,-58.4146168,81614080,traffic_signals,,POINT (-58.4146168 -34.5979075)
-34.5937117,-58.4127389,81614082,traffic_signals,,POINT (-58.4127389 -34.5937117)
-34.5928963,-58.4121136,81614083,,,POINT (-58.4121136 -34.5928963)
-34.5935826,-58.4072355,81614897,traffic_signals,,POINT (-58.4072355 -34.5935826)
-34.5947807,-58.4050873,81614899,,,POINT (-58.4050873 -34.5947807)
-34.5970718,-58.3988828,81614903,traffic_signals,,POINT (-58.3988828 -34.5970718)
-34.5972292,-58.3975411,81614904,traffic_signals,,POINT (-58.3975411 -34.5972292)
-34.599772,-58.3987483,81616450,traffic_signals,,POINT (-58.3987483 -34.599772)
-34.5944276,-58.3981106,81616460,traffic_signals,,POINT (-58.3981106 -34.5944276)
-34.592896,-58.3974643,81616462,traffic_signals,,POINT (-58.3974643 -34.592896)
-34.5818287,-58.4619053,81826558,,,POINT (-58.4619053 -34.5818287)
-34.5803791,-58.4555742,81830104,,,POINT (-58.4555742 -34.5803791)
-34.5808277,-58.454276,81830105,,,POINT (-58.454276 -34.5808277)
-34.5902143,-58.4361525,81830131,traffic_signals,,POINT (-58.4361525 -34.5902143)
-34.5914389,-58.4343336,81830134,traffic_signals,,POINT (-58.4343336 -34.5914389)
-34.5948457,-58.4291798,81830139,traffic_signals,,POINT (-58.4291798 -34.5948457)
-34.5955112,-58.4281105,81830140,traffic_signals,,POINT (-58.4281105 -34.5955112)
-34.5977212,-58.4217533,81830149,traffic_signals,,POINT (-58.4217533 -34.5977212)
-34.5980793,-58.4081716,81832381,traffic_signals,,POINT (-58.4081716 -34.5980793)
-34.5909863,-58.4024487,81834156,traffic_signals,,POINT (-58.4024487 -34.5909863)
-34.5921009,-58.4027919,81834158,traffic_signals,,POINT (-58.4027919 -34.5921009)
-34.5929294,-58.4030473,81834159,traffic_signals,,POINT (-58.4030473 -34.5929294)
-34.5952654,-58.4041596,81834162,traffic_signals,,POINT (-58.4041596 -34.5952654)
-34.5960651,-58.4045672,81834163,traffic_signals,,POINT (-58.4045672 -34.5960651)
-34.5980582,-58.4055904,81834165,,,POINT (-58.4055904 -34.5980582)
-34.599658,-58.4062958,81834168,traffic_signals,,POINT (-58.4062958 -34.599658)
-34.6007301,-58.4066346,81834169,traffic_signals,,POINT (-58.4066346 -34.6007301)
-34.604257,-58.4078126,81834174,traffic_signals,,POINT (-58.4078126 -34.604257)
-34.6079093,-58.4091211,81834483,,,POINT (-58.4091211 -34.6079093)
-34.578907,-58.4499517,81840840,traffic_signals,,POINT (-58.4499517 -34.578907)
-34.5724422,-58.4463374,81840847,traffic_signals,,POINT (-58.4463374 -34.5724422)
-34.5817822,-58.4633512,81843272,traffic_signals,,POINT (-58.4633512 -34.5817822)
-34.5816701,-58.4548266,81846046,,,POINT (-58.4548266 -34.5816701)
-34.5820792,-58.4534743,81846047,,,POINT (-58.4534743 -34.5820792)
-34.5838128,-58.4492299,81846053,traffic_signals,,POINT (-58.4492299 -34.5838128)
-34.5838398,-58.4517573,81849879,,,POINT (-58.4517573 -34.5838398)
-34.5816609,-58.4673277,81859969,,,POINT (-58.4673277 -34.5816609)
-34.5848804,-58.4495546,81859976,traffic_signals,,POINT (-58.4495546 -34.5848804)
-34.5857713,-58.4474673,81859979,,,POINT (-58.4474673 -34.5857713)
-34.5904694,-58.440663,81859985,,,POINT (-58.440663 -34.5904694)
-34.5921405,-58.4390886,81859987,,,POINT (-58.4390886 -34.5921405)
-34.5926981,-58.4385573,81859989,traffic_signals,,POINT (-58.4385573 -34.5926981)
-34.5978049,-58.4337855,81859994,,,POINT (-58.4337855 -34.5978049)
-34.6007736,-58.4310392,81859995,traffic_signals,,POINT (-58.4310392 -34.6007736)
-34.5805487,-58.4672725,81862513,,,POINT (-58.4672725 -34.5805487)
-34.5903724,-58.4671042,81870574,,,POINT (-58.4671042 -34.5903724)
-34.5877685,-58.4639955,81870578,,,POINT (-58.4639955 -34.5877685)
-34.5874694,-58.4708391,81878109,traffic_signals,,POINT (-58.4708391 -34.5874694)
-34.5964061,-58.4655658,81878118,,,POINT (-58.4655658 -34.5964061)
-34.602965,-58.4704336,81884617,,,POINT (-58.4704336 -34.602965)
-34.607304,-58.4774579,81885650,traffic_signals,,POINT (-58.4774579 -34.607304)
-34.6422082,-58.4490448,81886884,,,POINT (-58.4490448 -34.6422082)
-34.5967045,-58.4592125,81888535,traffic_signals,,POINT (-58.4592125 -34.5967045)
-34.5908324,-58.4333877,81892765,traffic_signals,,POINT (-58.4333877 -34.5908324)
-34.5712017,-58.452931,81893620,,,POINT (-58.452931 -34.5712017)
-34.5879726,-58.4702221,81894813,traffic_signals,,POINT (-58.4702221 -34.5879726)
-34.5851078,-58.4708677,81896942,,,POINT (-58.4708677 -34.5851078)
-34.5966153,-58.4607888,81905032,traffic_signals,,POINT (-58.4607888 -34.5966153)
-34.5923568,-58.4679995,81915589,,,POINT (-58.4679995 -34.5923568)
-34.5912159,-58.472968,81922128,,,POINT (-58.472968 -34.5912159)
-34.5791225,-58.4789665,81922417,traffic_signals,,POINT (-58.4789665 -34.5791225)
-34.5930621,-58.4523555,82527693,traffic_signals,,POINT (-58.4523555 -34.5930621)
-34.5976971,-58.4611297,82528273,,,POINT (-58.4611297 -34.5976971)
-34.5983047,-58.4582099,82528275,,,POINT (-58.4582099 -34.5983047)
-34.5986922,-58.4565979,82528276,,,POINT (-58.4565979 -34.5986922)
-34.603536,-58.4505871,82529569,,,POINT (-58.4505871 -34.603536)
-34.6041484,-58.4515746,82530013,,,POINT (-58.4515746 -34.6041484)
-34.6000967,-58.4603396,82530311,,,POINT (-58.4603396 -34.6000967)
-34.6008282,-58.4621282,82532187,,,POINT (-58.4621282 -34.6008282)
-34.6011229,-58.4606501,82532188,,,POINT (-58.4606501 -34.6011229)
-34.6014336,-58.4591972,82532189,,,POINT (-58.4591972 -34.6014336)
-34.6017916,-58.4575195,82532190,,,POINT (-58.4575195 -34.6017916)
-34.6018968,-58.4569997,82532191,,,POINT (-58.4569997 -34.6018968)
-34.5890085,-58.4750035,82566021,,,POINT (-58.4750035 -34.5890085)
-34.589746,-58.4759619,82567030,,,POINT (-58.4759619 -34.589746)
-34.5900482,-58.474053,82567153,,,POINT (-58.474053 -34.5900482)
-34.5784022,-58.4800873,82572925,traffic_signals,,POINT (-58.4800873 -34.5784022)
-34.5752742,-58.4794441,82573148,traffic_signals,,POINT (-58.4794441 -34.5752742)
-34.5811551,-58.4906444,82575302,,,POINT (-58.4906444 -34.5811551)
-34.5927973,-58.4963187,82576035,traffic_signals,,POINT (-58.4963187 -34.5927973)
-34.5851752,-58.4816437,82577265,,,POINT (-58.4816437 -34.5851752)
-34.5903495,-58.4767461,82577269,,,POINT (-58.4767461 -34.5903495)
-34.5786394,-58.4736643,82580319,,,POINT (-58.4736643 -34.5786394)
-34.5771965,-58.4755809,82581677,traffic_signals,,POINT (-58.4755809 -34.5771965)
-34.5743134,-58.4863439,82582546,traffic_signals,,POINT (-58.4863439 -34.5743134)
-34.5803976,-58.4811206,82597411,,,POINT (-58.4811206 -34.5803976)
-34.5809587,-58.4821405,82597412,,,POINT (-58.4821405 -34.5809587)
-34.5826918,-58.4850854,82597413,,,POINT (-58.4850854 -34.5826918)
-34.5805735,-58.4839324,82604125,,,POINT (-58.4839324 -34.5805735)
-34.5925418,-58.4041815,82625610,traffic_signals,,POINT (-58.4041815 -34.5925418)
-34.5920225,-58.3999651,82625780,traffic_signals,,POINT (-58.3999651 -34.5920225)
-34.5892916,-58.4019036,82625953,,,POINT (-58.4019036 -34.5892916)
-34.5903561,-58.4032721,82625954,traffic_signals,,POINT (-58.4032721 -34.5903561)
-34.6039048,-58.4660904,82627636,,,POINT (-58.4660904 -34.6039048)
-34.6011013,-58.4669537,82629085,,,POINT (-58.4669537 -34.6011013)
-34.6007624,-58.468562,82629086,,,POINT (-58.468562 -34.6007624)
-34.6020511,-58.462493,82629102,,,POINT (-58.462493 -34.6020511)
-34.6123738,-58.4670315,82629618,traffic_signals,,POINT (-58.4670315 -34.6123738)
-34.6245656,-58.4581224,82629623,traffic_signals,,POINT (-58.4581224 -34.6245656)
-34.6374844,-58.451425,82629675,traffic_signals,,POINT (-58.451425 -34.6374844)
-34.6056599,-58.4540117,82638851,traffic_signals,,POINT (-58.4540117 -34.6056599)
-34.6055425,-58.4635857,82648793,traffic_signals,,POINT (-58.4635857 -34.6055425)
-34.6134325,-58.4798403,82648798,traffic_signals,,POINT (-58.4798403 -34.6134325)
-34.6201558,-58.4903844,82648801,,,POINT (-58.4903844 -34.6201558)
-34.6275236,-58.501737,82648806,traffic_signals,,POINT (-58.501737 -34.6275236)
-34.5913833,-58.4957853,82648948,,,POINT (-58.4957853 -34.5913833)
-34.5810285,-58.4480883,82652382,,,POINT (-58.4480883 -34.5810285)
-34.5954234,-58.4410677,82653741,traffic_signals,,POINT (-58.4410677 -34.5954234)
-34.6007075,-58.4362123,82653743,traffic_signals,,POINT (-58.4362123 -34.6007075)
