u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,width,junction,tunnel,service,area
125408,2338083477,0,660124255,True,1,Gothersgade,tertiary,50,84.486,"LINESTRING (12.5821846 55.6822612, 12.5809741 55.6825952)",,,,,,,,
125409,20919946,0,87325171,True,1,Gothersgade,tertiary,50,51.27,"LINESTRING (12.5834527 55.6819386, 12.5827022 55.6821218)",,,,,,,,
375465,3676767770,0,654821500,False,5,Nørre Søgade,tertiary,50,12.45,"LINESTRING (12.5604964 55.6811267, 12.5605686 55.681231)",,,,,,,,
375465,298538850,0,127496087,False,5,Vester Søgade,tertiary,50,22.581,"LINESTRING (12.5604964 55.6811267, 12.5604531 55.6809251)",,,,,,,,
576709,1626156205,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,28.958,"LINESTRING (12.5204607 55.6529209, 12.5200002 55.6529031)",,,,,,,,
576709,18011399,0,539777408,False,2,Carl Jacobsens Vej,tertiary,50,78.186,"LINESTRING (12.5204607 55.6529209, 12.5217028 55.6529783)",,,,,,,,
576710,1626156205,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,10.919,"LINESTRING (12.5198262 55.6529055, 12.5200002 55.6529031)",,,,,,,,
576710,3474118286,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,3.295,"LINESTRING (12.5198262 55.6529055, 12.5197761 55.6529144)",,,,,,,,
576713,3338571877,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,75.828,"LINESTRING (12.5121679 55.6558588, 12.5131526 55.6554633)",,,,,,,,
576713,4929060460,0,35085344,False,4,Gammel Køge Landevej,tertiary,60,16.744,"LINESTRING (12.5121679 55.6558588, 12.5120575 55.6557217)",,,,,,,,
576713,6882059136,0,428851684,False,4,Gammel Køge Landevej,tertiary,50,39.81,"LINESTRING (12.5121679 55.6558588, 12.5124255 55.656186)",,,,,,,,
697537,5899422319,0,237108784,False,2,Gasværksvej,tertiary,50,48.703,"LINESTRING (12.5575675 55.6704769, 12.5571674 55.6708523)",,,,,,,,
697822,2899149634,0,289716335,True,2,Kongens Nytorv,primary,50,24.687,"LINESTRING (12.5870075 55.6805493, 12.5872206 55.680736)",O2,,,,,,,
698029,1702640265,0,86369996,False,3,Esplanaden,residential,50,72.041,"LINESTRING (12.5928421 55.6876112, 12.5939691 55.6877383)",,,,,,,,
698029,6726824634,0,27413454,False,3,Grønningen,primary,50,17.113,"LINESTRING (12.5928421 55.6876112, 12.5926924 55.6877399)",O2,,,,,,,
698683,7043485241,0,161964141,False,2,Amagerfælledvej,tertiary,50,9.591,"LINESTRING (12.5942101 55.6549506, 12.5941874 55.6550359)",,,,,,,,
698683,4959696315,0,143792491,False,2,Røde Mellemvej,tertiary,50,11.106,"LINESTRING (12.5942101 55.6549506, 12.5941867 55.6548516)",,,,,,,,
698683,4959696314,0,502198713,False,2,Grønjordsvej,tertiary,50,16.702,"LINESTRING (12.5942101 55.6549506, 12.5939439 55.6549483)",,,,,,,,
698683,6805490259,0,725841373,True,,,cycleway,,9.473,"LINESTRING (12.5942101 55.6549506, 12.5943286 55.6548978)",,,,,,,,
706815,4702372547,0,1987828,True,,Christian IX's Gade,tertiary,40,8.417,"LINESTRING (12.580712 55.682674, 12.580766 55.6826047)",,,,,,,,
706815,2338083478,0,27359107,True,1,Kronprinsessegade,residential,40,19.94,"LINESTRING (12.580712 55.682674, 12.5808874 55.6828236)",,,,,,,,
706815,1331044361,0,36522887,False,2,Gothersgade,tertiary,50,9.909,"LINESTRING (12.580712 55.682674, 12.5805852 55.6827272)",,,,,,,,
706815,2338083476,0,1794676,False,,Møntergade,cycleway,,13.663,"LINESTRING (12.580712 55.682674, 12.5805789 55.6825767)",,,,,,,,
792009,2317403772,0,161635366,False,2,Enghavevej,tertiary,50,10.513,"LINESTRING (12.5442947 55.6675501, 12.5443438 55.6676405)",,,,,,,,
792009,2317403766,0,237108781,False,2,Enghavevej,tertiary,50,13.29,"LINESTRING (12.5442947 55.6675501, 12.544237 55.6674351)",,,,,,,,
792010,7437379138,0,161635366,False,2,Enghavevej,tertiary,50,22.227,"LINESTRING (12.5447779 55.6683923, 12.5446615 55.6682035)",,,,,,,,
792010,7437379135,0,161635366,False,2,Enghavevej,tertiary,50,57.247,"LINESTRING (12.5447779 55.6683923, 12.5450613 55.6688817)",,,,,,,,
6488665,4199695795,0,357792888,False,2,Øster Allé,tertiary,40,4.566,"LINESTRING (12.5641938 55.7056298, 12.5641212 55.7056334)",,,,,,,,
6488665,2327477961,0,359163715,False,2,Øster Allé,tertiary,40,6.85,"LINESTRING (12.5641938 55.7056298, 12.5643004 55.7056161)",,,,,,,,
6503260,2355133877,0,87325176,False,2,Sølvgade,residential,50,10.434,"LINESTRING (12.5836301 55.6860663, 12.5834802 55.6861071)",,,,,,,,
6503260,7029092295,0,305585317,False,,Sølvgade,residential,50,18.147,"LINESTRING (12.5836301 55.6860663, 12.5838862 55.6859902)",,,,,,,,
6503284,4289244937,0,491958295,False,4,Havnegade,tertiary,50,13.62,"LINESTRING (12.5844851 55.6772756, 12.5845373 55.6771567)",,,,,,,,
