y,x,osmid,highway,ref,geometry
55.6822612,12.5821846,125408,,,POINT (12.5821846 55.6822612)
55.6819386,12.5834527,125409,,,POINT (12.5834527 55.6819386)
55.6811267,12.5604964,375465,traffic_signals,,POINT (12.5604964 55.6811267)
55.6529209,12.5204607,576709,,,POINT (12.5204607 55.6529209)
55.6529055,12.5198262,576710,,,POINT (12.5198262 55.6529055)
55.6558588,12.5121679,576713,traffic_signals,,POINT (12.5121679 55.6558588)
55.6704769,12.5575675,697537,traffic_signals,,POINT (12.5575675 55.6704769)
55.6805493,12.5870075,697822,traffic_signals,,POINT (12.5870075 55.6805493)
55.6876112,12.5928421,698029,traffic_signals,,POINT (12.5928421 55.6876112)
55.6549506,12.5942101,698683,traffic_signals,,POINT (12.5942101 55.6549506)
55.682674,12.580712,706815,traffic_signals,,POINT (12.580712 55.682674)
55.6675501,12.5442947,792009,traffic_signals,,POINT (12.5442947 55.6675501)
55.6683923,12.5447779,792010,,,POINT (12.5447779 55.6683923)
55.7056298,12.5641938,6488665,,,POINT (12.5641938 55.7056298)
55.6860663,12.5836301,6503260,traffic_signals,,POINT (12.5836301 55.6860663)
55.6772756,12.5844851,6503284,traffic_signals,,POINT (12.5844851 55.6772756)
55.6757127,12.5631953,7224402,traffic_signals,,POINT (12.5631953 55.6757127)
55.6694847,12.545417,7235771,,,POINT (12.545417 55.6694847)
55.6794386,12.5911737,7244208,traffic_signals,,POINT (12.5911737 55.6794386)
55.7079673,12.5773192,7712481,,,POINT (12.5773192 55.7079673)
55.7079642,12.5786143,7712484,,,POINT (12.5786143 55.7079642)
55.7079844,12.586615,7712502,,,POINT (12.586615 55.7079844)
55.7080299,12.586844,7712503,,,POINT (12.586844 55.7080299)
55.7082701,12.5874133,7712505,,,POINT (12.5874133 55.7082701)
55.7088023,12.5886238,7712508,,,POINT (12.5886238 55.7088023)
55.7085322,12.5880101,7712509,,,POINT (12.5880101 55.7085322)
55.6672883,12.5788078,7726662,,,POINT (12.5788078 55.6672883)
55.6668357,12.5800976,7726663,,,POINT (12.5800976 55.6668357)
55.6753672,12.5619623,7726672,traffic_signals,,POINT (12.5619623 55.6753672)
55.6800345,12.5889584,7741066,,,POINT (12.5889584 55.6800345)
55.6818842,12.5836664,8078448,,,POINT (12.5836664 55.6818842)
55.6785724,12.5831453,8078455,traffic_signals,,POINT (12.5831453 55.6785724)
55.7010855,12.5396234,8078531,traffic_signals,,POINT (12.5396234 55.7010855)
55.6827061,12.4953683,8088717,,,POINT (12.4953683 55.6827061)
55.6789296,12.5928949,8115534,,,POINT (12.5928949 55.6789296)
55.6778559,12.5837217,8453809,,,POINT (12.5837217 55.6778559)
55.6781554,12.5834881,8453814,,,POINT (12.5834881 55.6781554)
55.692923,12.5750529,8536111,,,POINT (12.5750529 55.692923)
55.6942192,12.5761644,8536113,crossing,,POINT (12.5761644 55.6942192)
55.6949086,12.5775064,8538443,,,POINT (12.5775064 55.6949086)
55.6945663,12.5768222,8538444,,,POINT (12.5768222 55.6945663)
55.6939322,12.5758705,8538447,,,POINT (12.5758705 55.6939322)
55.6936227,12.5756233,8538448,,,POINT (12.5756233 55.6936227)
55.6932484,12.5753243,8538450,,,POINT (12.5753243 55.6932484)
55.6926328,12.5746304,8538452,,,POINT (12.5746304 55.6926328)
55.6923919,12.5742463,8538456,,,POINT (12.5742463 55.6923919)
55.692126,12.573813,8538457,,,POINT (12.573813 55.692126)
55.691852,12.5733748,8538462,,,POINT (12.5733748 55.691852)
55.6915902,12.5729594,8538463,,,POINT (12.5729594 55.6915902)
55.6687498,12.5171345,10776943,,,POINT (12.5171345 55.6687498)
55.7022929,12.5402597,12729145,,,POINT (12.5402597 55.7022929)
55.7079637,12.5857257,17343195,traffic_signals,,POINT (12.5857257 55.7079637)
55.6690811,12.5171144,20908184,,,POINT (12.5171144 55.6690811)
55.6533623,12.5185482,20908382,,,POINT (12.5185482 55.6533623)
55.6821218,12.5827022,20919946,,,POINT (12.5827022 55.6821218)
55.6890903,12.5574911,20925445,traffic_signals,,POINT (12.5574911 55.6890903)
55.6901769,12.5595158,20925446,,,POINT (12.5595158 55.6901769)
55.689836,12.5584821,20925447,,,POINT (12.5584821 55.689836)
55.6897876,12.5583621,20925448,,,POINT (12.5583621 55.6897876)
55.6997524,12.564604,20930134,,,POINT (12.564604 55.6997524)
55.7024741,12.5633542,21556600,,,POINT (12.5633542 55.7024741)
55.6979893,12.5674595,21770177,,,POINT (12.5674595 55.6979893)
55.7029279,12.5633628,24607724,,,POINT (12.5633628 55.7029279)
55.7033559,12.5636379,24607726,,,POINT (12.5636379 55.7033559)
55.7047823,12.5659601,24609833,traffic_signals,,POINT (12.5659601 55.7047823)
55.6988469,12.5660739,24670659,,,POINT (12.5660739 55.6988469)
55.7026229,12.5633268,31875687,,,POINT (12.5633268 55.7026229)
55.68287,12.4948811,69364580,,,POINT (12.4948811 55.68287)
55.7037889,12.5642736,267670373,,,POINT (12.5642736 55.7037889)
55.6814418,12.58529,268690821,traffic_signals,,POINT (12.58529 55.6814418)
55.6808658,12.5873438,268690828,traffic_signals,,POINT (12.5873438 55.6808658)
55.7031419,12.5634603,270151675,crossing,,POINT (12.5634603 55.7031419)
55.7055929,12.564407,278192260,,,POINT (12.564407 55.7055929)
55.6607404,12.5552068,279927900,,,POINT (12.5552068 55.6607404)
55.6543886,12.5159434,279992458,,,POINT (12.5159434 55.6543886)
55.6754755,12.5623751,287508101,bus_stop,,POINT (12.5623751 55.6754755)
55.6553327,12.5940782,288266315,,,POINT (12.5940782 55.6553327)
