u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,bridge,tunnel,width
118725,2512504197,0,27226011,True,Banegårdspladsen,tertiary,30,15.342,"LINESTRING (12.5629057 55.6739848, 12.5630034 55.6738583)",,,,,,
125401,5779156660,0,112973330,False,Proviantpassagen,service,30,7.148,"LINESTRING (12.5830867 55.6739156, 12.5830243 55.6739694)",destination,,,,,
125401,782419343,0,112973330,False,Proviantpassagen,service,30,4.571,"LINESTRING (12.5830867 55.6739156, 12.5831266 55.6738812)",destination,,,,,
662931,4007959784,0,3994841,False,Sæbyholmsvej,residential,30,47.19,"LINESTRING (12.4899377 55.6776986, 12.490247 55.6773117)",,,,,,
706331,3676767773,0,1833829,True,Nansensgade,residential,30,12.35,"LINESTRING (12.5617582 55.6806315, 12.5618675 55.6807239)",,,,,,
791989,1050213876,0,742662192,False,Tranehavevej,residential,30,12.736,"LINESTRING (12.5378918 55.6555385, 12.5380948 55.655537)",,,,,,
792937,4420835204,0,3994772,False,Rødbyvej,residential,30,9.139,"LINESTRING (12.4861661 55.6668742, 12.4862831 55.6668252)",,,,,,
792938,1298717233,0,3994773,False,Hansstedvej,residential,30,7.465,"LINESTRING (12.4842938 55.6653774, 12.4843924 55.6653398)",,,,,,
1055748,1058654634,0,8224001,False,Vej C,service,10,16.413,"LINESTRING (12.586644 55.6235163, 12.5869043 55.6235026)",,,,,,
2370741,3996485273,0,3994859,False,Damstien,residential,30,61.86,"LINESTRING (12.4852439 55.678592, 12.4843908 55.6783125)",,,,,,
6504010,4945414574,0,48347099,False,Overgaden Oven Vandet,residential,30,10.955,"LINESTRING (12.5912199 55.6724914, 12.5911016 55.6724189)",,2,,,,
6504013,4945414569,0,106675532,False,Amagergade,residential,30,7.544,"LINESTRING (12.5936289 55.6712457, 12.5935455 55.6711968)",,2,,,,
7235698,25274001,0,417570102,False,Ahlefeldtsgade,residential,30,80.539,"LINESTRING (12.5662063 55.6831034, 12.5651567 55.6835211)",,,,,,
7235738,706670488,0,56322591,True,Jægergade,living_street,15,52.518,"LINESTRING (12.5492949 55.6860571, 12.549082 55.6856003)",,,,,,
7427946,3491860686,0,303933427,False,Fuglebakkevej,residential,30,10.698,"LINESTRING (12.5301823 55.6944439, 12.5302671 55.6945274)",,,,,,
