u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,ref,bridge,tunnel,junction,width,access,service
118725,298795432,0,27226011,True,Banegårdspladsen,tertiary,30,112.872,"LINESTRING (12.5629057 55.6739848, 12.5630034 55.6738583, 12.5635709 55.6731316, 12.563622 55.6730537)",,,,,,,,
118725,6357644306,0,140412993,True,Vesterbrogade,tertiary,50,40.497,"LINESTRING (12.5629057 55.6739848, 12.5633457 55.6741111, 12.5634764 55.674155)",2,,,,,,,
118730,118751,0,2371125,True,Vasbygade,primary,60,77.486,"LINESTRING (12.5584685 55.6619841, 12.5581719 55.6618052, 12.5579864 55.6616764, 12.5578307 55.6615507, 12.5577177 55.6614344)",2,O2,,,,,,
118732,283603631,0,683463579,True,,primary_link,50,6.915,"LINESTRING (12.5615292 55.6631079, 12.5616155 55.6631466)",2,,,,,,,
118732,283603631,1,"[25996200, 495915492, 756617464]",True,Dybbølsbro,tertiary,40,97.42799999999997,"LINESTRING (12.5615292 55.6631079, 12.5615653 55.6630797, 12.5616141 55.6630417, 12.561697 55.6629666, 12.5617153 55.6629329, 12.5617179 55.662901, 12.5617345 55.6628632, 12.5617865 55.6628324, 12.5618125 55.6628272, 12.5618689 55.6628158, 12.5619478 55.6628219, 12.5620028 55.6628479, 12.5620431 55.662883, 12.5620465 55.6629256, 12.5620199 55.6629637, 12.5619846 55.6629826, 12.5619532 55.6629928, 12.5619054 55.6630025, 12.5618421 55.6630177, 12.5617825 55.6630452, 12.5617135 55.663086, 12.5616536 55.663123, 12.5616155 55.6631466)",2,,,,,,,
118735,92994313,0,388070264,True,Bernstorffsgade,tertiary,50,15.077,"LINESTRING (12.5719326 55.6682382, 12.5720814 55.6681317)",4,,,,,,,
118735,750556544,0,"[742362082, 2371124, 295221437, 495915487]",True,Kalvebod Brygge,primary,"['50', '60']",484.27,"LINESTRING (12.5719326 55.6682382, 12.5717982 55.6681684, 12.5717748 55.6681563, 12.5712713 55.6678594, 12.5710342 55.6677387, 12.5704955 55.6674898, 12.5663324 55.6655946, 12.5660129 55.6654469)","['5', '3']",O2,,,,,,
118747,1052455426,0,416688430,True,Vasbygade,primary,60,8.956,"LINESTRING (12.5578545 55.6613065, 12.5579216 55.6613776)",2,O2,,,,,,
118747,1052455226,0,4892388,True,Havneholmen,tertiary,50,64.717,"LINESTRING (12.5578545 55.6613065, 12.5579686 55.6612311, 12.5580649 55.6611913, 12.5581066 55.6611741, 12.5583735 55.6610765, 12.5586757 55.6609591)",,,,,,,,
118751,118747,0,4892388,True,Havneholmen,tertiary,50,16.61,"LINESTRING (12.5577177 55.6614344, 12.5578545 55.6613065)",,,,,,,,
118751,1052455228,0,"[416688425, 364793653, 742670366]",True,Vasbygade,primary,60,291.534,"LINESTRING (12.5577177 55.6614344, 12.5576238 55.6613368, 12.557571 55.6612808, 12.5575467 55.661248, 12.5574708 55.6611456, 12.557408 55.6610399, 12.5573712 55.6609779, 12.557294 55.6608028, 12.5572231 55.6605894, 12.5572005 55.6604929, 12.5571575 55.6603095, 12.5571198 55.6600557, 12.557107 55.6598329, 12.5570883 55.659509, 12.5570705 55.6592477, 12.5570326 55.6589873, 12.5569969 55.6588694)",2,O2,,,,,,
118751,3626959237,0,"[742670363, 392125582]",False,Otto Busses Vej,residential,50,56.735,"LINESTRING (12.5577177 55.6614344, 12.5575946 55.6614635, 12.5575082 55.661484, 12.5568836 55.6616318)",,,,,,,,
118763,118764,0,422789551,True,Sydhavns Plads,primary,50,11.727,"LINESTRING (12.5422312 55.6540026, 12.5423887 55.6539458)",1,O2,,,,,,
118763,118779,0,630489172,True,Scandiagade,tertiary,60,336.43799999999993,"LINESTRING (12.5422312 55.6540026, 12.5422018 55.6539671, 12.5421306 55.653881, 12.541744 55.6533612, 12.5416369 55.6532389, 12.54158 55.6531738, 12.5413781 55.6529574, 12.5413672 55.6529457, 12.5401663 55.6516816, 12.5400704 55.6515832, 12.5400107 55.6514998, 12.5399873 55.6514671, 12.539945 55.6513785, 12.539914 55.6512826)",2,,,,,,,
118764,1064956102,0,422789569,True,Vasbygade,primary,60,14.957,"LINESTRING (12.5423887 55.6539458, 12.5424971 55.6540656)",2,O2,,,,,,
118764,1064956196,0,2944198,True,Teglholmsgade,tertiary,50,32.983,"LINESTRING (12.5423887 55.6539458, 12.5426051 55.6538483, 12.5428136 55.6537717)",,,,,,,,
118779,118780,0,161633350,True,Scandiagade,tertiary,60,31.686,"LINESTRING (12.539914 55.6512826, 12.5398946 55.6511238, 12.5399027 55.6509981)",2,,,,,,,
118779,2320355926,0,"[672675018, 422789563]",True,Sydhavnsgade,tertiary,60,57.997,"LINESTRING (12.539914 55.6512826, 12.5397517 55.6515512, 12.5397243 55.6515905, 12.539703 55.6516263, 12.5396345 55.6517545, 12.5396202 55.651777)",2,,,,,,,
118780,18227471,0,"[422789568, 422789562, 422789556]",True,Sydhavnsgade,tertiary,60,114.25,"LINESTRING (12.5399027 55.6509981, 12.5399892 55.6508265, 12.5402048 55.6504176, 12.5403226 55.6502056, 12.5404271 55.6500142)","['4', '3', '2']",,,,,,,
118781,118787,0,742696144,False,Bådehavnsgade,tertiary,50,17.003,"LINESTRING (12.5424854 55.6460132, 12.5427315 55.6460772)",3,,,,,,,
118781,118792,0,"[1880585, 422789542]",True,Sjællandsbroen,tertiary,60,322.664,"LINESTRING (12.5424854 55.6460132, 12.5425933 55.6459106, 12.5428544 55.6456624, 12.5438395 55.6447259, 12.5443126 55.6443347, 12.5446045 55.6441084, 12.5453691 55.6436206)","['3', '2']",,,,,,,
118781,8459772,0,"[502436882, 24418179]",False,Bådehavnsgade,tertiary,50,191.61899999999997,"LINESTRING (12.5424854 55.6460132, 12.5422863 55.6459572, 12.54215 55.6459001, 12.5419362 55.6456929, 12.5418561 55.6456197, 12.5418144 55.64558, 12.5416231 55.6453975, 12.5415789 55.6453566, 12.5414585 55.6452453, 12.5413336 55.6451275, 12.5411531 55.6449603, 12.5410765 55.6448893, 12.5407782 55.6446131)","['3', '2']",,,,,,,
118787,118781,0,742696144,False,Bådehavnsgade,tertiary,50,17.003,"LINESTRING (12.5427315 55.6460772, 12.5424854 55.6460132)",3,,,,,,,
118787,8919786,0,422789547,True,Sjællandsbroen,tertiary,60,70.492,"LINESTRING (12.5427315 55.6460772, 12.5426811 55.6461245, 12.542636 55.6461718, 12.5425689 55.646252, 12.5425005 55.6463496, 12.5423316 55.646667)",4,,,,,,,
118792,118806,0,496210860,False,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5453691 55.6436206, 12.5455234 55.6437122)",,,,,,,,
118792,1302474338,0,"[422789540, 422789572, 108849099, 108849074, 237108788, 683462106, 108848990]",True,"['Sjællandsbroen', 'Vejlands Allé']",tertiary,"['70', '60']",488.833,"LINESTRING (12.5453691 55.6436206, 12.5454979 55.6435419, 12.5456655 55.643445, 12.5458667 55.6433345, 12.5460303 55.6432543, 12.5464171 55.6430825, 12.5468625 55.6428913, 12.5477349 55.6425216, 12.5482887 55.6423006, 12.5487823 55.6421091, 12.5488158 55.642097, 12.549202 55.6419479, 12.5496057 55.6418056, 12.549894 55.6417156, 12.5501448 55.6416437, 12.550527 55.6415377, 12.5510179 55.641409, 12.5514314 55.6413112, 12.5518341 55.6412222)","['3', '2']",,yes,,,,,
118806,118792,0,496210860,False,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5455234 55.6437122, 12.5453691 55.6436206)",,,,,,,,
118806,274394001,0,"[168251834, 83871381]",False,Sluseholmen,tertiary,40,133.775,"LINESTRING (12.5455234 55.6437122, 12.5457065 55.643824, 12.5460252 55.6440891, 12.5462136 55.6442459, 12.5467898 55.6446783)",,,,,,,,
118806,118787,0,"[237108787, 422789541]",True,Sjællandsbroen,tertiary,60,317.024,"LINESTRING (12.5455234 55.6437122, 12.5454388 55.6437622, 12.5453008 55.6438438, 12.5449963 55.6440452, 12.5449028 55.6441113, 12.5446986 55.6442556, 12.5444827 55.6444198, 12.5441182 55.6447218, 12.5440562 55.6447732, 12.5436552 55.6451615, 12.5431362 55.6456761, 12.5428253 55.6459842, 12.5427315 55.6460772)","['4', '3']",,,,,,,
