y,x,osmid,highway,geometry
42.4319845,-83.125877,62869845,,POINT (-83.125877 42.4319845)
42.4318235,-83.1259183,62869856,,POINT (-83.1259183 42.4318235)
42.4317419,-83.1259079,3310948693,,POINT (-83.1259079 42.4317419)
42.3705206,-82.9537701,30449229,traffic_signals,POINT (-82.9537701 42.3705206)
42.3359808,-83.0278898,62618609,traffic_signals,POINT (-83.0278898 42.3359808)
42.337403,-83.0245748,62618615,traffic_signals,POINT (-83.0245748 42.337403)
42.3394909,-83.0197309,62618619,traffic_signals,POINT (-83.0197309 42.3394909)
42.3458673,-83.0049643,62618638,,POINT (-83.0049643 42.3458673)
42.3627267,-82.9794423,62618715,,POINT (-82.9794423 42.3627267)
42.3704972,-82.9540111,62618784,,POINT (-82.9540111 42.3704972)
42.372517,-82.9452398,62618819,,POINT (-82.9452398 42.372517)
42.3745582,-82.9403788,62618836,,POINT (-82.9403788 42.3745582)
42.3548234,-83.0659809,62621570,,POINT (-83.0659809 42.3548234)
42.331264,-83.098536,62658285,,POINT (-83.098536 42.331264)
42.4243692,-83.1197061,62659443,,POINT (-83.1197061 42.4243692)
42.424751,-83.121023,62659464,,POINT (-83.12102299999999 42.424751)
42.317021,-83.1100814,62698225,,POINT (-83.1100814 42.317021)
42.3301477,-83.0514092,62724149,traffic_signals,POINT (-83.05140919999999 42.3301477)
42.346943,-83.084965,62739104,,POINT (-83.084965 42.346943)
42.394309,-82.985132,62789668,,POINT (-82.98513199999999 42.394309)
42.367514,-82.959574,62821014,,POINT (-82.959574 42.367514)
42.388399,-82.973561,62836225,,POINT (-82.973561 42.388399)
42.334569,-83.05446,62837977,traffic_signals,POINT (-83.05446000000001 42.334569)
42.3392906,-83.0660121,62838013,traffic_signals,POINT (-83.06601209999999 42.3392906)
42.3409371,-83.070079,62838031,traffic_signals,POINT (-83.07007900000001 42.3409371)
42.348713,-83.089352,62838074,traffic_signals,POINT (-83.08935200000001 42.348713)
42.3379367,-83.0563699,62856320,traffic_signals,POINT (-83.05636990000001 42.3379367)
42.369626,-83.074768,62856393,traffic_signals,POINT (-83.07476800000001 42.369626)
42.424141,-83.119993,62869996,,POINT (-83.11999299999999 42.424141)
42.3426602,-83.0733345,62887387,,POINT (-83.0733345 42.3426602)
42.3520858,-83.0787277,62887393,traffic_signals,POINT (-83.0787277 42.3520858)
42.331112,-83.120338,62946580,traffic_signals,POINT (-83.120338 42.331112)
42.3312212,-83.1045194,63014989,,POINT (-83.1045194 42.3312212)
42.3379884,-83.056402,333451856,,POINT (-83.05640200000001 42.3379884)
42.336403,-83.0589353,471628481,,POINT (-83.0589353 42.336403)
42.3375182,-83.0616836,660518575,traffic_signals,POINT (-83.06168359999999 42.3375182)
42.3358856,-83.0281034,736893025,,POINT (-83.02810340000001 42.3358856)
42.3485013,-82.9993329,1228076586,,POINT (-82.9993329 42.3485013)
42.331678,-83.0528342,1269682895,crossing,POINT (-83.05283420000001 42.331678)
42.3366173,-83.0594576,4216067577,,POINT (-83.0594576 42.3366173)
42.3480269,-83.0876541,4216219393,,POINT (-83.08765409999999 42.3480269)
42.3503149,-83.0933156,4216219395,,POINT (-83.0933156 42.3503149)
42.3632252,-82.9785454,4216298639,,POINT (-82.9785454 42.3632252)
42.3668082,-82.9710011,4216298643,,POINT (-82.9710011 42.3668082)
42.3671853,-82.9702068,4216298644,,POINT (-82.9702068 42.3671853)
42.3899807,-82.9781429,4216314639,,POINT (-82.97814289999999 42.3899807)
42.3699473,-82.9595006,4216330855,,POINT (-82.9595006 42.3699473)
42.3700815,-82.9582715,4216330856,,POINT (-82.9582715 42.3700815)
42.3396133,-83.0194449,4217615416,,POINT (-83.0194449 42.3396133)
42.3406417,-83.0170462,4217615417,,POINT (-83.0170462 42.3406417)
42.3374717,-83.0615619,4639761005,,POINT (-83.0615619 42.3374717)
42.3574082,-83.1383092,4950253056,,POINT (-83.13830919999999 42.3574082)
42.3407024,-83.0695092,4952616977,,POINT (-83.0695092 42.3407024)
42.3468966,-83.0848628,4952616982,,POINT (-83.0848628 42.3468966)
42.3480637,-83.0877382,4952616985,,POINT (-83.0877382 42.3480637)
42.3489216,-83.0898786,4952616987,,POINT (-83.08987860000001 42.3489216)
42.3404858,-83.0689627,4952640785,,POINT (-83.0689627 42.3404858)
42.3563105,-83.0668299,5337879923,,POINT (-83.0668299 42.3563105)
42.320126,-83.065623,62913599,,POINT (-83.065623 42.320126)
42.3433072,-83.2642261,429910080,,POINT (-83.2642261 42.3433072)
42.3413739,-83.0068421,737064144,,POINT (-83.0068421 42.3413739)
42.3608076,-83.0641149,827855794,,POINT (-83.06411490000001 42.3608076)
42.3348885,-83.0185111,833652435,,POINT (-83.0185111 42.3348885)
42.336452,-83.0142009,833652552,,POINT (-83.01420090000001 42.336452)
42.441822,-83.0458867,856668590,,POINT (-83.0458867 42.441822)
42.4417666,-83.0457472,856668592,,POINT (-83.04574719999999 42.4417666)
42.4418022,-83.0454575,856668602,,POINT (-83.0454575 42.4418022)
42.4419803,-83.0452644,856668604,,POINT (-83.04526439999999 42.4419803)
42.4421387,-83.0452537,856668606,,POINT (-83.0452537 42.4421387)
42.4427444,-83.0452805,856668607,,POINT (-83.0452805 42.4427444)
42.4428948,-83.0453878,856668608,,POINT (-83.0453878 42.4428948)
42.442966,-83.0455648,856668609,,POINT (-83.04556479999999 42.442966)
42.4429858,-83.0457472,856668610,,POINT (-83.04574719999999 42.4429858)
42.4429344,-83.0459564,856668611,,POINT (-83.04595639999999 42.4429344)
42.4428394,-83.0460798,856668613,,POINT (-83.0460798 42.4428394)
42.4427087,-83.0461281,856668614,,POINT (-83.0461281 42.4427087)
42.4420397,-83.0460959,856668615,,POINT (-83.0460959 42.4420397)
