u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,ref,bridge,access
62869845,62869847,0,8753998,True,1,secondary_link,5.297,"LINESTRING (-83.125877 42.4319845, -83.12591500000001 42.431946)",,,,,
62869847,62869850,0,8753998,True,1,secondary_link,4.564,"LINESTRING (-83.12591500000001 42.431946, -83.125924 42.4319055)",,,,,
62869850,62869856,0,8753998,True,1,secondary_link,9.13,"LINESTRING (-83.125924 42.4319055, -83.1259183 42.4318235)",,,,,
62869858,4979902318,0,712590300,False,2,secondary_link,17.538,"LINESTRING (-83.125871 42.431219, -83.1258867 42.4313763)",30 mph,,,,
62869858,62870087,0,58897791,False,,tertiary,26.948,"LINESTRING (-83.125871 42.431219, -83.12561100000001 42.431071)",30 mph,Pontchartrain Boulevard,,,
3310948693,4979902318,0,712590300,False,2,secondary_link,40.69,"LINESTRING (-83.1259079 42.4317419, -83.1258867 42.4313763)",30 mph,,,,
4979902318,62869858,0,712590300,False,2,secondary_link,17.538,"LINESTRING (-83.1258867 42.4313763, -83.125871 42.431219)",30 mph,,,,
4979902318,3310948693,0,712590300,False,2,secondary_link,40.69,"LINESTRING (-83.1258867 42.4313763, -83.1259079 42.4317419)",30 mph,,,,
30449229,30449319,0,421886745,False,4,secondary,10.116,"LINESTRING (-82.9537701 42.3705206, -82.953648 42.3705324)",35 mph,East Jefferson Avenue,,,
30449319,30449229,0,421886745,False,4,secondary,10.116,"LINESTRING (-82.953648 42.3705324, -82.9537701 42.3705206)",35 mph,East Jefferson Avenue,,,
30449319,4899258030,0,421886753,False,5,secondary,23.074,"LINESTRING (-82.953648 42.3705324, -82.95336949999999 42.3705593)",35 mph,East Jefferson Avenue,,,
30917692,4968464630,0,421886755,False,5,secondary,41.484,"LINESTRING (-82.954768 42.3704239, -82.95426740000001 42.3704729)",35 mph,East Jefferson Avenue,,,
30917692,4216330857,0,498529537,False,5,secondary,46.227,"LINESTRING (-82.954768 42.3704239, -82.9553255 42.3703675)",35 mph,East Jefferson Avenue,,,
62560188,477088702,0,421876139,False,5,primary,8.473,"LINESTRING (-83.12461500000001 42.336992, -83.12466360000001 42.3370592)",35 mph,Livernois Avenue,,,
62560188,4948987929,0,504787352,False,4,primary,26.511,"LINESTRING (-83.12461500000001 42.336992, -83.1244603 42.3367828)",35 mph,Livernois Avenue,,,
62563274,3324194441,0,8751963,False,4,tertiary,16.446,"LINESTRING (-82.958905 42.3700169, -82.9588481 42.3698751)",25 mph,Conner Street,,,
62563274,5918407910,0,421886738,False,5,secondary,31.18,"LINESTRING (-82.958905 42.3700169, -82.9590709 42.3702691)",30 mph,Conner Street,,,
