u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,bridge,ref,access
62869845,62869856,0,8753998,True,1,secondary_link,18.991,"LINESTRING (-83.125877 42.4319845, -83.12591500000001 42.431946, -83.125924 42.4319055, -83.1259183 42.4318235)",,,,,
3310948693,62659464,0,"[712590300, 58897791]",False,2,"['tertiary', 'secondary_link']",922.5359999999997,"LINESTRING (-83.1259079 42.4317419, -83.1258867 42.4313763, -83.125871 42.431219, -83.12561100000001 42.431071, -83.12541 42.43094, -83.125173 42.430765, -83.12497 42.430591, -83.12479399999999 42.430414, -83.12461500000001 42.430205, -83.12439000000001 42.429907, -83.12423200000001 42.429652, -83.12409599999999 42.429389, -83.123986 42.429135, -83.123919 42.428948, -83.123867 42.428758, -83.123831 42.428567, -83.123814 42.428422, -83.123805 42.428229, -83.12381000000001 42.428057, -83.123805 42.427898, -83.12379199999999 42.427739, -83.123766 42.427563, -83.123711 42.427282, -83.1236744 42.4271447, -83.12365200000001 42.427061, -83.12355700000001 42.426787, -83.123493 42.426654, -83.123389 42.426485, -83.12329 42.426356, -83.12303900000001 42.426068, -83.122839 42.425855, -83.12256499999999 42.425587, -83.122422 42.425459, -83.122227 42.425308, -83.12205899999999 42.425197, -83.121926 42.42512, -83.12157500000001 42.424958, -83.12138 42.424878, -83.12102299999999 42.424751)",30 mph,Pontchartrain Boulevard,,,
30449229,62618819,0,"[421886753, 421886754, 421886756, 421886757, 421886758, 757240071, 507319699, 507319700, 510976149, 421886751, 510976148, 421886744, 421886745, 510958837, 421886747, 510976152, 421886750, 219579583]",False,"['4', '5']",secondary,748.025,"LINESTRING (-82.9537701 42.3705206, -82.953648 42.3705324, -82.95336949999999 42.3705593, -82.9533148 42.3705646, -82.95323140000001 42.3705727, -82.9531664 42.3705785, -82.95309109999999 42.3705863, -82.9528665 42.3706081, -82.952765 42.3706179, -82.9522135 42.3706736, -82.951565 42.3707349, -82.9506016 42.3708286, -82.950434 42.3708449, -82.95035900000001 42.3708519, -82.9498827 42.3708824, -82.94970429999999 42.3708976, -82.94957839999999 42.3709098, -82.9494531 42.370923, -82.9492906 42.3709414, -82.9492001 42.3709558, -82.9491021 42.370973, -82.94901849999999 42.3709904, -82.9488664 42.3710301, -82.94878370000001 42.3710588, -82.9486778 42.3710987, -82.948483 42.3711782, -82.948403 42.3712103, -82.9482854 42.3712576, -82.948137 42.371318, -82.9479695 42.3713913, -82.9475395 42.371568, -82.9475051 42.3715821, -82.94733050000001 42.371654, -82.9471854 42.3717137, -82.9469103 42.3718269, -82.94683379999999 42.3718584, -82.9466829 42.3719211, -82.94632 42.3720708, -82.9457108 42.372325, -82.9455967 42.3723714, -82.94543779999999 42.372436, -82.9452398 42.372517)",35 mph,East Jefferson Avenue,,,
62618609,736893025,0,401419406,False,5,secondary,20.503,"LINESTRING (-83.0278898 42.3359808, -83.0279615 42.3359476, -83.02810340000001 42.3358856)",35 mph,East Jefferson Avenue,,,
62618615,62618619,0,"[422037761, 507482850, 422037766, 401419656, 401419657, 422037753]",False,"['4', '5']",secondary,460.893,"LINESTRING (-83.0245748 42.337403, -83.0245097 42.3374314, -83.02441039999999 42.3374748, -83.0241425 42.3375918, -83.0238975 42.3376962, -83.023837 42.3377199, -83.0234069 42.3379057, -83.0230545 42.3380581, -83.0228918 42.3381274, -83.0227019 42.338214, -83.0225415 42.3382823, -83.0223132 42.3383796, -83.0219376 42.3385395, -83.0218802 42.338564, -83.02182139999999 42.338589, -83.0211358 42.3388844, -83.02092930000001 42.3389734, -83.02071720000001 42.3390648, -83.0202659 42.3392592, -83.0199959 42.3393756, -83.0198279 42.3394487, -83.0197309 42.3394909)",35 mph,East Jefferson Avenue,,,
62618619,4217615416,0,422037754,False,5,secondary,27.162999999999997,"LINESTRING (-83.0197309 42.3394909, -83.01963689999999 42.3395311, -83.0194449 42.3396133)",35 mph,East Jefferson Avenue,,,
62618619,62618615,0,"[422037761, 507482850, 422037766, 401419656, 401419657, 422037753]",False,"['4', '5']",secondary,460.893,"LINESTRING (-83.0197309 42.3394909, -83.0198279 42.3394487, -83.0199959 42.3393756, -83.0202659 42.3392592, -83.02071720000001 42.3390648, -83.02092930000001 42.3389734, -83.0211358 42.3388844, -83.02182139999999 42.338589, -83.0218802 42.338564, -83.0219376 42.3385395, -83.0223132 42.3383796, -83.0225415 42.3382823, -83.0227019 42.338214, -83.0228918 42.3381274, -83.0230545 42.3380581, -83.0234069 42.3379057, -83.023837 42.3377199, -83.0238975 42.3376962, -83.0241425 42.3375918, -83.02441039999999 42.3374748, -83.0245097 42.3374314, -83.0245748 42.337403)",35 mph,East Jefferson Avenue,,,
62618619,62833515,0,69706030,False,2,residential,504.131,"LINESTRING (-83.0197309 42.3394909, -83.0196444 42.3393592, -83.0192673 42.3387855, -83.019047 42.3384603, -83.01888460000001 42.3382144, -83.0188526 42.338166, -83.0188191 42.338115, -83.01847890000001 42.3375982, -83.01844389999999 42.3375465, -83.0184146 42.3375017, -83.01817200000001 42.3371308, -83.0181285 42.3370662, -83.0180963 42.3370186, -83.0177827 42.3365551, -83.01772149999999 42.3364629, -83.01766000000001 42.3363636, -83.01741680000001 42.3359705, -83.0174083 42.3359591, -83.0173582 42.3359137, -83.0173041 42.3358311, -83.0173028 42.3358096, -83.0171342 42.335574, -83.0170789 42.3354968, -83.0170493 42.3354614, -83.0170313 42.3354471, -83.0170088 42.3354367)",25 mph,Joseph Campau Street,,,
62618638,4217615417,0,"[422035304, 422035307, 422037772, 422035316, 38330166, 38330167, 422037755, 270520093]",False,5,secondary,1150.5189999999998,"LINESTRING (-83.0049643 42.3458673, -83.005235 42.3457461, -83.0057517 42.3455148, -83.0059938 42.3454064, -83.0062032 42.3453126, -83.0065512 42.3451605, -83.0067399 42.3450787, -83.0071822 42.3448884, -83.00746839999999 42.3447625, -83.00806369999999 42.3445076, -83.0081852 42.3444558, -83.0083149 42.3444014, -83.0086878 42.3442417, -83.00875430000001 42.3442132, -83.0089053 42.3441481, -83.0091645 42.3440362, -83.0096052 42.3438455, -83.0097231 42.3437949, -83.00987929999999 42.3437294, -83.0100439 42.3436566, -83.0102227 42.3435786, -83.01049690000001 42.343463, -83.01064169999999 42.3434012, -83.0107658 42.3433483, -83.0109169 42.3432832, -83.0115235 42.3430219, -83.0117953 42.3429049, -83.01196210000001 42.3428333, -83.01262060000001 42.3425505, -83.0127799 42.3424811, -83.01322330000001 42.3422901, -83.0137209 42.3420757, -83.0143475 42.3418057, -83.0145417 42.3417212, -83.01467390000001 42.3416648, -83.01552700000001 42.341301, -83.0157056 42.3412248, -83.01598920000001 42.3410999, -83.016176 42.3410176, -83.01635779999999 42.3409376, -83.0165592 42.340851, -83.0167342 42.3407758, -83.0170462 42.3406417)",35 mph,East Jefferson Avenue,yes,,
62618638,1228076586,0,"[38330185, 443371530, 257526254, 257526255, 257526256, 755770258]",True,"['4', '5']",secondary,559.908,"LINESTRING (-83.0049643 42.3458673, -83.0046849 42.3458975, -83.0041241 42.3461194, -83.00394319999999 42.3461616, -83.003867 42.3461807, -83.0035663 42.3462441, -83.00341280000001 42.3462938, -83.00287659999999 42.3465179, -83.00282230000001 42.3465399, -83.0026606 42.3466053, -83.0025845 42.3466361, -83.0019801 42.3468936, -83.0018773 42.3469375, -83.0015689 42.3470679, -83.0014687 42.347111, -83.0013352 42.3471699, -83.0012565 42.3472035, -83.0004629 42.3475539, -83.0003342 42.347617, -83.0002125 42.347687, -83.0000989 42.3477639, -83.00002739999999 42.3478163, -82.9998325 42.3479769, -82.9996781 42.3481238, -82.9993965 42.3483518, -82.9993329 42.3485013)",35 mph,East Jefferson Avenue,,,
