y,x,osmid,highway,ref,geometry
42.4319845,-83.125877,62869845,,,POINT (-83.125877 42.4319845)
42.4318235,-83.1259183,62869856,,,POINT (-83.1259183 42.4318235)
42.431219,-83.125871,62869858,,,POINT (-83.125871 42.431219)
42.3705206,-82.9537701,30449229,traffic_signals,,POINT (-82.9537701 42.3705206)
42.3705324,-82.953648,30449319,traffic_signals,,POINT (-82.953648 42.3705324)
42.3704239,-82.954768,30917692,,,POINT (-82.954768 42.3704239)
42.336992,-83.124615,62560188,traffic_signals,,POINT (-83.12461500000001 42.336992)
42.3700169,-82.958905,62563274,traffic_signals,,POINT (-82.958905 42.3700169)
42.331456,-83.0876676,62567787,traffic_signals,,POINT (-83.0876676 42.331456)
42.338165,-83.125466,62570679,traffic_signals,,POINT (-83.125466 42.338165)
42.3313601,-83.0764333,62589101,traffic_signals,,POINT (-83.07643330000001 42.3313601)
42.338342,-83.125595,62594503,traffic_signals,,POINT (-83.125595 42.338342)
42.347643,-83.132575,62597196,,,POINT (-83.132575 42.347643)
42.3314032,-83.069418,62597333,,,POINT (-83.069418 42.3314032)
42.3546508,-82.9899554,62597715,traffic_signals,,POINT (-82.9899554 42.3546508)
42.38707,-82.970763,62600066,traffic_signals,,POINT (-82.97076300000001 42.38707)
42.3701109,-82.957983,62600341,,,POINT (-82.957983 42.3701109)
42.3311738,-83.11064,62600457,,,POINT (-83.11064 42.3311738)
42.3352821,-83.0548652,62604122,traffic_signals,,POINT (-83.05486519999999 42.3352821)
42.335,-83.055524,62604124,,,POINT (-83.05552400000001 42.335)
42.3436566,-83.0100439,62604620,traffic_signals,,POINT (-83.0100439 42.3436566)
42.347263,-83.0616653,62605851,,,POINT (-83.0616653 42.347263)
42.356328,-83.138258,62606619,traffic_signals,,POINT (-83.13825799999999 42.356328)
42.3650909,-82.974639,62613311,,,POINT (-82.974639 42.3650909)
42.338924,-83.065131,62615818,,,POINT (-83.06513099999999 42.338924)
42.3359808,-83.0278898,62618609,traffic_signals,,POINT (-83.0278898 42.3359808)
42.337403,-83.0245748,62618615,traffic_signals,,POINT (-83.0245748 42.337403)
42.338214,-83.0227019,62618617,traffic_signals,,POINT (-83.0227019 42.338214)
42.3394909,-83.0197309,62618619,traffic_signals,,POINT (-83.0197309 42.3394909)
42.3409376,-83.0163578,62618624,traffic_signals,,POINT (-83.01635779999999 42.3409376)
42.3417212,-83.0145417,62618625,,,POINT (-83.0145417 42.3417212)
42.3424811,-83.0127799,62618626,,,POINT (-83.0127799 42.3424811)
42.3440362,-83.0091645,62618628,,,POINT (-83.0091645 42.3440362)
42.3442132,-83.0087543,62618629,,,POINT (-83.00875430000001 42.3442132)
42.3444014,-83.0083149,62618630,,,POINT (-83.0083149 42.3444014)
42.3445076,-83.0080637,62618631,,,POINT (-83.00806369999999 42.3445076)
42.3453126,-83.0062032,62618636,,,POINT (-83.0062032 42.3453126)
42.3458673,-83.0049643,62618638,,,POINT (-83.0049643 42.3458673)
42.3495561,-82.9977182,62618668,traffic_signals,,POINT (-82.99771819999999 42.3495561)
42.350188,-82.9967489,62618670,traffic_signals,,POINT (-82.9967489 42.350188)
42.3513976,-82.9948559,62618673,traffic_signals,,POINT (-82.9948559 42.3513976)
42.3519357,-82.9939909,62618675,traffic_signals,,POINT (-82.9939909 42.3519357)
42.3529679,-82.992481,62618677,,,POINT (-82.992481 42.3529679)
42.3537919,-82.991208,62618679,,,POINT (-82.991208 42.3537919)
42.3549007,-82.9896136,62618684,traffic_signals,,POINT (-82.9896136 42.3549007)
42.3553768,-82.9889948,62618685,,,POINT (-82.9889948 42.3553768)
42.3562071,-82.9879277,62618687,,,POINT (-82.9879277 42.3562071)
42.3568541,-82.9871054,62618690,traffic_signals,,POINT (-82.9871054 42.3568541)
42.3575629,-82.986214,62618692,,,POINT (-82.986214 42.3575629)
42.3578999,-82.985783,62618694,,,POINT (-82.985783 42.3578999)
42.3581979,-82.985402,62618697,,,POINT (-82.98540199999999 42.3581979)
42.3585649,-82.984933,62618698,,,POINT (-82.984933 42.3585649)
42.3588329,-82.984589,62618700,traffic_signals,,POINT (-82.984589 42.3588329)
42.3592289,-82.984081,62618702,,,POINT (-82.984081 42.3592289)
42.3597139,-82.983461,62618704,,,POINT (-82.98346100000001 42.3597139)
42.3600219,-82.983068,62618707,,,POINT (-82.983068 42.3600219)
42.3603169,-82.98269,62618709,,,POINT (-82.98269000000001 42.3603169)
42.3609699,-82.9817683,62618710,traffic_signals,,POINT (-82.9817683 42.3609699)
42.361712,-82.9808499,62618711,,,POINT (-82.9808499 42.361712)
42.3623462,-82.979983,62618713,,,POINT (-82.979983 42.3623462)
42.3634758,-82.9779957,62618721,,,POINT (-82.97799569999999 42.3634758)
42.3638746,-82.9771334,62618723,traffic_signals,,POINT (-82.9771334 42.3638746)
42.3639761,-82.9768931,62618726,traffic_signals,,POINT (-82.9768931 42.3639761)
42.3642979,-82.976311,62618730,,,POINT (-82.976311 42.3642979)
42.3645999,-82.975673,62618733,,,POINT (-82.975673 42.3645999)
42.3646919,-82.975477,62618735,,,POINT (-82.975477 42.3646919)
42.3655229,-82.973729,62618737,,,POINT (-82.97372900000001 42.3655229)
42.3659479,-82.972836,62618738,traffic_signals,,POINT (-82.972836 42.3659479)
42.3663519,-82.971986,62618743,,,POINT (-82.971986 42.3663519)
42.3666969,-82.97123,62618747,,,POINT (-82.97123000000001 42.3666969)
42.3673852,-82.9697756,62618750,,,POINT (-82.96977560000001 42.3673852)
42.3682039,-82.9676821,62618758,crossing,,POINT (-82.9676821 42.3682039)
42.3685644,-82.9667038,62618760,,,POINT (-82.9667038 42.3685644)
42.3689608,-82.9656433,62618762,,,POINT (-82.9656433 42.3689608)
42.3702159,-82.956922,62618778,,,POINT (-82.95692200000001 42.3702159)
