y,x,osmid,highway,ref,geometry
60.1497986,24.8863819,33750125,,,POINT (24.8863819 60.1497986)
60.1494649,24.8865155,331434986,,,POINT (24.8865155 60.1494649)
60.2198764,24.8611613,25253799,crossing,,POINT (24.8611613 60.2198764)
60.2198512,24.8612,25269155,,,POINT (24.8612 60.2198512)
60.2308606,24.8710755,25446970,,,POINT (24.8710755 60.2308606)
60.2323187,24.869295,25446979,,,POINT (24.869295 60.2323187)
60.2698744,24.9759885,26455714,,,POINT (24.9759885 60.2698744)
60.1571981,24.8825584,28955757,,,POINT (24.8825584 60.1571981)
60.2480082,25.0363264,30622721,,,POINT (25.0363264 60.2480082)
60.1581495,24.8582705,32841612,,,POINT (24.8582705 60.1581495)
60.2635141,25.0624855,33225227,,,POINT (25.0624855 60.2635141)
60.2636938,25.0577507,33225228,,,POINT (25.0577507 60.2636938)
60.2632852,25.0684637,33225370,,,POINT (25.0684637 60.2632852)
60.2637035,25.0572149,33294233,,,POINT (25.0572149 60.2637035)
60.2480007,25.0258497,33733937,,,POINT (25.0258497 60.2480007)
60.2501871,25.0286535,33733996,,,POINT (25.0286535 60.2501871)
60.2430178,25.0337444,33734160,,,POINT (25.0337444 60.2430178)
60.154157,24.867574,33753334,,,POINT (24.867574 60.154157)
60.2136358,24.9856445,34071461,,,POINT (24.9856445 60.2136358)
60.2172477,24.9883571,34164615,,,POINT (24.9883571 60.2172477)
60.2170169,24.9884789,34165208,,,POINT (24.9884789 60.2170169)
60.2169496,24.987997,34165279,,,POINT (24.987997 60.2169496)
60.2198192,24.9802406,34179834,,,POINT (24.9802406 60.2198192)
60.2197345,24.9805059,34180011,,,POINT (24.9805059 60.2197345)
60.1997058,24.9491564,34639172,,,POINT (24.9491564 60.1997058)
60.2010271,24.9499328,34659056,,,POINT (24.9499328 60.2010271)
60.2023352,24.9509311,34659659,,,POINT (24.9509311 60.2023352)
60.2001762,24.94918,34659963,,,POINT (24.94918 60.2001762)
60.2005338,24.9486822,34659966,,,POINT (24.9486822 60.2005338)
60.2250915,24.8779831,36760572,,,POINT (24.8779831 60.2250915)
60.2379208,24.866355,36761186,,,POINT (24.866355 60.2379208)
60.2416176,24.8638108,36761246,,,POINT (24.8638108 60.2416176)
60.2279608,24.8727298,36814083,,,POINT (24.8727298 60.2279608)
60.2290675,24.8736102,36814253,,,POINT (24.8736102 60.2290675)
60.229433,24.8740594,36814255,,,POINT (24.8740594 60.229433)
60.2303014,24.8736421,36814258,,,POINT (24.8736421 60.2303014)
60.2307996,24.8731111,36814350,,,POINT (24.8731111 60.2307996)
60.2308316,24.8729308,36814445,,,POINT (24.8729308 60.2308316)
60.2305678,24.8703915,36814626,,,POINT (24.8703915 60.2305678)
60.2305217,24.873749,36814813,,,POINT (24.873749 60.2305217)
60.2264603,24.8805868,36815596,,,POINT (24.8805868 60.2264603)
60.2281321,24.8815026,36815608,,,POINT (24.8815026 60.2281321)
60.2287507,24.8807543,36815610,,,POINT (24.8807543 60.2287507)
60.2299033,24.8836268,36817279,,,POINT (24.8836268 60.2299033)
60.2294408,24.8854329,36817280,,,POINT (24.8854329 60.2294408)
60.2290329,24.8870636,36817282,,,POINT (24.8870636 60.2290329)
60.2299441,24.8833642,36817293,,,POINT (24.8833642 60.2299441)
60.2279684,24.8814982,36819127,,,POINT (24.8814982 60.2279684)
60.2275688,24.8817866,36819182,,,POINT (24.8817866 60.2275688)
60.2228257,24.8911144,36820193,crossing,,POINT (24.8911144 60.2228257)
60.2422221,24.8642648,36822559,crossing,,POINT (24.8642648 60.2422221)
60.2421096,24.8641833,36822887,,,POINT (24.8641833 60.2421096)
60.2378598,24.8655171,36822989,,,POINT (24.8655171 60.2378598)
60.2199722,24.8640074,38464113,,,POINT (24.8640074 60.2199722)
60.2200578,24.8648294,38464115,,,POINT (24.8648294 60.2200578)
60.2405808,24.856408,54002832,,,POINT (24.856408 60.2405808)
60.2413014,24.8563106,54003179,,,POINT (24.8563106 60.2413014)
60.2458932,24.8738469,59717483,,,POINT (24.8738469 60.2458932)
60.2407297,25.0214798,60257755,,,POINT (25.0214798 60.2407297)
60.1581359,24.8899138,60983546,,,POINT (24.8899138 60.1581359)
60.1583834,24.892044,60984005,,,POINT (24.892044 60.1583834)
60.1545135,24.8624772,61087390,,,POINT (24.8624772 60.1545135)
60.1540048,24.8635944,61087393,,,POINT (24.8635944 60.1540048)
60.1612347,24.8566706,61087584,crossing,,POINT (24.8566706 60.1612347)
60.248467,24.8803439,75250364,,,POINT (24.8803439 60.248467)
