y,x,osmid,highway,ref,geometry
60.1844258,24.8572126,131979,,,POINT (24.8572126 60.1844258)
60.1899738,24.8733478,24556175,,,POINT (24.8733478 60.1899738)
60.1913135,24.8750784,24556177,,,POINT (24.8750784 60.1913135)
60.1915523,24.8766965,24556178,,,POINT (24.8766965 60.1915523)
60.1853088,24.8581502,24556192,,,POINT (24.8581502 60.1853088)
60.1854309,24.8582673,24556193,,,POINT (24.8582673 60.1854309)
60.1861339,24.8598728,24556195,,,POINT (24.8598728 60.1861339)
60.186755,24.8613662,24556197,,,POINT (24.8613662 60.186755)
60.1869746,24.8619402,24556198,,,POINT (24.8619402 60.1869746)
60.1877754,24.8650414,24556202,,,POINT (24.8650414 60.1877754)
60.1878984,24.8655663,24556203,,,POINT (24.8655663 60.1878984)
60.1877704,24.8667305,24556205,,,POINT (24.8667305 60.1877704)
60.187922,24.8673041,24556206,,,POINT (24.8673041 60.187922)
60.1879933,24.8676512,24556207,,,POINT (24.8676512 60.1879933)
60.1879937,24.8677131,24556208,,,POINT (24.8677131 60.1879937)
60.1873154,24.868753,24556210,,,POINT (24.868753 60.1873154)
60.1844278,24.8565009,24556211,,,POINT (24.8565009 60.1844278)
60.1840085,24.8530782,24556214,,,POINT (24.8530782 60.1840085)
60.1836088,24.8523783,24556216,,,POINT (24.8523783 60.1836088)
60.1843325,24.858088,24556225,,,POINT (24.858088 60.1843325)
60.1842632,24.8588391,24556226,,,POINT (24.8588391 60.1842632)
60.1843474,24.8595585,24556227,,,POINT (24.8595585 60.1843474)
60.1847981,24.8623109,24556229,,,POINT (24.8623109 60.1847981)
60.1850492,24.8638593,24556231,,,POINT (24.8638593 60.1850492)
60.1862038,24.8663642,24556234,,,POINT (24.8663642 60.1862038)
60.1863894,24.866621,24556235,,,POINT (24.866621 60.1863894)
60.1837941,24.8578125,24556236,,,POINT (24.8578125 60.1837941)
60.1838149,24.860367,24556238,,,POINT (24.860367 60.1838149)
60.1831496,24.8575227,24556240,,,POINT (24.8575227 60.1831496)
60.1829937,24.8574448,24556246,turning_circle,,POINT (24.8574448 60.1829937)
60.1867539,24.8667403,24556249,,,POINT (24.8667403 60.1867539)
60.1916056,24.8850699,24556393,,,POINT (24.8850699 60.1916056)
60.1916826,24.8869655,24556465,,,POINT (24.8869655 60.1916826)
60.183861,24.9096277,24556474,,,POINT (24.9096277 60.183861)
60.2084785,24.8869306,24982810,,,POINT (24.8869306 60.2084785)
60.2031316,24.8981706,24982906,crossing,,POINT (24.8981706 60.2031316)
60.2036901,24.89618,24982917,,,POINT (24.89618 60.2036901)
60.2038272,24.8957782,24982919,,,POINT (24.8957782 60.2038272)
60.2045019,24.8957194,24982923,,,POINT (24.8957194 60.2045019)
60.2046403,24.8956318,24982925,,,POINT (24.8956318 60.2046403)
60.205162,24.8935179,24982928,,,POINT (24.8935179 60.205162)
60.2056092,24.8918495,24982933,,,POINT (24.8918495 60.2056092)
60.2057575,24.8918336,24982934,,,POINT (24.8918336 60.2057575)
60.2060426,24.8919908,24982937,crossing,,POINT (24.8919908 60.2060426)
60.2062976,24.89193,24982939,,,POINT (24.89193 60.2062976)
60.206507,24.8917055,24982943,,,POINT (24.8917055 60.206507)
60.2067618,24.8912775,24982945,,,POINT (24.8912775 60.2067618)
60.2072055,24.891592,24982948,,,POINT (24.891592 60.2072055)
60.2074137,24.8917709,24982950,crossing,,POINT (24.8917709 60.2074137)
60.207627,24.8919457,24982952,,,POINT (24.8919457 60.207627)
60.2082742,24.8918945,24982955,,,POINT (24.8918945 60.2082742)
60.2075666,24.8641471,25005755,,,POINT (24.8641471 60.2075666)
60.2063676,24.8636827,25005760,,,POINT (24.8636827 60.2063676)
60.2038761,24.8693466,25005783,,,POINT (24.8693466 60.2038761)
60.208551,24.8626506,25009482,,,POINT (24.8626506 60.208551)
60.2084753,24.8620208,25009483,,,POINT (24.8620208 60.2084753)
60.2083817,24.8616709,25009485,crossing,,POINT (24.8616709 60.2083817)
60.2082124,24.8610616,25009487,,,POINT (24.8610616 60.2082124)
60.2081258,24.8606784,25009489,,,POINT (24.8606784 60.2081258)
60.2076786,24.8586081,25009493,,,POINT (24.8586081 60.2076786)
60.2074745,24.8576282,25009495,,,POINT (24.8576282 60.2074745)
60.2073809,24.8566418,25009496,,,POINT (24.8566418 60.2073809)
60.2073469,24.8561486,25009498,,,POINT (24.8561486 60.2073469)
60.1910848,24.8744052,25058612,,,POINT (24.8744052 60.1910848)
60.1914089,24.8737177,25058614,,,POINT (24.8737177 60.1914089)
60.1917378,24.8731422,25058616,,,POINT (24.8731422 60.1917378)
60.1921546,24.8727214,25058618,,,POINT (24.8727214 60.1921546)
60.1924193,24.8727175,25058620,,,POINT (24.8727175 60.1924193)
60.1927095,24.8728332,25058624,,,POINT (24.8728332 60.1927095)
60.1929915,24.8733528,25058626,,,POINT (24.8733528 60.1929915)
60.1936429,24.8762666,25058628,,,POINT (24.8762666 60.1936429)
60.1888035,24.8734427,25058630,,,POINT (24.8734427 60.1888035)
60.1961232,24.8841227,25058647,,,POINT (24.8841227 60.1961232)
60.1887988,24.8670579,25089926,,,POINT (24.8670579 60.1887988)
60.1879279,24.8638948,25089935,,,POINT (24.8638948 60.1879279)
60.1874841,24.8643285,25089971,,,POINT (24.8643285 60.1874841)
60.1821349,24.8502767,25090343,,,POINT (24.8502767 60.1821349)
60.1823806,24.848369,25090347,,,POINT (24.848369 60.1823806)
60.1818374,24.8471925,25090351,,,POINT (24.8471925 60.1818374)
60.1816876,24.8460599,25090353,turning_circle,,POINT (24.8460599 60.1816876)
60.2010113,24.882486,25095368,,,POINT (24.882486 60.2010113)
60.2086506,24.8544162,25101729,,,POINT (24.8544162 60.2086506)
60.2085332,24.8541799,25101732,,,POINT (24.8541799 60.2085332)
60.208283,24.8533655,25101734,,,POINT (24.8533655 60.208283)
60.207918,24.8527566,25101738,,,POINT (24.8527566 60.207918)
60.2075326,24.8525428,25101740,,,POINT (24.8525428 60.2075326)
60.2073107,24.8525706,25101742,,,POINT (24.8525706 60.2073107)
60.2082223,24.8543126,25101746,,,POINT (24.8543126 60.2082223)
60.2076729,24.8534506,25101751,,,POINT (24.8534506 60.2076729)
60.207331,24.8533142,25101753,crossing,,POINT (24.8533142 60.207331)
60.2069745,24.8533472,25101756,,,POINT (24.8533472 60.2069745)
60.2066896,24.8536124,25101759,,,POINT (24.8536124 60.2066896)
60.2064907,24.8549814,25101764,,,POINT (24.8549814 60.2064907)
60.2073806,24.8555178,25101769,,,POINT (24.8555178 60.2073806)
60.2071432,24.8525942,25101783,,,POINT (24.8525942 60.2071432)
60.2066488,24.8528292,25101785,,,POINT (24.8528292 60.2066488)
60.2062572,24.8535966,25101789,,,POINT (24.8535966 60.2062572)
60.2060581,24.8550923,25101793,,,POINT (24.8550923 60.2060581)
60.2065757,24.8555493,25101797,,,POINT (24.8555493 60.2065757)
60.2009248,24.8830604,25151314,,,POINT (24.8830604 60.2009248)
60.1996121,24.8837088,25151315,,,POINT (24.8837088 60.1996121)
60.197939,24.8845276,25151316,,,POINT (24.8845276 60.197939)
60.1818195,24.8503945,25156913,crossing,,POINT (24.8503945 60.1818195)
60.1790298,24.85415,25156945,,,POINT (24.85415 60.1790298)
60.1741717,24.8568217,25156968,,,POINT (24.8568217 60.1741717)
60.1738489,24.8585394,25156970,,,POINT (24.8585394 60.1738489)
60.1731702,24.8603955,25156974,,,POINT (24.8603955 60.1731702)
60.1692321,24.8602502,25156991,,,POINT (24.8602502 60.1692321)
60.1735621,24.8606543,25156993,,,POINT (24.8606543 60.1735621)
60.1735581,24.8614533,25156995,,,POINT (24.8614533 60.1735581)
60.1735343,24.8619165,25156997,,,POINT (24.8619165 60.1735343)
60.1729265,24.8620443,25156999,,,POINT (24.8620443 60.1729265)
60.1726768,24.8620534,25157001,,,POINT (24.8620534 60.1726768)
60.1724521,24.8617581,25157003,,,POINT (24.8617581 60.1724521)
60.172315,24.8612093,25157005,,,POINT (24.8612093 60.172315)
60.2117311,24.8603454,25196585,,,POINT (24.8603454 60.2117311)
60.2157169,24.8667488,25196716,turning_circle,,POINT (24.8667488 60.2157169)
60.2118017,24.8602011,25196871,,,POINT (24.8602011 60.2118017)
60.2145471,24.8626653,25197156,,,POINT (24.8626653 60.2145471)
60.2127367,24.859422,25197194,,,POINT (24.859422 60.2127367)
60.2119235,24.8604237,25197249,,,POINT (24.8604237 60.2119235)
60.2080625,24.8557912,25197251,,,POINT (24.8557912 60.2080625)
60.212566,24.8592468,25197272,,,POINT (24.8592468 60.212566)
60.2126805,24.8593354,25197543,,,POINT (24.8593354 60.2126805)
60.2117915,24.8605108,25197570,,,POINT (24.8605108 60.2117915)
60.2085248,24.8552347,25197574,,,POINT (24.8552347 60.2085248)
60.2123162,24.8595195,25197677,,,POINT (24.8595195 60.2123162)
60.2123782,24.8593566,25197760,,,POINT (24.8593566 60.2123782)
60.1644135,24.8586688,25197866,,,POINT (24.8586688 60.1644135)
60.2119358,24.8602252,25197875,,,POINT (24.8602252 60.2119358)
60.2161233,24.8655381,25197958,,,POINT (24.8655381 60.2161233)
60.2119939,24.8602543,25198022,,,POINT (24.8602543 60.2119939)
60.1642638,24.8572649,25198039,,,POINT (24.8572649 60.1642638)
60.1683827,24.859507,25198157,,,POINT (24.859507 60.1683827)
60.1688559,24.860027,25198159,,,POINT (24.860027 60.1688559)
60.168383,24.8574135,25198170,,,POINT (24.8574135 60.168383)
60.1681841,24.8586627,25198175,,,POINT (24.8586627 60.1681841)
60.1670903,24.859417,25198186,,,POINT (24.859417 60.1670903)
60.1665333,24.859647,25198190,,,POINT (24.859647 60.1665333)
60.1652785,24.8603882,25198198,,,POINT (24.8603882 60.1652785)
60.1648734,24.8609561,25198200,,,POINT (24.8609561 60.1648734)
60.164682,24.8613516,25198202,,,POINT (24.8613516 60.164682)
60.1641249,24.8628111,25198204,,,POINT (24.8628111 60.1641249)
60.1653795,24.8582945,25198232,,,POINT (24.8582945 60.1653795)
