y,x,osmid,highway,ref,geometry
60.1815237,24.8490174,131941,,,POINT (24.8490174 60.1815237)
60.1844258,24.8572126,131979,,,POINT (24.8572126 60.1844258)
60.184861,24.858723,131980,,,POINT (24.858723 60.184861)
60.1870835,24.8689812,132103,,,POINT (24.8689812 60.1870835)
60.1879296,24.8740578,132105,,,POINT (24.8740578 60.1879296)
60.1916931,24.8777338,132111,,,POINT (24.8777338 60.1916931)
60.2346996,24.8651931,134842,motorway_junction,,POINT (24.8651931 60.2346996)
60.2331747,24.8566059,134844,,,POINT (24.8566059 60.2331747)
60.1965302,24.8848053,135020,,,POINT (24.8848053 60.1965302)
60.196451,24.8843034,135021,,,POINT (24.8843034 60.196451)
60.1957712,24.8847094,135023,,,POINT (24.8847094 60.1957712)
60.2523137,24.9485693,135032,motorway_junction,4,POINT (24.9485693 60.2523137)
60.2263977,24.9445543,135039,motorway_junction,2,POINT (24.9445543 60.2263977)
60.2106207,24.8880072,226008,,,POINT (24.8880072 60.2106207)
60.2131426,24.883806,226011,,,POINT (24.883806 60.2131426)
60.2026991,24.8818485,226017,,,POINT (24.8818485 60.2026991)
60.2750542,25.2512523,286478,,,POINT (25.2512523 60.2750542)
60.2686419,25.2148307,286497,,,POINT (25.2148307 60.2686419)
60.2650562,25.2027011,286501,motorway_junction,54,POINT (25.2027011 60.2650562)
60.2610427,25.1447944,286529,,,POINT (25.1447944 60.2610427)
60.2528492,25.0778139,286585,,,POINT (25.0778139 60.2528492)
60.2339517,25.0299689,286603,motorway_junction,3,POINT (25.0299689 60.2339517)
60.2051814,24.847571,672659,,,POINT (24.847571 60.2051814)
60.2859942,25.0116996,2708837,motorway_junction,46,POINT (25.0116996 60.2859942)
60.281509,25.0414796,2709297,,,POINT (25.0414796 60.281509)
60.2867,25.0086843,5023629,,,POINT (25.0086843 60.2867)
60.2839367,25.0205462,5023755,motorway_junction,46,POINT (25.0205462 60.2839367)
60.2446755,25.1444219,9935914,,,POINT (25.1444219 60.2446755)
60.2450559,25.1459404,9935920,,,POINT (25.1459404 60.2450559)
60.2452083,25.1465968,9935933,,,POINT (25.1465968 60.2452083)
60.1899738,24.8733478,24556175,,,POINT (24.8733478 60.1899738)
60.2134617,24.8832799,24556179,,,POINT (24.8832799 60.2134617)
60.2141295,24.8836617,24556182,,,POINT (24.8836617 60.2141295)
60.2142638,24.884792,24556184,,,POINT (24.884792 60.2142638)
60.2141567,24.8851319,24556185,,,POINT (24.8851319 60.2141567)
60.2137729,24.8855849,24556186,,,POINT (24.8855849 60.2137729)
60.2134221,24.8854838,24556187,,,POINT (24.8854838 60.2134221)
60.2130834,24.8844574,24556189,,,POINT (24.8844574 60.2130834)
60.186755,24.8613662,24556197,,,POINT (24.8613662 60.186755)
60.1843325,24.858088,24556225,,,POINT (24.858088 60.1843325)
60.1843474,24.8595585,24556227,,,POINT (24.8595585 60.1843474)
60.1837941,24.8578125,24556236,,,POINT (24.8578125 60.1837941)
60.1838149,24.860367,24556238,,,POINT (24.860367 60.1838149)
60.1829937,24.8574448,24556246,turning_circle,,POINT (24.8574448 60.1829937)
60.1867539,24.8667403,24556249,,,POINT (24.8667403 60.1867539)
60.1929719,24.8827547,24556388,,,POINT (24.8827547 60.1929719)
60.1916056,24.8850699,24556393,,,POINT (24.8850699 60.1916056)
60.1916826,24.8869655,24556465,,,POINT (24.8869655 60.1916826)
60.1914981,24.8992754,24556466,,,POINT (24.8992754 60.1914981)
60.1980952,24.887184,24982694,,,POINT (24.887184 60.1980952)
60.2065837,24.8800011,24982794,,,POINT (24.8800011 60.2065837)
60.206779,24.8824549,24982798,,,POINT (24.8824549 60.206779)
60.2070709,24.8833573,24982799,,,POINT (24.8833573 60.2070709)
60.2084785,24.8869306,24982810,,,POINT (24.8869306 60.2084785)
60.208567,24.8886394,24982814,,,POINT (24.8886394 60.208567)
60.2085788,24.8889279,24982816,,,POINT (24.8889279 60.2085788)
60.2089928,24.8899676,24982818,,,POINT (24.8899676 60.2089928)
60.2084194,24.89505,24982821,,,POINT (24.89505 60.2084194)
60.2093462,24.8953417,24982829,,,POINT (24.8953417 60.2093462)
60.2091932,24.8922891,24982846,,,POINT (24.8922891 60.2091932)
60.210715,24.8884724,24982863,,,POINT (24.8884724 60.210715)
60.21368,24.8860246,24982881,,,POINT (24.8860246 60.21368)
60.2038272,24.8957782,24982919,,,POINT (24.8957782 60.2038272)
60.2046403,24.8956318,24982925,,,POINT (24.8956318 60.2046403)
60.2067618,24.8912775,24982945,,,POINT (24.8912775 60.2067618)
60.2082742,24.8918945,24982955,,,POINT (24.8918945 60.2082742)
60.2065744,24.8788991,25005699,,,POINT (24.8788991 60.2065744)
60.2098607,24.8721325,25005728,,,POINT (24.8721325 60.2098607)
60.2097142,24.8688536,25005737,,,POINT (24.8688536 60.2097142)
60.2041901,24.8676352,25005776,,,POINT (24.8676352 60.2041901)
60.2038761,24.8693466,25005783,,,POINT (24.8693466 60.2038761)
60.2037678,24.8720981,25005798,,,POINT (24.8720981 60.2037678)
60.2050428,24.8792787,25005816,,,POINT (24.8792787 60.2050428)
60.2051005,24.8807131,25005819,,,POINT (24.8807131 60.2051005)
60.2076786,24.8586081,25009493,,,POINT (24.8586081 60.2076786)
60.2073809,24.8566418,25009496,,,POINT (24.8566418 60.2073809)
60.2084482,24.8644272,25009500,,,POINT (24.8644272 60.2084482)
60.2035878,24.8805174,25016201,,,POINT (24.8805174 60.2035878)
60.2007806,24.877111,25018700,,,POINT (24.877111 60.2007806)
60.1910848,24.8744052,25058612,,,POINT (24.8744052 60.1910848)
60.1924193,24.8727175,25058620,,,POINT (24.8727175 60.1924193)
60.1927095,24.8728332,25058624,,,POINT (24.8728332 60.1927095)
60.1929915,24.8733528,25058626,,,POINT (24.8733528 60.1929915)
60.1936429,24.8762666,25058628,,,POINT (24.8762666 60.1936429)
60.1924949,24.8798256,25058637,,,POINT (24.8798256 60.1924949)
60.1963571,24.8847357,25058641,,,POINT (24.8847357 60.1963571)
60.1961232,24.8841227,25058647,,,POINT (24.8841227 60.1961232)
60.2053098,24.8476818,25063763,,,POINT (24.8476818 60.2053098)
60.1861766,24.8621854,25089964,turning_circle,,POINT (24.8621854 60.1861766)
60.2339214,24.8599299,25090168,,,POINT (24.8599299 60.2339214)
60.2344596,24.8869931,25090182,motorway_junction,,POINT (24.8869931 60.2344596)
60.2346207,24.8955477,25090188,motorway_junction,,POINT (24.8955477 60.2346207)
60.2350685,24.8988802,25090190,,,POINT (24.8988802 60.2350685)
60.2403722,24.9225954,25090213,motorway_junction,,POINT (24.9225954 60.2403722)
60.2420471,24.9398035,25090223,motorway_junction,,POINT (24.9398035 60.2420471)
60.2065589,24.8797728,25095364,,,POINT (24.8797728 60.2065589)
60.2050289,24.8804825,25095365,,,POINT (24.8804825 60.2050289)
60.2022256,24.8817945,25095367,,,POINT (24.8817945 60.2022256)
60.2010113,24.882486,25095368,,,POINT (24.882486 60.2010113)
60.1976366,24.8842703,25095371,,,POINT (24.8842703 60.1976366)
60.1965833,24.8844495,25095372,,,POINT (24.8844495 60.1965833)
60.1966814,24.8848686,25095380,,,POINT (24.8848686 60.1966814)
60.2036701,24.8810984,25095385,,,POINT (24.8810984 60.2036701)
60.2065757,24.8555493,25101797,,,POINT (24.8555493 60.2065757)
60.2009248,24.8830604,25151314,,,POINT (24.8830604 60.2009248)
60.1996121,24.8837088,25151315,,,POINT (24.8837088 60.1996121)
60.197939,24.8845276,25151316,,,POINT (24.8845276 60.197939)
60.180456,24.8507456,25156892,,,POINT (24.8507456 60.180456)
60.1802497,24.8492649,25156896,,,POINT (24.8492649 60.1802497)
60.1816581,24.8504257,25156903,,,POINT (24.8504257 60.1816581)
60.1818617,24.8517257,25156911,,,POINT (24.8517257 60.1818617)
60.1790298,24.85415,25156945,,,POINT (24.85415 60.1790298)
60.1692321,24.8602502,25156991,,,POINT (24.8602502 60.1692321)
