y,x,osmid,highway,geometry
-6.2233717,106.848373,317182311,,POINT (106.848373 -6.2233717)
-6.114884,106.7699251,322773082,,POINT (106.7699251 -6.114884)
-6.2589477,106.8493225,1473672575,,POINT (106.8493225 -6.2589477)
-6.2556977,106.8497215,1473672608,,POINT (106.8497215 -6.2556977)
-6.1981174,106.7918806,1709782782,,POINT (106.7918806 -6.1981174)
-6.3558975,106.8299894,2997115458,,POINT (106.8299894 -6.3558975)
-6.3559166,106.8240742,2997115459,,POINT (106.8240742 -6.3559166)
-6.2312164,106.8248676,4763548658,,POINT (106.8248676 -6.2312164)
-6.2222392,106.8484129,4822370391,,POINT (106.8484129 -6.2222392)
-6.1961254,106.7905745,4896584859,,POINT (106.7905745 -6.1961254)
-6.1160341,106.773583,5461494446,,POINT (106.773583 -6.1160341)
-6.2462652,106.9090213,5504237682,,POINT (106.9090213 -6.2462652)
-6.195893,106.7896756,5671046434,,POINT (106.7896756 -6.195893)
-6.2312709,106.8248085,6330727827,,POINT (106.8248085 -6.2312709)
-6.1958051,106.789467,6330926367,,POINT (106.789467 -6.1958051)
-6.2464657,106.9072728,6437455722,,POINT (106.9072728 -6.2464657)
-6.245717,106.9076251,6437600158,,POINT (106.9076251 -6.245717)
-6.1983884,106.7918027,6728627764,,POINT (106.7918027 -6.1983884)
-6.1957863,106.7901245,6728627767,,POINT (106.7901245 -6.1957863)
-6.195235,106.7895536,6728627770,,POINT (106.7895536 -6.195235)
-6.1952538,106.7901252,6728627772,,POINT (106.7901252 -6.1952538)
-6.245411,106.9081641,6773792336,,POINT (106.9081641 -6.245411)
-6.1698217,106.8643942,1154382858,,POINT (106.8643942 -6.1698217)
-6.1699825,106.8659623,1493006679,,POINT (106.8659623 -6.1699825)
-6.1697807,106.8664111,1775757170,,POINT (106.8664111 -6.1697807)
-6.2798818,106.7955851,1777742967,,POINT (106.7955851 -6.2798818)
-6.1701122,106.8647623,1974984833,,POINT (106.8647623 -6.1701122)
-6.1700895,106.8647809,1975015110,,POINT (106.8647809 -6.1700895)
-6.1701177,106.8647534,1975015139,,POINT (106.8647534 -6.1701177)
-6.1702073,106.8651391,1975015153,,POINT (106.8651391 -6.1702073)
-6.1704961,106.8645446,1975015233,,POINT (106.8645446 -6.1704961)
-6.2088622,106.8541416,4774149501,,POINT (106.8541416 -6.2088622)
-6.2090887,106.8537057,4774149560,,POINT (106.8537057 -6.2090887)
-6.209119,106.8542494,4774149568,,POINT (106.8542494 -6.209119)
-6.2095021,106.8538965,4774149605,,POINT (106.8538965 -6.2095021)
-6.2785647,106.7962125,4978679935,,POINT (106.7962125 -6.2785647)
-6.2158179,106.9043297,95017930,,POINT (106.9043297 -6.2158179)
-6.2159613,106.9059678,95017932,,POINT (106.9059678 -6.2159613)
-6.2177899,106.9035621,95019960,,POINT (106.9035621 -6.2177899)
-6.2355069,106.8349952,186908079,,POINT (106.8349952 -6.2355069)
-6.2313262,106.8093837,191431094,,POINT (106.8093837 -6.2313262)
-6.1736939,106.9010854,260933024,,POINT (106.9010854 -6.1736939)
-6.1720041,106.8982985,260933380,,POINT (106.8982985 -6.1720041)
-6.1652094,106.9128288,260934126,,POINT (106.9128288 -6.1652094)
-6.2309491,106.9223541,302230535,,POINT (106.9223541 -6.2309491)
-6.2652831,106.7814647,307291275,,POINT (106.7814647 -6.2652831)
-6.219448,106.8348598,308980123,,POINT (106.8348598 -6.219448)
-6.2190882,106.8355291,308980477,,POINT (106.8355291 -6.2190882)
-6.2188803,106.8373267,308980478,,POINT (106.8373267 -6.2188803)
-6.1970186,106.8286692,309676097,,POINT (106.8286692 -6.1970186)
-6.1972249,106.8301724,309676098,,POINT (106.8301724 -6.1972249)
-6.180446,106.824874,309914444,,POINT (106.824874 -6.180446)
-6.2355495,106.8344307,310002720,,POINT (106.8344307 -6.2355495)
-6.2350741,106.8155791,311714773,,POINT (106.8155791 -6.2350741)
-6.2356798,106.8158441,311715590,,POINT (106.8158441 -6.2356798)
-6.2254523,106.8356519,317180427,,POINT (106.8356519 -6.2254523)
-6.2308953,106.9087502,317195853,,POINT (106.9087502 -6.2308953)
-6.179607,106.8131348,318096722,,POINT (106.8131348 -6.179607)
-6.1793781,106.8182092,318096725,,POINT (106.8182092 -6.1793781)
-6.1600115,106.8272406,318567001,,POINT (106.8272406 -6.1600115)
-6.1596815,106.8272747,318567004,,POINT (106.8272747 -6.1596815)
-6.2241116,106.8507488,320021669,,POINT (106.8507488 -6.2241116)
-6.2145601,106.8430819,320846434,,POINT (106.8430819 -6.2145601)
-6.2180258,106.8411816,320846615,,POINT (106.8411816 -6.2180258)
-6.2180036,106.8448533,320927510,,POINT (106.8448533 -6.2180036)
-6.2085035,106.9438711,326700360,,POINT (106.9438711 -6.2085035)
-6.1841741,106.8707487,328568019,,POINT (106.8707487 -6.1841741)
-6.1764712,106.858379,328918979,,POINT (106.858379 -6.1764712)
-6.1765997,106.8572483,328966636,,POINT (106.8572483 -6.1765997)
-6.2012147,106.8582167,329967944,,POINT (106.8582167 -6.2012147)
-6.1955025,106.8845364,330161044,,POINT (106.8845364 -6.1955025)
-6.1958347,106.8845453,330161045,,POINT (106.8845453 -6.1958347)
-6.1955099,106.8854606,330161050,,POINT (106.8854606 -6.1955099)
-6.1958277,106.8854606,330161051,,POINT (106.8854606 -6.1958277)
-6.1346957,106.9264112,330562869,,POINT (106.9264112 -6.1346957)
-6.1438056,106.7750776,331674450,,POINT (106.7750776 -6.1438056)
-6.2238787,106.771665,344373730,,POINT (106.771665 -6.2238787)
-6.2250702,106.7717289,344373738,,POINT (106.7717289 -6.2250702)
-6.159314,106.8272725,350995162,,POINT (106.8272725 -6.159314)
-6.160595,106.8258398,350995194,,POINT (106.8258398 -6.160595)
-6.1608282,106.8262488,350995239,,POINT (106.8262488 -6.1608282)
-6.2180431,106.8419578,352490820,,POINT (106.8419578 -6.2180431)
-6.2186472,106.8451545,352503795,,POINT (106.8451545 -6.2186472)
-6.223868,106.8524502,352628815,,POINT (106.8524502 -6.223868)
-6.2173753,106.87279,352911712,,POINT (106.87279 -6.2173753)
-6.2177789,106.8727992,352911715,,POINT (106.8727992 -6.2177789)
-6.2177736,106.8710381,352911717,,POINT (106.8710381 -6.2177736)
-6.2182639,106.8735728,352911721,,POINT (106.8735728 -6.2182639)
-6.2214539,106.8410324,353137043,,POINT (106.8410324 -6.2214539)
-6.224873,106.8406951,353137649,,POINT (106.8406951 -6.224873)
-6.2010454,106.8495441,353139793,,POINT (106.8495441 -6.2010454)
-6.2399909,106.7628446,357148031,,POINT (106.7628446 -6.2399909)
-6.2824214,106.8010016,361122728,,POINT (106.8010016 -6.2824214)
-6.2727269,106.8465387,363190591,,POINT (106.8465387 -6.2727269)
-6.1124166,106.7456661,371029682,,POINT (106.7456661 -6.1124166)
-6.131304,106.7368873,391160294,,POINT (106.7368873 -6.131304)
-6.1320126,106.7391847,391160333,,POINT (106.7391847 -6.1320126)
-6.1732276,106.7184448,410403023,,POINT (106.7184448 -6.1732276)
-6.1586074,106.8012419,413771170,,POINT (106.8012419 -6.1586074)
-6.1629206,106.9094861,504918344,,POINT (106.9094861 -6.1629206)
-6.1576078,106.9107527,506041187,,POINT (106.9107527 -6.1576078)
-6.2463457,106.8585931,518612460,,POINT (106.8585931 -6.2463457)
-6.1553128,106.9119634,831562786,,POINT (106.9119634 -6.1553128)
-6.1560235,106.9119198,831562816,,POINT (106.9119198 -6.1560235)
-6.2195502,106.8353697,1131149430,,POINT (106.8353697 -6.2195502)
-6.2196192,106.8348908,1131149437,,POINT (106.8348908 -6.2196192)
-6.2374115,106.8964704,1134966828,,POINT (106.8964704 -6.2374115)
-6.236357,106.8979046,1134966833,,POINT (106.8979046 -6.236357)
-6.1636024,106.871067,1154038226,,POINT (106.871067 -6.1636024)
-6.1619703,106.8720165,1154038307,,POINT (106.8720165 -6.1619703)
-6.2242743,106.8474939,1231836537,,POINT (106.8474939 -6.2242743)
-6.1115808,106.7456567,1244654030,,POINT (106.7456567 -6.1115808)
-6.1115916,106.7455754,1244654096,,POINT (106.7455754 -6.1115916)
-6.1114397,106.7457577,1244654204,,POINT (106.7457577 -6.1114397)
-6.2142115,106.9041668,1328590013,,POINT (106.9041668 -6.2142115)
-6.2147192,106.9069707,1328600617,,POINT (106.9069707 -6.2147192)
-6.2180569,106.9021188,1328600690,,POINT (106.9021188 -6.2180569)
-6.2156816,106.9035219,1328600736,,POINT (106.9035219 -6.2156816)
-6.215611,106.902806,1328600742,,POINT (106.902806 -6.215611)
-6.2174827,106.9040558,1328600780,,POINT (106.9040558 -6.2174827)
-6.229295,106.9171823,1329145662,,POINT (106.9171823 -6.229295)
-6.2176705,106.899917,1335062371,,POINT (106.899917 -6.2176705)
-6.2304073,106.9224114,1345758694,,POINT (106.9224114 -6.2304073)
-6.305854,106.8360323,1346352210,,POINT (106.8360323 -6.305854)
-6.3011449,106.831563,1346352214,,POINT (106.831563 -6.3011449)
-6.3062471,106.8372645,1346352256,,POINT (106.8372645 -6.3062471)
-6.2995816,106.8327951,1346352258,,POINT (106.8327951 -6.2995816)
-6.3223006,106.821348,1347018461,,POINT (106.821348 -6.3223006)
-6.2318518,106.9076885,1348774533,,POINT (106.9076885 -6.2318518)
