y,x,osmid,geometry
-6.2233717,106.848373,317182311,POINT (106.848373 -6.2233717)
-6.114884,106.7699251,322773082,POINT (106.7699251 -6.114884)
-6.2589477,106.8493225,1473672575,POINT (106.8493225 -6.2589477)
-6.257139,106.8494395,1473672579,POINT (106.8494395 -6.257139)
-6.2556977,106.8497215,1473672608,POINT (106.8497215 -6.2556977)
-6.2560687,106.8496424,1473672626,POINT (106.8496424 -6.2560687)
-6.256369,106.8495738,1695801301,POINT (106.8495738 -6.256369)
-6.2576188,106.8493071,1695801316,POINT (106.8493071 -6.2576188)
-6.1981174,106.7918806,1709782782,POINT (106.7918806 -6.1981174)
-6.25678,106.8494432,2528925067,POINT (106.8494432 -6.25678)
-6.2579646,106.8493172,2871746706,POINT (106.8493172 -6.2579646)
-6.3477961,106.8269073,2997115389,POINT (106.8269073 -6.3477961)
-6.3478381,106.8271257,2997115390,POINT (106.8271257 -6.3478381)
-6.3478714,106.8265832,2997115391,POINT (106.8265832 -6.3478714)
-6.3479148,106.8265114,2997115392,POINT (106.8265114 -6.3479148)
-6.3479326,106.8273617,2997115393,POINT (106.8273617 -6.3479326)
-6.3480972,106.8276417,2997115394,POINT (106.8276417 -6.3480972)
-6.3481812,106.8263912,2997115395,POINT (106.8263912 -6.3481812)
-6.3482692,106.8281371,2997115396,POINT (106.8281371 -6.3482692)
-6.348296,106.8278753,2997115397,POINT (106.8278753 -6.348296)
-6.3482933,106.8278179,2997115398,POINT (106.8278179 -6.3482933)
-6.3483089,106.8284833,2997115399,POINT (106.8284833 -6.3483089)
-6.3484747,106.8292929,2997115401,POINT (106.8292929 -6.3484747)
-6.3487554,106.8262573,2997115403,POINT (106.8262573 -6.3487554)
-6.3487686,106.8312029,2997115405,POINT (106.8312029 -6.3487686)
-6.3488236,106.8313973,2997115406,POINT (106.8313973 -6.3488236)
-6.3489081,106.8315601,2997115407,POINT (106.8315601 -6.3489081)
-6.3490145,106.8316875,2997115408,POINT (106.8316875 -6.3490145)
-6.3491371,106.831787,2997115410,POINT (106.831787 -6.3491371)
-6.3492395,106.8318055,2997115411,POINT (106.8318055 -6.3492395)
-6.34935,106.8318095,2997115412,POINT (106.8318095 -6.34935)
-6.3496948,106.8317391,2997115414,POINT (106.8317391 -6.3496948)
-6.3501937,106.8316387,2997115415,POINT (106.8316387 -6.3501937)
-6.350613,106.8315638,2997115418,POINT (106.8315638 -6.350613)
-6.3510066,106.831489,2997115420,POINT (106.831489 -6.3510066)
-6.351243,106.8314517,2997115421,POINT (106.8314517 -6.351243)
-6.3512094,106.825538,2997115423,POINT (106.825538 -6.3512094)
-6.3514411,106.8314504,2997115424,POINT (106.8314504 -6.3514411)
-6.3516366,106.8314841,2997115426,POINT (106.8314841 -6.3516366)
-6.3518607,106.8315737,2997115427,POINT (106.8315737 -6.3518607)
-6.3521417,106.8316945,2997115429,POINT (106.8316945 -6.3521417)
-6.3523323,106.8317431,2997115431,POINT (106.8317431 -6.3523323)
-6.3524477,106.8251142,2997115432,POINT (106.8251142 -6.3524477)
-6.352461,106.8317468,2997115433,POINT (106.8317468 -6.352461)
-6.3528655,106.8317103,2997115434,POINT (106.8317103 -6.3528655)
-6.3531409,106.8249061,2997115436,POINT (106.8249061 -6.3531409)
-6.3533532,106.8316219,2997115437,POINT (106.8316219 -6.3533532)
-6.3536354,106.8247853,2997115438,POINT (106.8247853 -6.3536354)
-6.3539654,106.8315313,2997115440,POINT (106.8315313 -6.3539654)
-6.3540718,106.8315014,2997115441,POINT (106.8315014 -6.3540718)
-6.3541293,106.8246334,2997115442,POINT (106.8246334 -6.3541293)
-6.3541411,106.8314777,2997115443,POINT (106.8314777 -6.3541411)
-6.3542562,106.8314317,2997115444,POINT (106.8314317 -6.3542562)
-6.3543515,106.8313781,2997115445,POINT (106.8313781 -6.3543515)
-6.354513,106.8245001,2997115446,POINT (106.8245001 -6.354513)
-6.3546053,106.8311751,2997115447,POINT (106.8311751 -6.3546053)
-6.3546244,106.824459,2997115448,POINT (106.824459 -6.3546244)
-6.3550279,106.8243183,2997115449,POINT (106.8243183 -6.3550279)
-6.3550732,106.8308251,2997115450,POINT (106.8308251 -6.3550732)
-6.3553801,106.8305536,2997115451,POINT (106.8305536 -6.3553801)
-6.3554042,106.8242211,2997115452,POINT (106.8242211 -6.3554042)
-6.3554717,106.8304914,2997115453,POINT (106.8304914 -6.3554717)
-6.3556797,106.8303083,2997115455,POINT (106.8303083 -6.3556797)
-6.355754,106.8302099,2997115456,POINT (106.8302099 -6.355754)
-6.3558233,106.8300878,2997115457,POINT (106.8300878 -6.3558233)
-6.3558975,106.8299894,2997115458,POINT (106.8299894 -6.3558975)
-6.3559166,106.8240742,2997115459,POINT (106.8240742 -6.3559166)
-6.3490997,106.8261402,3004185056,POINT (106.8261402 -6.3490997)
-6.3499261,106.8259101,3004185059,POINT (106.8259101 -6.3499261)
-6.3505404,106.8257209,3004185060,POINT (106.8257209 -6.3505404)
-6.3482812,106.8283443,3009726626,POINT (106.8283443 -6.3482812)
-6.3486002,106.8301464,3009726629,POINT (106.8301464 -6.3486002)
-6.3487131,106.8308496,3009726631,POINT (106.8308496 -6.3487131)
-6.2312164,106.8248676,4763548658,POINT (106.8248676 -6.2312164)
-6.2222392,106.8484129,4822370391,POINT (106.8484129 -6.2222392)
-6.1961254,106.7905745,4896584859,POINT (106.7905745 -6.1961254)
-6.3482419,106.8277717,4918100506,POINT (106.8277717 -6.3482419)
-6.3481368,106.827679,4918100507,POINT (106.827679 -6.3481368)
-6.355314,106.8242444,4929751933,POINT (106.8242444 -6.355314)
-6.11503,106.7698507,5461494438,POINT (106.7698507 -6.11503)
-6.1151901,106.7701095,5461494439,POINT (106.7701095 -6.1151901)
-6.1152687,106.770418,5461494440,POINT (106.770418 -6.1152687)
-6.1152901,106.7710054,5461494441,POINT (106.7710054 -6.1152901)
-6.1153767,106.7712924,5461494442,POINT (106.7712924 -6.1153767)
-6.1154061,106.7715539,5461494443,POINT (106.7715539 -6.1154061)
-6.1156181,106.772376,5461494444,POINT (106.772376 -6.1156181)
-6.1157941,106.7728548,5461494445,POINT (106.7728548 -6.1157941)
-6.1160341,106.773583,5461494446,POINT (106.773583 -6.1160341)
-6.2462652,106.9090213,5504237682,POINT (106.9090213 -6.2462652)
-6.3508515,106.8315147,5546953951,POINT (106.8315147 -6.3508515)
-6.195893,106.7896756,5671046434,POINT (106.7896756 -6.195893)
-6.2312709,106.8248085,6330727827,POINT (106.8248085 -6.2312709)
-6.1958051,106.789467,6330926367,POINT (106.789467 -6.1958051)
-6.2464657,106.9072728,6437455722,POINT (106.9072728 -6.2464657)
-6.245717,106.9076251,6437600158,POINT (106.9076251 -6.245717)
-6.1958137,106.7906177,6457239211,POINT (106.7906177 -6.1958137)
-6.1983884,106.7918027,6728627764,POINT (106.7918027 -6.1983884)
-6.195787,106.7903719,6728627766,POINT (106.7903719 -6.195787)
-6.1957863,106.7901245,6728627767,POINT (106.7901245 -6.1957863)
-6.195235,106.7895536,6728627770,POINT (106.7895536 -6.195235)
-6.1952481,106.7898326,6728627771,POINT (106.7898326 -6.1952481)
-6.1952538,106.7901252,6728627772,POINT (106.7901252 -6.1952538)
-6.1952516,106.7900102,6728627773,POINT (106.7900102 -6.1952516)
-6.1958039,106.7896073,6728627774,POINT (106.7896073 -6.1958039)
-6.1958969,106.7896093,6728627775,POINT (106.7896093 -6.1958969)
-6.2457574,106.9076008,6773792327,POINT (106.9076008 -6.2457574)
-6.2457772,106.9075684,6773792328,POINT (106.9075684 -6.2457772)
-6.2459903,106.9075434,6773792329,POINT (106.9075434 -6.2459903)
-6.2460249,106.907526,6773792330,POINT (106.907526 -6.2460249)
-6.2460423,106.9074861,6773792331,POINT (106.9074861 -6.2460423)
-6.2461637,106.9074637,6773792332,POINT (106.9074637 -6.2461637)
-6.2462405,106.9073864,6773792333,POINT (106.9073864 -6.2462405)
-6.2463272,106.9073391,6773792334,POINT (106.9073391 -6.2463272)
-6.2464139,106.9072892,6773792335,POINT (106.9072892 -6.2464139)
-6.245411,106.9081641,6773792336,POINT (106.9081641 -6.245411)
-6.2458575,106.9081213,6773792337,POINT (106.9081213 -6.2458575)
-6.2458791,106.9086418,6773792338,POINT (106.9086418 -6.2458791)
-6.2461315,106.9086201,6773792339,POINT (106.9086201 -6.2461315)
-6.2461637,106.9086425,6773792340,POINT (106.9086425 -6.2461637)
-6.2462454,106.9086375,6773792341,POINT (106.9086375 -6.2462454)
-6.1698217,106.8643942,1154382858,POINT (106.8643942 -6.1698217)
-6.1699825,106.8659623,1493006679,POINT (106.8659623 -6.1699825)
-6.1697807,106.8664111,1775757170,POINT (106.8664111 -6.1697807)
-6.1698916,106.8661644,1775758740,POINT (106.8661644 -6.1698916)
-6.1698281,106.8663056,1775758747,POINT (106.8663056 -6.1698281)
-6.2789884,106.7955208,1777742779,POINT (106.7955208 -6.2789884)
-6.279395,106.7956039,1777742781,POINT (106.7956039 -6.279395)
-6.2790243,106.7955934,1777742782,POINT (106.7955934 -6.2790243)
-6.2798818,106.7955851,1777742967,POINT (106.7955851 -6.2798818)
-6.1699132,106.8643495,1974984595,POINT (106.8643495 -6.1699132)
-6.1699571,106.8660189,1974984611,POINT (106.8660189 -6.1699571)
