u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed
317182311,4822370391,0,732422817,Gang Keselamatan 2,cycleway,yes,False,126.006,"LINESTRING (106.848373 -6.2233717, 106.8484129 -6.2222392)",,,,
322773082,5461494446,0,567347760,,cycleway,,False,449.51200000000006,"LINESTRING (106.7699251 -6.114884, 106.7698507 -6.11503, 106.7701095 -6.1151901, 106.770418 -6.1152687, 106.7710054 -6.1152901, 106.7712924 -6.1153767, 106.7715539 -6.1154061, 106.772376 -6.1156181, 106.7728548 -6.1157941, 106.773583 -6.1160341)",,,,
1473672575,1473672608,0,133930155,Kalibata Timur 4,cycleway,,False,367.36600000000004,"LINESTRING (106.8493225 -6.2589477, 106.8493172 -6.2579646, 106.8493071 -6.2576188, 106.8494395 -6.257139, 106.8494432 -6.25678, 106.8495738 -6.256369, 106.8496424 -6.2560687, 106.8497215 -6.2556977)",,,,
1473672608,1473672575,0,133930155,Kalibata Timur 4,cycleway,,False,367.366,"LINESTRING (106.8497215 -6.2556977, 106.8496424 -6.2560687, 106.8495738 -6.256369, 106.8494432 -6.25678, 106.8494395 -6.257139, 106.8493071 -6.2576188, 106.8493172 -6.2579646, 106.8493225 -6.2589477)",,,,
1709782782,6728627764,0,716015377,,cycleway,,False,31.34,"LINESTRING (106.7918806 -6.1981174, 106.7918027 -6.1983884)",1.5,,,
2997115458,2997115459,0,"[294125467, 295950267]",,cycleway,,False,2378.636,"LINESTRING (106.8299894 -6.3558975, 106.8300878 -6.3558233, 106.8302099 -6.355754, 106.8303083 -6.3556797, 106.8304914 -6.3554717, 106.8305536 -6.3553801, 106.8308251 -6.3550732, 106.8311751 -6.3546053, 106.8313781 -6.3543515, 106.8314317 -6.3542562, 106.8314777 -6.3541411, 106.8315014 -6.3540718, 106.8315313 -6.3539654, 106.8316219 -6.3533532, 106.8317103 -6.3528655, 106.8317468 -6.352461, 106.8317431 -6.3523323, 106.8316945 -6.3521417, 106.8315737 -6.3518607, 106.8314841 -6.3516366, 106.8314504 -6.3514411, 106.8314517 -6.351243, 106.831489 -6.3510066, 106.8315147 -6.3508515, 106.8315638 -6.350613, 106.8316387 -6.3501937, 106.8317391 -6.3496948, 106.8318095 -6.34935, 106.8318055 -6.3492395, 106.831787 -6.3491371, 106.8316875 -6.3490145, 106.8315601 -6.3489081, 106.8313973 -6.3488236, 106.8312029 -6.3487686, 106.8308496 -6.3487131, 106.8301464 -6.3486002, 106.8292929 -6.3484747, 106.8284833 -6.3483089, 106.8283443 -6.3482812, 106.8281371 -6.3482692, 106.8278753 -6.348296, 106.8278179 -6.3482933, 106.8277717 -6.3482419, 106.827679 -6.3481368, 106.8276417 -6.3480972, 106.8273617 -6.3479326, 106.8271257 -6.3478381, 106.8269073 -6.3477961, 106.8265832 -6.3478714, 106.8265114 -6.3479148, 106.8263912 -6.3481812, 106.8262573 -6.3487554, 106.8261402 -6.3490997, 106.8259101 -6.3499261, 106.8257209 -6.3505404, 106.825538 -6.3512094, 106.8251142 -6.3524477, 106.8249061 -6.3531409, 106.8247853 -6.3536354, 106.8246334 -6.3541293, 106.8245001 -6.354513, 106.824459 -6.3546244, 106.8243183 -6.3550279, 106.8242444 -6.355314, 106.8242211 -6.3554042, 106.8240742 -6.3559166)",,,,
2997115459,2997115458,0,"[295950267, 294125467]",,cycleway,,False,2378.636000000002,"LINESTRING (106.8240742 -6.3559166, 106.8242211 -6.3554042, 106.8242444 -6.355314, 106.8243183 -6.3550279, 106.824459 -6.3546244, 106.8245001 -6.354513, 106.8246334 -6.3541293, 106.8247853 -6.3536354, 106.8249061 -6.3531409, 106.8251142 -6.3524477, 106.825538 -6.3512094, 106.8257209 -6.3505404, 106.8259101 -6.3499261, 106.8261402 -6.3490997, 106.8262573 -6.3487554, 106.8263912 -6.3481812, 106.8265114 -6.3479148, 106.8265832 -6.3478714, 106.8269073 -6.3477961, 106.8271257 -6.3478381, 106.8273617 -6.3479326, 106.8276417 -6.3480972, 106.827679 -6.3481368, 106.8277717 -6.3482419, 106.8278179 -6.3482933, 106.8278753 -6.348296, 106.8281371 -6.3482692, 106.8283443 -6.3482812, 106.8284833 -6.3483089, 106.8292929 -6.3484747, 106.8301464 -6.3486002, 106.8308496 -6.3487131, 106.8312029 -6.3487686, 106.8313973 -6.3488236, 106.8315601 -6.3489081, 106.8316875 -6.3490145, 106.831787 -6.3491371, 106.8318055 -6.3492395, 106.8318095 -6.34935, 106.8317391 -6.3496948, 106.8316387 -6.3501937, 106.8315638 -6.350613, 106.8315147 -6.3508515, 106.831489 -6.3510066, 106.8314517 -6.351243, 106.8314504 -6.3514411, 106.8314841 -6.3516366, 106.8315737 -6.3518607, 106.8316945 -6.3521417, 106.8317431 -6.3523323, 106.8317468 -6.352461, 106.8317103 -6.3528655, 106.8316219 -6.3533532, 106.8315313 -6.3539654, 106.8315014 -6.3540718, 106.8314777 -6.3541411, 106.8314317 -6.3542562, 106.8313781 -6.3543515, 106.8311751 -6.3546053, 106.8308251 -6.3550732, 106.8305536 -6.3553801, 106.8304914 -6.3554717, 106.8303083 -6.3556797, 106.8302099 -6.355754, 106.8300878 -6.3558233, 106.8299894 -6.3558975)",,,,
4763548658,6330727827,0,483610868,Jalan Komplek TNI,cycleway,,False,8.911,"LINESTRING (106.8248676 -6.2312164, 106.8248085 -6.2312709)",1.5,1,,
4822370391,317182311,0,732422817,Gang Keselamatan 2,cycleway,yes,False,126.006,"LINESTRING (106.8484129 -6.2222392, 106.848373 -6.2233717)",,,,
4896584859,6728627767,0,"[716015378, 688562051]",,cycleway,,False,89.67,"LINESTRING (106.7905745 -6.1961254, 106.7906177 -6.1958137, 106.7903719 -6.195787, 106.7901245 -6.1957863)",,,,
