y,x,osmid,geometry
-6.2233717,106.848373,317182311,POINT (106.848373 -6.2233717)
-6.114884,106.7699251,322773082,POINT (106.7699251 -6.114884)
-6.2589477,106.8493225,1473672575,POINT (106.8493225 -6.2589477)
-6.2556977,106.8497215,1473672608,POINT (106.8497215 -6.2556977)
-6.1981174,106.7918806,1709782782,POINT (106.7918806 -6.1981174)
-6.3558975,106.8299894,2997115458,POINT (106.8299894 -6.3558975)
-6.3559166,106.8240742,2997115459,POINT (106.8240742 -6.3559166)
-6.2312164,106.8248676,4763548658,POINT (106.8248676 -6.2312164)
-6.2222392,106.8484129,4822370391,POINT (106.8484129 -6.2222392)
-6.1961254,106.7905745,4896584859,POINT (106.7905745 -6.1961254)
-6.1160341,106.773583,5461494446,POINT (106.773583 -6.1160341)
-6.2462652,106.9090213,5504237682,POINT (106.9090213 -6.2462652)
-6.195893,106.7896756,5671046434,POINT (106.7896756 -6.195893)
-6.2312709,106.8248085,6330727827,POINT (106.8248085 -6.2312709)
-6.1958051,106.789467,6330926367,POINT (106.789467 -6.1958051)
-6.2464657,106.9072728,6437455722,POINT (106.9072728 -6.2464657)
-6.245717,106.9076251,6437600158,POINT (106.9076251 -6.245717)
-6.1983884,106.7918027,6728627764,POINT (106.7918027 -6.1983884)
-6.1957863,106.7901245,6728627767,POINT (106.7901245 -6.1957863)
-6.195235,106.7895536,6728627770,POINT (106.7895536 -6.195235)
-6.1952538,106.7901252,6728627772,POINT (106.7901252 -6.1952538)
-6.245411,106.9081641,6773792336,POINT (106.9081641 -6.245411)
-6.1698217,106.8643942,1154382858,POINT (106.8643942 -6.1698217)
-6.1699825,106.8659623,1493006679,POINT (106.8659623 -6.1699825)
-6.1697807,106.8664111,1775757170,POINT (106.8664111 -6.1697807)
-6.2798818,106.7955851,1777742967,POINT (106.7955851 -6.2798818)
-6.1701122,106.8647623,1974984833,POINT (106.8647623 -6.1701122)
-6.1700895,106.8647809,1975015110,POINT (106.8647809 -6.1700895)
-6.1701177,106.8647534,1975015139,POINT (106.8647534 -6.1701177)
-6.1702073,106.8651391,1975015153,POINT (106.8651391 -6.1702073)
-6.1704961,106.8645446,1975015233,POINT (106.8645446 -6.1704961)
-6.2088622,106.8541416,4774149501,POINT (106.8541416 -6.2088622)
-6.2090887,106.8537057,4774149560,POINT (106.8537057 -6.2090887)
-6.209119,106.8542494,4774149568,POINT (106.8542494 -6.209119)
-6.2095021,106.8538965,4774149605,POINT (106.8538965 -6.2095021)
-6.2785647,106.7962125,4978679935,POINT (106.7962125 -6.2785647)
