y,x,osmid,highway,geometry
-6.2158179,106.9043297,95017930,,POINT (106.9043297 -6.2158179)
-6.2158092,106.9046559,95017931,,POINT (106.9046559 -6.2158092)
-6.2159613,106.9059678,95017932,,POINT (106.9059678 -6.2159613)
-6.217105,106.9041391,95018388,,POINT (106.9041391 -6.217105)
-6.2177899,106.9035621,95019960,,POINT (106.9035621 -6.2177899)
-6.2293713,106.8093346,186860010,,POINT (106.8093346 -6.2293713)
-6.2351558,106.8344245,186908076,,POINT (106.8344245 -6.2351558)
-6.2355069,106.8349952,186908079,,POINT (106.8349952 -6.2355069)
-6.2296994,106.8095146,191430967,,POINT (106.8095146 -6.2296994)
-6.2300083,106.8096481,191430980,,POINT (106.8096481 -6.2300083)
-6.2311913,106.8096476,191431032,,POINT (106.8096476 -6.2311913)
-6.231264,106.8095505,191431052,,POINT (106.8095505 -6.231264)
-6.2313262,106.8093837,191431094,,POINT (106.8093837 -6.2313262)
-6.2271601,106.8089394,237768510,,POINT (106.8089394 -6.2271601)
-6.1724997,106.8990957,260933023,,POINT (106.8990957 -6.1724997)
-6.1736939,106.9010854,260933024,,POINT (106.9010854 -6.1736939)
-6.1720041,106.8982985,260933380,,POINT (106.8982985 -6.1720041)
-6.1652094,106.9128288,260934126,,POINT (106.9128288 -6.1652094)
-6.2309491,106.9223541,302230535,,POINT (106.9223541 -6.2309491)
-6.2659608,106.7801407,305174770,,POINT (106.7801407 -6.2659608)
-6.2697375,106.7787565,305176942,,POINT (106.7787565 -6.2697375)
-6.2728742,106.7786487,305182956,,POINT (106.7786487 -6.2728742)
-6.2710177,106.7786998,305183619,,POINT (106.7786998 -6.2710177)
-6.2744539,106.7785235,307239799,,POINT (106.7785235 -6.2744539)
-6.2760646,106.7774146,307290618,,POINT (106.7774146 -6.2760646)
-6.2756489,106.7778368,307290620,,POINT (106.7778368 -6.2756489)
-6.2750304,106.7782976,307290622,,POINT (106.7782976 -6.2750304)
-6.2745601,106.7784892,307290623,,POINT (106.7784892 -6.2745601)
-6.2738293,106.7786122,307290625,,POINT (106.7786122 -6.2738293)
-6.2732838,106.7786406,307290626,,POINT (106.7786406 -6.2732838)
-6.268502,106.7788367,307290628,,POINT (106.7788367 -6.268502)
-6.2679628,106.7788872,307290631,,POINT (106.7788872 -6.2679628)
-6.2676169,106.7789623,307290632,,POINT (106.7789623 -6.2676169)
-6.2670936,106.7791982,307290633,,POINT (106.7791982 -6.2670936)
-6.266739,106.7793994,307290634,,POINT (106.7793994 -6.266739)
-6.266595,106.7795013,307290635,,POINT (106.7795013 -6.266595)
-6.2663577,106.7797145,307290636,,POINT (106.7797145 -6.2663577)
-6.2661105,106.7799644,307290637,,POINT (106.7799644 -6.2661105)
-6.2658791,106.7802503,307290638,,POINT (106.7802503 -6.2658791)
-6.2655423,106.7808206,307291273,,POINT (106.7808206 -6.2655423)
-6.2652831,106.7814647,307291275,,POINT (106.7814647 -6.2652831)
-6.2755866,106.7778921,307301150,,POINT (106.7778921 -6.2755866)
-6.219929,106.8333901,308980122,,POINT (106.8333901 -6.219929)
-6.219448,106.8348598,308980123,,POINT (106.8348598 -6.219448)
-6.2190882,106.8355291,308980477,,POINT (106.8355291 -6.2190882)
-6.2188803,106.8373267,308980478,,POINT (106.8373267 -6.2188803)
-6.2188106,106.837638,308980479,,POINT (106.837638 -6.2188106)
-6.21594,106.8369784,308980524,,POINT (106.8369784 -6.21594)
-6.2201486,106.8357155,309142857,,POINT (106.8357155 -6.2201486)
-6.221201,106.8359365,309142858,,POINT (106.8359365 -6.221201)
-6.222127,106.8360534,309142859,,POINT (106.8360534 -6.222127)
-6.2226379,106.8359397,309142860,,POINT (106.8359397 -6.2226379)
-6.222916,106.8359049,309142861,,POINT (106.8359049 -6.222916)
-6.2236,106.8358,309142862,,POINT (106.8358 -6.2236)
-6.2241954,106.8355637,309142863,,POINT (106.8355637 -6.2241954)
-6.2248337,106.835568,309142864,,POINT (106.835568 -6.2248337)
-6.2902028,106.8780309,309475947,,POINT (106.8780309 -6.2902028)
