y,x,osmid,highway,ref,geometry
51.5078324,-0.1541372,109590,,,POINT (-0.1541372 51.5078324)
51.5108762,-0.1577911,110042,crossing,,POINT (-0.1577911 51.5108762)
51.508951,-0.1555581,110044,,,POINT (-0.1555581 51.508951)
51.5771426,-0.3259622,279659,,,POINT (-0.3259622 51.5771426)
51.4914084,-0.303912,294911,,,POINT (-0.303912 51.4914084)
51.4917799,-0.28241,295240,,,POINT (-0.28241 51.4917799)
51.5569711,0.0664385,558255,,,POINT (0.0664385 51.5569711)
51.5691782,-0.3217872,9761204,,,POINT (-0.3217872 51.5691782)
51.4911595,-0.3043011,12189044,,,POINT (-0.3043011 51.4911595)
51.6356635,-0.0519149,20820646,,,POINT (-0.0519149 51.6356635)
51.6220235,-0.0615902,25876656,,,POINT (-0.0615902 51.6220235)
51.5326261,-0.2020976,25973357,,,POINT (-0.2020976 51.5326261)
51.5814825,-0.0281084,27621039,,,POINT (-0.0281084 51.5814825)
51.5818095,-0.0281151,27621354,,,POINT (-0.0281151 51.5818095)
51.5920303,-0.3335198,29704345,,,POINT (-0.3335198 51.5920303)
51.5232806,-0.4232058,32329198,,,POINT (-0.4232058 51.5232806)
51.5574913,0.0673894,32635667,,,POINT (0.0673894 51.5574913)
51.5335247,-0.0076265,32650561,crossing,,POINT (-0.0076265 51.5335247)
51.491248,-0.3036086,33747242,crossing,,POINT (-0.3036086 51.491248)
51.4926128,-0.2848577,35432572,,,POINT (-0.2848577 51.4926128)
51.4454554,0.1528997,35959437,,,POINT (0.1528997 51.4454554)
51.4450317,0.1523946,35959443,,,POINT (0.1523946 51.4450317)
51.5775039,-0.3261691,42292886,,,POINT (-0.3261691 51.5775039)
51.5341952,-0.0067573,61102589,crossing,,POINT (-0.0067573 51.5341952)
51.508106,-0.2555881,70976393,,,POINT (-0.2555881 51.508106)
51.5569878,-0.0106284,96061974,,,POINT (-0.0106284 51.5569878)
51.5569883,-0.0108993,96061975,,,POINT (-0.0108993 51.5569883)
51.5044275,-0.1521923,135771412,,,POINT (-0.1521923 51.5044275)
51.4536829,-0.1918009,187185347,,,POINT (-0.1918009 51.4536829)
51.5867757,-0.0445148,253099477,,,POINT (-0.0445148 51.5867757)
51.5329167,-0.1373473,293754856,,,POINT (-0.1373473 51.5329167)
51.5282545,-0.1386315,293812306,crossing,,POINT (-0.1386315 51.5282545)
51.5141518,-0.0776485,377490677,,,POINT (-0.0776485 51.5141518)
51.4520708,0.1721143,415402405,mini_roundabout,,POINT (0.1721143 51.4520708)
51.5331422,-0.0081457,416998515,,,POINT (-0.008145700000000001 51.5331422)
51.4453449,0.1528833,442666117,,,POINT (0.1528833 51.4453449)
51.5940344,0.0101789,528321619,crossing,,POINT (0.0101789 51.5940344)
51.5112942,-0.1580515,745976317,,,POINT (-0.1580515 51.5112942)
51.4734082,-0.4523989,771811201,,,POINT (-0.4523989 51.4734082)
51.5125167,-0.1586735,814102060,crossing,,POINT (-0.1586735 51.5125167)
51.4805128,-0.4549924,1251045746,give_way,,POINT (-0.4549924 51.4805128)
51.5286013,-0.1276353,1363723587,,,POINT (-0.1276353 51.5286013)
51.5064202,-0.1524298,1369709175,crossing,,POINT (-0.1524298 51.5064202)
51.5269201,-0.1320776,1519252880,crossing,,POINT (-0.1320776 51.5269201)
51.4740942,-0.4531058,1645568348,,,POINT (-0.4531058 51.4740942)
51.4797707,-0.4531413,1645568424,,,POINT (-0.4531413 51.4797707)
